Date,Open,High,Low,Close,Volume
05-09-2007,20.00,20.00,20.00,20.00,0
05-10-2007,21.10,21.99,20.60,21.10,20008200
05-11-2007,21.13,22.40,21.13,21.85,3692300
05-14-2007,22.00,22.65,21.85,22.30,1652800
05-15-2007,21.85,22.42,20.73,21.00,2002500
05-16-2007,22.49,23.40,22.40,22.94,5231700
05-17-2007,23.34,24.05,22.94,23.01,2501800
05-18-2007,23.25,23.45,22.35,22.99,1392700
05-21-2007,23.00,23.84,22.70,23.65,1066200
05-22-2007,23.65,24.40,23.26,23.95,1476300
05-23-2007,24.26,24.60,23.80,23.90,888400
05-24-2007,23.97,24.00,22.50,23.05,1107100
05-25-2007,22.95,23.99,22.95,23.51,400100
05-29-2007,24.04,24.09,23.08,23.24,881000
05-30-2007,22.76,23.10,22.71,22.89,373400
05-31-2007,23.00,23.05,22.04,22.90,950800
06-01-2007,22.60,23.25,22.50,23.04,586100
06-04-2007,22.79,23.75,22.72,23.30,835200
06-05-2007,22.85,23.58,22.80,23.41,591500
06-06-2007,23.10,23.39,22.80,23.11,545300
06-07-2007,23.04,23.32,22.53,22.77,427200
06-08-2007,22.40,22.48,22.07,22.42,764900
06-11-2007,22.50,22.75,21.51,22.73,547300
06-12-2007,22.20,22.80,22.20,22.63,337000
06-13-2007,22.65,23.42,22.65,23.30,887600
06-14-2007,23.74,24.25,23.42,23.73,1291100
06-15-2007,23.86,24.82,23.60,24.71,2268700
06-18-2007,24.98,26.00,24.94,26.00,1625100
06-19-2007,26.40,26.45,25.10,25.51,1972600
06-20-2007,25.53,26.20,25.11,25.34,1421400
06-21-2007,25.25,25.27,24.62,24.91,714900
06-22-2007,24.55,24.71,24.18,24.21,2175200
06-25-2007,24.35,25.08,24.19,24.60,551400
06-26-2007,24.69,24.94,23.62,23.93,647100
06-27-2007,23.35,24.73,23.35,24.66,463400
06-28-2007,24.66,24.92,24.33,24.57,355000
06-29-2007,24.80,25.50,24.66,24.81,506000
07-02-2007,24.88,25.48,24.76,25.38,441700
07-03-2007,25.55,26.10,25.27,25.69,366200
07-05-2007,25.85,26.45,25.51,26.35,409300
07-06-2007,26.35,27.18,26.00,26.72,590900
07-09-2007,27.20,27.34,26.63,26.68,671900
07-10-2007,26.60,27.15,26.35,26.50,596100
07-11-2007,26.60,27.33,26.43,26.76,1043600
07-12-2007,27.25,27.32,26.62,26.95,497200
07-13-2007,26.89,28.38,26.76,28.17,710900
07-16-2007,27.61,29.24,27.60,27.76,875800
07-17-2007,27.98,28.29,27.69,27.73,395400
07-18-2007,27.73,27.88,27.02,27.25,425300
07-19-2007,27.35,28.28,27.35,27.78,718700
07-20-2007,27.72,27.82,27.20,27.25,524200
07-23-2007,27.40,27.84,27.08,27.38,568900
07-24-2007,27.25,27.25,26.35,26.51,786600
07-25-2007,26.26,27.00,24.30,25.65,965400
07-26-2007,25.06,25.36,24.31,25.24,711900
07-27-2007,24.77,25.87,24.53,25.28,503300
07-30-2007,26.00,26.48,25.46,26.03,668100
07-31-2007,26.69,27.00,25.85,25.95,571800
08-01-2007,25.85,26.09,24.33,25.30,827000
08-02-2007,26.00,26.50,24.75,26.40,1399200
08-03-2007,26.07,27.81,26.07,27.00,1450900
08-06-2007,27.40,27.44,25.56,26.44,1195500
08-07-2007,26.26,27.13,26.20,26.86,627200
08-08-2007,27.25,28.28,26.18,27.05,2003900
08-09-2007,26.71,27.25,25.75,26.08,677300
08-10-2007,25.32,25.39,23.74,25.10,1249300
08-13-2007,25.10,25.90,25.01,25.15,398800
08-14-2007,25.15,25.75,24.55,24.76,631700
08-15-2007,24.75,25.20,24.26,24.75,786100
08-16-2007,24.24,24.78,23.00,24.40,1650600
08-17-2007,25.61,25.75,23.77,24.43,849200
08-20-2007,24.50,25.15,24.36,25.00,493600
08-21-2007,24.60,26.30,24.60,26.14,612700
08-22-2007,26.78,27.18,26.42,27.11,869400
08-23-2007,27.40,27.77,26.51,27.30,500100
08-24-2007,27.30,27.75,27.00,27.36,547000
08-27-2007,27.25,27.61,26.90,27.18,268600
08-28-2007,26.96,27.24,26.07,26.19,235900
08-29-2007,26.39,26.63,26.01,26.51,314300
08-30-2007,26.20,26.99,26.15,26.64,401300
08-31-2007,27.15,27.50,26.75,26.87,720000
09-04-2007,27.10,27.50,26.93,27.00,398600
09-05-2007,26.50,27.01,26.30,27.01,413100
09-06-2007,27.00,27.21,26.65,27.00,303400
09-07-2007,26.35,26.84,25.75,26.79,524100
09-10-2007,26.75,26.98,25.82,26.86,379100
09-11-2007,27.07,27.40,26.97,27.31,436500
09-12-2007,27.50,28.17,27.25,27.80,822000
09-13-2007,27.88,28.11,27.55,27.90,498300
09-14-2007,27.67,27.99,27.51,27.96,337900
09-17-2007,27.51,29.47,27.51,29.06,1150400
09-18-2007,29.08,30.23,29.00,30.23,1073500
09-19-2007,30.64,31.40,30.25,30.81,867900
