Date,Open,High,Low,Close,Volume
11-10-2006,2.54,2.54,2.54,2.54,0
11-13-2006,2.54,2.72,2.52,2.62,2280988
11-14-2006,2.64,2.64,2.54,2.61,349355
11-15-2006,3.22,3.22,2.61,2.69,1477708
11-16-2006,2.69,2.69,2.61,2.64,1320272
11-17-2006,2.62,2.64,2.62,2.64,7675
11-20-2006,2.64,2.64,2.52,2.57,394645
11-21-2006,2.57,2.64,2.56,2.57,2460064
11-22-2006,2.69,2.69,2.59,2.62,46808
11-24-2006,2.62,2.62,2.62,2.62,6931
11-27-2006,2.62,2.62,2.62,2.62,0
11-28-2006,2.59,2.62,2.59,2.59,43596
11-29-2006,2.61,2.61,2.59,2.59,269907
11-30-2006,2.64,2.64,2.59,2.62,889478
12-01-2006,2.64,2.69,2.64,2.69,7377
12-04-2006,2.61,2.61,2.61,2.61,547
12-05-2006,2.64,2.81,2.64,2.76,173557
12-06-2006,2.69,2.69,2.69,2.69,1431
12-07-2006,2.81,2.81,2.77,2.77,936462
12-08-2006,2.77,2.83,2.77,2.83,7811
12-11-2006,2.83,2.83,2.82,2.83,59850
12-12-2006,2.83,2.83,2.83,2.83,1431
12-13-2006,2.83,2.89,2.80,2.83,684935
12-14-2006,2.93,3.03,2.93,2.96,3938384
12-15-2006,2.96,2.97,2.86,2.91,4828689
12-18-2006,2.91,2.91,2.75,2.76,688126
12-19-2006,2.76,2.88,2.71,2.85,157040
12-20-2006,2.74,2.91,2.74,2.86,354707
12-21-2006,2.78,2.89,2.78,2.87,155311
12-22-2006,2.88,2.90,2.78,2.84,84852
12-26-2006,2.84,2.91,2.79,2.82,90317
12-27-2006,2.85,2.91,2.85,2.91,103865
12-28-2006,2.92,2.92,2.87,2.88,149628
12-29-2006,2.90,2.92,2.82,2.88,292685
01-03-2007,2.92,2.93,2.87,2.87,1608960
01-04-2007,2.88,2.95,2.80,2.94,390717
01-05-2007,2.92,2.95,2.87,2.87,205496
01-08-2007,2.88,2.90,2.83,2.85,267000
01-09-2007,2.85,2.88,2.85,2.87,2902506
01-10-2007,2.86,2.90,2.85,2.90,56281
01-11-2007,2.92,2.92,2.90,2.91,272035
01-12-2007,2.88,2.92,2.87,2.89,125407
01-16-2007,2.92,2.92,2.85,2.88,123656
01-17-2007,2.87,2.89,2.85,2.87,112670
01-18-2007,2.86,2.94,2.85,2.90,178259
