Date,Open,High,Low,Close,Volume
05-27-1993,10.87,10.87,10.53,10.53,5289760
05-28-1993,10.53,10.67,10.47,10.60,1123732
06-01-1993,10.53,10.53,10.47,10.47,848141
06-02-1993,10.47,10.93,10.47,10.93,1148512
06-03-1993,10.87,10.87,10.60,10.60,404112
06-04-1993,10.60,10.67,10.53,10.60,109143
06-07-1993,10.60,10.60,10.47,10.47,276469
06-08-1993,10.47,10.53,10.47,10.47,316351
06-09-1993,10.47,10.60,10.47,10.53,420694
06-10-1993,10.60,10.60,10.47,10.53,145293
06-11-1993,10.53,10.53,10.47,10.47,203805
06-14-1993,10.47,10.53,10.47,10.47,135230
06-15-1993,10.47,10.53,10.47,10.47,71877
06-16-1993,10.47,10.53,10.47,10.47,204359
06-17-1993,10.53,10.53,10.47,10.47,161317
06-18-1993,10.53,10.53,10.47,10.47,179025
06-21-1993,10.53,10.53,10.47,10.53,114365
06-22-1993,10.47,10.53,10.47,10.47,120514
06-23-1993,10.47,10.53,10.47,10.47,68714
06-24-1993,10.53,10.60,10.47,10.47,117160
06-25-1993,10.47,10.53,10.47,10.47,33311
06-28-1993,10.47,10.80,10.47,10.73,114923
06-29-1993,10.73,10.80,10.60,10.60,88650
06-30-1993,10.67,10.80,10.60,10.80,185356
07-01-1993,10.73,10.80,10.73,10.73,51005
07-02-1993,10.80,10.80,10.73,10.80,86227
07-06-1993,10.73,10.80,10.60,10.60,179950
07-07-1993,10.53,10.60,10.53,10.53,21378
07-08-1993,10.53,10.60,10.53,10.60,26232
07-09-1993,10.60,10.67,10.47,10.47,76907
07-12-1993,10.47,10.60,10.47,10.47,38901
07-13-1993,10.53,10.60,10.53,10.60,16165
07-14-1993,10.53,10.60,10.47,10.47,88650
07-15-1993,10.47,10.67,10.47,10.47,191690
07-16-1993,10.53,10.53,10.47,10.53,30324
07-19-1993,10.53,10.53,10.47,10.53,360886
07-20-1993,10.53,10.60,10.53,10.60,154787
07-21-1993,10.67,10.67,10.53,10.53,59581
07-22-1993,10.53,10.53,10.53,10.53,75793
07-23-1993,10.53,10.60,10.53,10.53,62748
07-26-1993,10.53,10.53,10.47,10.47,13742
07-27-1993,10.47,10.53,10.47,10.47,279641
07-28-1993,10.47,10.53,10.47,10.47,135972
07-29-1993,10.47,10.53,10.47,10.53,342622
07-30-1993,10.53,10.53,10.47,10.53,199889
08-02-1993,10.53,10.53,10.47,10.47,13924
08-03-1993,10.47,10.53,10.47,10.47,42252
08-04-1993,10.47,10.53,10.47,10.53,70010
08-05-1993,10.47,10.53,10.47,10.47,160568
08-06-1993,10.47,10.47,10.47,10.47,238831
08-09-1993,10.47,10.53,10.40,10.40,1230873
08-10-1993,10.20,10.20,9.93,9.93,198766
08-11-1993,9.93,10.20,9.93,10.20,203239
08-12-1993,10.20,10.26,10.20,10.20,96292
08-13-1993,10.13,10.13,9.93,10.13,62564
08-16-1993,10.20,10.20,9.93,9.93,99268
08-17-1993,10.00,10.06,9.79,9.93,59581
08-18-1993,9.93,10.00,9.86,9.93,346906
08-19-1993,9.86,9.86,9.79,9.86,60317
08-20-1993,9.86,9.93,9.59,9.73,230261
08-23-1993,9.59,9.93,9.59,9.93,67405
08-24-1993,10.06,10.20,10.00,10.13,55481
08-25-1993,10.06,10.20,10.00,10.20,138769
08-26-1993,10.26,10.26,10.13,10.13,39833
08-27-1993,10.20,10.20,10.13,10.20,18588
08-30-1993,10.20,10.20,10.13,10.13,16351
08-31-1993,10.06,10.33,10.00,10.33,17094
09-01-1993,10.26,10.40,10.26,10.40,36479
09-02-1993,10.26,10.33,10.20,10.33,33494
09-03-1993,10.26,10.47,10.26,10.40,24367
09-07-1993,10.26,10.33,10.26,10.33,6476
09-08-1993,10.26,10.33,10.13,10.13,15975
09-09-1993,10.20,10.20,10.06,10.13,8888
09-10-1993,10.00,10.26,10.00,10.26,31820
09-13-1993,10.20,10.33,10.20,10.26,20821
09-14-1993,10.20,10.26,10.13,10.26,20078
09-15-1993,10.13,10.26,10.06,10.26,45610
09-16-1993,10.33,10.40,10.20,10.20,48584
09-17-1993,10.20,10.26,10.20,10.26,23614
09-20-1993,10.20,10.26,10.20,10.26,26973
09-21-1993,10.26,10.26,10.13,10.20,134301
09-22-1993,10.13,10.20,10.13,10.20,35728
09-23-1993,10.20,10.26,10.13,10.20,25297
09-24-1993,10.20,10.20,10.06,10.13,66477
09-27-1993,10.06,10.13,10.00,10.06,18025
09-28-1993,10.06,10.06,10.00,10.00,26601
09-29-1993,9.93,10.06,9.93,10.06,124982
09-30-1993,10.06,10.26,10.00,10.26,71321
10-01-1993,10.20,10.33,10.20,10.33,124604
10-04-1993,10.33,10.40,10.26,10.33,7215
10-05-1993,10.26,10.40,10.26,10.26,29022
10-06-1993,10.13,10.26,10.13,10.13,43371
10-07-1993,10.06,10.26,10.06,10.20,82679
10-08-1993,10.13,10.20,10.06,10.13,49146
