Date,Open,High,Low,Close,Volume
01-02-1990,1.97,1.97,1.75,1.94,18500
01-03-1990,1.94,1.94,1.94,1.94,100
01-04-1990,1.94,1.94,1.94,1.94,1100
01-05-1990,1.75,1.88,1.75,1.88,16000
01-08-1990,1.81,1.81,1.75,1.81,4000
01-09-1990,1.81,1.81,1.81,1.81,3000
01-10-1990,1.69,1.81,1.69,1.81,1200
01-11-1990,1.81,1.81,1.81,1.81,2200
01-12-1990,1.69,1.75,1.69,1.69,14700
01-15-1990,1.81,1.81,1.69,1.69,600
01-16-1990,1.81,1.81,1.69,1.69,6000
01-17-1990,1.75,1.75,1.75,1.75,4500
01-18-1990,1.81,1.81,1.69,1.69,1000
01-19-1990,1.81,1.81,1.81,1.81,1000
01-22-1990,1.69,1.69,1.69,1.69,1000
01-23-1990,1.69,1.81,1.69,1.81,11100
01-24-1990,1.81,1.81,1.81,1.81,0
01-25-1990,1.69,1.69,1.69,1.69,5000
01-26-1990,1.75,1.75,1.69,1.69,5000
01-29-1990,1.75,1.75,1.69,1.69,3900
01-30-1990,1.69,1.75,1.50,1.63,12800
01-31-1990,1.63,1.63,1.63,1.63,0
02-01-1990,1.63,1.63,1.63,1.63,0
02-02-1990,1.63,1.63,1.63,1.63,0
02-05-1990,1.56,1.69,1.56,1.69,3200
02-06-1990,1.69,1.75,1.69,1.75,6500
02-07-1990,1.75,1.75,1.59,1.75,3200
02-08-1990,1.75,1.75,1.69,1.69,8800
02-09-1990,1.75,1.75,1.69,1.75,7100
02-12-1990,1.75,1.75,1.69,1.75,9400
02-13-1990,1.63,1.75,1.63,1.75,1700
02-14-1990,1.75,1.75,1.75,1.75,1600
02-15-1990,1.75,1.75,1.63,1.63,5700
02-16-1990,1.75,1.75,1.63,1.75,600
02-20-1990,1.63,1.72,1.63,1.72,3900
02-21-1990,1.72,1.72,1.72,1.72,0
02-22-1990,1.72,1.72,1.72,1.72,0
02-23-1990,1.63,1.72,1.56,1.72,5700
02-26-1990,1.72,1.72,1.56,1.69,15500
02-27-1990,1.69,1.69,1.56,1.56,12900
02-28-1990,1.50,1.63,1.50,1.63,3000
03-01-1990,1.63,1.63,1.63,1.63,300
03-02-1990,1.63,1.63,1.63,1.63,2300
03-05-1990,1.56,1.63,1.56,1.63,9600
03-06-1990,1.63,1.63,1.63,1.63,100
03-07-1990,1.44,1.63,1.44,1.44,1600
03-08-1990,1.63,1.63,1.63,1.63,100
03-09-1990,1.44,1.56,1.44,1.56,1200
03-12-1990,1.56,1.56,1.56,1.56,3400
03-13-1990,1.56,1.56,1.50,1.50,5400
03-14-1990,1.63,1.63,1.50,1.50,6700
03-15-1990,1.56,1.56,1.56,1.56,1500
03-16-1990,1.50,1.50,1.44,1.44,5000
03-19-1990,1.56,1.56,1.56,1.56,3700
03-20-1990,1.56,1.56,1.56,1.56,2200
03-21-1990,1.56,1.56,1.56,1.56,300
03-22-1990,1.50,1.56,1.44,1.44,6100
03-23-1990,1.44,1.50,1.44,1.50,8200
03-26-1990,1.44,1.50,1.44,1.50,12900
03-27-1990,1.38,1.50,1.38,1.50,3800
03-28-1990,1.50,1.50,1.50,1.50,2500
03-29-1990,1.50,1.50,1.50,1.50,1000
03-30-1990,1.50,1.50,1.44,1.44,17900
04-02-1990,1.50,1.50,1.38,1.50,10200
04-03-1990,1.50,1.50,1.50,1.50,2000
04-04-1990,1.50,1.56,1.44,1.50,71100
04-05-1990,1.50,1.63,1.50,1.63,23800
04-06-1990,1.50,1.63,1.50,1.63,8000
04-09-1990,1.50,1.63,1.50,1.63,14200
04-10-1990,1.63,1.63,1.63,1.63,0
04-11-1990,1.63,1.63,1.63,1.63,9800
04-12-1990,1.63,1.81,1.63,1.81,19700
04-16-1990,1.88,1.94,1.81,1.88,33200
04-17-1990,1.88,1.91,1.81,1.88,10300
04-18-1990,1.81,1.91,1.75,1.88,15900
04-19-1990,1.88,1.88,1.75,1.88,7300
04-20-1990,1.75,1.81,1.63,1.72,15700
04-23-1990,1.63,1.63,1.50,1.63,19700
04-24-1990,1.63,1.69,1.63,1.63,8700
04-25-1990,1.69,1.69,1.69,1.69,3000
04-26-1990,1.69,1.69,1.69,1.69,1400
04-27-1990,1.69,1.69,1.63,1.63,1500
04-30-1990,1.63,1.69,1.63,1.69,4600
05-01-1990,1.69,1.69,1.69,1.69,0
05-02-1990,1.63,1.63,1.63,1.63,600
05-03-1990,1.69,1.69,1.63,1.63,4200
05-04-1990,1.63,1.69,1.63,1.69,2000
05-07-1990,1.63,1.63,1.63,1.63,400
05-08-1990,1.69,1.69,1.69,1.69,2200
05-09-1990,1.69,1.69,1.69,1.69,0
05-10-1990,1.63,1.63,1.63,1.63,1000
05-11-1990,1.63,1.63,1.63,1.63,100
05-14-1990,1.69,1.69,1.63,1.63,4300
05-15-1990,1.63,1.69,1.63,1.63,4100
05-16-1990,1.69,1.69,1.63,1.63,2500
05-17-1990,1.63,1.63,1.63,1.63,0
05-18-1990,1.69,1.69,1.63,1.63,3500
05-21-1990,1.63,1.63,1.63,1.63,0
05-22-1990,1.63,1.63,1.50,1.50,16400
05-23-1990,1.44,1.44,1.44,1.44,800
05-24-1990,1.66,1.66,1.44,1.44,4900
