Date,Open,High,Low,Close,Volume
03-19-1993,10.29,11.16,10.29,10.72,1670982
03-22-1993,10.94,11.16,10.51,10.51,340249
03-23-1993,10.83,11.16,10.72,10.72,272060
03-24-1993,10.72,11.16,10.51,10.72,167198
03-25-1993,11.16,11.16,10.51,10.51,114315
03-26-1993,10.51,10.94,10.51,10.72,47605
03-29-1993,10.51,10.94,10.51,10.51,51833
03-30-1993,10.94,10.94,10.40,10.40,47605
03-31-1993,10.29,10.72,10.29,10.29,46003
04-01-1993,10.51,10.62,10.29,10.29,19048
04-02-1993,10.29,10.72,10.29,10.29,91238
04-05-1993,10.72,10.72,10.29,10.40,108030
04-06-1993,10.29,10.40,10.18,10.18,25442
04-07-1993,10.18,10.62,10.18,10.29,29556
04-08-1993,10.51,10.62,9.96,10.62,13791
04-12-1993,10.29,10.72,10.29,10.72,17104
04-13-1993,10.51,10.72,10.29,10.40,47262
04-14-1993,10.29,10.72,10.29,10.29,12197
04-15-1993,10.29,11.16,10.29,11.16,72048
04-16-1993,11.16,11.16,10.72,10.72,10822
04-19-1993,10.72,11.16,10.72,11.16,7739
04-20-1993,10.72,11.38,10.51,10.51,37437
04-21-1993,10.94,11.16,10.72,10.94,27271
04-22-1993,10.94,12.04,10.94,11.38,37437
04-23-1993,11.38,12.04,11.38,11.38,27271
04-26-1993,11.38,11.38,11.16,11.16,3400
04-27-1993,11.16,11.82,11.16,11.16,33443
04-28-1993,10.94,11.60,10.94,11.60,4088
04-29-1993,11.16,11.38,11.16,11.16,21676
04-30-1993,11.27,11.60,11.16,11.60,2257
05-03-1993,11.60,11.60,11.16,11.16,8883
05-04-1993,11.60,11.60,11.16,11.38,38579
05-05-1993,11.16,11.60,11.16,11.60,9566
05-06-1993,11.60,11.60,11.38,11.38,2484
05-07-1993,11.16,11.60,11.16,11.16,110429
05-10-1993,11.60,12.26,11.16,12.04,18362
05-11-1993,12.26,12.48,11.82,11.82,48629
05-12-1993,12.48,12.48,11.82,12.04,16193
05-13-1993,12.48,12.48,11.82,12.04,61992
05-14-1993,12.15,12.26,12.04,12.26,4426
05-17-1993,12.26,12.26,11.60,12.04,13905
05-18-1993,12.26,12.26,11.60,11.60,93182
05-19-1993,11.60,11.60,11.60,11.60,2373
05-20-1993,11.82,12.26,11.82,12.26,13221
05-21-1993,12.04,12.26,11.82,11.82,18015
05-24-1993,11.82,12.04,11.82,11.82,14135
05-25-1993,11.82,12.26,11.82,12.15,11963
05-26-1993,12.26,12.26,11.60,11.60,19391
05-27-1993,11.60,12.15,11.60,12.15,34470
05-28-1993,11.60,11.60,11.60,11.60,654
06-01-1993,11.60,12.04,11.60,11.82,10477
06-02-1993,11.60,11.60,11.60,11.60,5225
06-03-1993,11.38,12.04,11.38,11.38,25673
06-04-1993,11.38,11.82,11.38,11.82,6596
06-07-1993,12.04,12.04,11.60,12.04,23731
06-08-1993,11.93,11.93,11.60,11.82,58228
06-09-1993,11.60,11.60,11.60,11.60,429
06-10-1993,11.60,12.04,11.60,11.82,20645
06-11-1993,12.04,12.04,11.82,11.82,34122
06-14-1993,12.04,12.04,11.93,11.93,6140
06-15-1993,11.82,12.04,11.60,12.04,19737
06-16-1993,11.60,12.04,11.60,12.04,654
06-17-1993,12.04,12.04,11.93,12.04,27614
06-18-1993,12.26,12.26,12.26,12.26,541
06-21-1993,12.04,12.48,12.04,12.04,64167
06-22-1993,12.48,13.35,12.48,12.69,24645
06-23-1993,12.48,13.13,12.48,13.13,2484
06-24-1993,13.13,13.13,12.48,12.80,10598
06-25-1993,13.13,13.13,12.48,12.48,1001
06-28-1993,12.48,13.13,12.48,13.13,10477
06-29-1993,13.35,13.35,13.35,13.35,1573
06-30-1993,13.13,13.13,13.13,13.13,2139
07-01-1993,12.69,13.35,12.69,13.35,18362
07-02-1993,13.35,13.35,13.35,13.35,429
07-06-1993,13.35,13.35,12.69,12.69,773
07-07-1993,12.80,12.80,12.80,12.80,1687
07-08-1993,12.69,12.69,12.69,12.69,1914
07-09-1993,12.69,13.35,12.69,13.35,654
07-12-1993,13.35,13.35,13.35,13.35,0
07-13-1993,13.35,13.35,13.35,13.35,0
07-14-1993,12.69,12.69,12.69,12.69,2597
07-15-1993,12.69,13.35,12.69,13.35,1914
07-16-1993,12.69,13.35,12.69,13.35,1343
07-19-1993,13.13,14.01,13.13,13.57,21442
07-20-1993,13.57,13.57,13.57,13.57,0
07-21-1993,13.35,14.01,13.35,13.35,18015
07-22-1993,13.57,14.23,13.35,13.35,19850
07-23-1993,13.35,13.35,13.35,13.35,429
07-26-1993,13.35,13.35,13.35,13.35,309
07-27-1993,13.35,13.35,13.35,13.35,0
07-28-1993,13.35,13.35,13.35,13.35,1111
07-29-1993,14.23,14.23,14.23,14.23,100
07-30-1993,13.79,13.79,13.79,13.79,1001
08-02-1993,13.35,14.01,13.35,13.35,3854
08-03-1993,13.35,13.57,13.13,13.13,12878
08-04-1993,13.13,13.35,12.69,13.13,6021
08-05-1993,13.35,13.35,12.69,12.69,7054
08-06-1993,13.35,13.57,12.69,12.69,10477
08-09-1993,12.80,13.57,12.80,13.57,2712
08-10-1993,13.57,13.57,12.69,12.80,4088
08-11-1993,12.91,13.57,12.91,13.24,4769
08-12-1993,12.91,13.57,12.91,13.57,2030
08-13-1993,12.91,13.57,12.91,13.57,889
08-16-1993,13.57,13.57,13.57,13.57,309
08-17-1993,12.91,13.57,12.91,13.02,2257
08-18-1993,13.57,13.57,13.13,13.13,4426
08-19-1993,13.57,13.57,13.13,13.57,889
08-20-1993,13.35,13.57,13.35,13.35,36178
08-23-1993,13.02,13.13,12.04,12.26,228193
08-24-1993,12.69,12.69,12.26,12.58,3970
08-25-1993,12.15,12.48,11.38,11.38,79582
08-26-1993,11.60,11.60,10.72,11.05,109625
08-27-1993,10.72,11.38,10.72,11.38,30125
08-30-1993,11.38,11.60,11.38,11.60,6940
08-31-1993,11.82,12.04,11.71,11.82,26700
09-01-1993,12.04,12.48,12.04,12.48,3400
09-02-1993,12.69,12.69,12.58,12.69,14478
09-03-1993,12.48,13.13,12.48,12.91,32070
09-07-1993,12.26,12.69,12.26,12.26,25221
09-08-1993,12.04,12.04,11.38,11.82,15395
09-09-1993,11.71,11.82,11.71,11.82,10256
09-10-1993,12.04,12.04,11.38,12.04,5116
09-13-1993,11.38,11.82,11.16,11.71,36411
09-14-1993,11.38,11.60,11.38,11.60,39835
09-15-1993,11.60,11.60,11.60,11.60,0
09-16-1993,11.82,12.04,11.82,12.04,8423
09-17-1993,12.04,12.04,11.60,12.04,2139
09-20-1993,11.38,12.04,11.38,11.38,11738
09-21-1993,11.27,11.82,11.27,11.82,6596
09-22-1993,11.82,11.82,11.16,11.38,19959
09-23-1993,11.82,11.82,11.82,11.82,309
09-24-1993,11.16,11.16,11.16,11.16,429
09-27-1993,11.16,11.16,11.16,11.16,541
09-28-1993,11.49,11.49,11.16,11.38,11164
09-29-1993,11.16,11.82,11.16,11.82,4310
09-30-1993,11.82,12.04,11.38,12.04,7512
10-01-1993,12.04,12.26,11.60,11.82,14709
10-04-1993,12.26,12.26,11.82,12.26,42348
10-05-1993,11.82,11.82,11.16,11.38,16530
10-06-1993,11.38,11.38,10.94,10.94,19048
10-07-1993,10.07,11.16,10.07,11.16,47033
10-08-1993,11.16,11.16,11.16,11.16,100
10-11-1993,10.51,11.16,10.51,11.16,1228
10-12-1993,11.16,11.16,11.16,11.16,0
10-13-1993,11.16,11.60,11.16,11.38,17218
10-14-1993,11.38,11.82,11.38,11.38,8536
10-15-1993,11.60,11.60,11.16,11.49,3970
10-18-1993,11.16,11.60,10.94,11.38,28751
10-19-1993,11.60,11.60,10.94,10.94,889
10-20-1993,11.60,11.60,10.72,10.72,32410
10-21-1993,11.16,11.16,10.83,11.16,1111
10-22-1993,11.16,11.16,10.83,10.83,34122
10-25-1993,10.94,10.94,10.94,10.94,201
10-26-1993,10.51,10.94,10.51,10.51,11851
10-27-1993,10.72,10.72,10.29,10.29,773
10-28-1993,10.29,10.94,10.29,10.72,10017
10-29-1993,10.72,10.72,10.72,10.72,4769
11-01-1993,10.94,10.94,10.51,10.94,2943
11-02-1993,10.51,11.16,10.51,10.94,7396
11-03-1993,10.72,11.82,10.72,11.82,20075
11-04-1993,11.16,11.27,11.16,11.27,4198
11-05-1993,11.16,11.82,11.16,11.82,1001
11-08-1993,11.82,11.82,11.38,11.60,3626
11-09-1993,11.82,11.82,11.82,11.82,1687
11-10-1993,12.04,12.04,12.04,12.04,201
11-11-1993,12.04,12.69,11.82,12.69,31612
11-12-1993,12.91,12.91,12.91,12.91,100
11-15-1993,12.26,12.48,12.26,12.48,2373
11-16-1993,12.26,12.91,12.26,12.91,889
11-17-1993,12.26,12.26,12.26,12.26,889
