Date,Open,High,Low,Close,Volume
01-02-1990,5.41,5.43,5.32,5.41,0
01-03-1990,5.40,5.46,5.37,5.43,0
01-04-1990,5.43,5.43,5.37,5.41,0
01-05-1990,5.40,5.52,5.40,5.46,0
01-08-1990,5.46,5.52,5.46,5.46,0
01-09-1990,5.47,5.52,5.37,5.41,0
01-10-1990,5.40,5.43,5.28,5.34,0
01-11-1990,5.34,5.37,5.19,5.19,0
01-12-1990,5.19,5.19,5.04,5.19,0
01-15-1990,5.11,5.11,5.02,5.08,0
01-16-1990,5.05,5.05,4.90,5.05,0
01-17-1990,5.05,5.19,5.05,5.05,0
01-18-1990,5.04,5.13,5.04,5.10,0
01-19-1990,5.10,5.16,5.07,5.13,0
01-22-1990,5.14,5.26,5.08,5.08,0
01-23-1990,5.07,5.16,4.98,4.98,0
01-24-1990,4.96,4.96,4.78,4.96,0
01-25-1990,4.95,5.01,4.83,4.86,0
01-26-1990,4.87,4.90,4.84,4.84,0
01-29-1990,4.84,4.87,4.57,4.60,0
01-30-1990,4.59,4.59,4.38,4.38,0
01-31-1990,4.38,4.47,4.38,4.41,0
02-01-1990,4.44,4.50,4.44,4.48,0
02-02-1990,4.51,4.84,4.51,4.84,0
02-05-1990,4.87,4.99,4.87,4.96,0
02-06-1990,4.96,4.96,4.90,4.96,0
02-07-1990,4.95,5.10,4.92,5.05,0
02-08-1990,5.05,5.08,4.93,4.96,0
02-09-1990,4.95,4.98,4.83,4.86,0
02-12-1990,4.86,4.92,4.68,4.74,0
02-13-1990,4.68,4.68,4.44,4.44,0
02-14-1990,4.47,4.62,4.47,4.56,0
02-15-1990,4.56,4.65,4.50,4.65,0
02-16-1990,4.65,4.80,4.65,4.80,0
02-20-1990,4.74,4.74,4.68,4.68,0
02-21-1990,4.68,4.68,4.59,4.65,0
02-22-1990,4.69,4.81,4.69,4.72,0
02-23-1990,4.71,4.71,4.59,4.65,0
02-26-1990,4.66,4.66,4.60,4.60,0
02-27-1990,4.64,4.73,4.60,4.60,0
02-28-1990,4.58,4.58,4.49,4.52,0
03-01-1990,4.52,4.55,4.42,4.52,0
03-02-1990,4.52,4.64,4.49,4.55,0
03-05-1990,4.54,4.64,4.54,4.60,0
03-06-1990,4.60,4.69,4.54,4.69,0
03-07-1990,4.69,4.76,4.63,4.76,0
03-08-1990,4.76,5.09,4.76,5.09,0
03-09-1990,5.09,5.24,5.09,5.21,0
03-12-1990,5.21,5.21,5.18,5.18,0
03-13-1990,5.18,5.22,5.06,5.09,0
03-14-1990,5.21,5.45,5.21,5.39,0
03-15-1990,5.40,5.55,5.40,5.49,0
03-16-1990,5.55,5.64,5.55,5.57,0
03-19-1990,5.58,5.61,5.49,5.49,0
03-20-1990,5.48,5.57,5.48,5.54,0
03-21-1990,5.55,5.67,5.48,5.57,0
03-22-1990,5.57,5.60,5.54,5.54,0
03-23-1990,5.57,5.67,5.57,5.57,0
03-26-1990,5.67,5.73,5.64,5.64,0
03-27-1990,5.66,5.66,5.60,5.66,0
03-28-1990,5.57,5.57,5.21,5.30,0
03-29-1990,5.36,5.45,5.36,5.45,0
03-30-1990,5.42,5.42,5.24,5.24,0
04-02-1990,5.15,5.24,4.85,4.94,0
04-03-1990,5.00,5.09,4.91,5.00,0
04-04-1990,4.99,4.99,4.81,4.84,0
04-05-1990,4.90,4.99,4.90,4.96,0
04-06-1990,5.00,5.12,4.97,5.09,0
04-09-1990,5.15,5.27,5.15,5.18,0
04-10-1990,5.18,5.24,5.06,5.06,0
04-11-1990,5.06,5.12,5.03,5.03,0
04-12-1990,5.03,5.09,5.03,5.09,0
04-16-1990,5.03,5.09,5.03,5.03,0
04-17-1990,5.03,5.09,5.03,5.03,0
04-18-1990,5.09,5.09,5.03,5.09,0
04-19-1990,5.03,5.09,4.91,4.91,0
04-20-1990,4.94,4.94,4.76,4.82,0
04-23-1990,4.78,4.82,4.76,4.76,0
04-24-1990,4.88,4.91,4.72,4.72,0
04-25-1990,4.78,4.78,4.72,4.76,0
04-26-1990,4.72,4.76,4.69,4.72,0
04-27-1990,4.76,4.76,4.69,4.76,0
04-30-1990,4.69,4.75,4.69,4.69,0
05-01-1990,4.70,4.76,4.61,4.67,0
05-02-1990,4.64,4.70,4.52,4.55,0
05-03-1990,4.54,4.60,4.54,4.60,0
05-04-1990,4.61,4.64,4.46,4.55,0
05-07-1990,4.58,4.94,4.51,4.91,0
05-08-1990,4.91,5.03,4.88,5.00,0
05-09-1990,4.87,5.02,4.87,4.96,0
05-10-1990,5.06,5.12,5.06,5.12,0
05-11-1990,5.12,5.30,5.06,5.30,0
05-14-1990,5.24,5.39,5.24,5.33,0
05-15-1990,5.33,5.51,5.33,5.45,0
05-16-1990,5.42,5.42,5.33,5.33,0
05-17-1990,5.36,5.39,5.36,5.39,0
05-18-1990,5.37,5.70,5.34,5.64,0
05-21-1990,5.66,6.18,5.61,6.00,0
05-22-1990,6.09,6.09,5.82,5.85,0
05-23-1990,5.90,5.96,5.84,5.94,0
05-24-1990,5.94,5.94,5.73,5.73,0
05-25-1990,5.60,5.72,5.51,5.66,0
05-29-1990,5.67,5.76,5.67,5.76,0
05-30-1990,5.88,5.94,5.82,5.91,0
05-31-1990,5.88,5.91,5.85,5.85,0
06-01-1990,5.85,5.94,5.76,5.76,0
06-04-1990,5.86,5.86,5.58,5.73,0
06-05-1990,5.80,5.86,5.74,5.77,0
06-06-1990,5.80,5.98,5.80,5.92,0
06-07-1990,5.99,6.02,5.92,6.02,0
06-08-1990,6.01,6.01,5.95,5.98,0
06-11-1990,6.02,6.05,5.80,6.02,0
06-12-1990,6.11,6.11,6.02,6.02,0
06-13-1990,6.10,6.13,6.04,6.10,0
06-14-1990,6.04,6.13,6.04,6.10,0
06-15-1990,6.10,6.22,6.10,6.22,0
06-18-1990,6.17,6.23,6.14,6.17,0
06-19-1990,6.13,6.16,6.10,6.10,0
06-20-1990,6.10,6.19,6.10,6.10,0
06-21-1990,6.16,6.16,6.10,6.10,0
06-22-1990,6.10,6.16,6.07,6.07,0
06-25-1990,6.08,6.14,6.08,6.14,0
06-26-1990,6.08,6.14,6.08,6.14,0
06-27-1990,6.13,6.19,6.10,6.19,0
06-28-1990,6.23,6.56,6.20,6.56,0
06-29-1990,6.66,6.68,6.29,6.32,0
07-02-1990,6.34,6.41,6.29,6.38,0
07-03-1990,6.38,6.41,6.34,6.34,0
07-05-1990,6.41,6.41,6.29,6.29,0
07-06-1990,6.23,6.26,6.14,6.17,0
07-09-1990,6.29,6.29,6.16,6.22,0
07-10-1990,6.17,6.23,6.14,6.14,0
