Date,Open,High,Low,Close,Volume
11-16-2011,13.00,13.00,13.00,13.00,0
11-17-2011,18.00,18.75,15.02,16.26,6507403
11-18-2011,16.25,16.30,15.60,15.80,584123
11-21-2011,15.40,15.75,14.31,15.40,469578
11-22-2011,15.01,16.79,15.01,16.12,211250
11-23-2011,15.75,15.99,14.50,14.77,430468
11-25-2011,14.07,14.26,13.10,13.50,347209
11-28-2011,13.89,13.89,12.84,13.00,925290
11-29-2011,13.19,13.19,11.56,11.80,1676366
11-30-2011,12.30,12.30,10.77,11.56,1037028
12-01-2011,11.87,12.56,11.16,12.55,403739
12-02-2011,13.22,14.70,13.18,14.01,497501
12-05-2011,16.00,16.74,13.26,13.63,872369
12-06-2011,13.47,14.22,13.37,14.01,372380
12-07-2011,13.97,15.77,13.89,15.61,419258
12-08-2011,15.75,16.15,15.22,16.15,227640
12-09-2011,16.25,16.25,15.45,16.03,199539
12-12-2011,15.85,16.60,14.70,16.49,224338
12-13-2011,17.97,17.97,16.17,16.75,467411
12-14-2011,16.52,17.28,15.45,16.42,177950
12-15-2011,16.72,16.90,15.70,16.00,113351
12-16-2011,16.67,16.67,15.21,15.73,1563849
12-19-2011,16.15,16.25,15.00,15.65,121674
12-20-2011,16.01,16.08,15.35,15.90,82480
12-21-2011,15.77,16.02,15.51,16.00,404822
12-22-2011,16.13,16.40,15.62,16.08,130492
12-23-2011,16.08,16.54,15.52,16.53,173046
12-27-2011,16.37,16.75,16.19,16.69,196462
12-28-2011,16.74,16.74,16.24,16.39,151526
12-29-2011,16.30,16.30,15.37,15.99,204663
12-30-2011,15.95,16.19,15.81,16.10,240142
01-03-2012,16.40,16.40,14.79,15.09,256938
01-04-2012,14.87,15.00,13.79,14.09,339292
01-05-2012,13.98,14.10,13.49,13.79,282906
01-06-2012,13.71,13.71,12.81,13.23,382148
01-09-2012,13.24,13.42,12.98,13.41,161346
01-10-2012,13.49,14.33,13.37,13.86,316229
01-11-2012,13.75,14.12,13.50,14.03,252682
01-12-2012,13.92,15.06,13.81,15.03,157140
01-13-2012,14.80,15.15,14.33,15.10,73959
01-17-2012,15.18,15.99,15.09,15.75,153607
01-18-2012,15.84,15.95,15.63,15.90,80147
01-19-2012,15.99,16.29,15.70,15.90,128891
01-20-2012,15.94,15.97,15.28,15.70,126740
01-23-2012,15.67,16.05,15.05,15.80,143688
01-24-2012,15.69,16.25,15.11,15.80,181219
01-25-2012,15.70,16.24,15.60,15.64,231047
01-26-2012,15.85,15.85,15.39,15.59,322535
01-27-2012,15.59,15.85,15.20,15.20,166176
01-30-2012,15.18,15.40,14.61,14.72,86015
01-31-2012,14.88,14.89,14.64,14.74,105079
02-01-2012,14.74,14.82,13.90,14.23,142112
02-02-2012,14.19,14.74,14.03,14.68,112309
02-03-2012,14.79,15.40,14.65,14.91,216129
02-06-2012,14.87,14.90,14.41,14.73,93004
02-07-2012,14.68,15.99,14.61,15.43,222978
02-08-2012,15.50,16.42,15.11,16.27,179448
02-09-2012,16.27,16.30,15.79,16.05,95043
02-10-2012,16.01,16.34,15.87,16.14,102807
02-13-2012,16.22,16.50,16.01,16.41,211640
02-14-2012,16.43,16.49,15.48,15.61,141418
02-15-2012,15.62,15.62,14.96,15.05,178639
02-16-2012,15.04,15.64,14.81,15.41,77683
02-17-2012,15.50,15.50,14.91,14.92,227284
02-21-2012,14.92,15.50,14.81,14.93,141024
02-22-2012,14.90,14.90,14.35,14.46,186318
02-23-2012,15.71,17.58,14.47,15.47,1110061
02-24-2012,15.47,15.83,15.00,15.61,156864
02-27-2012,15.50,16.16,15.50,15.84,63499
02-28-2012,15.84,16.10,15.30,15.98,97850
02-29-2012,15.95,16.31,15.73,16.00,48906
03-01-2012,15.99,16.22,15.24,16.12,50806
03-02-2012,16.21,16.75,15.21,15.25,159774
03-05-2012,15.32,15.93,14.50,15.61,138319
03-06-2012,15.51,15.51,14.64,14.79,109540
03-07-2012,15.05,15.58,14.59,15.50,104878
03-08-2012,15.84,15.99,15.21,15.48,201537
03-09-2012,15.44,15.66,15.00,15.50,77431
03-12-2012,15.44,15.97,15.24,15.93,85584
03-13-2012,15.99,16.11,15.58,16.04,112679
03-14-2012,15.92,15.92,15.64,15.73,83838
03-15-2012,15.75,16.20,15.40,16.13,144940
03-16-2012,16.29,16.31,15.86,16.08,118675
03-19-2012,16.51,18.38,16.26,17.83,213359
03-20-2012,17.73,18.15,17.20,17.28,334047
03-21-2012,17.44,17.44,16.58,16.80,83120
03-22-2012,16.69,17.07,16.49,17.04,173475
03-23-2012,16.99,17.10,16.68,17.06,137371
03-26-2012,17.18,17.79,16.95,17.57,177600
03-27-2012,17.54,17.97,17.50,17.90,128292
03-28-2012,17.87,19.77,17.87,18.91,269664
03-29-2012,18.87,19.82,17.00,17.97,381440
03-30-2012,18.07,19.24,18.07,18.89,344546
04-02-2012,18.78,18.78,17.45,18.35,132291
04-03-2012,18.30,18.42,17.37,17.49,89641
04-04-2012,17.25,17.62,16.65,16.86,127359
04-05-2012,16.84,17.66,16.00,16.02,72099
04-09-2012,16.00,16.23,14.88,14.95,178104
04-10-2012,15.05,15.47,14.50,14.52,118578
04-11-2012,14.60,15.22,14.50,14.58,68051
04-12-2012,14.56,15.34,14.56,15.12,55828
04-13-2012,15.03,15.59,14.62,14.64,101113
04-16-2012,14.66,15.47,14.66,14.99,232201
04-17-2012,15.03,15.81,15.03,15.42,152757
04-18-2012,15.36,15.49,14.91,15.26,48550
04-19-2012,15.26,15.60,14.64,14.67,156412
04-20-2012,15.14,15.14,14.50,14.61,165236
04-23-2012,14.50,14.67,14.25,14.63,222377
04-24-2012,14.65,14.65,13.75,14.26,296922
04-25-2012,14.34,14.41,13.57,13.96,222249
04-26-2012,13.89,14.22,13.26,13.88,392663
04-27-2012,14.25,15.50,13.95,14.06,530347
04-30-2012,14.10,14.45,13.60,13.95,236088
05-01-2012,13.92,13.99,13.09,13.54,362247
05-02-2012,13.43,14.42,12.88,14.27,458641
05-03-2012,15.39,15.44,13.71,14.11,387089
05-04-2012,13.94,14.50,13.88,14.07,119174
05-07-2012,14.03,14.22,13.75,14.00,92537
05-08-2012,13.91,14.56,13.64,14.22,209285
05-09-2012,17.00,17.00,13.61,14.56,326233
05-10-2012,14.95,14.95,14.24,14.58,93895
05-11-2012,14.58,14.75,13.89,14.41,324353
05-14-2012,14.36,14.67,13.90,14.01,140497
05-15-2012,13.70,13.70,12.91,13.14,613855
05-16-2012,13.30,13.75,13.06,13.53,3281603
05-17-2012,13.17,13.56,12.92,13.35,932569
05-18-2012,13.59,13.59,13.00,13.07,492646
05-21-2012,13.15,13.15,12.75,12.89,1099357
05-22-2012,13.00,13.00,12.25,12.70,950691
05-23-2012,12.50,12.60,12.00,12.25,818344
05-24-2012,12.15,12.57,11.81,12.40,457492
05-25-2012,12.32,12.86,12.06,12.40,311593
05-29-2012,12.40,12.46,11.78,12.11,567913
05-30-2012,12.46,12.50,11.77,12.26,952513
05-31-2012,12.08,12.77,12.08,12.77,1587725
06-01-2012,12.44,12.55,12.02,12.54,445918
06-04-2012,12.59,13.01,12.34,12.98,340400
06-05-2012,13.07,13.45,12.84,13.43,293725
06-06-2012,13.46,14.00,13.21,14.00,273473
06-07-2012,14.20,14.20,13.60,13.69,357927
06-08-2012,13.64,14.00,13.17,13.96,190256
06-11-2012,14.00,14.26,13.49,13.92,383610
06-12-2012,13.99,14.09,13.73,14.03,264372
