Date,Open,High,Low,Close,Volume
11-13-1998,-4.03,-4.03,-4.04,-4.04,0
11-16-1998,-4.71,-4.71,-4.71,-4.71,0
11-17-1998,-3.91,-3.89,-3.91,-3.89,0
11-18-1998,-4.43,-4.43,-4.49,-4.47,0
11-19-1998,-4.67,-4.64,-4.67,-4.67,0
11-20-1998,-4.18,-4.17,-4.18,-4.17,0
11-23-1998,-4.17,-4.09,-4.17,-4.09,0
11-24-1998,-4.04,-4.04,-4.07,-4.07,0
11-25-1998,-4.04,-4.04,-4.08,-4.08,0
11-27-1998,-4.04,-4.04,-4.04,-4.04,0
11-30-1998,-4.07,-4.05,-4.12,-4.05,0
12-01-1998,-4.05,-4.05,-4.09,-4.09,0
12-02-1998,-4.12,-4.12,-4.14,-4.14,0
12-03-1998,-4.03,-4.03,-4.03,-4.03,0
12-04-1998,-4.05,-4.03,-4.05,-4.05,0
12-07-1998,-4.07,-4.04,-4.12,-4.12,0
12-08-1998,-4.07,-4.01,-4.07,-4.02,0
12-09-1998,-4.07,-4.04,-4.07,-4.04,0
12-10-1998,-4.12,-4.09,-4.12,-4.12,0
12-11-1998,-4.14,-4.13,-4.17,-4.17,0
12-14-1998,-4.12,-4.09,-4.14,-4.14,0
12-15-1998,-4.17,-4.12,-4.18,-4.12,0
12-16-1998,-4.09,-4.04,-4.09,-4.04,0
12-17-1998,-4.04,-4.03,-4.04,-4.04,0
12-18-1998,-4.17,-4.14,-4.17,-4.14,0
12-21-1998,-4.14,-4.14,-4.15,-4.15,0
12-22-1998,-3.95,-3.89,-3.95,-3.89,0
12-23-1998,-3.91,-3.88,-3.91,-3.89,0
12-24-1998,-3.91,-3.90,-3.94,-3.90,0
12-28-1998,-4.16,-4.14,-4.16,-4.14,0
12-29-1998,-4.15,-4.11,-4.16,-4.11,0
12-30-1998,-4.13,-4.13,-4.19,-4.19,0
12-31-1998,-4.12,-4.08,-4.12,-4.10,0
01-04-1999,-4.08,-4.08,-4.08,-4.08,0
01-05-1999,-4.18,-4.11,-4.18,-4.11,0
01-06-1999,-4.26,-4.26,-4.26,-4.26,0
01-07-1999,-4.31,-4.31,-4.42,-4.42,0
01-08-1999,-4.37,-4.37,-4.42,-4.38,0
01-11-1999,-4.46,-4.46,-4.46,-4.46,0
01-12-1999,-4.37,-4.37,-4.37,-4.37,0
01-13-1999,-4.24,-4.24,-4.24,-4.24,0
01-14-1999,-4.19,-4.16,-4.22,-4.22,0
01-15-1999,-4.24,-4.22,-4.24,-4.22,0
01-19-1999,-4.22,-4.22,-4.26,-4.26,0
01-20-1999,-4.19,-4.14,-4.19,-4.17,0
01-21-1999,-4.10,-4.10,-4.12,-4.12,0
01-22-1999,-4.12,-4.12,-4.12,-4.12,0
01-25-1999,-4.12,-4.12,-4.12,-4.12,0
01-26-1999,-4.12,-4.12,-4.12,-4.12,0
01-27-1999,-4.12,-4.09,-4.12,-4.09,0
01-28-1999,-4.18,-4.14,-4.18,-4.14,0
01-29-1999,-4.16,-4.16,-4.18,-4.16,0
02-01-1999,-4.06,-4.06,-4.06,-4.06,0
02-02-1999,-3.96,-3.94,-3.96,-3.94,0
02-03-1999,-4.01,-4.01,-4.01,-4.01,0
02-04-1999,-3.99,-3.99,-3.99,-3.99,0
02-05-1999,-4.11,-4.11,-4.11,-4.11,0
02-08-1999,-4.09,-4.09,-4.11,-4.11,0
02-09-1999,-4.06,-3.98,-4.06,-3.98,0
02-10-1999,-3.96,-3.96,-3.96,-3.96,0
02-11-1999,-3.96,-3.96,-3.96,-3.96,0
02-12-1999,-4.01,-4.01,-4.01,-4.01,0
02-16-1999,-3.83,-3.83,-3.89,-3.89,0
02-17-1999,-4.09,-4.05,-4.09,-4.05,0
02-18-1999,-4.00,-4.00,-4.01,-4.01,0
02-19-1999,-3.89,-3.89,-3.89,-3.89,0
02-22-1999,-3.99,-3.99,-3.99,-3.99,0
02-23-1999,-3.89,-3.89,-3.89,-3.89,0
02-24-1999,-3.95,-3.95,-3.95,-3.95,0
02-25-1999,-3.99,-3.93,-3.99,-3.93,0
02-26-1999,-3.92,-3.92,-3.92,-3.92,0
03-01-1999,-3.90,-3.90,-3.91,-3.91,0
03-02-1999,-3.86,-3.86,-3.86,-3.86,0
03-03-1999,-3.91,-3.91,-3.91,-3.91,0
03-04-1999,-3.94,-3.91,-3.94,-3.91,0
03-05-1999,-3.83,-3.83,-3.83,-3.83,0
03-08-1999,-3.83,-3.83,-3.83,-3.83,0
03-09-1999,-4.06,-4.06,-4.06,-4.06,0
03-10-1999,-4.11,-4.11,-4.14,-4.14,0
03-11-1999,-4.14,-4.14,-4.14,-4.14,0
03-12-1999,-4.11,-4.11,-4.11,-4.11,0
03-15-1999,-3.84,-3.84,-3.85,-3.85,0
03-16-1999,-3.90,-3.90,-3.91,-3.91,0
03-17-1999,-3.88,-3.86,-3.90,-3.90,0
03-18-1999,-3.92,-3.92,-3.94,-3.94,0
03-19-1999,-3.99,-3.99,-4.00,-4.00,0
03-22-1999,-3.92,-3.92,-3.96,-3.95,0
03-23-1999,-3.96,-3.96,-3.96,-3.96,0
03-24-1999,-3.99,-3.96,-3.99,-3.96,0
03-25-1999,-3.99,-3.96,-3.99,-3.96,0
03-26-1999,-3.99,-3.99,-4.05,-4.03,0
03-29-1999,-4.00,-4.00,-4.00,-4.00,0
03-30-1999,-4.08,-4.08,-4.08,-4.08,0
03-31-1999,-4.09,-4.06,-4.09,-4.06,0
04-01-1999,-4.19,-4.11,-4.19,-4.15,0
04-05-1999,-4.16,-4.16,-4.18,-4.16,0
04-06-1999,-4.00,-4.00,-4.00,-4.00,0
04-07-1999,-4.00,-4.00,-4.04,-4.01,0
04-08-1999,-4.05,-4.04,-4.05,-4.04,0
04-09-1999,-4.16,-4.16,-4.16,-4.16,0
04-12-1999,-4.09,-4.09,-4.13,-4.11,0
04-13-1999,-4.21,-4.21,-4.21,-4.21,0
04-14-1999,-4.21,-4.21,-4.23,-4.23,0
04-15-1999,-4.23,-4.23,-4.23,-4.23,0
04-16-1999,-4.21,-4.21,-4.23,-4.23,0
04-19-1999,-4.24,-4.24,-4.24,-4.24,0
04-20-1999,-4.23,-4.23,-4.24,-4.23,0
04-21-1999,-4.43,-4.43,-4.44,-4.43,0
04-22-1999,-4.35,-4.34,-4.36,-4.36,0
04-23-1999,-4.26,-4.21,-4.28,-4.26,0
04-26-1999,-4.19,-4.19,-4.19,-4.19,0
04-27-1999,-4.31,-4.25,-4.31,-4.31,0
04-28-1999,-4.31,-4.31,-4.33,-4.33,0
04-29-1999,-4.26,-4.24,-4.28,-4.28,0
04-30-1999,-4.35,-4.26,-4.35,-4.26,0
05-03-1999,-4.11,-4.11,-4.16,-4.14,0
05-04-1999,-4.11,-4.11,-4.11,-4.11,0
05-05-1999,-4.30,-4.28,-4.32,-4.31,0
05-06-1999,-4.24,-4.17,-4.24,-4.18,0
05-07-1999,-4.13,-4.13,-4.13,-4.13,0
05-10-1999,-4.12,-4.12,-4.12,-4.12,0
05-11-1999,-4.15,-4.15,-4.15,-4.15,0
05-12-1999,-4.20,-4.20,-4.20,-4.20,0
05-13-1999,-4.20,-4.20,-4.20,-4.20,0
05-14-1999,-4.21,-4.21,-4.24,-4.24,0
05-17-1999,-4.21,-4.21,-4.21,-4.21,0
05-18-1999,-4.51,-4.51,-4.51,-4.51,0
05-19-1999,-4.61,-4.60,-4.62,-4.62,0
05-20-1999,-4.54,-4.54,-4.54,-4.54,0
05-21-1999,-4.46,-4.43,-4.46,-4.46,0
05-24-1999,-4.58,-4.58,-4.58,-4.58,0
05-25-1999,-4.50,-4.50,-4.50,-4.50,0
05-26-1999,-4.50,-4.50,-4.51,-4.50,0
05-27-1999,-4.60,-4.60,-4.60,-4.60,0
05-28-1999,-4.57,-4.57,-4.57,-4.57,0
06-01-1999,-4.60,-4.60,-4.60,-4.60,0
06-02-1999,-4.67,-4.67,-4.67,-4.67,0
06-03-1999,-4.60,-4.60,-4.60,-4.60,0
06-04-1999,-4.58,-4.56,-4.58,-4.56,0
06-07-1999,-4.68,-4.68,-4.68,-4.68,0
06-08-1999,-4.63,-4.63,-4.63,-4.63,0
06-09-1999,-4.62,-4.61,-4.66,-4.61,0
06-10-1999,-4.61,-4.61,-4.61,-4.61,0
06-11-1999,-4.64,-4.64,-4.64,-4.64,0
06-14-1999,-4.61,-4.61,-4.61,-4.61,0
06-15-1999,-4.58,-4.58,-4.61,-4.61,0
06-16-1999,-4.61,-4.61,-4.61,-4.61,0
06-17-1999,-4.53,-4.53,-4.53,-4.53,0
06-18-1999,-4.56,-4.53,-4.56,-4.53,0
06-21-1999,-4.57,-4.53,-4.57,-4.53,0
06-22-1999,-4.71,-4.71,-4.71,-4.71,0
06-23-1999,-4.78,-4.78,-4.78,-4.78,0
06-24-1999,-4.83,-4.81,-4.83,-4.81,0
06-25-1999,-4.80,-4.78,-4.80,-4.78,0
06-28-1999,-4.97,-4.97,-4.97,-4.97,0
06-29-1999,-4.92,-4.92,-4.92,-4.92,0
06-30-1999,-4.89,-4.82,-4.89,-4.82,0
07-01-1999,-4.87,-4.83,-4.87,-4.86,0
07-02-1999,-4.89,-4.89,-4.89,-4.89,0
07-06-1999,-4.89,-4.89,-4.89,-4.89,0
07-07-1999,-4.83,-4.83,-4.87,-4.87,0
07-08-1999,-4.90,-4.90,-4.90,-4.90,0
07-09-1999,-4.87,-4.87,-4.87,-4.87,0
07-12-1999,-4.92,-4.92,-4.92,-4.92,0
07-13-1999,-5.30,-5.29,-5.30,-5.29,0
07-14-1999,-5.29,-5.29,-5.30,-5.30,0
07-15-1999,-5.30,-5.30,-5.30,-5.30,0
07-16-1999,-5.40,-5.40,-5.40,-5.40,0
07-19-1999,-5.27,-5.27,-5.27,-5.27,0
07-20-1999,-5.42,-5.42,-5.44,-5.44,0
07-21-1999,-5.74,-5.74,-5.74,-5.74,0
07-22-1999,-5.62,-5.62,-5.65,-5.65,0
07-23-1999,-5.75,-5.75,-5.75,-5.75,0
07-26-1999,-5.65,-5.65,-5.65,-5.65,0
07-27-1999,-5.55,-5.55,-5.55,-5.55,0
07-28-1999,-5.55,-5.55,-5.55,-5.55,0
07-29-1999,-5.60,-5.60,-5.61,-5.60,0
07-30-1999,-5.61,-5.61,-5.61,-5.61,0
08-02-1999,-5.61,-5.61,-5.61,-5.61,0
08-03-1999,-5.51,-5.51,-5.51,-5.51,0
08-04-1999,-5.40,-5.38,-5.41,-5.41,0
08-05-1999,-5.46,-5.46,-5.46,-5.46,0
08-06-1999,-5.35,-5.35,-5.35,-5.35,0
08-09-1999,-5.35,-5.35,-5.36,-5.35,0
08-10-1999,-5.34,-5.32,-5.34,-5.34,0
08-11-1999,-5.44,-5.42,-5.44,-5.44,0
08-12-1999,-5.27,-5.26,-5.29,-5.29,0
08-13-1999,-5.27,-5.25,-5.29,-5.25,0
08-16-1999,-5.32,-5.32,-5.35,-5.32,0
08-17-1999,-5.10,-5.10,-5.10,-5.10,0
08-18-1999,-5.17,-5.15,-5.17,-5.15,0
08-19-1999,-5.15,-5.15,-5.15,-5.15,0
08-20-1999,-5.17,-5.17,-5.18,-5.18,0
08-23-1999,-5.28,-5.28,-5.28,-5.28,0
08-24-1999,-5.23,-5.23,-5.23,-5.23,0
08-25-1999,-5.28,-5.28,-5.28,-5.28,0
08-26-1999,-5.21,-5.21,-5.21,-5.21,0
08-27-1999,-5.21,-5.21,-5.21,-5.21,0
08-30-1999,-5.21,-5.21,-5.21,-5.21,0
08-31-1999,-5.08,-5.08,-5.08,-5.08,0
09-01-1999,-5.05,-5.03,-5.05,-5.03,0
09-02-1999,-4.80,-4.80,-4.82,-4.82,0
09-03-1999,-4.86,-4.85,-4.86,-4.85,0
09-07-1999,-4.76,-4.76,-4.76,-4.76,0
09-08-1999,-5.01,-5.01,-5.01,-5.01,0
09-09-1999,-5.01,-5.01,-5.01,-5.01,0
09-10-1999,-4.85,-4.83,-4.85,-4.83,0
09-13-1999,-4.93,-4.93,-4.93,-4.93,0
09-14-1999,-4.71,-4.71,-4.71,-4.71,0
09-15-1999,-4.65,-4.65,-4.66,-4.66,0
09-16-1999,-4.64,-4.64,-4.64,-4.64,0
09-17-1999,-4.51,-4.48,-4.52,-4.48,0
09-20-1999,-4.71,-4.65,-4.71,-4.65,0
09-21-1999,-4.67,-4.67,-4.67,-4.67,0
09-22-1999,-4.67,-4.67,-4.70,-4.70,0
09-23-1999,-4.62,-4.62,-4.69,-4.69,0
09-24-1999,-4.69,-4.69,-4.69,-4.69,0
09-27-1999,-4.73,-4.73,-4.73,-4.73,0
09-28-1999,-4.69,-4.69,-4.69,-4.69,0
09-29-1999,-5.05,-5.01,-5.05,-5.04,0
09-30-1999,-5.06,-5.01,-5.06,-5.01,0
10-01-1999,-5.06,-5.06,-5.06,-5.06,0
10-04-1999,-5.16,-5.16,-5.18,-5.18,0
10-05-1999,-5.21,-5.18,-5.21,-5.21,0
10-06-1999,-5.21,-5.13,-5.21,-5.13,0
10-07-1999,-5.03,-5.03,-5.03,-5.03,0
