Date,Open,High,Low,Close,Volume
10-30-2001,18.02,18.20,17.95,18.20,51065928
10-31-2001,18.29,18.91,18.25,18.63,12478726
11-01-2001,18.80,18.95,18.60,18.76,3892032
11-02-2001,18.71,19.18,18.70,19.09,4077685
11-05-2001,19.35,19.35,19.02,19.08,2579925
11-06-2001,19.11,19.69,18.78,19.60,3475340
11-07-2001,19.47,19.47,18.91,19.24,2588243
11-08-2001,19.13,19.18,18.69,19.00,3382067
11-09-2001,18.91,18.91,18.24,18.69,2773888
11-12-2001,18.69,19.07,18.55,19.07,945970
11-13-2001,19.31,19.31,18.92,19.02,1488976
11-14-2001,19.58,20.47,19.38,20.44,4556180
11-15-2001,20.33,20.80,20.22,20.80,2433388
11-16-2001,20.87,21.00,20.60,20.82,2337193
11-19-2001,20.80,21.17,20.64,21.13,2007706
11-20-2001,21.05,21.91,21.02,21.71,2379447
11-21-2001,21.67,22.11,21.54,21.81,2367539
11-23-2001,21.78,21.96,21.78,21.88,288567
11-26-2001,22.11,22.34,21.49,21.60,1803629
11-27-2001,21.71,22.18,21.48,21.62,1108919
11-28-2001,21.60,21.89,21.16,21.78,629293
11-29-2001,22.02,22.29,21.84,22.25,1172073
11-30-2001,22.29,22.69,22.16,22.62,2786474
12-03-2001,22.60,22.83,22.29,22.83,1261302
12-04-2001,22.85,22.91,22.56,22.91,776958
12-05-2001,23.05,23.09,21.67,21.74,1149824
12-06-2001,21.76,21.80,21.07,21.57,837417
12-07-2001,21.49,21.67,21.18,21.62,665705
12-10-2001,21.62,21.74,21.45,21.47,204286
12-11-2001,21.47,21.66,21.23,21.45,950917
12-12-2001,21.47,21.47,21.29,21.29,496467
12-13-2001,21.18,21.40,20.87,21.40,1014520
12-14-2001,21.36,21.40,21.07,21.36,623227
12-17-2001,21.40,21.94,21.32,21.91,413306
12-18-2001,22.02,22.02,21.90,21.94,628847
12-19-2001,21.94,21.96,21.25,21.36,784822
12-20-2001,21.25,21.36,20.82,20.87,1138359
12-21-2001,20.82,20.82,20.13,20.36,3523440
12-24-2001,20.36,20.44,20.29,20.29,987324
12-26-2001,20.40,20.68,20.40,20.58,1172298
12-27-2001,20.62,21.05,20.62,20.87,1893531
12-28-2001,20.89,21.58,20.89,21.58,1579774
12-31-2001,21.67,22.36,21.67,22.02,1500664
01-02-2002,22.10,22.10,21.67,21.71,1534601
01-03-2002,21.71,21.93,21.56,21.56,571755
01-04-2002,21.58,21.71,20.87,21.29,1820262
01-07-2002,21.29,21.30,20.91,20.92,1520888
01-08-2002,20.84,21.29,20.64,21.09,954061
01-09-2002,21.16,21.47,21.13,21.18,765719
01-10-2002,21.18,22.58,21.18,22.29,2456541
01-11-2002,22.29,23.03,22.20,22.91,1101499
01-14-2002,22.96,23.31,22.62,23.09,1234106
01-15-2002,23.00,23.00,21.98,22.56,972718
01-16-2002,22.45,23.00,22.11,22.69,1191179
01-17-2002,22.69,22.71,22.25,22.40,901246
01-18-2002,22.27,22.69,22.17,22.68,789319
01-22-2002,22.57,23.08,22.27,23.03,1247815
01-23-2002,22.87,23.49,22.87,23.25,1463127
01-24-2002,23.16,23.62,23.16,23.49,1349855
01-25-2002,23.58,24.07,23.54,23.97,1589214
01-28-2002,23.76,24.25,23.67,23.91,1011375
01-29-2002,23.60,23.91,23.56,23.67,1103299
01-30-2002,23.36,23.67,23.11,23.37,825729
01-31-2002,23.40,23.67,23.05,23.67,1621578
02-01-2002,23.69,24.07,23.58,23.65,1622031
02-04-2002,23.57,23.58,22.87,23.23,1044415
02-05-2002,23.27,24.14,22.91,24.13,1445371
02-06-2002,25.14,25.78,24.71,25.14,4542697
02-07-2002,25.14,26.14,25.06,25.63,1618434
02-08-2002,25.69,25.81,25.54,25.67,1804977
02-11-2002,25.60,25.85,25.54,25.61,1413905
02-12-2002,25.36,25.41,25.16,25.32,2122103
02-13-2002,25.41,25.47,24.85,24.94,1438855
02-14-2002,25.01,25.25,24.81,25.10,1405590
02-15-2002,25.09,25.14,24.94,24.96,1092059
02-19-2002,24.92,24.92,23.78,24.19,2305055
02-20-2002,23.94,24.34,23.91,24.03,1582246
02-21-2002,24.00,25.16,23.89,24.72,1715301
02-22-2002,24.67,25.41,24.67,25.07,1317042
02-25-2002,25.01,25.58,24.95,25.38,1033850
02-26-2002,25.58,26.23,25.58,25.92,1705411
02-27-2002,25.85,26.03,25.63,25.80,1978260
02-28-2002,25.72,25.92,25.52,25.85,1514820
03-01-2002,25.74,25.83,25.67,25.83,1140382
03-04-2002,25.72,25.98,24.67,24.69,2605772
03-05-2002,24.62,24.82,24.20,24.32,1680690
03-06-2002,24.36,25.41,24.25,25.07,1553480
03-07-2002,25.23,25.45,25.01,25.03,778754
03-08-2002,25.04,25.23,24.69,25.03,1511226
03-11-2002,24.92,25.21,24.78,25.18,1049810
03-12-2002,25.09,25.14,24.94,25.13,793361
03-13-2002,25.12,25.25,24.98,25.16,819437
03-14-2002,25.12,25.38,25.03,25.14,864387
03-15-2002,25.14,25.46,25.14,25.32,927540
03-18-2002,25.25,26.01,25.25,25.94,1119484
03-19-2002,25.85,25.98,25.09,25.09,1016544
03-20-2002,25.05,25.25,24.81,25.09,991597
03-21-2002,25.14,25.68,25.14,25.49,1129369
03-22-2002,25.54,25.83,25.21,25.27,599403
03-25-2002,25.16,25.36,25.09,25.18,582546
03-26-2002,25.18,25.25,24.81,24.91,473991
03-27-2002,24.91,25.81,24.88,25.81,1259275
03-28-2002,25.81,26.01,25.38,25.61,1243095
04-01-2002,25.73,25.96,25.58,25.92,1316815
04-02-2002,26.01,26.70,25.99,26.70,1431663
04-03-2002,26.70,26.87,26.33,26.41,1417057
04-04-2002,26.36,27.03,26.34,27.03,1497964
04-05-2002,27.05,27.83,26.93,27.55,1664956
04-08-2002,27.55,27.55,27.11,27.31,1361767
04-09-2002,27.30,27.36,27.03,27.07,1068236
04-10-2002,27.07,27.33,27.05,27.23,1653945
04-11-2002,27.19,27.27,26.82,27.07,1236354
04-12-2002,27.01,27.23,26.96,26.98,1355921
04-15-2002,27.12,27.36,26.97,27.12,932711
04-16-2002,27.41,27.81,27.40,27.68,1972644
04-17-2002,27.67,28.92,27.67,28.77,2304830
04-18-2002,29.32,30.37,29.25,30.37,4569668
04-19-2002,30.26,30.52,30.08,30.42,2627127
04-22-2002,30.37,30.59,29.95,29.97,1936010
04-23-2002,29.37,29.54,28.88,29.34,2253136
04-24-2002,29.23,30.14,29.03,30.14,1625178
04-25-2002,30.37,31.69,30.37,31.68,4016549
04-26-2002,31.68,32.04,31.37,31.46,2501038
04-29-2002,29.14,30.36,28.70,29.65,15772263
04-30-2002,29.74,30.70,29.70,30.34,6549515
05-01-2002,30.17,32.04,30.13,31.48,8156499
05-02-2002,31.43,31.86,31.03,31.63,4706542
05-03-2002,31.68,32.17,31.66,31.97,2631171
05-06-2002,31.90,31.90,30.70,30.92,4022842
