Date,Open,High,Low,Close,Volume
04-29-2010,18.11,18.44,17.06,17.70,3800227
04-30-2010,17.75,17.94,17.25,17.91,490866
05-03-2010,18.00,18.20,17.76,17.90,92023
05-04-2010,17.99,17.99,17.07,17.33,126142
05-05-2010,17.25,17.50,16.52,16.70,89734
05-06-2010,16.93,16.98,14.74,15.25,170172
05-07-2010,15.25,15.30,14.03,14.50,140930
05-10-2010,15.48,15.97,14.55,14.84,93259
05-11-2010,14.84,15.30,14.75,15.00,71442
05-12-2010,15.00,15.59,15.00,15.41,49134
05-13-2010,15.57,15.63,15.10,15.10,33293
05-14-2010,15.10,15.20,14.70,14.70,69653
05-17-2010,14.64,14.79,13.80,14.11,151123
05-18-2010,14.11,14.52,13.91,14.45,293765
05-19-2010,14.25,14.85,14.13,14.75,242500
05-20-2010,14.58,14.89,14.10,14.26,59462
05-21-2010,14.06,15.00,14.01,14.78,131057
05-24-2010,14.67,14.80,14.47,14.47,34607
05-25-2010,14.12,14.50,13.77,13.85,171699
05-26-2010,13.90,14.25,13.85,13.90,241833
05-27-2010,14.25,15.10,14.15,15.01,68162
05-28-2010,15.00,15.00,14.54,14.89,87196
06-01-2010,14.72,15.00,14.72,14.95,34863
06-02-2010,15.00,15.42,15.00,15.28,23162
06-03-2010,15.23,15.50,15.12,15.35,26244
06-04-2010,14.98,15.34,14.51,15.01,83619
06-07-2010,15.00,15.52,14.35,14.48,48757
06-08-2010,14.53,15.00,14.23,14.41,58091
06-09-2010,14.42,14.50,13.95,14.00,42952
06-10-2010,14.31,14.49,14.06,14.24,49272
06-11-2010,14.26,14.52,14.26,14.38,12677
06-14-2010,14.32,14.90,14.32,14.50,102959
06-15-2010,14.51,14.68,14.36,14.57,39458
06-16-2010,14.50,14.90,14.35,14.71,24604
06-17-2010,14.72,15.05,14.71,14.79,13798
06-18-2010,14.87,14.98,14.67,14.75,57651
06-21-2010,14.86,15.10,14.56,14.78,41757
06-22-2010,14.72,15.00,14.70,14.72,76503
06-23-2010,14.66,15.04,14.51,14.73,86083
06-24-2010,14.63,15.00,14.34,14.46,89456
06-25-2010,14.55,14.55,13.75,13.80,781678
06-28-2010,13.98,14.20,13.88,14.14,87776
06-29-2010,14.03,14.03,13.80,13.91,41971
06-30-2010,14.01,14.01,13.78,13.81,49261
07-01-2010,13.83,13.85,13.30,13.44,37688
07-02-2010,13.51,13.91,13.42,13.56,111295
07-06-2010,13.51,13.61,13.39,13.43,68107
07-07-2010,13.48,13.56,13.15,13.25,143959
07-08-2010,13.32,13.32,12.75,12.78,110299
07-09-2010,12.80,12.83,12.41,12.69,89802
07-12-2010,12.68,13.31,12.68,13.13,86338
07-13-2010,13.23,13.40,13.13,13.39,52085
07-14-2010,13.50,13.71,13.25,13.30,51338
07-15-2010,13.40,13.40,13.10,13.17,17463
07-16-2010,13.08,13.41,13.00,13.06,36042
07-19-2010,13.08,13.29,12.99,13.14,63421
07-20-2010,13.15,13.30,12.66,12.99,55653
07-21-2010,13.00,13.00,12.50,12.53,30432
07-22-2010,12.68,12.85,12.53,12.82,57694
07-23-2010,12.74,12.83,12.54,12.81,33260
07-26-2010,12.85,12.85,12.40,12.47,81757
07-27-2010,12.54,12.64,12.45,12.64,23903
07-28-2010,12.60,12.60,12.35,12.42,32126
07-29-2010,12.51,12.70,12.30,12.35,27320
07-30-2010,12.32,12.52,12.32,12.41,25216
08-02-2010,12.58,12.70,12.27,12.54,70993
08-03-2010,12.52,13.00,12.52,12.75,62830
08-04-2010,12.88,13.65,12.85,13.65,176248
08-05-2010,13.71,13.73,13.25,13.25,39483
08-06-2010,13.13,13.24,13.00,13.03,27633
08-09-2010,13.15,13.46,13.15,13.36,90840
08-10-2010,13.25,13.35,13.07,13.15,79483
08-11-2010,10.52,10.76,9.62,9.94,1249106
08-12-2010,9.85,10.40,9.66,10.22,219497
08-13-2010,10.25,10.70,10.19,10.45,123305
08-16-2010,10.57,10.91,10.45,10.80,73968
08-17-2010,11.00,11.00,10.68,10.84,77258
08-18-2010,10.90,10.93,10.55,10.92,28844
08-19-2010,10.89,11.00,10.25,10.53,89962
08-20-2010,10.45,10.98,10.01,10.82,61331
08-23-2010,10.67,11.35,10.55,10.69,132436
08-24-2010,10.49,10.49,10.06,10.39,47991
08-25-2010,10.30,10.50,10.25,10.50,19231
08-26-2010,10.64,10.87,10.47,10.58,38014
08-27-2010,10.65,11.14,10.63,11.14,35881
08-30-2010,11.11,11.29,11.00,11.14,40343
08-31-2010,11.19,11.30,11.00,11.13,41904
09-01-2010,11.25,11.45,11.11,11.40,41750
09-02-2010,11.40,11.40,11.20,11.36,12157
09-03-2010,11.47,11.48,11.35,11.45,23086
09-07-2010,11.36,11.42,11.03,11.08,31213
09-08-2010,11.12,11.33,11.06,11.28,14258
09-09-2010,11.41,11.41,11.15,11.22,11461
09-10-2010,11.26,11.30,11.10,11.23,60784
09-13-2010,11.44,11.98,11.35,11.93,52447
09-14-2010,11.88,12.00,11.36,11.54,26661
09-15-2010,11.47,11.91,11.32,11.63,13077
09-16-2010,11.55,11.78,11.38,11.40,18345
09-17-2010,11.55,11.69,11.33,11.67,24317
09-20-2010,11.70,11.94,11.70,11.94,30534
09-21-2010,11.93,12.00,11.35,11.42,117142
09-22-2010,11.33,11.46,11.00,11.31,37452
09-23-2010,11.33,11.47,11.28,11.28,67247
09-24-2010,11.47,11.75,11.38,11.40,66082
09-27-2010,11.69,12.00,11.40,11.60,77618
09-28-2010,11.66,11.87,11.51,11.66,68881
09-29-2010,11.61,12.11,11.46,11.50,47454
09-30-2010,11.57,11.61,11.31,11.36,23278
10-01-2010,11.48,11.55,11.26,11.50,41322
10-04-2010,11.47,11.49,11.01,11.02,47423
10-05-2010,11.48,11.83,11.43,11.48,60136
10-06-2010,11.48,11.53,11.27,11.45,31852
