Date,Open,High,Low,Close,Volume
10-09-2013,44.00,44.00,44.00,44.00,0
10-10-2013,54.15,55.02,51.56,52.01,29240916
10-11-2013,52.26,55.44,51.85,53.30,3245345
10-14-2013,53.18,56.50,53.00,55.64,1018737
10-15-2013,56.38,57.67,55.87,57.06,1566223
10-16-2013,57.40,57.80,55.98,57.56,2233253
10-17-2013,57.50,57.62,53.90,54.90,1985750
10-18-2013,55.30,56.56,52.91,55.13,1017167
10-21-2013,55.00,55.48,54.62,55.13,849152
10-22-2013,54.70,56.01,53.85,54.35,1071597
10-23-2013,53.25,55.00,53.12,54.82,781598
10-24-2013,54.82,55.45,54.48,55.20,629699
10-25-2013,55.05,56.52,54.31,56.38,536880
10-28-2013,56.00,57.15,55.59,57.00,518878
10-29-2013,57.00,57.22,56.04,56.33,1172602
10-30-2013,55.85,57.08,55.55,56.84,979333
10-31-2013,56.50,57.76,56.01,56.49,396138
11-01-2013,56.75,57.00,54.51,55.15,987570
11-04-2013,56.95,57.12,54.23,54.98,810072
11-05-2013,55.99,56.00,54.58,55.19,521285
11-06-2013,55.96,56.06,54.88,55.04,719279
11-07-2013,54.70,54.70,53.31,54.00,1566528
11-08-2013,56.72,56.72,54.00,55.64,708678
11-11-2013,55.15,55.85,54.16,54.28,646408
11-12-2013,54.28,55.06,53.60,54.24,523727
11-13-2013,54.48,54.48,53.77,54.07,433131
11-14-2013,54.04,54.13,53.36,53.80,362362
11-15-2013,54.00,54.52,53.40,53.52,384198
11-18-2013,53.64,54.15,51.83,52.06,395577
11-19-2013,52.00,52.99,51.89,52.70,569807
11-20-2013,52.55,53.28,51.97,52.67,383845
11-21-2013,52.75,53.78,52.41,53.49,349841
11-22-2013,54.76,55.98,54.10,55.40,910923
11-25-2013,55.45,55.60,54.38,55.18,322092
11-26-2013,55.06,55.62,54.95,55.10,409890
11-27-2013,55.12,56.33,54.85,54.86,253697
11-29-2013,55.14,55.71,54.66,54.90,92367
12-02-2013,54.84,55.14,52.72,54.23,623262
12-03-2013,54.34,55.06,53.72,54.34,885402
12-04-2013,54.00,54.93,53.82,54.40,769172
12-05-2013,54.28,55.01,54.00,54.69,741699
12-06-2013,54.99,55.77,54.16,54.18,733434
12-09-2013,53.11,54.71,53.10,54.30,575246
12-10-2013,55.74,58.23,55.74,56.84,2043800
12-11-2013,57.00,57.48,55.91,56.05,1287810
12-12-2013,55.90,56.98,55.39,56.68,815690
12-13-2013,57.06,57.07,56.26,56.41,551638
12-16-2013,56.80,57.24,56.34,56.57,712706
12-17-2013,56.71,58.82,56.35,58.46,787369
12-18-2013,58.56,59.57,58.15,59.54,1041030
12-19-2013,60.35,60.99,58.94,59.00,927204
12-20-2013,59.39,60.25,58.37,59.91,3382112
12-23-2013,59.81,60.53,58.54,60.33,967201
12-24-2013,60.24,61.16,60.24,61.08,272216
12-26-2013,61.37,62.03,60.56,61.00,242774
12-27-2013,61.26,62.46,60.72,62.38,318870
12-30-2013,62.27,63.19,61.86,62.25,423641
12-31-2013,62.51,63.57,61.34,63.44,510239
01-02-2014,63.15,63.21,60.07,60.98,1022440
01-03-2014,61.28,61.38,59.65,60.72,524573
01-06-2014,60.81,60.81,58.00,58.95,687563
01-07-2014,58.75,59.10,56.55,57.29,1084426
01-08-2014,57.52,58.37,56.81,57.94,680628
01-09-2014,58.26,58.45,54.79,56.10,1136129
01-10-2014,56.06,56.38,54.78,55.13,637866
01-13-2014,55.07,55.44,53.61,54.45,1125339
01-14-2014,54.56,55.60,54.10,55.37,550088
01-15-2014,55.64,56.94,55.08,56.03,973504
01-16-2014,56.50,57.56,56.10,57.05,867742
01-17-2014,57.27,57.84,56.37,56.51,688339
01-21-2014,58.30,58.30,56.34,57.20,658848
01-22-2014,57.50,58.27,57.33,58.18,542869
01-23-2014,58.18,58.70,57.52,58.52,766516
01-24-2014,57.97,58.72,55.01,57.99,1273287
01-27-2014,58.09,58.41,56.67,57.02,795761
01-28-2014,57.95,59.64,57.58,58.96,755408
01-29-2014,58.31,60.03,57.60,59.86,725105
01-30-2014,59.99,60.00,58.00,58.87,1405127
01-31-2014,58.34,59.43,57.47,58.74,437712
02-03-2014,59.12,59.26,56.87,57.53,372673
02-04-2014,57.76,58.43,56.08,57.58,1137267
02-05-2014,57.32,58.12,56.50,56.78,627121
02-06-2014,57.00,57.70,56.56,57.05,1391171
02-07-2014,58.29,58.29,55.33,55.68,1050289
02-10-2014,55.70,56.25,55.10,55.42,597527
02-11-2014,55.34,57.07,55.25,56.73,558077
02-12-2014,57.15,57.57,56.39,56.75,565234
02-13-2014,56.61,57.50,55.59,56.79,711051
02-14-2014,57.00,58.31,56.50,57.14,710844
02-18-2014,57.26,58.27,57.03,57.14,410053
02-19-2014,57.38,58.90,56.81,58.36,629493
02-20-2014,58.28,58.42,57.07,57.64,369795
02-21-2014,58.08,58.13,55.96,57.14,1462396
02-24-2014,57.47,58.98,57.09,58.27,965618
02-25-2014,57.98,58.95,57.76,58.61,561167
02-26-2014,58.57,59.09,58.03,58.58,787535
02-27-2014,59.14,62.04,56.82,60.67,1676935
02-28-2014,60.83,61.04,58.90,60.34,756348
03-03-2014,60.34,61.40,57.77,59.49,989659
03-04-2014,59.65,60.08,58.50,59.35,542791
03-05-2014,59.70,61.15,59.05,59.36,897716
03-06-2014,59.79,61.57,59.35,61.01,836428
03-07-2014,60.97,61.47,60.70,61.24,454697
03-10-2014,61.18,61.54,60.00,60.78,451503
03-11-2014,61.06,61.83,59.95,60.59,429556
03-12-2014,60.37,61.07,59.56,60.24,422791
03-13-2014,60.25,60.74,59.21,59.53,602996
03-14-2014,59.80,60.88,59.29,60.15,383767
03-17-2014,60.31,61.50,58.84,61.04,756262
03-18-2014,62.35,64.71,62.35,63.35,1384282
03-19-2014,64.00,64.95,62.50,62.83,1057985
03-20-2014,62.77,63.99,61.66,63.95,651108
03-21-2014,63.91,64.91,62.80,63.83,1046602
03-24-2014,64.50,67.23,63.86,65.70,1274922
03-25-2014,66.48,68.00,66.19,67.41,1081833
03-26-2014,67.85,68.43,65.26,65.48,657269
03-27-2014,65.32,65.40,62.45,63.69,1613398
03-28-2014,63.61,64.53,63.15,64.04,1010482
