Date,Open,High,Low,Close,Volume
12-03-2007,23.39,23.39,23.09,23.27,162530
12-04-2007,23.27,23.39,23.03,23.39,20708
12-05-2007,22.96,23.27,22.96,23.27,29979
12-06-2007,23.06,23.27,22.99,23.01,34708
12-07-2007,23.24,23.24,23.24,23.24,21
12-10-2007,23.03,23.16,23.01,23.16,35377
12-11-2007,23.14,23.21,23.14,23.21,79724
12-12-2007,23.39,23.39,23.14,23.14,12061
12-13-2007,23.01,23.14,23.01,23.03,72688
12-14-2007,23.03,23.03,23.03,23.03,21
12-17-2007,23.03,23.06,23.03,23.03,155214
12-18-2007,23.06,23.14,23.01,23.09,681817
12-19-2007,23.09,23.09,23.09,23.09,0
12-20-2007,23.06,23.06,23.06,23.06,1463
12-21-2007,23.14,23.27,23.03,23.03,1623
12-24-2007,23.03,23.03,23.03,23.03,8506
12-26-2007,23.03,23.06,23.03,23.06,174
12-27-2007,23.19,23.27,23.06,23.09,8424
12-28-2007,23.27,23.27,23.14,23.14,409
12-31-2007,23.14,23.14,23.14,23.14,52
01-02-2008,23.27,23.27,23.16,23.16,5257
01-03-2008,23.27,23.27,23.27,23.27,1735
01-04-2008,23.16,23.24,23.16,23.24,2831
01-07-2008,23.24,23.24,23.24,23.24,11125
01-08-2008,23.32,23.50,23.27,23.47,170113
01-09-2008,23.47,23.47,23.45,23.45,3148
01-10-2008,23.45,23.47,23.45,23.47,6705
01-11-2008,23.47,23.50,23.39,23.50,1735
01-14-2008,23.52,23.52,23.42,23.47,32090
01-15-2008,23.52,23.52,23.47,23.50,13943
01-16-2008,23.52,23.78,23.47,23.50,1658
01-17-2008,23.45,23.47,23.39,23.47,3303
01-18-2008,23.50,23.50,23.47,23.47,1150
01-22-2008,23.47,23.65,23.39,23.50,3148
01-23-2008,23.52,23.52,23.50,23.50,1502
01-24-2008,23.50,23.50,23.50,23.50,0
01-25-2008,23.52,23.83,23.50,23.52,1346
01-28-2008,23.70,23.70,23.50,23.50,2013
01-29-2008,23.65,23.65,23.52,23.52,1150
01-30-2008,23.52,23.55,23.50,23.55,135
01-31-2008,23.55,23.55,23.55,23.55,7799
02-01-2008,23.52,23.52,23.50,23.50,7955
02-04-2008,23.55,23.55,23.50,23.50,3928
02-05-2008,23.55,23.55,23.52,23.52,198671
02-06-2008,23.52,23.52,23.52,23.52,0
02-07-2008,23.50,23.57,23.50,23.52,45935
02-08-2008,23.55,23.55,23.55,23.55,10773
02-11-2008,23.55,23.55,23.55,23.55,0
02-12-2008,23.55,23.55,23.55,23.55,0
02-13-2008,23.55,23.55,23.50,23.50,37289
02-14-2008,23.57,23.57,23.50,23.57,52387
02-15-2008,23.57,23.62,23.47,23.52,3616
02-19-2008,23.50,23.60,23.50,23.50,4201
02-20-2008,23.52,23.60,23.47,23.55,99361
02-21-2008,23.55,23.55,23.55,23.55,0
02-22-2008,23.47,23.47,23.47,23.47,21
02-25-2008,23.47,23.47,23.47,23.47,880
02-26-2008,23.47,23.50,23.47,23.47,66511
02-27-2008,23.55,23.55,23.50,23.50,27746
02-28-2008,23.57,23.60,23.50,23.50,1034
02-29-2008,23.50,23.50,23.50,23.50,0
03-03-2008,23.50,23.50,23.50,23.50,0
03-04-2008,23.65,23.65,23.47,23.47,1034
03-05-2008,23.47,23.47,23.47,23.47,52
03-06-2008,23.47,23.47,23.47,23.47,0
03-07-2008,23.47,23.47,23.47,23.47,0
03-10-2008,23.45,23.45,23.45,23.45,29510
03-11-2008,23.32,23.32,23.32,23.32,409
03-12-2008,23.42,23.50,23.27,23.27,835
03-13-2008,23.32,23.32,23.32,23.32,92
03-14-2008,23.32,23.32,23.32,23.32,0
03-17-2008,23.34,23.34,23.09,23.09,43509
03-18-2008,23.09,23.09,23.09,23.09,0
03-19-2008,23.09,23.09,23.09,23.09,0
03-20-2008,23.03,23.24,23.01,23.24,491498
03-24-2008,23.19,23.19,23.19,23.19,139219
03-25-2008,23.19,23.19,23.19,23.19,0
03-26-2008,23.27,23.29,23.27,23.29,409
03-27-2008,23.14,23.14,23.14,23.14,19533
03-28-2008,23.14,23.14,23.14,23.14,0
03-31-2008,23.14,23.78,23.14,23.52,1895
04-01-2008,23.50,23.50,23.50,23.50,21
04-02-2008,23.50,23.50,23.50,23.50,0
04-03-2008,23.50,23.50,23.50,23.50,0
04-04-2008,23.50,23.50,23.50,23.50,0
04-07-2008,23.47,23.50,23.21,23.50,409
04-08-2008,23.50,23.50,23.50,23.50,0
