Date,Open,High,Low,Close,Volume
05-24-1996,3.98,4.25,3.98,3.98,427978
05-28-1996,3.98,4.05,3.98,4.05,86233
05-29-1996,4.11,4.11,3.98,3.98,24824
05-30-1996,3.98,4.11,3.98,3.98,11260
05-31-1996,3.98,3.98,3.98,3.98,0
06-03-1996,4.11,4.11,3.98,3.98,30102
06-04-1996,3.98,3.98,3.98,3.98,0
06-05-1996,3.98,3.98,3.98,3.98,5611
06-06-1996,4.05,4.05,3.98,3.98,2219
06-07-1996,3.98,3.98,3.98,3.98,30477
06-10-1996,3.98,4.05,3.98,3.98,17667
06-11-1996,3.85,4.05,3.85,3.85,15028
06-12-1996,3.85,3.98,3.85,3.98,15028
06-13-1996,4.05,4.05,4.03,4.05,1461
06-14-1996,3.85,3.85,3.85,3.85,709
06-17-1996,3.85,3.98,3.85,3.98,4853
06-18-1996,3.98,4.05,3.98,4.05,5611
06-19-1996,4.05,4.05,3.85,4.01,44794
06-20-1996,3.85,3.98,3.85,3.98,11260
06-21-1996,3.85,3.85,3.85,3.85,7491
06-24-1996,3.85,3.98,3.85,3.85,39517
06-25-1996,3.85,3.98,3.85,3.98,32731
06-26-1996,3.85,3.85,3.85,3.85,7491
06-27-1996,3.85,3.85,3.85,3.85,2592
06-28-1996,3.85,3.98,3.85,3.91,10504
07-01-1996,3.91,3.91,3.85,3.85,3725
07-02-1996,3.85,3.98,3.85,3.88,6733
07-03-1996,3.98,3.98,3.91,3.91,7109
07-05-1996,3.91,3.91,3.91,3.91,0
07-08-1996,3.98,3.98,3.85,3.85,3347
07-09-1996,4.05,4.05,3.85,3.88,10887
07-10-1996,3.98,4.05,3.98,3.98,18795
07-11-1996,4.01,4.11,3.91,3.98,89633
07-12-1996,4.11,4.11,3.98,4.05,37628
07-15-1996,4.05,4.11,3.98,3.98,50069
07-16-1996,4.01,4.11,3.98,3.98,71549
07-17-1996,4.11,4.18,3.98,4.05,24440
07-18-1996,4.18,4.18,3.98,4.18,35748
07-19-1996,4.18,4.18,4.01,4.15,22948
07-22-1996,4.18,4.18,3.98,4.05,17292
07-23-1996,4.18,4.18,3.98,4.18,42902
07-24-1996,4.18,4.18,3.98,4.18,29347
07-25-1996,4.21,4.25,3.98,4.18,62497
07-26-1996,3.98,4.05,3.98,4.05,2219
07-29-1996,4.05,4.05,4.05,4.05,338
07-30-1996,4.11,4.25,3.98,3.98,17292
07-31-1996,4.18,4.18,3.98,3.98,52707
08-01-1996,4.18,4.18,4.08,4.18,3347
08-02-1996,4.15,4.18,3.98,4.18,9001
08-05-1996,4.11,4.18,4.11,4.11,14268
08-06-1996,4.18,4.25,4.05,4.25,32731
08-07-1996,4.25,4.25,4.05,4.11,8625
08-08-1996,4.11,4.11,4.11,4.11,1461
08-09-1996,4.25,4.25,4.11,4.25,7491
08-12-1996,4.11,4.25,4.11,4.25,14268
08-13-1996,4.21,4.21,4.11,4.11,13144
08-14-1996,4.11,4.11,4.11,4.11,0
08-15-1996,4.31,4.31,4.31,4.31,5611
08-16-1996,4.31,4.31,4.11,4.31,51949
08-19-1996,4.31,4.31,4.11,4.11,106960
08-20-1996,4.31,4.31,4.18,4.21,23320
08-21-1996,4.31,4.31,4.18,4.31,16163
08-22-1996,4.18,4.31,4.18,4.31,18795
08-23-1996,4.31,4.31,4.18,4.31,13144
08-26-1996,4.31,4.31,4.18,4.31,22948
08-27-1996,4.31,4.31,4.18,4.25,65139
08-28-1996,4.25,4.31,4.21,4.31,8246
08-29-1996,4.31,4.31,4.11,4.25,45171
08-30-1996,4.25,4.25,4.11,4.11,25575
09-03-1996,4.11,4.11,4.11,4.11,0
09-04-1996,4.25,4.25,4.18,4.18,13144
09-05-1996,4.18,4.25,4.18,4.25,2966
09-06-1996,4.11,4.28,4.11,4.25,18795
09-09-1996,4.11,4.25,4.11,4.25,2592
09-10-1996,4.25,4.25,4.11,4.18,23694
09-11-1996,4.11,4.25,4.11,4.25,15028
09-12-1996,4.25,4.25,4.25,4.25,5232
09-13-1996,4.11,4.25,4.11,4.25,48190
09-16-1996,4.11,4.25,4.11,4.25,8246
09-17-1996,4.11,4.25,4.11,4.21,9001
09-18-1996,4.21,4.21,4.21,4.21,0
09-19-1996,4.25,4.25,4.11,4.11,7109
09-20-1996,4.21,4.25,4.18,4.25,15407
09-23-1996,4.38,4.38,4.25,4.25,14651
09-24-1996,4.18,4.25,4.18,4.18,30857
09-25-1996,4.18,4.18,4.18,4.18,3725
09-26-1996,4.25,4.38,4.25,4.25,10887
09-27-1996,4.18,4.41,4.18,4.31,31224
09-30-1996,4.31,4.31,4.31,4.31,0
10-01-1996,4.18,4.31,4.18,4.31,4102
10-02-1996,4.31,4.45,4.18,4.21,5989
10-03-1996,4.45,4.45,4.45,4.45,709
10-04-1996,4.45,4.45,4.31,4.31,4102
10-07-1996,4.25,4.45,4.25,4.45,10132
10-08-1996,4.45,4.45,4.31,4.38,8625
10-09-1996,4.18,4.45,4.18,4.45,10887
10-10-1996,4.45,4.45,4.45,4.45,0
10-11-1996,4.31,4.31,4.31,4.31,1461
10-14-1996,4.45,4.45,4.45,4.45,338
10-15-1996,4.18,4.45,4.18,4.31,8625
10-16-1996,4.31,4.45,4.31,4.45,2219
10-17-1996,4.25,4.45,4.25,4.45,4482
10-18-1996,4.18,4.25,4.18,4.25,10504
10-21-1996,4.18,4.18,4.18,4.18,3725
10-22-1996,4.18,4.18,4.18,4.18,4482
10-23-1996,4.18,4.18,4.18,4.18,0
10-24-1996,4.31,4.31,4.31,4.31,338
10-25-1996,4.18,4.18,4.18,4.18,1840
10-28-1996,4.18,4.18,4.18,4.18,4102
10-29-1996,4.18,4.38,4.18,4.38,17292
10-30-1996,4.28,4.28,4.28,4.28,10504
10-31-1996,4.38,4.38,4.18,4.18,4853
11-01-1996,4.36,4.36,4.36,4.36,3725
11-04-1996,4.38,4.38,4.38,4.38,338
11-05-1996,4.21,4.38,4.21,4.38,15779
11-06-1996,4.18,4.21,4.18,4.21,10132
11-07-1996,4.18,4.18,4.18,4.18,6356
11-08-1996,4.35,4.35,4.18,4.21,28970
11-11-1996,4.38,4.38,4.18,4.25,14268
11-12-1996,4.18,4.38,4.18,4.38,6733
11-13-1996,4.38,4.38,4.38,4.38,5611
11-14-1996,4.18,4.38,4.18,4.38,3347
