Date,Open,High,Low,Close,Volume
09-17-1998,0.781,0.781,0.781,0.781,100
09-18-1998,0.781,0.781,0.781,0.781,0
09-21-1998,0.781,0.781,0.781,0.781,0
09-22-1998,0.781,0.781,0.781,0.781,0
09-23-1998,0.781,0.781,0.781,0.781,0
09-24-1998,0.781,0.781,0.781,0.781,0
09-25-1998,0.781,0.781,0.781,0.781,0
09-28-1998,0.781,0.781,0.781,0.781,0
09-29-1998,0.781,0.781,0.781,0.781,0
09-30-1998,1.09,1.25,1.09,1.09,4100
10-01-1998,1.09,1.09,1.09,1.09,0
10-02-1998,1.09,1.09,1.09,1.09,0
10-05-1998,1.25,1.25,1.25,1.25,1250
10-06-1998,1.25,1.25,1.25,1.25,0
10-07-1998,1.25,1.25,1.25,1.25,0
10-08-1998,1.25,1.25,1.25,1.25,0
10-09-1998,97.66,109.38,97.66,109.38,2100
10-12-1998,109.38,109.38,109.38,109.38,0
10-13-1998,109.38,109.38,109.38,109.38,0
10-14-1998,0.781,0.781,0.781,0.781,100
10-15-1998,0.781,0.781,0.781,0.781,320
10-16-1998,0.781,0.781,0.781,0.781,0
10-19-1998,0.781,0.781,0.781,0.781,0
10-20-1998,0.781,0.781,0.781,0.781,0
10-21-1998,0.781,0.781,0.781,0.781,50
10-22-1998,0.781,0.781,0.781,0.781,0
10-23-1998,0.781,0.781,0.781,0.781,0
10-26-1998,0.781,0.781,0.781,0.781,0
10-27-1998,0.781,0.781,0.781,0.781,0
10-28-1998,0.781,0.781,0.781,0.781,50
10-29-1998,0.781,0.781,0.625,0.625,600
10-30-1998,0.625,0.625,0.625,0.625,0
11-02-1998,0.400,0.400,0.400,0.400,0
11-03-1998,0.500,0.500,0.500,0.500,1380
11-04-1998,0.700,0.800,0.700,0.800,4430
11-05-1998,0.800,0.800,0.600,0.600,1080
11-06-1998,0.600,0.600,0.600,0.600,0
11-09-1998,0.800,0.800,0.800,0.800,300
11-10-1998,0.800,0.800,0.600,0.600,250
11-11-1998,0.600,0.600,0.600,0.600,0
11-12-1998,0.600,0.600,0.600,0.600,0
11-13-1998,0.600,0.600,0.600,0.600,0
11-16-1998,0.600,0.600,0.600,0.600,0
11-17-1998,0.600,0.600,0.600,0.600,0
11-18-1998,0.600,0.600,0.600,0.600,0
11-19-1998,0.600,0.600,0.600,0.600,0
11-20-1998,0.600,0.600,0.600,0.600,0
11-23-1998,0.600,0.600,0.600,0.600,0
11-24-1998,0.600,0.600,0.600,0.600,0
11-25-1998,0.600,0.600,0.600,0.600,0
11-27-1998,0.600,0.600,0.600,0.600,0
11-30-1998,0.600,0.600,0.600,0.600,0
12-01-1998,0.600,0.600,0.600,0.600,130
12-02-1998,0.600,0.600,0.600,0.600,0
12-03-1998,0.600,0.600,0.600,0.600,0
12-04-1998,0.600,0.600,0.600,0.600,0
12-07-1998,0.600,0.600,0.600,0.600,0
12-08-1998,0.600,0.600,0.600,0.600,20
12-09-1998,0.600,0.600,0.600,0.600,0
12-10-1998,0.600,0.600,0.600,0.600,0
12-11-1998,0.600,0.600,0.600,0.600,100
12-14-1998,0.600,0.600,0.600,0.600,1000
12-15-1998,0.600,0.600,0.600,0.600,0
12-16-1998,0.600,0.700,0.600,0.700,300
12-17-1998,0.700,0.700,0.700,0.700,0
12-18-1998,0.700,0.700,0.700,0.700,0
12-21-1998,0.80,1.20,0.80,1.20,8420
12-22-1998,1.20,1.20,1.20,1.20,0
12-23-1998,1.20,1.20,1.20,1.20,0
12-24-1998,0.800,0.800,0.800,0.800,200
12-28-1998,0.800,0.800,0.800,0.800,220
12-29-1998,0.800,0.800,0.800,0.800,1000
12-30-1998,0.800,0.800,0.800,0.800,180
12-31-1998,1.500,1.500,0.800,0.800,1110
01-04-1999,0.800,0.800,0.800,0.800,0
01-05-1999,0.800,0.800,0.800,0.800,0
01-06-1999,0.800,0.800,0.800,0.800,0
01-07-1999,0.800,0.800,0.800,0.800,0
01-08-1999,0.800,0.800,0.800,0.800,0
01-11-1999,1.500,1.500,0.800,0.800,20
01-12-1999,1.500,1.500,0.800,0.800,20
01-13-1999,0.800,0.800,0.800,0.800,0
01-14-1999,0.800,0.800,0.800,0.800,0
01-15-1999,0.800,0.800,0.800,0.800,0
01-18-1999,1.500,1.500,0.800,0.800,20
01-19-1999,0.800,0.800,0.800,0.800,0
01-20-1999,0.800,0.800,0.800,0.800,0
01-21-1999,0.800,0.800,0.800,0.800,0
01-22-1999,0.800,0.800,0.800,0.800,0
01-25-1999,0.800,0.800,0.800,0.800,0
01-26-1999,0.800,0.800,0.800,0.800,0
01-27-1999,0.800,0.800,0.800,0.800,0
01-28-1999,0.800,0.800,0.800,0.800,0
01-29-1999,0.800,0.800,0.800,0.800,0
02-01-1999,0.700,0.700,0.700,0.700,400
02-02-1999,0.700,0.700,0.700,0.700,0
02-03-1999,0.700,0.700,0.700,0.700,0
02-04-1999,0.700,0.700,0.700,0.700,0
02-05-1999,0.700,0.700,0.700,0.700,0
02-08-1999,0.700,0.700,0.700,0.700,0
02-09-1999,0.700,0.700,0.700,0.700,0
02-10-1999,0.700,0.700,0.700,0.700,0
02-11-1999,0.700,0.700,0.700,0.700,0
02-12-1999,0.700,0.700,0.700,0.700,0
02-16-1999,0.700,0.700,0.700,0.700,0
02-17-1999,0.700,0.700,0.700,0.700,0
02-18-1999,0.700,0.700,0.700,0.700,0
02-19-1999,0.700,0.700,0.700,0.700,0
02-22-1999,0.700,0.700,0.700,0.700,0
02-23-1999,0.700,0.700,0.700,0.700,100
02-24-1999,0.700,0.700,0.700,0.700,0
02-25-1999,0.700,0.700,0.700,0.700,0
02-26-1999,0.700,0.700,0.700,0.700,0
03-01-1999,0.700,0.700,0.700,0.700,0
03-02-1999,0.700,0.700,0.700,0.700,0
03-03-1999,0.700,0.700,0.700,0.700,0
03-04-1999,0.700,0.700,0.700,0.700,0
03-05-1999,0.90,1.20,0.90,1.20,3000
03-08-1999,1.20,1.20,1.20,1.20,0
03-09-1999,1.20,1.20,1.20,1.20,0
03-10-1999,1.80,1.80,1.30,1.30,700
03-11-1999,1.00,1.00,1.00,1.00,100
03-12-1999,1.00,1.00,1.00,1.00,100
03-15-1999,1.50,1.50,1.00,1.00,490
03-16-1999,1.00,1.00,1.00,1.00,0
03-17-1999,1.00,1.00,1.00,1.00,140
03-18-1999,1.00,1.00,1.00,1.00,140
03-19-1999,1.00,1.00,1.00,1.00,140
03-22-1999,1.000,1.000,0.900,0.900,1500
03-23-1999,0.800,0.800,0.700,0.700,5500
03-24-1999,0.600,0.600,0.600,0.600,3730
03-25-1999,0.600,0.600,0.600,0.600,1750
03-26-1999,0.600,0.600,0.600,0.600,1750
03-29-1999,0.600,0.600,0.600,0.600,1750
03-30-1999,0.600,0.600,0.600,0.600,1750
03-31-1999,0.600,0.600,0.600,0.600,50
04-01-1999,0.700,0.900,0.700,0.900,940
04-05-1999,0.700,0.900,0.700,0.900,940
04-06-1999,0.600,0.600,0.600,0.600,100
04-07-1999,0.600,0.600,0.600,0.600,300
04-08-1999,0.600,0.600,0.600,0.600,300
04-09-1999,0.600,0.600,0.600,0.600,300
04-12-1999,0.900,0.900,0.600,0.600,200
04-13-1999,0.900,0.900,0.600,0.600,200
04-14-1999,0.900,0.900,0.600,0.600,200
04-15-1999,0.900,0.900,0.600,0.600,200
04-16-1999,0.900,0.900,0.600,0.600,200
04-19-1999,0.600,0.600,0.600,0.600,50
04-20-1999,0.600,0.600,0.600,0.600,50
04-21-1999,0.600,0.600,0.600,0.600,50
04-22-1999,0.600,0.600,0.600,0.600,300
04-23-1999,0.600,0.600,0.600,0.600,0
04-26-1999,0.600,0.600,0.600,0.600,0
04-27-1999,0.600,0.600,0.600,0.600,0
04-28-1999,0.600,0.600,0.600,0.600,0
04-29-1999,0.600,0.600,0.600,0.600,0
04-30-1999,0.600,0.600,0.600,0.600,0
05-03-1999,0.600,0.600,0.600,0.600,0
05-04-1999,0.600,0.600,0.600,0.600,300
05-05-1999,0.600,0.600,0.600,0.600,300
05-06-1999,0.600,0.600,0.600,0.600,300
05-07-1999,0.600,0.600,0.600,0.600,300
05-10-1999,0.600,0.600,0.600,0.600,320
05-11-1999,0.600,0.600,0.600,0.600,10
05-12-1999,0.600,0.600,0.600,0.600,100
05-13-1999,0.600,0.600,0.600,0.600,100
05-14-1999,0.600,0.600,0.600,0.600,100
05-17-1999,0.600,0.600,0.600,0.600,100
05-18-1999,0.600,0.600,0.600,0.600,100
05-19-1999,0.600,0.600,0.600,0.600,100
05-20-1999,0.600,0.600,0.600,0.600,100
05-21-1999,0.600,0.600,0.600,0.600,100
05-24-1999,0.600,0.600,0.600,0.600,100
05-25-1999,0.600,0.600,0.600,0.600,100
