Date,Open,High,Low,Close,Volume
11-13-1998,9.88,9.88,9.68,9.78,0
11-16-1998,9.21,9.41,8.82,9.26,0
11-17-1998,10.08,10.21,9.95,10.21,0
11-18-1998,9.53,9.74,9.43,9.48,0
11-19-1998,9.38,9.62,9.28,9.62,0
11-20-1998,10.17,10.27,9.96,10.09,0
11-23-1998,10.04,10.35,10.04,10.09,0
11-24-1998,10.16,10.37,9.88,9.88,0
11-25-1998,9.96,10.06,9.73,9.85,0
11-27-1998,9.70,9.85,9.60,9.80,0
11-30-1998,9.75,9.85,9.16,9.18,0
12-01-1998,9.21,9.47,8.85,9.24,0
12-02-1998,9.36,9.44,9.18,9.26,0
12-03-1998,9.39,9.54,9.26,9.26,0
12-04-1998,9.41,9.52,9.28,9.39,0
12-07-1998,9.39,9.39,9.23,9.23,0
12-08-1998,9.44,9.44,9.28,9.34,0
12-09-1998,9.21,9.31,9.21,9.21,0
12-10-1998,9.24,9.24,9.08,9.13,0
12-11-1998,9.13,9.19,8.98,9.19,0
12-14-1998,9.03,9.29,8.98,9.11,0
12-15-1998,9.08,9.24,8.57,8.57,0
12-16-1998,8.54,8.90,8.54,8.64,0
12-17-1998,8.75,9.00,8.67,8.93,0
12-18-1998,8.78,9.21,8.72,8.93,0
12-21-1998,9.14,9.14,8.41,8.41,0
12-22-1998,8.64,8.67,8.07,8.23,0
12-23-1998,8.41,8.41,8.20,8.38,0
12-24-1998,8.30,8.46,8.30,8.41,0
12-28-1998,8.13,8.21,7.85,8.05,0
12-29-1998,8.05,8.26,7.99,7.99,0
12-30-1998,7.95,8.57,7.95,8.39,0
12-31-1998,8.46,9.24,8.46,9.16,0
01-04-1999,8.98,9.70,8.98,9.60,0
01-05-1999,9.34,9.55,9.19,9.29,0
01-06-1999,9.30,9.63,9.14,9.27,0
01-07-1999,9.20,9.22,8.99,9.22,0
01-08-1999,9.30,9.35,9.14,9.27,0
01-11-1999,9.22,9.27,8.99,9.07,0
01-12-1999,9.14,9.17,8.88,8.93,0
01-13-1999,8.98,9.06,8.78,8.92,0
01-14-1999,8.98,9.01,8.67,8.75,0
01-15-1999,8.88,8.98,8.88,8.91,0
01-19-1999,8.91,9.01,8.67,8.96,0
01-20-1999,9.08,9.08,8.88,8.98,0
01-21-1999,9.08,9.11,8.88,8.88,0
01-22-1999,8.90,8.90,8.36,8.41,0
01-25-1999,8.46,8.57,8.36,8.41,0
01-26-1999,8.44,8.49,8.28,8.28,0
01-27-1999,8.28,8.44,7.54,7.54,0
01-28-1999,7.74,8.05,7.67,7.98,0
01-29-1999,8.00,8.29,7.77,7.90,0
02-01-1999,8.03,8.31,7.92,7.92,0
02-02-1999,8.05,8.20,7.61,7.94,0
02-03-1999,7.84,7.95,7.59,7.84,0
02-04-1999,7.89,7.95,7.79,7.84,0
02-05-1999,7.69,7.90,7.69,7.74,0
02-08-1999,7.79,7.85,7.74,7.79,0
02-09-1999,7.82,7.82,7.64,7.69,0
02-10-1999,7.79,7.79,7.66,7.69,0
02-11-1999,7.69,7.84,7.64,7.72,0
02-12-1999,7.69,7.90,7.64,7.64,0
02-16-1999,7.76,8.18,7.76,8.00,0
02-17-1999,7.87,8.10,7.74,8.04,0
02-18-1999,8.18,8.21,7.95,8.03,0
02-19-1999,8.10,8.15,8.05,8.10,0
02-22-1999,8.03,8.03,7.90,7.95,0
02-23-1999,8.05,8.10,8.00,8.02,0
02-24-1999,7.99,8.04,7.81,7.81,0
02-25-1999,7.79,7.95,7.74,7.82,0
02-26-1999,7.79,8.03,7.74,7.87,0
03-01-1999,7.87,7.97,7.82,7.82,0
03-02-1999,7.87,8.54,7.87,8.33,0
03-03-1999,8.39,8.46,8.20,8.33,0
