Date,Open,High,Low,Close,Volume
12-10-2013,17.00,17.00,17.00,17.00,0
12-11-2013,30.16,31.44,26.00,30.07,9781299
12-12-2013,29.55,30.03,28.28,29.26,1520702
12-13-2013,28.76,29.18,27.80,28.50,937632
12-16-2013,28.50,29.20,28.00,28.00,418236
12-17-2013,27.89,28.00,26.52,27.10,517394
12-18-2013,27.40,28.93,26.51,28.20,700798
12-19-2013,28.30,28.41,27.35,27.76,356934
12-20-2013,27.49,28.04,27.03,27.22,173578
12-23-2013,27.90,29.37,27.01,29.25,416011
12-24-2013,29.50,29.50,28.70,28.97,96291
12-26-2013,28.86,34.35,28.86,33.81,830652
12-27-2013,34.72,36.49,33.52,34.91,738568
12-30-2013,36.05,37.00,33.52,35.87,636906
12-31-2013,36.00,37.88,35.25,36.59,723282
01-02-2014,37.40,37.80,34.99,34.99,546592
01-03-2014,35.78,36.06,33.15,33.24,674470
01-06-2014,30.70,32.24,29.25,31.43,1732206
01-07-2014,31.50,32.99,30.62,31.60,317365
01-08-2014,31.92,34.50,31.87,33.04,512031
01-09-2014,33.04,33.72,31.60,31.73,350736
01-10-2014,31.52,33.02,30.83,31.06,233891
01-13-2014,31.08,32.40,30.53,31.73,253557
01-14-2014,31.87,31.95,31.12,31.67,113391
01-15-2014,31.51,36.88,31.51,36.32,885896
01-16-2014,36.15,38.65,35.55,36.62,463096
01-17-2014,37.18,38.47,36.02,37.53,328111
01-21-2014,37.50,37.50,34.70,35.81,335858
01-22-2014,36.79,36.79,34.11,35.07,393850
01-23-2014,33.28,33.91,31.53,31.99,1094300
01-24-2014,31.95,32.29,30.21,32.06,538357
01-27-2014,31.82,31.86,29.09,29.44,596150
01-28-2014,29.60,31.98,29.60,30.01,642346
01-29-2014,29.80,29.80,28.52,29.42,510263
01-30-2014,30.10,30.97,29.42,30.61,268569
01-31-2014,30.29,32.90,29.42,32.46,426488
02-03-2014,32.50,33.31,31.34,32.66,205889
02-04-2014,32.66,32.66,31.67,32.04,68417
02-05-2014,31.97,32.04,30.19,31.50,197279
02-06-2014,31.50,31.78,30.41,30.78,113088
02-07-2014,31.11,31.87,30.50,30.91,120088
02-10-2014,30.92,31.62,30.20,31.02,164849
02-11-2014,31.13,31.33,30.39,30.92,118311
02-12-2014,31.08,31.94,30.60,31.56,219692
02-13-2014,31.10,33.98,30.76,33.73,327157
02-14-2014,33.71,35.21,32.54,34.40,554184
02-18-2014,34.69,36.22,34.60,36.21,788539
02-19-2014,35.92,36.87,35.20,36.38,525340
02-20-2014,36.42,36.42,34.78,35.26,282440
02-21-2014,35.26,35.48,34.21,35.37,441276
02-24-2014,39.21,40.68,34.29,34.45,1399127
02-25-2014,35.20,36.60,34.43,36.13,600172
02-26-2014,36.56,38.39,36.14,38.34,467429
02-27-2014,38.50,43.22,38.50,43.21,775225
02-28-2014,43.44,45.75,38.02,41.20,805075
03-03-2014,39.74,42.49,39.23,41.38,227620
03-04-2014,42.45,48.75,42.35,47.99,435617
03-05-2014,48.14,51.86,47.25,51.76,620866
03-06-2014,51.50,51.98,49.20,50.72,327671
03-07-2014,51.74,51.74,47.00,48.54,305087
03-10-2014,47.90,48.44,43.50,44.84,672610
03-11-2014,45.00,46.64,41.57,41.95,490556
03-12-2014,41.31,44.69,39.51,43.39,559550
03-13-2014,43.41,44.39,41.21,42.26,239879
03-14-2014,42.00,42.19,40.33,41.44,184921
03-17-2014,41.67,42.73,40.07,41.84,281983
03-18-2014,42.30,45.95,41.92,45.24,358834
03-19-2014,45.64,46.96,44.26,45.63,191528
03-20-2014,45.43,45.43,43.53,44.42,166528
03-21-2014,44.44,44.70,41.52,41.77,277497
03-24-2014,42.36,43.73,39.55,39.99,378551
03-25-2014,40.48,41.49,38.01,41.06,508407
03-26-2014,41.53,41.98,38.25,38.38,363649
03-27-2014,38.00,38.37,35.20,36.62,469729
03-28-2014,36.72,38.78,36.27,37.57,632342
03-31-2014,37.78,39.45,37.01,38.41,359347
04-01-2014,38.43,41.00,37.75,39.85,788579
04-02-2014,40.46,42.68,39.85,40.23,406560
04-03-2014,40.25,40.25,37.51,38.49,392322
04-04-2014,38.53,38.53,36.40,36.76,626366
04-07-2014,36.41,36.41,32.55,33.51,777763
04-08-2014,33.85,36.45,33.85,36.09,516028
04-09-2014,36.57,37.74,34.92,35.89,401183
04-10-2014,36.00,37.16,34.83,35.06,313605
04-11-2014,34.30,35.75,33.31,34.00,1142427
04-14-2014,34.75,36.18,33.75,33.94,183151
04-15-2014,33.86,34.92,31.05,31.34,467753
04-16-2014,32.72,35.94,32.72,35.64,360951
04-17-2014,35.55,35.77,34.01,34.94,122717
04-21-2014,35.62,35.66,34.05,35.21,89886
04-22-2014,35.07,37.49,34.74,37.18,390028
04-23-2014,36.70,37.79,35.90,36.35,553979
04-24-2014,36.58,36.58,33.12,33.59,791079
04-25-2014,33.08,33.32,32.06,32.50,456404
04-28-2014,32.69,33.45,31.43,33.15,450692
04-29-2014,33.20,34.97,33.00,33.59,601159
04-30-2014,33.50,33.54,31.40,32.03,379034
05-01-2014,31.90,33.74,31.81,33.00,202845
05-02-2014,32.78,34.82,32.78,34.40,200326
05-05-2014,34.16,34.50,32.83,34.40,168884
05-06-2014,35.35,35.35,31.60,31.70,482557
05-07-2014,31.70,31.70,28.58,29.43,1321278
05-08-2014,29.24,30.70,28.93,29.00,393869
05-09-2014,28.94,30.34,28.50,29.38,126045
05-12-2014,29.81,34.49,29.81,34.35,655739
05-13-2014,34.18,34.36,31.08,31.37,217634
05-14-2014,31.47,33.47,31.47,32.76,143453
05-15-2014,32.50,33.30,32.50,32.84,90775
05-16-2014,32.81,33.20,32.20,32.80,106770
05-19-2014,32.74,33.85,32.74,33.85,61232
05-20-2014,33.32,34.25,33.00,34.08,125313
05-21-2014,34.00,36.80,34.00,36.41,223427
05-22-2014,36.41,36.41,35.08,35.94,209265
05-23-2014,35.80,35.80,34.85,35.04,82032
05-27-2014,35.50,35.94,34.50,35.14,123213
05-28-2014,35.00,35.83,34.69,35.24,125794
05-29-2014,35.49,35.49,34.70,34.85,248040
05-30-2014,34.85,35.95,34.01,34.70,180488
06-02-2014,34.62,34.62,32.88,33.01,277657
06-03-2014,32.87,34.72,32.50,33.88,470909
06-04-2014,33.66,33.90,32.46,33.01,648171
06-05-2014,33.87,34.85,32.79,34.50,226831
06-06-2014,34.66,35.98,34.11,35.71,683072
06-09-2014,35.00,35.50,34.29,35.38,1906999
06-10-2014,35.00,35.01,34.10,34.64,274370
06-11-2014,34.49,34.60,33.49,34.51,702901
06-12-2014,34.53,35.25,33.88,33.91,869923
06-13-2014,34.10,34.30,33.75,34.09,549948
06-16-2014,34.00,34.40,32.25,33.46,345601
06-17-2014,33.48,34.00,33.48,33.91,165172
06-18-2014,33.96,34.40,33.39,34.05,233948
06-19-2014,34.10,34.10,33.03,33.33,213940
06-20-2014,33.28,34.10,33.28,33.88,207485
06-23-2014,33.82,34.01,33.08,33.89,166451
06-24-2014,33.65,34.00,32.48,32.92,180220
06-25-2014,32.70,33.21,32.55,33.03,141908
06-26-2014,33.17,33.25,32.25,33.00,258073
06-27-2014,32.87,33.41,32.68,33.26,114633
06-30-2014,33.15,34.99,32.14,34.43,511447
07-01-2014,34.71,37.47,34.65,37.29,643471
07-02-2014,37.06,37.37,36.00,36.50,566928
07-03-2014,36.36,36.60,36.00,36.10,134933
07-07-2014,35.81,37.33,35.50,35.96,221123
07-08-2014,35.61,36.36,33.27,33.27,392940
07-09-2014,33.54,34.22,33.00,33.32,82799
07-10-2014,32.10,33.99,31.80,33.50,156163
07-11-2014,33.65,34.50,33.30,34.26,117186
07-14-2014,34.63,34.64,33.32,33.45,122388
07-15-2014,33.50,33.84,32.82,33.09,171893
07-16-2014,33.58,33.82,32.76,32.76,83203
07-17-2014,32.63,32.99,31.85,31.93,212819
07-18-2014,32.15,33.12,31.96,32.29,294075
07-21-2014,31.98,32.65,31.98,32.38,226382
07-22-2014,32.81,34.05,32.76,33.40,280114
07-23-2014,33.79,34.76,33.51,34.00,234283
07-24-2014,34.43,34.65,33.81,33.97,148395
