Date,Open,High,Low,Close,Volume
01-02-1990,10.24,10.65,10.15,10.48,0
01-03-1990,10.48,10.56,9.94,10.32,0
01-04-1990,10.24,10.24,9.95,9.99,0
01-05-1990,9.90,10.03,9.90,9.99,0
01-08-1990,9.90,10.03,9.82,10.03,0
01-09-1990,10.03,10.07,9.99,9.99,0
01-10-1990,9.95,9.95,9.74,9.78,0
01-11-1990,9.82,9.90,9.78,9.82,0
01-12-1990,9.74,9.74,9.58,9.58,0
01-15-1990,9.57,9.57,9.15,9.24,0
01-16-1990,9.16,9.33,9.16,9.29,0
01-17-1990,9.28,9.28,9.12,9.12,0
01-18-1990,9.12,9.16,8.99,9.12,0
01-19-1990,9.15,9.28,9.15,9.24,0
01-22-1990,9.24,9.24,9.03,9.03,0
01-23-1990,9.16,9.21,9.08,9.16,0
01-24-1990,8.99,9.12,8.91,9.12,0
01-25-1990,9.08,9.16,9.04,9.16,0
01-26-1990,9.16,9.24,8.99,9.12,0
01-29-1990,9.16,9.28,8.95,9.03,0
01-30-1990,8.95,8.95,8.83,8.91,0
01-31-1990,8.99,9.12,8.99,9.12,0
02-01-1990,9.04,9.16,9.04,9.08,0
02-02-1990,9.08,9.29,9.00,9.29,0
02-05-1990,9.24,9.49,9.24,9.49,0
02-06-1990,9.44,9.77,9.36,9.73,0
02-07-1990,9.74,9.86,9.65,9.82,0
02-08-1990,9.86,10.07,9.82,9.82,0
02-09-1990,9.78,9.94,9.74,9.82,0
02-12-1990,9.86,9.90,9.65,9.65,0
02-13-1990,9.66,9.87,9.62,9.87,0
02-14-1990,9.82,9.95,9.78,9.90,0
02-15-1990,9.87,9.87,9.78,9.87,0
02-16-1990,9.90,9.95,9.82,9.87,0
02-20-1990,9.77,9.77,9.49,9.65,0
02-21-1990,9.58,9.66,9.49,9.58,0
02-22-1990,9.57,9.90,9.57,9.73,0
02-23-1990,9.65,9.69,9.61,9.65,0
02-26-1990,9.57,9.73,9.53,9.73,0
02-27-1990,9.74,10.15,9.74,10.15,0
02-28-1990,10.15,10.32,10.15,10.19,0
03-01-1990,10.07,10.19,10.07,10.15,0
03-02-1990,10.15,10.15,10.07,10.15,0
03-05-1990,10.15,10.20,10.03,10.07,0
03-06-1990,10.15,10.15,9.94,10.15,0
03-07-1990,10.19,10.48,10.14,10.35,0
03-08-1990,10.35,10.39,10.23,10.35,0
03-09-1990,10.39,10.56,10.36,10.44,0
03-12-1990,10.50,10.58,10.42,10.50,0
03-13-1990,10.51,10.68,10.51,10.63,0
03-14-1990,10.72,10.76,10.59,10.63,0
03-15-1990,10.68,11.17,10.68,11.09,0
03-16-1990,11.09,11.17,11.01,11.09,0
03-19-1990,11.00,11.04,10.92,10.96,0
03-20-1990,10.96,10.96,10.92,10.96,0
03-21-1990,10.88,10.92,10.76,10.76,0
03-22-1990,10.84,10.84,10.09,10.26,0
03-23-1990,10.26,10.51,10.26,10.26,0
03-26-1990,10.21,10.21,10.13,10.13,0
03-27-1990,10.13,10.30,10.13,10.30,0
03-28-1990,10.22,10.34,10.18,10.34,0
03-29-1990,10.26,10.43,10.26,10.26,0
03-30-1990,10.21,10.21,10.04,10.21,0
04-02-1990,10.13,10.17,9.96,10.01,0
04-03-1990,10.09,10.26,10.09,10.21,0
04-04-1990,10.17,10.42,10.17,10.21,0
04-05-1990,10.22,10.22,10.09,10.09,0
04-06-1990,10.09,10.21,10.00,10.04,0
04-09-1990,10.00,10.00,9.96,9.96,0
04-10-1990,9.96,10.05,9.96,10.01,0
04-11-1990,10.09,10.30,10.09,10.26,0
04-12-1990,10.18,10.43,10.18,10.34,0
04-16-1990,10.34,10.47,10.26,10.26,0
04-17-1990,10.34,10.38,10.21,10.38,0
04-18-1990,10.38,10.38,10.00,10.04,0
04-19-1990,10.13,10.21,10.04,10.21,0
04-20-1990,10.14,10.18,9.85,9.88,0
04-23-1990,9.84,9.88,9.71,9.75,0
04-24-1990,9.80,9.80,9.63,9.72,0
04-25-1990,9.76,9.88,9.76,9.80,0
04-26-1990,9.80,9.97,9.80,9.80,0
04-27-1990,9.76,9.76,9.34,9.46,0
04-30-1990,9.38,9.46,9.25,9.38,0
05-01-1990,9.38,9.38,9.09,9.09,0
05-02-1990,9.09,9.13,8.92,9.09,0
05-03-1990,9.17,9.21,9.13,9.13,0
05-04-1990,9.13,9.26,9.09,9.26,0
05-07-1990,9.29,9.42,9.21,9.21,0
05-08-1990,9.29,9.29,9.21,9.21,0
05-09-1990,9.26,9.43,9.26,9.34,0
05-10-1990,9.34,9.46,9.34,9.43,0
05-11-1990,9.50,9.67,9.46,9.67,0
05-14-1990,9.67,9.76,9.67,9.72,0
05-15-1990,9.63,9.71,9.58,9.67,0
05-16-1990,9.63,9.67,9.55,9.63,0
05-17-1990,9.59,9.72,9.55,9.63,0
05-18-1990,9.59,9.63,9.29,9.38,0
05-21-1990,9.38,9.50,9.38,9.50,0
05-22-1990,9.63,9.75,9.63,9.67,0
05-23-1990,9.72,10.26,9.68,10.26,0
05-24-1990,10.34,10.34,10.09,10.09,0
05-25-1990,9.96,9.96,9.80,9.92,0
05-29-1990,10.00,10.13,9.92,10.04,0
05-30-1990,10.09,10.17,9.92,9.92,0
05-31-1990,9.88,9.96,9.75,9.84,0
06-01-1990,9.84,9.88,9.75,9.75,0
06-04-1990,9.67,9.67,9.55,9.59,0
06-05-1990,9.59,9.76,9.59,9.63,0
06-06-1990,9.67,9.67,9.51,9.63,0
06-07-1990,9.59,9.63,9.26,9.34,0
06-08-1990,9.38,9.38,9.29,9.38,0
06-11-1990,9.36,9.79,9.36,9.74,0
06-12-1990,9.78,9.82,9.61,9.70,0
06-13-1990,9.78,9.90,9.78,9.87,0
06-14-1990,9.79,9.87,9.57,9.83,0
06-15-1990,9.82,9.82,9.70,9.70,0
06-18-1990,9.62,9.74,9.57,9.66,0
06-19-1990,9.62,9.66,9.54,9.58,0
06-20-1990,9.53,9.70,9.53,9.61,0
06-21-1990,9.70,9.95,9.70,9.95,0
06-22-1990,10.00,10.25,9.95,10.17,0
06-25-1990,10.08,10.20,9.87,9.87,0
06-26-1990,9.87,10.08,9.87,10.08,0
06-27-1990,10.04,10.04,9.70,9.78,0
06-28-1990,9.78,9.82,9.61,9.61,0
06-29-1990,9.61,10.08,9.61,9.70,0
07-02-1990,9.74,10.08,9.66,10.08,0
07-03-1990,10.08,10.08,9.95,9.95,0
07-05-1990,9.96,9.96,9.71,9.74,0
07-06-1990,9.57,9.66,9.57,9.61,0
07-09-1990,9.57,9.61,9.53,9.53,0
07-10-1990,9.53,9.61,9.40,9.61,0
07-11-1990,9.65,9.95,9.57,9.87,0
07-12-1990,9.87,9.91,9.74,9.74,0
07-13-1990,9.82,9.82,9.70,9.70,0
07-16-1990,9.74,9.83,9.74,9.83,0
07-17-1990,9.87,9.95,9.79,9.83,0
07-18-1990,9.74,9.83,9.70,9.83,0
07-19-1990,9.83,9.83,9.66,9.66,0
07-20-1990,9.70,9.70,9.32,9.32,0
07-23-1990,9.24,9.24,8.86,8.99,0
07-24-1990,8.94,9.02,8.85,8.85,0
07-25-1990,8.90,8.90,8.68,8.77,0
07-26-1990,8.77,8.90,8.60,8.85,0
07-27-1990,8.85,8.90,8.69,8.69,0
07-30-1990,8.69,8.73,8.69,8.73,0
07-31-1990,8.78,8.78,8.69,8.73,0
08-01-1990,8.69,8.78,8.48,8.48,0
08-02-1990,8.27,8.27,8.01,8.10,0
08-03-1990,8.14,8.14,7.72,8.01,0
08-06-1990,7.93,7.93,7.72,7.81,0
08-07-1990,7.76,7.84,7.59,7.68,0
08-08-1990,7.68,7.89,7.68,7.68,0
08-09-1990,7.72,8.06,7.72,7.97,0
08-10-1990,7.97,7.97,7.80,7.89,0
08-13-1990,7.85,8.01,7.80,7.93,0
08-14-1990,8.01,8.27,8.01,8.27,0
08-15-1990,8.26,8.35,8.22,8.35,0
08-16-1990,8.27,8.31,8.18,8.23,0
08-17-1990,8.14,8.14,8.01,8.01,0
08-20-1990,8.10,8.14,8.01,8.10,0
08-21-1990,8.02,8.02,7.93,7.97,0
08-22-1990,7.93,7.93,7.84,7.84,0
08-23-1990,7.76,7.76,7.55,7.64,0
08-24-1990,7.68,7.76,7.63,7.68,0
08-27-1990,7.76,8.02,7.76,7.97,0
08-28-1990,7.97,8.10,7.97,8.10,0
08-29-1990,8.10,8.27,8.10,8.14,0
08-30-1990,8.18,8.22,8.18,8.18,0
08-31-1990,8.14,8.18,8.14,8.18,0
09-04-1990,8.09,8.18,8.09,8.18,0
09-05-1990,8.14,8.18,8.14,8.18,0
09-06-1990,8.18,8.23,8.14,8.23,0
09-07-1990,8.14,8.22,8.09,8.18,0
09-10-1990,8.29,8.33,8.29,8.33,0
09-11-1990,8.29,8.34,8.25,8.29,0
09-12-1990,8.29,8.29,8.25,8.29,0
09-13-1990,8.25,8.30,8.21,8.21,0
09-14-1990,8.21,8.29,8.21,8.29,0
09-17-1990,8.30,8.30,8.21,8.21,0
09-18-1990,8.16,8.16,8.03,8.08,0
09-19-1990,8.08,8.08,7.95,7.99,0
09-20-1990,7.90,7.90,7.61,7.65,0
09-21-1990,7.61,7.65,7.52,7.56,0
09-24-1990,7.53,7.53,7.36,7.53,0
09-25-1990,7.44,7.53,7.44,7.53,0
09-26-1990,7.48,7.61,7.48,7.61,0
09-27-1990,7.57,7.74,7.57,7.74,0
09-28-1990,7.65,7.70,7.53,7.53,0
10-01-1990,7.52,7.61,7.44,7.48,0
10-02-1990,7.57,8.13,7.57,7.91,0
10-03-1990,7.91,7.91,7.82,7.82,0
10-04-1990,7.87,7.87,7.74,7.78,0
10-05-1990,7.69,7.69,7.61,7.65,0
10-08-1990,7.74,7.82,7.74,7.78,0
10-09-1990,7.74,7.78,7.70,7.74,0
10-10-1990,7.69,7.78,7.69,7.78,0
10-11-1990,7.69,7.69,7.48,7.48,0
10-12-1990,7.52,7.56,7.43,7.56,0
10-15-1990,7.57,7.61,7.48,7.53,0
10-16-1990,7.61,7.65,7.57,7.61,0
10-17-1990,7.65,7.69,7.57,7.69,0
10-18-1990,7.69,7.91,7.69,7.69,0
10-19-1990,7.69,7.95,7.69,7.86,0
10-22-1990,7.95,8.00,7.83,7.91,0
10-23-1990,7.87,7.87,7.82,7.82,0
10-24-1990,7.86,7.99,7.82,7.95,0
10-25-1990,8.04,8.21,8.04,8.12,0
10-26-1990,8.03,8.03,7.78,7.95,0
10-29-1990,7.95,8.04,7.95,8.04,0
10-30-1990,7.95,7.95,7.69,7.69,0
10-31-1990,7.78,7.78,7.61,7.78,0
11-01-1990,7.74,7.87,7.74,7.82,0
11-02-1990,7.87,8.13,7.83,7.91,0
11-05-1990,8.08,8.13,8.00,8.04,0
11-06-1990,8.08,8.16,8.08,8.12,0
11-07-1990,8.12,8.12,7.86,7.86,0
11-08-1990,7.82,8.08,7.61,8.08,0
11-09-1990,7.99,7.99,7.86,7.95,0
11-12-1990,8.04,8.46,7.99,8.46,0
11-13-1990,8.37,8.63,8.29,8.63,0
11-14-1990,8.55,8.63,8.55,8.55,0
