Date,Open,High,Low,Close,Volume
01-02-1990,8.33,8.36,8.21,8.33,4636165
01-03-1990,8.33,8.42,8.24,8.42,4827061
01-04-1990,8.39,8.39,8.24,8.33,5298840
01-05-1990,8.33,8.39,8.24,8.24,2870435
01-08-1990,8.21,8.21,8.12,8.18,3048353
01-09-1990,8.18,8.18,7.94,8.00,3400404
01-10-1990,8.00,8.03,7.88,7.94,4207919
01-11-1990,7.94,8.09,7.94,8.06,3445197
01-12-1990,8.03,8.03,7.85,7.88,6141937
01-15-1990,7.88,7.94,7.67,7.85,3919913
01-16-1990,7.85,7.85,7.70,7.73,5297170
01-17-1990,7.73,7.79,7.55,7.58,5475497
01-18-1990,7.58,7.61,7.46,7.58,5130554
01-19-1990,7.58,7.70,7.55,7.55,3984381
01-22-1990,7.55,7.64,7.29,7.29,4111636
01-23-1990,7.32,7.44,7.32,7.38,4248523
01-24-1990,7.38,7.38,7.11,7.32,5483870
01-25-1990,7.32,7.41,7.08,7.14,6085003
01-26-1990,7.14,7.23,7.02,7.14,4516859
01-29-1990,7.14,7.29,7.05,7.17,2165897
01-30-1990,7.17,7.17,6.96,7.08,3665812
01-31-1990,7.08,7.11,7.02,7.11,2857037
02-01-1990,7.11,7.26,7.11,7.17,6554273
02-02-1990,7.17,7.29,7.17,7.20,1966215
02-05-1990,7.20,7.26,7.17,7.20,2669501
02-06-1990,7.20,7.20,6.96,6.99,4318437
02-07-1990,6.99,7.20,6.84,7.17,4227592
02-08-1990,7.17,7.17,6.99,7.05,4336438
02-09-1990,7.05,7.08,6.87,6.99,4059309
02-12-1990,6.99,7.02,6.90,6.96,2557307
02-13-1990,6.96,7.02,6.84,6.99,4572541
02-14-1990,6.96,6.96,6.78,6.93,4762590
02-15-1990,6.93,6.93,6.75,6.81,5668478
02-16-1990,6.87,6.99,6.87,6.93,5253211
02-20-1990,6.93,6.93,6.72,6.75,5215531
02-21-1990,6.75,6.75,6.57,6.69,5462101
02-22-1990,6.69,6.81,6.60,6.60,5313072
02-23-1990,6.60,6.75,6.51,6.69,5525315
02-26-1990,6.72,6.87,6.72,6.87,3320449
02-27-1990,6.78,6.78,6.57,6.72,14302899
02-28-1990,6.72,7.11,6.72,6.96,8323359
03-01-1990,6.96,6.99,6.87,6.93,9976065
03-02-1990,6.93,7.02,6.93,7.02,5547920
03-05-1990,6.72,6.72,6.51,6.57,14374484
03-06-1990,6.57,6.63,6.48,6.51,13929912
03-07-1990,6.57,6.69,6.57,6.66,11291360
03-08-1990,6.66,6.75,6.63,6.66,9411344
03-09-1990,6.66,6.75,6.63,6.69,6849822
03-12-1990,6.69,6.75,6.63,6.69,6098817
03-13-1990,6.69,6.69,6.63,6.66,3483713
03-14-1990,6.66,6.75,6.66,6.75,4521045
03-15-1990,6.75,6.78,6.66,6.69,3694694
03-16-1990,6.69,6.78,6.69,6.78,8552759
03-19-1990,6.72,6.72,6.63,6.69,3574131
03-20-1990,6.69,6.72,6.60,6.60,6377620
03-21-1990,6.60,6.66,6.60,6.63,4170664
03-22-1990,6.63,6.66,6.33,6.36,9660007
03-23-1990,6.39,6.51,6.39,6.42,5346560
03-26-1990,6.42,6.51,6.39,6.42,3569107
03-27-1990,6.36,6.36,6.15,6.36,10557944
03-28-1990,6.36,6.39,6.24,6.30,7290619
03-29-1990,6.30,6.36,6.21,6.24,5775225
03-30-1990,6.24,6.27,6.09,6.15,5954398
04-02-1990,6.15,6.21,6.09,6.21,4582167
04-03-1990,6.21,6.27,6.15,6.24,4009497
04-04-1990,6.24,6.42,6.24,6.33,5787785
04-05-1990,6.33,6.42,6.33,6.36,3090214
04-06-1990,6.36,6.39,6.30,6.36,2167993
04-09-1990,6.36,6.42,6.33,6.39,3071794
04-10-1990,6.39,6.57,6.39,6.54,4348577
04-11-1990,6.54,6.72,6.54,6.66,8111536
04-12-1990,6.66,6.78,6.63,6.75,4162290
04-16-1990,6.75,6.75,6.75,6.75,0
04-17-1990,6.78,7.05,6.78,6.99,5412288
04-18-1990,6.99,6.99,6.81,6.90,5033439
04-19-1990,6.87,6.87,6.54,6.60,6214775
04-20-1990,6.63,6.75,6.63,6.72,5639593
04-23-1990,6.72,6.72,6.48,6.51,4259412
04-24-1990,6.51,6.63,6.45,6.45,3133328
04-25-1990,6.45,6.57,6.42,6.42,2688335
04-26-1990,6.42,6.51,6.30,6.36,4087778
04-27-1990,6.36,6.45,6.30,6.30,2086364
04-30-1990,6.30,6.51,6.30,6.48,3445197
05-01-1990,6.48,6.51,6.36,6.36,3297844
05-02-1990,6.36,6.42,6.36,6.42,2911877
05-03-1990,6.42,6.48,6.27,6.33,3947958
05-04-1990,6.33,6.45,6.33,6.42,4785614
05-07-1990,6.42,6.48,6.42,6.42,2994769
05-08-1990,6.42,6.54,6.42,6.54,3276912
05-09-1990,6.54,6.60,6.51,6.57,4009075
05-10-1990,6.57,6.66,6.54,6.63,4094056
05-11-1990,6.66,6.93,6.66,6.87,7472307
05-14-1990,6.93,7.17,6.93,6.99,8868397
05-15-1990,7.02,7.35,7.02,7.32,9297487
05-16-1990,7.26,7.26,6.96,6.99,6366314
05-17-1990,7.02,7.11,7.02,7.05,4258573
05-18-1990,7.05,7.08,6.99,7.08,5046413
05-21-1990,7.08,7.20,7.02,7.17,4102429
05-22-1990,7.17,7.29,7.05,7.08,6761076
05-23-1990,7.08,7.14,6.99,7.11,3624369
05-24-1990,7.11,7.23,7.11,7.17,4374525
05-25-1990,7.14,7.14,6.96,7.02,2317018
05-29-1990,7.02,7.08,6.93,7.08,3201562
05-30-1990,7.08,7.11,6.96,7.02,4466629
05-31-1990,7.02,7.02,6.93,6.99,3452312
06-01-1990,7.02,7.11,7.02,7.11,4277415
06-04-1990,7.14,7.55,7.14,7.55,8698440
06-05-1990,7.55,7.61,7.46,7.49,6585257
06-06-1990,7.49,7.49,7.35,7.46,4587189
06-07-1990,7.46,7.64,7.46,7.52,6951128
06-08-1990,7.52,7.55,7.32,7.35,3540644
06-11-1990,7.32,7.32,7.20,7.32,3248446
06-12-1990,7.32,7.32,7.11,7.26,6570183
06-13-1990,7.29,7.58,7.29,7.49,7870417
06-14-1990,7.49,7.52,7.38,7.41,4318015
06-15-1990,7.41,7.49,7.38,7.44,8194004
06-18-1990,7.44,7.44,7.29,7.32,5063159
06-19-1990,7.32,7.38,7.17,7.35,4162711
06-20-1990,7.35,7.38,7.17,7.20,3453151
06-21-1990,7.20,7.26,7.14,7.23,6528322
06-22-1990,7.26,7.38,7.26,7.29,20468312
06-25-1990,7.29,7.35,7.26,7.29,6032256
06-26-1990,7.29,7.32,7.26,7.26,5108369
06-27-1990,7.26,7.32,7.23,7.29,4344809
06-28-1990,7.29,7.35,7.26,7.35,4141779
06-29-1990,7.35,7.44,7.29,7.35,8333407
07-02-1990,7.35,7.46,7.35,7.46,3600923
07-03-1990,7.46,7.55,7.29,7.52,4655845
07-05-1990,7.52,7.55,7.38,7.49,4554537
07-06-1990,7.49,7.64,7.46,7.61,4170664
07-09-1990,7.58,7.58,7.46,7.55,2013518
07-10-1990,7.52,7.52,7.35,7.41,3049602
07-11-1990,7.41,7.46,7.35,7.44,3025745
07-12-1990,7.44,7.46,7.29,7.38,7219464
07-13-1990,7.38,7.44,7.29,7.32,6266267
07-16-1990,7.32,7.46,7.29,7.38,4924180
07-17-1990,7.41,7.55,7.41,7.49,5431545
07-18-1990,7.49,7.49,7.38,7.41,2819360
07-19-1990,7.41,7.58,7.38,7.46,5035950
07-20-1990,7.46,7.46,7.29,7.29,6981267
07-23-1990,7.26,7.26,6.78,7.20,7358862
07-24-1990,7.20,7.23,7.05,7.17,4157683
07-25-1990,7.17,7.23,7.08,7.20,2050361
07-26-1990,7.20,7.20,7.08,7.17,2605868
07-27-1990,7.17,7.20,6.99,7.05,2643543
07-30-1990,7.05,7.05,6.96,6.96,3055040
07-31-1990,6.96,7.05,6.93,6.96,2750710
08-01-1990,6.96,6.99,6.75,6.84,5774809
08-02-1990,6.84,6.87,6.48,6.69,10866880
08-03-1990,6.63,6.63,6.33,6.63,10196675
08-06-1990,6.33,6.33,5.91,6.27,11456299
08-07-1990,6.27,6.36,6.12,6.21,5672250
08-08-1990,6.24,6.39,6.24,6.39,3977682
08-09-1990,6.39,6.48,6.24,6.36,2925274
08-10-1990,6.36,6.57,6.33,6.57,4061406
08-13-1990,6.54,6.54,6.39,6.54,3669575
08-14-1990,6.54,6.54,6.42,6.45,2804710
08-15-1990,6.45,6.57,6.36,6.36,4525238
08-16-1990,6.33,6.33,6.06,6.06,5634571
08-17-1990,6.06,6.09,5.91,6.06,805
08-20-1990,6.03,6.03,5.88,5.94,3457758
08-21-1990,5.91,5.91,5.67,5.76,5763507
08-22-1990,5.76,5.79,5.61,5.61,5028831
08-23-1990,5.52,5.52,5.26,5.46,7797154
08-24-1990,5.46,5.61,5.41,5.61,6451294
08-27-1990,5.76,5.88,5.76,5.82,3712695
08-28-1990,5.79,5.79,5.61,5.64,2746527
08-29-1990,5.64,5.73,5.58,5.70,6438739
08-30-1990,5.70,5.70,5.49,5.58,3584600
08-31-1990,5.58,5.82,5.49,5.76,4067680
09-04-1990,5.76,5.76,5.61,5.73,4428117
09-05-1990,5.73,5.76,5.67,5.76,3538552
09-06-1990,5.73,5.73,5.52,5.61,3105696
