Date,Open,High,Low,Close,Volume
05-21-1998,10.50,11.50,10.44,10.63,3224000
05-22-1998,10.63,10.94,10.50,10.88,234400
05-26-1998,10.75,11.38,10.63,10.94,180200
05-27-1998,11.13,11.13,10.81,10.81,85500
05-28-1998,11.13,11.13,10.81,11.00,43400
05-29-1998,11.19,11.19,10.81,11.13,55600
06-01-1998,11.19,11.56,10.81,11.56,101700
06-02-1998,11.75,12.00,11.25,12.00,236800
06-03-1998,12.00,12.38,11.75,12.13,160200
06-04-1998,12.13,12.38,11.75,11.88,279400
06-05-1998,11.75,11.88,11.00,11.50,210900
06-08-1998,11.13,11.25,11.00,11.25,37300
06-09-1998,11.00,11.50,11.00,11.38,24400
06-10-1998,11.25,11.44,11.25,11.38,85500
06-11-1998,11.25,11.38,11.19,11.19,69100
06-12-1998,11.13,11.38,10.63,11.00,48400
06-15-1998,10.88,10.88,10.25,10.25,91700
06-16-1998,10.63,10.69,10.25,10.38,43400
06-17-1998,10.50,10.50,10.13,10.13,129600
06-18-1998,10.38,10.38,10.13,10.13,69700
06-19-1998,10.13,10.63,10.13,10.63,48800
06-22-1998,10.63,10.69,10.50,10.50,27000
06-23-1998,10.75,11.13,10.63,11.06,81000
06-24-1998,11.00,11.25,11.00,11.25,33900
06-25-1998,11.50,13.25,11.13,13.25,145200
06-26-1998,13.50,16.75,13.25,15.00,243300
06-29-1998,15.50,15.63,14.63,14.63,116600
06-30-1998,14.75,14.75,14.13,14.38,67600
07-01-1998,14.75,14.75,14.38,14.75,21900
07-02-1998,14.75,14.81,14.38,14.50,10600
07-06-1998,14.88,15.38,14.75,14.75,51200
07-07-1998,15.13,15.13,14.13,14.13,78100
07-08-1998,14.13,14.50,13.88,14.06,45700
07-09-1998,14.00,14.38,13.88,14.25,9700
07-10-1998,13.88,14.25,13.88,13.88,3900
07-13-1998,14.13,14.13,13.00,13.50,178800
07-14-1998,13.75,13.75,13.13,13.75,11200
07-15-1998,13.75,13.75,13.38,13.50,4700
07-16-1998,13.38,13.94,13.38,13.94,4100
07-17-1998,13.50,14.63,13.50,14.63,16600
07-20-1998,14.75,15.75,14.13,15.50,140500
07-21-1998,15.38,15.75,14.88,14.88,54500
07-22-1998,14.75,15.13,14.63,14.69,7500
07-23-1998,15.00,15.00,14.63,15.00,15100
07-24-1998,15.38,15.38,12.25,12.63,102100
07-27-1998,12.50,12.75,11.81,11.88,39100
07-28-1998,12.25,12.50,11.63,12.13,48500
07-29-1998,12.38,12.38,11.75,11.81,10500
07-30-1998,12.00,12.25,11.88,12.19,54000
07-31-1998,12.38,12.38,12.13,12.13,8400
08-03-1998,13.75,14.50,13.50,13.94,299300
08-04-1998,14.25,14.25,13.88,14.00,171200
08-05-1998,14.00,14.13,13.50,13.50,42600
08-06-1998,13.75,13.75,13.25,13.63,8200
08-07-1998,13.63,13.63,13.00,13.00,24200
08-10-1998,13.63,13.75,13.13,13.44,62200
08-11-1998,12.75,13.50,12.75,12.88,47400
08-12-1998,13.00,13.00,12.25,12.75,30600
08-13-1998,12.75,12.75,11.38,11.88,90800
08-14-1998,12.13,12.25,12.00,12.25,10400
08-17-1998,12.06,12.50,12.00,12.00,35200
08-18-1998,12.25,12.25,12.00,12.00,38700
08-19-1998,12.06,12.13,11.75,11.88,60900
08-20-1998,11.81,12.00,11.81,12.00,85100
08-21-1998,12.00,12.00,11.31,11.81,65300
08-24-1998,11.88,11.88,11.25,11.50,8900
08-25-1998,11.88,12.13,11.50,11.56,60400
08-26-1998,11.50,11.50,11.25,11.38,55100
08-27-1998,11.50,11.50,10.75,10.75,27700
08-28-1998,11.19,11.19,10.25,10.50,35900
08-31-1998,10.50,11.25,9.50,9.50,175000
09-01-1998,9.50,10.38,9.50,9.63,4900
09-02-1998,10.00,10.00,9.38,9.38,21200
09-03-1998,10.00,10.50,8.00,8.00,34500
09-04-1998,8.25,8.50,7.63,8.00,51100
09-08-1998,8.13,8.63,8.13,8.25,33300
09-09-1998,8.50,8.75,8.25,8.75,2500
09-10-1998,8.25,8.25,7.50,7.53,29800
09-11-1998,8.00,8.50,7.50,8.00,44700
09-14-1998,8.50,8.50,8.00,8.03,72500
09-15-1998,8.25,8.25,8.00,8.25,19100
09-16-1998,8.25,8.25,7.50,7.63,21700
09-17-1998,8.25,8.25,7.50,7.50,9800
