Date,Open,High,Low,Close,Volume
11-28-2001,10.47,10.47,10.25,10.39,7971
11-29-2001,10.34,10.34,10.19,10.22,4983
11-30-2001,10.18,11.43,10.05,11.39,1717647
12-03-2001,11.39,11.59,11.31,11.56,1011690
12-04-2001,11.48,11.59,11.39,11.52,883106
12-05-2001,11.52,11.89,11.52,11.78,1033897
12-06-2001,11.68,11.89,11.48,11.71,324594
12-07-2001,11.60,11.60,11.22,11.29,473712
12-10-2001,10.97,10.97,9.38,9.38,402915
12-11-2001,9.46,10.54,9.46,10.54,661995
12-12-2001,10.45,10.76,10.01,10.05,265491
12-13-2001,10.13,10.39,9.84,10.05,195535
12-14-2001,9.97,10.12,9.85,10.03,162103
12-17-2001,9.76,10.13,9.05,9.21,610419
12-18-2001,9.13,9.63,8.96,9.63,672737
12-19-2001,9.35,10.13,9.26,10.01,332832
12-20-2001,10.05,10.05,9.51,9.64,632383
12-21-2001,9.38,10.01,9.34,9.97,422494
12-24-2001,10.34,10.85,10.13,10.80,128555
12-26-2001,10.96,11.06,10.02,10.48,290924
12-27-2001,10.64,10.85,10.64,10.80,369960
12-28-2001,10.81,10.81,9.97,10.05,296898
12-31-2001,10.05,10.39,10.05,10.13,530905
01-02-2002,10.09,11.73,10.06,11.73,164371
01-03-2002,11.52,12.35,11.52,12.35,300958
01-04-2002,12.35,12.47,11.82,12.40,152794
01-07-2002,12.32,12.32,11.74,11.94,150760
01-08-2002,11.89,11.89,11.60,11.89,74112
01-09-2002,11.85,12.02,11.56,11.56,59072
01-10-2002,11.48,11.77,11.06,11.37,85571
01-11-2002,11.41,11.51,11.31,11.31,66114
01-14-2002,11.12,12.27,11.06,12.24,195535
01-15-2002,12.19,12.29,11.75,11.81,218813
01-16-2002,11.84,11.85,10.83,10.83,91314
01-17-2002,10.75,11.63,10.75,11.63,730471
01-18-2002,11.46,11.55,11.09,11.38,137397
01-22-2002,11.38,11.88,11.38,11.70,90719
01-23-2002,11.70,11.78,11.26,11.78,81032
01-24-2002,11.70,11.70,11.42,11.42,68977
01-25-2002,11.34,11.52,11.00,11.52,129006
01-28-2002,11.59,11.78,11.56,11.64,158076
01-29-2002,11.64,11.64,11.02,11.17,130308
01-30-2002,11.13,11.15,10.85,11.07,32588
01-31-2002,11.00,11.04,10.58,11.04,138934
02-01-2002,11.04,11.04,10.78,11.03,100175
02-04-2002,10.83,11.84,10.74,11.33,78431
02-05-2002,11.25,11.25,10.60,11.20,131841
02-06-2002,11.20,11.38,11.09,11.23,241145
02-07-2002,11.15,11.21,11.09,11.16,88006
02-08-2002,11.25,11.40,11.24,11.34,112699
02-11-2002,11.26,11.30,11.00,11.17,120261
02-12-2002,11.17,11.26,11.13,11.23,161622
02-13-2002,11.22,11.26,11.21,11.26,73000
02-14-2002,11.26,11.30,11.21,11.30,203332
