Date,Open,High,Low,Close,Volume
03-13-2012,10.48,10.48,10.29,10.35,88269
03-14-2012,10.25,10.33,10.25,10.33,19793
03-15-2012,10.41,11.06,10.08,10.15,77272
03-16-2012,10.38,10.38,10.38,10.38,1461
03-19-2012,10.34,10.44,10.34,10.35,13681
03-20-2012,10.15,10.15,9.91,9.96,20090
03-21-2012,10.28,10.48,10.05,10.35,41011
03-22-2012,10.11,10.11,9.99,10.01,9561
03-23-2012,10.01,10.01,10.01,10.01,0
03-26-2012,10.32,10.32,10.32,10.32,273
03-27-2012,10.32,10.32,10.32,10.32,0
03-28-2012,10.20,10.20,9.90,9.90,1762
03-29-2012,9.92,9.95,9.82,9.95,28948
03-30-2012,10.08,10.08,9.77,9.77,1016
04-02-2012,9.97,9.97,9.96,9.97,9108
04-03-2012,9.82,9.90,9.82,9.90,1023
04-04-2012,9.90,9.90,9.90,9.90,0
04-05-2012,9.57,9.78,9.44,9.56,4215
04-09-2012,9.44,9.44,9.42,9.42,1779
04-10-2012,9.42,9.42,9.42,9.42,0
04-11-2012,9.42,9.42,9.42,9.42,419
04-12-2012,9.42,9.42,9.42,9.42,0
04-13-2012,9.45,9.45,9.45,9.45,867
04-16-2012,9.41,9.41,9.41,9.41,397
04-17-2012,9.41,9.41,9.41,9.41,0
04-18-2012,9.17,9.17,9.17,9.17,273
04-19-2012,9.17,9.17,9.17,9.17,0
04-20-2012,9.17,9.17,9.17,9.17,0
04-23-2012,9.17,9.17,9.17,9.17,0
04-24-2012,9.06,9.17,9.06,9.17,496
04-25-2012,9.17,9.17,9.17,9.17,0
04-26-2012,8.91,8.91,8.91,8.91,419
04-27-2012,8.91,8.91,8.91,8.91,0
04-30-2012,8.91,8.91,8.91,8.91,0
05-01-2012,8.91,8.91,8.91,8.91,0
05-02-2012,8.57,8.57,8.51,8.51,419
05-03-2012,8.51,8.51,8.51,8.51,0
05-04-2012,8.53,8.53,8.53,8.53,1461
05-07-2012,8.53,8.53,8.53,8.53,0
05-08-2012,8.53,8.53,8.53,8.53,0
05-09-2012,8.53,8.53,8.53,8.53,0
05-10-2012,8.74,8.74,8.41,8.46,1912
05-11-2012,8.35,8.41,8.35,8.41,25642
05-14-2012,8.14,8.14,8.14,8.14,470
05-15-2012,8.02,8.03,8.02,8.03,1461
05-16-2012,7.86,7.86,7.62,7.62,419
05-17-2012,7.63,8.00,7.63,8.00,2602
05-18-2012,8.02,8.02,7.50,7.50,2069
05-21-2012,7.70,7.70,7.68,7.70,14052
05-22-2012,7.70,7.70,7.70,7.70,0
05-23-2012,7.54,7.76,7.53,7.76,626
05-24-2012,7.76,7.76,7.76,7.76,0
05-25-2012,7.76,7.76,7.76,7.76,0
05-29-2012,7.76,7.76,7.76,7.76,0
05-30-2012,7.76,7.76,7.76,7.76,0
05-31-2012,8.02,8.02,8.02,8.02,122
06-01-2012,8.02,8.02,8.02,8.02,0
06-04-2012,8.02,8.02,8.02,8.02,0
06-05-2012,8.02,8.02,8.02,8.02,0
06-06-2012,8.02,8.02,8.02,8.02,0
06-07-2012,8.02,8.02,8.02,8.02,0
06-08-2012,8.02,8.02,8.02,8.02,0
06-11-2012,8.02,8.02,8.02,8.02,0
06-12-2012,8.02,8.02,8.02,8.02,0
06-13-2012,8.05,8.07,8.05,8.07,17044
06-14-2012,8.07,8.07,8.07,8.07,0
06-15-2012,8.07,8.07,8.07,8.07,0
06-18-2012,7.86,8.27,7.86,8.27,419
06-19-2012,8.35,8.35,8.35,8.35,122
