Date,Open,High,Low,Close,Volume
10-26-2012,15.62,15.65,15.62,15.64,607024
10-31-2012,15.64,15.66,15.62,15.62,52987
11-01-2012,15.66,15.66,15.62,15.66,31480
11-02-2012,15.64,15.64,15.62,15.62,20309
11-05-2012,15.64,15.64,15.62,15.63,41181
11-06-2012,15.65,15.65,15.62,15.62,42166
11-07-2012,15.62,15.63,15.62,15.62,109604
11-08-2012,15.63,15.63,15.62,15.62,11759
11-09-2012,15.63,15.63,15.62,15.63,18668
11-12-2012,15.63,15.63,15.62,15.62,14454
11-13-2012,15.63,15.63,15.62,15.62,37890
11-14-2012,15.62,15.69,15.62,15.62,96128
11-15-2012,15.62,15.63,15.62,15.62,50122
11-16-2012,15.62,15.63,15.62,15.62,39838
11-19-2012,15.63,15.63,15.63,15.63,4210
11-20-2012,15.62,15.63,15.62,15.62,28530
11-21-2012,15.63,15.64,15.62,15.63,14902
11-23-2012,15.62,15.63,15.62,15.62,82267
11-26-2012,15.62,15.63,15.62,15.62,33322
11-27-2012,15.62,15.63,15.62,15.62,68252
11-28-2012,15.62,15.63,15.62,15.62,63336
11-29-2012,15.62,15.63,15.62,15.62,26422
11-30-2012,15.62,15.68,15.62,15.62,33884
12-03-2012,15.66,15.66,15.62,15.66,88677
12-04-2012,15.62,15.67,15.54,15.63,789810
12-05-2012,15.62,15.65,15.62,15.62,164492
12-06-2012,15.63,15.64,15.62,15.62,120343
12-07-2012,15.63,15.67,15.62,15.66,80437
12-10-2012,15.59,15.66,15.51,15.52,51985
12-11-2012,15.61,15.62,15.37,15.55,132238
12-12-2012,15.57,15.70,15.53,15.65,61078
12-13-2012,15.69,15.69,15.59,15.62,35554
12-14-2012,15.68,15.69,15.47,15.62,99484
12-17-2012,15.61,15.62,15.49,15.52,49934
12-18-2012,15.57,15.59,15.47,15.49,77035
12-19-2012,15.41,15.48,15.24,15.42,87821
12-20-2012,15.52,15.52,15.27,15.40,60233
12-21-2012,15.13,15.41,15.13,15.28,83149
12-24-2012,15.23,15.53,15.19,15.34,6820
12-26-2012,15.41,15.41,15.00,15.21,65625
12-27-2012,15.11,15.28,15.02,15.04,59145
12-28-2012,15.17,15.32,14.88,14.89,88256
12-31-2012,15.00,15.09,14.81,14.86,90141
01-02-2013,15.09,15.34,15.01,15.12,68096
01-03-2013,15.09,15.36,15.07,15.21,41264
01-04-2013,15.19,15.31,15.04,15.20,70559
01-07-2013,15.16,15.34,15.16,15.22,32146
01-08-2013,15.22,15.26,15.01,15.12,96925
01-09-2013,15.16,15.31,15.12,15.24,42877
01-10-2013,15.31,15.39,15.16,15.37,59153
01-11-2013,15.27,15.43,15.27,15.39,57729
01-14-2013,15.33,15.40,15.04,15.22,124878
01-15-2013,15.34,15.34,15.18,15.32,94246
01-16-2013,15.22,15.41,15.19,15.32,91682
01-17-2013,15.27,15.36,15.12,15.22,109182
01-18-2013,15.36,15.60,15.31,15.59,321144
01-22-2013,15.59,15.68,15.50,15.60,243524
01-23-2013,15.59,15.62,15.55,15.59,102901
01-24-2013,15.59,15.59,15.44,15.44,104671
01-25-2013,15.57,15.57,15.37,15.41,105943
01-28-2013,15.44,15.44,15.31,15.33,162130
01-29-2013,15.37,15.39,15.31,15.36,141398
01-30-2013,15.34,15.37,15.32,15.34,82667
01-31-2013,15.37,15.39,15.34,15.37,87713
02-01-2013,15.50,15.51,15.35,15.47,72301
02-04-2013,15.37,15.53,15.36,15.39,72403
02-05-2013,15.42,15.46,15.35,15.46,79985
02-06-2013,15.46,15.51,15.38,15.48,69954
02-07-2013,15.49,15.49,15.40,15.42,99497
02-08-2013,15.47,15.48,15.41,15.47,52220
02-11-2013,15.56,15.58,15.51,15.56,48403
02-12-2013,15.51,15.57,15.50,15.54,58952
02-13-2013,15.54,15.56,15.41,15.44,88098
02-14-2013,15.42,15.51,15.42,15.49,60515
02-15-2013,15.46,15.46,15.37,15.42,73540
02-19-2013,15.56,15.56,15.46,15.54,103722
02-20-2013,15.53,15.53,15.50,15.53,57817
02-21-2013,15.52,15.54,15.41,15.46,89511
02-22-2013,15.43,15.51,15.37,15.40,193571
02-25-2013,15.42,15.45,15.31,15.32,290895
02-26-2013,15.31,15.44,15.31,15.37,123864
02-27-2013,15.43,15.51,15.37,15.45,163961
02-28-2013,15.58,15.58,15.46,15.52,145490
03-01-2013,15.62,15.62,15.47,15.50,82886
03-04-2013,15.47,15.56,15.42,15.50,79837
03-05-2013,15.55,15.57,15.47,15.49,64072
03-06-2013,15.55,15.56,15.41,15.41,117945
03-07-2013,15.43,15.46,15.39,15.41,127159
03-08-2013,15.45,15.49,15.39,15.39,135413
03-11-2013,15.44,15.44,15.39,15.42,90258
03-12-2013,15.42,15.46,15.41,15.46,69501
03-13-2013,15.47,15.52,15.42,15.51,96853
03-14-2013,15.53,15.61,15.43,15.52,85455
03-15-2013,15.53,15.59,15.42,15.45,93736
03-18-2013,15.37,15.48,15.37,15.45,122285
03-19-2013,15.39,15.50,15.31,15.35,202076
03-20-2013,15.37,15.44,15.36,15.38,103935
03-21-2013,15.37,15.44,15.31,15.32,189081
03-22-2013,15.37,15.57,15.36,15.41,251226
03-25-2013,15.42,15.52,15.39,15.42,194718
03-26-2013,15.48,15.57,15.41,15.55,175470
03-27-2013,15.53,15.59,15.47,15.57,138666
03-28-2013,15.49,15.73,15.49,15.63,631255
04-01-2013,15.64,15.64,15.49,15.62,112858
04-02-2013,15.56,15.61,15.55,15.59,84632
04-03-2013,15.62,15.62,15.50,15.56,141645
04-04-2013,15.51,15.61,15.48,15.59,159548
04-05-2013,15.51,15.66,15.51,15.66,142178
04-08-2013,15.67,15.69,15.59,15.61,97999
04-09-2013,15.62,15.69,15.62,15.69,232275
04-10-2013,15.69,15.74,15.62,15.62,224278
04-11-2013,15.61,15.71,15.59,15.64,210817
04-12-2013,15.68,15.72,15.61,15.62,159303
04-15-2013,15.67,15.67,15.56,15.62,125223
04-16-2013,15.63,15.66,15.59,15.62,113365
04-17-2013,15.62,15.66,15.61,15.66,95124
04-18-2013,15.59,15.71,15.55,15.69,122253
04-19-2013,15.71,15.75,15.66,15.75,104693
04-22-2013,15.69,15.74,15.59,15.68,169206
04-23-2013,15.62,15.71,15.49,15.52,214420
04-24-2013,15.55,15.59,15.49,15.51,135319
04-25-2013,15.59,15.62,15.52,15.53,120009
04-26-2013,15.56,15.61,15.48,15.61,159192
04-29-2013,15.53,15.69,15.53,15.67,72736
04-30-2013,15.69,15.79,15.62,15.75,129842
05-01-2013,15.82,15.84,15.76,15.83,121882
05-02-2013,15.79,15.87,15.77,15.80,137877
05-03-2013,15.87,15.87,15.66,15.74,102984
05-06-2013,15.73,15.82,15.62,15.82,115791
05-07-2013,15.84,15.85,15.72,15.85,120733
05-08-2013,15.76,15.85,15.74,15.78,122343
05-09-2013,15.83,15.87,15.75,15.77,117580
05-10-2013,15.83,15.85,15.72,15.74,116535
05-13-2013,15.77,15.77,15.69,15.72,107593
05-14-2013,15.70,15.75,15.67,15.72,129894
05-15-2013,15.71,15.72,15.63,15.67,143757
05-16-2013,15.70,15.70,15.65,15.69,89675
05-17-2013,15.69,15.74,15.67,15.68,147134
05-20-2013,15.64,15.72,15.57,15.66,115720
05-21-2013,15.64,15.74,15.62,15.72,126855
05-22-2013,15.69,15.77,15.59,15.61,190448
05-23-2013,15.57,15.57,15.51,15.56,134713
05-24-2013,15.61,15.61,15.40,15.47,136113
05-28-2013,15.62,15.62,15.35,15.41,218077
05-29-2013,15.41,15.41,15.22,15.26,204106
05-30-2013,15.19,15.42,15.19,15.42,133907
05-31-2013,15.42,15.52,15.37,15.40,165813
06-03-2013,15.53,15.56,15.37,15.39,185964
06-04-2013,15.43,15.47,15.34,15.37,158000
06-05-2013,15.37,15.40,15.31,15.31,142518
06-06-2013,15.32,15.39,15.28,15.31,116200
06-07-2013,15.41,15.46,15.31,15.45,107437
06-10-2013,15.43,15.43,15.19,15.22,121647
06-11-2013,15.22,15.24,15.06,15.08,216571
06-12-2013,15.10,15.12,14.97,14.97,246041
06-13-2013,15.00,15.00,14.60,14.93,281631
06-14-2013,14.95,15.16,14.84,14.99,130773
06-17-2013,15.11,15.35,14.97,15.12,82663
06-18-2013,15.17,15.18,14.87,14.94,167658
06-19-2013,14.89,14.97,14.54,14.62,207913
06-20-2013,14.24,14.59,14.17,14.35,373063
06-21-2013,14.38,14.59,14.32,14.57,148414
06-24-2013,14.37,14.46,13.78,13.93,426637
06-25-2013,13.98,14.14,13.82,13.99,250358
06-26-2013,14.10,14.49,14.01,14.07,236761
06-27-2013,14.16,14.57,14.16,14.46,102504
06-28-2013,14.53,14.64,14.22,14.44,136303
07-01-2013,14.66,14.77,14.49,14.54,137344
07-02-2013,14.54,14.69,14.32,14.40,118864
07-03-2013,14.40,14.51,14.26,14.51,29620
07-05-2013,14.49,14.49,14.14,14.34,81079
07-08-2013,14.35,14.49,14.08,14.14,126608
07-09-2013,14.14,14.30,14.07,14.19,143131
07-10-2013,14.17,14.42,14.17,14.41,135762
07-11-2013,14.58,14.66,14.37,14.58,199791
07-12-2013,14.66,14.75,14.58,14.66,79370
07-15-2013,14.73,14.78,14.62,14.73,84521
07-16-2013,14.79,14.79,14.58,14.63,82193
07-17-2013,14.63,14.85,14.57,14.85,91147
07-18-2013,14.91,14.91,14.71,14.80,111578
07-19-2013,14.83,14.83,14.62,14.70,113779
07-22-2013,14.70,14.76,14.48,14.48,170951
07-23-2013,14.51,14.58,14.42,14.55,121499
07-24-2013,14.57,14.57,14.42,14.49,139075
07-25-2013,14.55,14.58,14.34,14.39,119109
07-26-2013,14.39,14.55,14.38,14.53,92777
07-29-2013,14.49,14.58,14.41,14.46,119502
07-30-2013,14.55,14.64,14.43,14.50,147444
07-31-2013,14.55,14.58,14.46,14.51,85515
08-01-2013,14.65,14.70,14.48,14.51,119819
08-02-2013,14.47,14.76,14.46,14.70,133042
08-05-2013,14.81,14.86,14.69,14.76,79472
08-06-2013,14.81,14.81,14.67,14.79,94536
08-07-2013,14.70,14.83,14.70,14.83,79454
08-08-2013,14.77,14.86,14.53,14.53,248203
08-09-2013,14.60,14.81,14.55,14.74,86686
08-12-2013,14.75,14.86,14.74,14.77,55113
08-13-2013,14.86,14.86,14.65,14.76,106077
08-14-2013,14.79,14.79,14.49,14.50,92960
08-15-2013,14.47,14.53,14.42,14.48,95700
08-16-2013,14.58,14.70,14.58,14.65,181064
08-19-2013,14.59,14.68,14.36,14.36,127583
08-20-2013,14.43,14.62,14.32,14.50,214400
08-21-2013,14.40,14.64,14.40,14.42,165241
08-22-2013,14.41,14.55,14.29,14.34,209751
08-23-2013,14.33,14.37,14.26,14.32,186968
08-26-2013,14.30,14.42,14.30,14.31,153663
08-27-2013,14.30,14.41,14.24,14.32,154327
08-28-2013,14.36,14.43,14.25,14.39,115942
08-29-2013,14.37,14.43,14.31,14.37,106316
08-30-2013,14.34,14.46,14.27,14.32,219640
09-03-2013,14.38,14.44,14.28,14.31,133577
09-04-2013,14.33,14.37,14.28,14.33,186514
09-05-2013,14.32,14.40,14.30,14.30,82583
09-06-2013,14.37,14.39,14.30,14.37,58976
09-09-2013,14.41,14.41,14.28,14.31,111739
09-10-2013,14.36,14.44,14.32,14.44,94363
09-11-2013,14.39,14.48,14.33,14.43,149028
09-12-2013,14.45,14.51,14.39,14.42,169089
09-13-2013,14.49,14.50,14.43,14.43,115043
09-16-2013,14.53,14.64,14.51,14.62,87122
09-17-2013,14.62,14.66,14.50,14.55,157476
09-18-2013,14.55,14.83,14.47,14.82,199084
09-19-2013,14.80,14.89,14.59,14.67,174125
09-20-2013,14.67,14.73,14.54,14.55,96884
09-23-2013,14.61,14.72,14.49,14.53,155550
09-24-2013,14.53,14.59,14.47,14.54,206367
09-25-2013,14.57,14.61,14.53,14.55,126774
09-26-2013,14.55,14.60,14.50,14.51,145369
09-27-2013,14.56,14.58,14.48,14.53,189085
09-30-2013,14.53,14.69,14.52,14.69,202498
10-01-2013,14.64,14.72,14.55,14.66,115317
10-02-2013,14.66,14.72,14.61,14.71,119171
10-03-2013,14.68,14.83,14.67,14.78,141484
10-04-2013,14.78,14.84,14.73,14.73,45241
10-07-2013,14.74,14.78,14.69,14.72,74174
10-08-2013,14.77,14.77,14.56,14.58,193747
10-09-2013,14.66,14.71,14.61,14.69,77167
10-10-2013,14.70,14.89,14.70,14.89,115901
10-11-2013,14.87,14.87,14.73,14.87,77647
10-14-2013,14.87,14.87,14.78,14.78,65407
10-15-2013,14.78,14.84,14.57,14.63,124071
10-16-2013,14.64,14.77,14.64,14.76,88981
10-17-2013,14.76,15.01,14.71,14.97,179281
10-18-2013,14.98,15.10,14.89,14.95,120542
10-21-2013,14.96,15.02,14.92,14.94,92087
10-22-2013,14.97,15.07,14.92,14.97,125838
10-23-2013,14.94,15.13,14.94,15.07,125368
10-24-2013,15.15,15.18,15.01,15.03,95233
10-25-2013,15.07,15.13,15.02,15.07,85522
10-28-2013,15.01,15.21,15.00,15.10,202040
10-29-2013,15.12,15.13,15.01,15.06,147971
10-30-2013,15.06,15.12,15.01,15.06,110010
10-31-2013,15.04,15.09,15.02,15.07,81378
11-01-2013,15.09,15.09,14.90,15.02,122131
11-04-2013,15.00,15.06,14.97,15.00,105236
11-05-2013,15.00,15.12,14.97,15.12,83774
11-06-2013,15.05,15.12,15.05,15.08,67434
11-07-2013,15.12,15.12,14.99,14.99,101955
11-08-2013,15.00,15.02,14.90,14.96,177654
11-11-2013,14.95,15.05,14.92,14.94,82280
11-12-2013,14.97,15.02,14.92,14.93,140739
11-13-2013,15.00,15.07,14.90,14.94,210728
11-14-2013,14.94,14.97,14.85,14.87,200247
11-15-2013,14.92,14.92,14.86,14.88,69784
11-18-2013,14.95,15.01,14.87,14.95,201877
11-19-2013,14.92,14.98,14.85,14.97,207422
11-20-2013,14.95,14.99,14.86,14.95,143094
11-21-2013,14.92,14.97,14.87,14.88,150875
11-22-2013,14.88,14.92,14.81,14.86,156267
11-25-2013,14.78,14.84,14.70,14.80,316239
11-26-2013,14.80,14.99,14.78,14.97,176861
11-27-2013,14.93,15.01,14.93,15.00,96028
11-29-2013,14.94,15.01,14.90,15.00,56602
12-02-2013,15.07,15.07,14.92,15.01,122143
12-03-2013,15.05,15.11,15.01,15.05,141903
12-04-2013,15.01,15.09,14.99,15.01,171053
12-05-2013,15.01,15.07,14.96,15.06,117185
12-06-2013,15.07,15.15,15.03,15.14,146684
12-09-2013,15.14,15.33,15.14,15.27,213590
12-10-2013,15.32,15.34,15.27,15.33,114639
12-11-2013,15.29,15.39,15.16,15.24,135606
12-12-2013,15.27,15.27,15.05,15.10,175331
12-13-2013,15.09,15.21,15.06,15.21,151155
12-16-2013,15.25,15.37,15.25,15.31,95285
12-17-2013,15.37,15.37,15.26,15.37,105173
12-18-2013,15.23,15.50,15.23,15.29,219485
12-19-2013,15.25,15.50,15.17,15.44,122138
12-20-2013,15.47,15.48,15.17,15.31,322617
12-23-2013,15.31,15.44,15.20,15.36,290465
12-24-2013,15.43,15.46,15.33,15.45,92092
12-26-2013,15.54,15.66,15.42,15.44,228879
12-27-2013,15.42,15.63,15.42,15.58,97991
12-30-2013,15.55,15.64,15.43,15.52,218307
12-31-2013,15.60,15.61,15.40,15.40,259394
01-02-2014,15.54,15.62,15.50,15.60,102412
01-03-2014,15.62,15.72,15.54,15.72,76720
01-06-2014,15.69,15.91,15.68,15.83,161778
01-07-2014,15.82,15.91,15.76,15.88,80697
01-08-2014,15.92,15.92,15.68,15.85,91067
01-09-2014,15.80,15.91,15.80,15.91,70663
01-10-2014,15.96,15.99,15.88,15.94,68095
01-13-2014,15.98,15.99,15.87,15.90,84669
01-14-2014,15.92,15.95,15.80,15.80,81837
01-15-2014,15.92,15.92,15.73,15.86,71293
01-16-2014,15.87,15.89,15.76,15.85,131058
01-17-2014,15.88,15.98,15.87,15.96,80287
01-21-2014,16.04,16.10,15.97,16.06,80458
01-22-2014,16.07,16.10,16.04,16.08,84646
01-23-2014,16.10,16.15,15.93,15.97,121593
01-24-2014,15.93,16.06,15.82,15.85,68666
01-27-2014,15.93,15.95,15.69,15.70,96924
01-28-2014,15.85,15.86,15.67,15.77,76728
01-29-2014,15.78,15.91,15.72,15.73,66615
01-30-2014,15.82,15.95,15.63,15.70,111071
01-31-2014,15.67,15.73,15.57,15.68,130051
02-03-2014,15.75,15.83,15.70,15.75,99447
02-04-2014,15.77,15.89,15.77,15.83,104562
02-05-2014,15.86,15.86,15.77,15.77,76065
02-06-2014,15.83,15.85,15.77,15.82,68716
02-07-2014,15.85,15.99,15.83,15.99,50296
02-10-2014,16.09,16.10,15.86,15.95,131164
02-11-2014,15.97,16.00,15.85,15.90,112090
02-12-2014,15.97,15.97,15.87,15.91,81227
02-13-2014,15.91,16.00,15.90,15.94,51365
02-14-2014,15.86,16.08,15.86,16.05,65262
02-18-2014,16.08,16.16,16.05,16.05,89231
02-19-2014,16.07,16.14,15.96,16.00,94721
02-20-2014,16.01,16.07,15.99,16.03,71230
02-21-2014,16.07,16.18,16.00,16.14,226545
02-24-2014,16.18,16.18,16.11,16.15,127999
02-25-2014,16.15,16.16,16.10,16.14,68287
02-26-2014,16.20,16.28,16.16,16.22,238793
02-27-2014,16.23,16.27,16.08,16.18,230800
02-28-2014,16.21,16.30,16.15,16.29,150164
03-03-2014,16.28,16.39,16.23,16.36,183841
03-04-2014,16.44,16.44,16.22,16.22,322474
03-05-2014,16.23,16.28,16.14,16.23,122194
03-06-2014,16.30,16.35,16.25,16.35,91693
03-07-2014,16.36,16.36,16.24,16.29,90968
03-10-2014,16.27,16.35,16.27,16.33,64002
03-11-2014,16.40,16.40,16.20,16.30,202962
03-12-2014,16.28,16.36,16.24,16.36,77252
03-13-2014,16.41,16.43,16.26,16.30,83044
03-14-2014,16.24,16.38,16.24,16.34,102906
03-17-2014,16.41,16.41,16.32,16.36,100694
03-18-2014,16.41,16.45,16.36,16.45,152408
03-19-2014,16.52,16.52,16.32,16.32,107139
03-20-2014,16.29,16.39,16.09,16.17,109035
03-21-2014,16.18,16.38,16.11,16.29,139503
03-24-2014,16.25,16.39,16.25,16.32,114766
03-25-2014,16.37,16.40,16.32,16.35,98571
03-26-2014,16.35,16.39,16.21,16.25,107144
03-27-2014,16.25,16.28,16.23,16.23,87953
03-28-2014,16.23,16.40,16.23,16.36,60906
03-31-2014,16.40,16.40,16.29,16.31,123215
04-01-2014,16.40,16.48,16.35,16.41,95990
04-02-2014,16.44,16.49,16.40,16.44,87269
04-03-2014,16.44,16.48,16.37,16.46,67362
04-04-2014,16.40,16.59,16.39,16.50,165459
04-07-2014,16.56,16.61,16.42,16.42,154935
04-08-2014,16.43,16.53,16.43,16.50,70565
04-09-2014,16.53,16.53,16.44,16.46,66766
04-10-2014,16.44,16.49,16.44,16.49,60016
04-11-2014,16.49,16.49,16.39,16.39,61104
04-14-2014,16.48,16.53,16.43,16.51,81342
04-15-2014,16.53,16.53,16.47,16.48,51330
04-16-2014,16.48,16.55,16.48,16.55,83436
04-17-2014,16.63,16.65,16.56,16.59,121360
04-21-2014,16.65,16.67,16.53,16.63,84824
04-22-2014,16.65,16.75,16.59,16.73,117207
04-23-2014,16.68,16.79,16.67,16.76,67644
04-24-2014,16.76,16.83,16.70,16.78,75162
04-25-2014,16.83,16.84,16.65,16.72,85118
04-28-2014,16.76,16.85,16.72,16.75,77270
04-29-2014,16.82,16.84,16.72,16.76,58154
04-30-2014,16.75,16.75,16.60,16.64,102989
05-01-2014,16.68,16.70,16.62,16.63,76553
05-02-2014,16.59,16.68,16.59,16.63,106271
05-05-2014,16.66,16.67,16.59,16.59,75572
05-06-2014,16.59,16.65,16.59,16.63,78086
05-07-2014,16.63,16.67,16.59,16.65,99415
05-08-2014,16.65,16.67,16.61,16.67,56462
05-09-2014,16.65,16.74,16.65,16.72,43407
05-12-2014,16.74,16.78,16.70,16.70,65436
05-13-2014,16.72,16.79,16.63,16.65,167545
05-14-2014,16.65,16.65,16.63,16.64,161008
05-15-2014,16.65,16.69,16.49,16.54,177015
05-16-2014,16.55,16.67,16.55,16.67,98083
05-19-2014,16.76,16.76,16.71,16.75,57370
05-20-2014,16.80,16.84,16.71,16.83,59007
05-21-2014,16.84,16.84,16.69,16.80,88764
05-22-2014,16.87,16.87,16.79,16.83,57708
05-23-2014,16.87,16.89,16.74,16.76,88228
05-27-2014,16.82,16.83,16.70,16.75,64619
05-28-2014,16.80,16.84,16.78,16.83,92859
05-29-2014,16.87,16.96,16.81,16.82,121650
05-30-2014,16.89,16.95,16.82,16.90,99156
06-02-2014,16.94,16.94,16.87,16.89,73346
06-03-2014,16.89,16.89,16.80,16.87,132545
06-04-2014,16.86,16.86,16.80,16.86,49757
06-05-2014,16.86,16.91,16.80,16.84,59189
06-06-2014,16.91,16.93,16.85,16.89,59522
06-09-2014,16.96,16.96,16.84,16.91,98654
06-10-2014,16.95,16.96,16.87,16.93,81837
06-11-2014,16.94,16.97,16.88,16.97,77995
06-12-2014,16.97,17.03,16.96,17.03,50417
06-13-2014,17.02,17.04,16.96,16.98,74606
06-16-2014,17.03,17.03,16.98,17.00,57707
06-17-2014,17.04,17.04,16.97,16.99,98637
06-18-2014,17.09,17.12,17.04,17.08,71657
06-19-2014,17.09,17.13,17.02,17.02,54528
06-20-2014,17.08,17.10,16.92,16.94,76844
06-23-2014,17.03,17.04,16.98,17.02,57222
06-24-2014,17.03,17.03,16.89,16.94,71837
06-25-2014,16.91,16.94,16.89,16.90,72553
06-26-2014,16.94,16.97,16.91,16.91,65701
06-27-2014,16.92,16.97,16.90,16.97,63650
06-30-2014,17.01,17.02,16.95,16.97,52062
07-01-2014,17.00,17.01,16.95,16.98,98681
07-02-2014,17.02,17.03,16.91,16.93,77110
07-03-2014,16.96,17.01,16.91,16.97,57047
07-07-2014,16.97,17.01,16.93,16.97,144043
07-08-2014,17.01,17.01,16.93,16.95,74980
07-09-2014,16.95,16.97,16.93,16.94,74287
