Date,Open,High,Low,Close,Volume
11-21-2005,16.68,16.68,16.68,16.68,0
11-22-2005,20.28,22.37,20.19,22.32,7056638
11-23-2005,22.50,22.57,21.77,22.21,1024882
11-25-2005,22.12,22.95,22.03,22.51,184783
11-28-2005,22.51,23.83,22.51,23.22,523946
11-29-2005,23.35,23.70,23.17,23.20,344509
11-30-2005,23.08,23.57,22.91,23.35,186265
12-01-2005,23.35,23.35,22.73,23.13,443284
12-02-2005,23.22,23.50,23.08,23.48,58211
12-05-2005,23.52,24.14,23.48,24.10,162797
12-06-2005,24.14,25.52,24.14,24.84,350889
12-07-2005,24.71,24.75,24.27,24.58,119731
12-08-2005,24.66,24.75,24.31,24.31,46934
12-09-2005,24.23,25.06,24.14,25.02,121210
12-12-2005,25.10,25.94,25.04,25.66,98656
12-13-2005,25.66,25.89,24.75,25.10,102982
12-14-2005,25.02,25.58,24.66,25.24,121555
12-15-2005,25.19,25.54,25.02,25.03,90110
12-16-2005,25.10,25.81,24.41,25.46,691760
12-19-2005,25.38,25.89,25.38,25.89,141605
12-20-2005,25.89,27.85,25.71,26.75,562907
12-21-2005,26.96,27.39,26.95,27.21,259177
12-22-2005,27.22,27.44,26.95,27.34,99337
12-23-2005,27.34,27.47,26.77,27.12,64477
12-27-2005,27.12,27.17,25.98,26.25,110389
12-28-2005,26.03,26.82,26.03,26.55,58062
12-29-2005,26.78,27.00,26.42,26.58,178493
12-30-2005,26.58,26.58,26.11,26.39,126527
01-03-2006,26.51,27.31,26.51,27.24,399924
01-04-2006,26.47,26.54,26.13,26.39,388627
01-05-2006,26.47,26.47,25.93,25.99,61564
01-06-2006,26.08,26.29,25.93,26.03,33209
01-09-2006,26.11,26.85,26.11,26.85,76365
01-10-2006,26.63,27.22,26.55,27.22,103253
01-11-2006,27.22,27.99,27.04,27.99,84953
01-12-2006,28.21,28.41,27.97,28.01,56255
01-13-2006,28.01,28.72,28.01,28.36,110824
01-17-2006,28.36,28.55,28.15,28.33,169683
01-18-2006,28.33,29.03,28.33,29.03,64166
01-19-2006,29.25,30.85,29.12,30.54,170247
01-20-2006,30.54,30.57,30.10,30.11,56707
01-23-2006,30.11,30.14,30.01,30.10,59419
01-24-2006,30.10,30.10,29.92,30.10,77945
01-25-2006,29.74,30.10,29.74,29.90,47668
01-26-2006,29.96,30.10,29.90,30.10,173638
01-27-2006,30.01,30.10,29.98,30.09,37727
01-30-2006,30.10,30.10,30.01,30.06,40326
01-31-2006,29.96,30.05,29.65,29.87,72636
02-01-2006,29.83,30.10,29.74,30.10,57274
02-02-2006,30.10,30.10,29.65,29.79,38065
02-03-2006,29.65,29.79,29.48,29.61,18635
02-06-2006,29.39,29.40,28.90,29.03,38065
02-07-2006,29.03,29.03,27.88,27.96,86646
02-08-2006,27.96,28.01,27.24,27.43,67780
02-09-2006,27.87,28.06,27.73,27.78,83934
02-10-2006,27.70,27.94,27.53,27.87,42473
02-13-2006,28.06,28.15,27.63,27.94,95571
02-14-2006,28.01,28.28,28.01,28.28,44281
02-15-2006,28.27,28.28,27.79,28.15,120763
02-16-2006,28.24,28.28,28.14,28.18,45637
02-17-2006,28.27,28.55,28.15,28.19,51058
02-21-2006,28.19,28.44,28.19,28.31,29591
02-22-2006,28.33,28.86,28.28,28.81,51625
02-23-2006,28.81,29.10,28.72,28.94,62470
02-24-2006,28.77,29.03,28.55,28.98,22023
02-27-2006,28.90,29.45,28.84,29.37,46766
02-28-2006,29.39,29.44,29.29,29.31,13776
03-01-2006,29.31,29.65,29.30,29.65,35243
03-02-2006,29.65,29.77,29.52,29.77,70492
03-03-2006,29.77,29.87,29.65,29.65,96363
03-06-2006,29.52,30.05,29.39,29.97,32530
03-07-2006,29.97,30.08,29.48,29.64,18860
03-08-2006,29.55,29.74,29.37,29.59,9485
03-09-2006,29.68,29.74,29.33,29.40,32418
03-10-2006,29.31,29.74,29.21,29.30,36146
03-13-2006,29.21,29.30,28.94,29.10,25299
03-14-2006,28.93,29.38,28.90,29.17,143360
03-15-2006,29.32,31.64,29.32,31.02,311353
03-16-2006,31.25,33.59,31.25,33.32,133645
03-17-2006,33.32,33.32,32.59,32.75,215213
03-20-2006,32.79,33.15,32.58,32.94,121556
03-21-2006,32.79,34.96,32.75,34.18,129123
03-22-2006,34.18,34.70,34.12,34.54,159853
03-23-2006,34.54,34.54,33.99,34.23,51397
03-24-2006,34.45,35.10,34.45,34.96,143812
03-27-2006,34.97,34.97,33.77,34.21,100091
03-28-2006,34.43,34.52,34.03,34.15,108901
03-29-2006,34.24,34.35,33.79,34.23,91457
03-30-2006,34.39,34.48,33.77,34.03,72090
03-31-2006,34.26,34.39,33.41,33.72,144186
04-03-2006,33.94,34.10,33.60,33.70,88323
04-04-2006,33.56,34.71,33.56,34.52,166128
04-05-2006,34.52,34.52,33.94,34.39,17347
04-06-2006,34.26,34.39,34.00,34.21,23504
04-07-2006,34.21,34.30,33.05,33.72,106573
04-10-2006,33.81,33.90,33.14,33.56,105563
04-11-2006,33.56,33.64,32.96,33.10,32683
04-12-2006,33.18,33.18,32.83,32.92,46788
04-13-2006,32.93,33.63,32.87,33.59,21938
04-17-2006,33.71,33.81,33.05,33.26,38057
04-18-2006,33.41,33.49,33.26,33.45,74554
04-19-2006,33.54,34.32,33.32,34.25,28654
04-20-2006,34.39,34.48,33.85,34.09,24848
04-21-2006,34.53,34.66,34.13,34.33,25407
04-24-2006,34.35,34.35,33.46,33.46,19810
04-25-2006,33.59,34.03,33.18,33.48,72986
04-26-2006,33.59,33.76,33.50,33.67,32012
04-27-2006,33.44,34.52,33.15,34.23,43768
04-28-2006,34.01,34.05,33.77,33.98,32572
05-01-2006,33.98,34.05,33.59,33.94,81047
05-02-2006,33.85,34.97,33.55,34.97,46343
05-03-2006,34.97,35.06,33.85,34.17,84181
05-04-2006,34.17,35.78,34.17,35.44,54963
05-05-2006,35.44,35.71,35.06,35.06,31229
05-08-2006,35.15,35.46,34.95,35.10,22946
05-09-2006,35.78,35.78,34.26,34.41,72090
05-10-2006,34.63,34.63,33.45,33.79,307631
05-11-2006,34.08,34.08,32.42,33.34,221431
05-12-2006,33.18,33.18,32.78,33.05,71307
05-15-2006,33.10,37.95,33.10,37.72,589971
05-16-2006,38.08,42.70,37.23,41.89,481940
05-17-2006,41.45,42.42,39.48,40.20,336629
05-18-2006,39.97,41.54,39.92,41.21,171390
05-19-2006,41.10,41.30,39.66,40.60,274049
05-22-2006,40.51,41.64,39.57,41.11,141725
05-23-2006,41.46,44.57,41.36,43.24,412642
05-24-2006,43.25,43.32,42.52,42.65,141052
05-25-2006,42.65,43.59,42.50,43.41,160418
05-26-2006,43.59,44.05,43.43,43.66,109818
05-30-2006,43.77,43.77,42.56,43.37,78471
05-31-2006,43.28,44.55,43.28,44.17,159860
06-01-2006,44.13,45.02,43.94,45.02,57200
06-02-2006,45.24,48.24,45.24,46.96,374580
06-05-2006,46.74,48.46,45.02,45.48,354990
06-06-2006,45.48,45.53,42.25,43.62,311441
06-07-2006,43.17,43.89,42.57,43.19,82838
06-08-2006,43.20,43.20,41.77,41.86,216057
06-09-2006,41.86,42.53,40.71,40.78,92353
06-12-2006,40.78,40.78,39.01,39.01,189749
06-13-2006,38.41,40.24,38.12,39.30,326218
06-14-2006,39.31,39.88,38.05,39.66,115527
06-15-2006,39.04,39.81,38.54,39.23,150904
06-16-2006,39.26,39.66,38.72,38.95,224006
06-19-2006,39.84,39.84,38.07,38.32,214604
06-20-2006,38.34,39.48,37.87,38.68,86196
06-21-2006,38.70,41.30,38.69,40.87,123364
06-22-2006,40.87,40.87,39.21,39.44,116310
06-23-2006,39.30,39.30,38.68,39.00,79480
06-26-2006,39.21,39.93,38.68,39.66,83734
06-27-2006,39.88,40.01,39.08,39.26,121910
06-28-2006,39.48,39.93,38.24,38.32,132711
06-29-2006,38.72,39.71,38.54,39.71,107056
06-30-2006,40.52,40.56,39.74,40.29,704106
07-03-2006,40.61,41.27,40.25,40.92,231331
07-05-2006,40.93,40.97,40.14,40.28,174580
07-06-2006,40.28,41.42,40.04,41.08,254763
07-07-2006,41.09,42.77,40.51,41.04,206452
07-10-2006,41.15,41.19,38.90,40.07,159587
07-11-2006,40.74,41.41,40.39,40.79,308293
07-12-2006,40.79,42.20,39.48,39.90,312958
07-13-2006,39.99,39.99,38.36,38.91,557397
07-14-2006,38.72,38.87,38.09,38.19,326173
07-17-2006,38.19,38.54,37.32,37.50,268757
07-18-2006,37.50,37.50,35.91,36.54,281307
07-19-2006,36.45,36.82,35.84,35.84,1014404
07-20-2006,37.23,39.67,37.23,38.76,5346239
07-21-2006,38.13,39.10,38.13,38.90,307848
07-24-2006,39.26,39.26,38.65,39.08,374039
07-25-2006,39.80,40.53,38.98,40.34,483877
07-26-2006,40.47,40.61,39.62,40.47,667789
07-27-2006,40.30,40.79,40.07,40.57,496316
07-28-2006,40.61,40.97,40.29,40.97,149146
07-31-2006,40.79,41.91,40.52,41.87,227666
08-01-2006,42.46,43.83,41.69,43.35,603709
08-02-2006,43.31,44.24,43.30,43.63,328062
08-03-2006,43.54,44.34,43.22,43.22,309960
08-04-2006,43.22,43.58,42.50,42.76,245879
08-07-2006,42.67,43.43,42.21,42.28,164140
08-08-2006,42.46,43.17,41.24,41.93,344721
08-09-2006,42.16,42.50,40.97,41.54,180465
08-10-2006,41.33,41.82,40.97,41.82,227220
08-11-2006,41.88,41.88,40.74,40.83,179023
08-14-2006,40.97,41.57,40.10,40.34,517084
08-15-2006,40.52,40.95,40.01,40.37,324174
08-16-2006,40.74,40.83,40.17,40.70,317065
08-17-2006,40.47,40.87,40.07,40.87,275641
08-18-2006,40.96,42.41,40.56,42.18,205453
08-21-2006,42.27,42.29,41.57,42.01,227999
08-22-2006,41.88,42.30,41.60,41.87,140040
08-23-2006,41.88,42.73,41.54,42.67,227331
08-24-2006,42.71,42.87,41.87,42.00,207452
08-25-2006,42.00,42.13,41.52,42.09,283971
08-28-2006,42.30,42.46,41.64,42.17,155700
08-29-2006,42.41,43.00,42.11,42.77,227555
08-30-2006,42.56,43.67,42.56,43.32,136597
08-31-2006,43.22,43.23,42.67,43.07,179910
09-01-2006,43.02,43.71,42.56,43.49,154922
09-05-2006,43.58,43.80,42.81,42.81,135042
09-06-2006,42.90,42.90,41.99,42.35,274531
09-07-2006,42.23,42.80,41.96,42.77,61078
09-08-2006,43.00,43.15,42.61,42.77,130822
09-11-2006,42.81,43.18,42.48,42.86,160475
09-12-2006,43.04,43.07,42.45,42.79,103389
09-13-2006,42.79,43.00,42.32,42.40,134932
09-14-2006,42.40,42.40,41.87,42.08,113719
09-15-2006,41.94,43.03,41.87,42.88,269201
09-18-2006,43.30,43.30,41.88,42.46,184241
09-19-2006,42.55,42.66,41.70,42.32,288525
09-20-2006,42.42,43.12,42.42,42.82,78846
09-21-2006,42.77,43.05,42.45,42.91,78180
09-22-2006,42.95,42.95,41.98,42.69,89730
09-25-2006,42.73,42.77,42.10,42.47,126936
09-26-2006,42.52,42.55,41.87,42.28,338723
09-27-2006,42.28,42.33,41.23,41.54,342777
09-28-2006,41.53,41.56,40.96,41.09,274617
09-29-2006,41.37,42.91,41.37,42.16,332647
10-02-2006,42.22,42.22,41.38,41.68,152392
10-03-2006,41.50,42.03,41.01,42.03,223083
10-04-2006,42.00,42.06,41.21,41.66,426683
10-05-2006,41.66,42.00,41.25,41.49,147438
10-06-2006,41.58,41.69,41.22,41.27,112201
10-09-2006,41.34,41.38,40.87,40.98,115503
10-10-2006,41.09,42.09,40.73,42.09,484051
10-11-2006,42.41,43.16,42.22,43.00,351474
10-12-2006,42.91,43.41,42.67,43.24,191151
10-13-2006,43.32,44.11,43.06,44.09,205796
10-16-2006,44.12,44.53,43.98,44.05,303465
10-17-2006,43.87,44.26,43.87,44.15,127616
10-18-2006,44.09,44.33,43.98,44.27,90508
10-19-2006,44.18,44.30,43.84,44.26,188068
10-20-2006,44.26,44.67,44.05,44.66,112642
10-23-2006,44.62,44.67,44.00,44.25,60446
10-24-2006,44.07,44.20,43.51,44.08,106365
10-25-2006,43.90,43.90,43.00,43.46,109888
10-26-2006,43.64,44.15,43.23,43.54,99098
10-27-2006,43.50,44.00,43.18,43.64,196436
10-30-2006,43.77,44.11,43.57,43.74,166376
10-31-2006,43.83,43.92,43.46,43.70,142262
11-01-2006,43.59,43.88,43.47,43.49,314918
11-02-2006,43.48,43.82,42.83,42.88,152282
11-03-2006,42.88,43.02,42.47,42.58,91167
11-06-2006,42.49,42.78,42.00,42.75,80048
11-07-2006,42.84,44.11,42.77,44.03,105592
11-08-2006,44.03,44.03,43.25,43.26,205136
11-09-2006,43.26,43.26,42.55,42.82,319322
11-10-2006,42.68,42.98,42.40,42.97,217029
11-13-2006,42.96,44.50,42.80,44.50,207007
11-14-2006,44.05,44.05,42.18,42.50,808991
11-15-2006,42.32,43.53,41.72,43.41,464230
11-16-2006,43.32,43.96,42.11,43.91,300712
11-17-2006,43.84,43.97,43.16,43.73,233763
11-20-2006,43.64,43.65,42.99,43.57,181129
11-21-2006,43.57,43.57,42.46,42.83,334518
11-22-2006,42.68,42.98,42.37,42.53,306988
11-24-2006,42.62,42.94,41.83,42.59,328681
11-27-2006,42.64,42.67,40.59,40.96,332536
11-28-2006,40.82,40.82,39.33,39.91,388251
11-29-2006,39.98,41.60,39.98,41.19,565644
11-30-2006,41.33,41.57,40.82,41.46,476563
12-01-2006,41.59,41.61,40.37,40.70,251163
12-04-2006,40.70,41.31,40.70,41.23,174854
12-05-2006,41.46,41.48,40.66,40.93,197759
12-06-2006,40.94,41.08,40.23,40.45,219341
12-07-2006,40.54,40.67,39.79,40.05,267681
12-08-2006,40.12,41.23,40.10,41.10,139508
12-11-2006,41.03,41.84,40.59,40.88,271643
12-12-2006,40.95,41.18,40.31,40.79,218349
12-13-2006,43.11,44.44,42.26,43.07,668049
12-14-2006,43.07,43.55,42.87,43.16,245547
12-15-2006,43.16,43.38,42.47,43.35,366891
12-18-2006,43.57,44.19,43.57,43.64,395520
12-19-2006,43.96,43.96,43.37,43.59,300053
12-20-2006,43.59,43.89,43.40,43.42,250282
12-21-2006,43.50,43.82,43.03,43.14,463679
12-22-2006,43.14,43.53,42.87,43.03,158226
12-26-2006,43.13,43.73,42.80,43.16,343217
12-27-2006,43.15,44.93,43.15,43.74,73181
12-28-2006,43.74,44.03,43.57,43.80,113538
12-29-2006,43.91,44.01,43.36,44.01,164146
01-03-2007,44.00,44.00,42.84,43.06,283905
01-04-2007,43.06,44.12,42.79,43.92,344767
01-05-2007,43.92,43.92,42.45,42.91,230460
01-08-2007,42.86,42.86,41.73,42.54,285869
01-09-2007,42.27,42.82,42.13,42.82,229150
01-10-2007,42.82,42.95,42.40,42.76,183560
01-11-2007,42.76,44.00,42.73,43.93,146804
01-12-2007,43.93,43.97,43.53,43.92,123245
01-16-2007,43.92,45.38,43.85,45.22,318261
01-17-2007,45.48,45.75,44.73,44.84,231006
01-18-2007,45.02,45.02,42.98,43.46,2710270
01-19-2007,43.50,43.86,43.29,43.60,182905
01-22-2007,43.60,43.71,43.28,43.63,258711
01-23-2007,43.63,44.09,43.50,43.94,128917
01-24-2007,44.13,44.13,43.64,44.00,64457
01-25-2007,43.92,44.44,43.83,44.06,234823
01-26-2007,44.16,44.46,43.98,44.38,284777
01-29-2007,44.31,44.56,44.13,44.27,90960
01-30-2007,44.19,44.24,43.47,43.73,312045
01-31-2007,43.72,44.07,43.47,44.01,170800
02-01-2007,44.15,44.27,43.74,44.17,125318
02-02-2007,44.17,44.17,43.84,44.16,92706
02-05-2007,44.06,44.93,44.06,44.93,182362
02-06-2007,44.93,45.48,44.80,45.46,183888
02-07-2007,45.32,45.46,44.68,45.34,126080
02-08-2007,45.26,45.26,44.47,44.47,104267
02-09-2007,44.47,44.54,43.61,43.87,170472
02-12-2007,43.78,43.78,43.42,43.55,103314
02-13-2007,43.59,43.86,43.19,43.33,85508
02-14-2007,43.37,44.07,43.18,44.04,94985
02-15-2007,44.15,44.92,44.07,44.86,122047
02-16-2007,44.86,45.31,44.75,44.94,96195
02-20-2007,45.08,45.68,45.01,45.57,111030
02-21-2007,45.75,45.79,45.36,45.48,141896
02-22-2007,45.48,45.57,45.07,45.24,201121
02-23-2007,44.87,44.88,44.09,44.39,82345
02-26-2007,44.33,44.60,43.97,44.42,91287
02-27-2007,44.28,44.28,42.82,42.83,178762
02-28-2007,42.82,43.28,42.64,43.28,187814
03-01-2007,43.05,43.49,42.77,43.36,211257
03-02-2007,43.18,43.18,42.64,42.71,118010
03-05-2007,42.68,42.69,42.17,42.18,244750
03-06-2007,42.28,42.41,41.89,42.17,204829
03-07-2007,42.17,42.30,41.23,41.28,265146
03-08-2007,41.53,42.22,41.53,41.95,189996
03-09-2007,42.23,42.37,41.74,42.15,117683
03-12-2007,42.15,42.36,41.60,41.72,144731
03-13-2007,41.72,42.63,39.54,40.78,982932
03-14-2007,40.78,41.44,40.67,41.38,350655
03-15-2007,41.67,42.57,41.49,41.49,190215
03-16-2007,40.80,41.69,40.80,41.62,472922
03-19-2007,41.44,41.60,40.94,41.51,249438
03-20-2007,41.35,41.36,40.90,41.01,402137
03-21-2007,40.96,41.02,40.23,40.86,465833
03-22-2007,41.06,42.12,41.06,41.77,382830
03-23-2007,41.92,43.06,41.82,42.72,360690
03-26-2007,42.72,42.72,41.49,42.19,351748
03-27-2007,42.19,42.23,41.41,41.87,290995
03-28-2007,41.87,41.91,41.28,41.58,200652
03-29-2007,41.71,41.79,41.19,41.44,203351
03-30-2007,41.44,41.58,40.90,41.35,403142
04-02-2007,41.48,42.09,41.38,41.89,507143
04-03-2007,42.00,42.77,42.00,42.48,664059
04-04-2007,42.48,42.78,42.38,42.53,279919
04-05-2007,42.47,42.62,41.96,42.04,134234
04-09-2007,44.35,44.35,42.62,43.20,522261
04-10-2007,42.92,43.24,42.84,42.97,371824
04-11-2007,43.20,43.23,42.34,42.92,334025
04-12-2007,42.92,43.18,42.61,42.92,253246
04-13-2007,42.93,42.98,42.48,42.62,303571
04-16-2007,42.67,43.07,42.45,43.00,400120
04-17-2007,43.01,43.06,42.60,42.89,291906
04-18-2007,42.89,42.89,42.45,42.57,191256
04-19-2007,42.50,42.50,41.67,41.85,390076
04-20-2007,41.99,42.32,41.53,41.82,231538
04-23-2007,41.96,43.14,41.96,43.07,397310
04-24-2007,43.24,43.37,42.86,43.01,285860
04-25-2007,43.04,43.09,42.72,42.97,245686
04-26-2007,42.85,43.13,42.68,43.03,259508
04-27-2007,43.04,43.10,42.66,42.84,187045
04-30-2007,42.84,42.84,42.01,42.05,252381
05-01-2007,42.05,42.07,39.64,40.97,621833
05-02-2007,40.96,41.36,40.67,41.30,478738
05-03-2007,41.48,41.92,41.37,41.40,449797
05-04-2007,41.58,41.97,41.08,41.17,227867
05-07-2007,41.21,41.44,40.90,40.97,257889
05-08-2007,40.97,40.97,39.79,40.71,493750
