Date,Open,High,Low,Close,Volume
01-02-1990,1.86,1.87,1.86,1.87,0
01-03-1990,1.86,1.86,1.83,1.84,0
01-04-1990,1.85,1.85,1.83,1.84,0
01-05-1990,1.83,1.84,1.83,1.84,0
01-08-1990,1.83,1.84,1.83,1.83,0
01-09-1990,1.83,1.85,1.83,1.85,0
01-10-1990,1.83,1.85,1.83,1.84,0
01-11-1990,1.83,1.84,1.82,1.83,0
01-12-1990,1.83,1.83,1.79,1.81,0
01-15-1990,1.81,1.82,1.78,1.78,0
01-16-1990,1.79,1.80,1.78,1.79,0
01-17-1990,1.77,1.79,1.77,1.79,0
01-18-1990,1.80,1.80,1.78,1.79,0
01-19-1990,1.80,1.80,1.77,1.79,0
01-22-1990,1.78,1.79,1.76,1.79,0
01-23-1990,1.80,1.80,1.79,1.79,0
01-24-1990,1.78,1.80,1.77,1.79,0
01-25-1990,1.79,1.80,1.78,1.79,0
01-26-1990,1.78,1.79,1.78,1.79,0
01-29-1990,1.79,1.79,1.77,1.79,0
01-30-1990,1.79,1.79,1.76,1.76,0
01-31-1990,1.76,1.77,1.74,1.74,0
02-01-1990,1.76,1.76,1.75,1.76,0
02-02-1990,1.76,1.76,1.76,1.76,0
02-05-1990,1.81,1.81,1.80,1.81,0
02-06-1990,1.81,1.81,1.80,1.81,0
02-07-1990,1.82,1.84,1.82,1.83,0
02-08-1990,1.83,1.84,1.82,1.84,0
02-09-1990,1.84,1.85,1.81,1.83,0
02-12-1990,1.82,1.84,1.82,1.84,0
02-13-1990,1.83,1.83,1.81,1.82,0
02-14-1990,1.81,1.85,1.81,1.85,0
02-15-1990,1.84,1.86,1.81,1.81,0
02-16-1990,1.82,1.83,1.81,1.82,0
02-20-1990,1.81,1.82,1.81,1.82,0
02-21-1990,1.82,1.82,1.78,1.81,0
02-22-1990,1.79,1.81,1.79,1.80,0
02-23-1990,1.81,1.81,1.81,1.81,0
02-26-1990,1.81,1.83,1.81,1.83,0
02-27-1990,1.83,1.85,1.83,1.85,0
02-28-1990,1.83,1.86,1.83,1.84,0
03-01-1990,1.84,1.86,1.84,1.86,0
03-02-1990,1.86,1.87,1.86,1.87,0
03-05-1990,1.88,1.90,1.87,1.90,0
03-06-1990,1.92,1.93,1.91,1.93,0
03-07-1990,1.92,1.94,1.92,1.92,0
03-08-1990,1.93,1.96,1.93,1.96,0
03-09-1990,1.96,1.97,1.95,1.95,0
03-12-1990,1.95,1.96,1.93,1.94,0
03-13-1990,1.94,1.95,1.91,1.91,0
03-14-1990,1.92,1.92,1.90,1.92,0
03-15-1990,1.90,1.91,1.89,1.90,0
03-16-1990,1.90,1.92,1.90,1.92,0
03-19-1990,1.93,1.95,1.92,1.95,0
03-20-1990,1.95,1.96,1.94,1.94,0
03-21-1990,1.94,1.94,1.93,1.93,0
03-22-1990,1.94,1.94,1.93,1.93,0
03-23-1990,1.92,1.93,1.92,1.93,0
03-26-1990,1.93,1.93,1.92,1.93,0
03-27-1990,1.92,1.93,1.91,1.93,0
03-28-1990,1.93,1.93,1.91,1.92,0
03-29-1990,1.92,1.92,1.90,1.92,0
03-30-1990,1.92,1.92,1.91,1.92,0
04-02-1990,1.92,1.92,1.91,1.92,0
04-03-1990,1.90,1.92,1.90,1.91,0
04-04-1990,1.92,1.92,1.91,1.92,0
04-05-1990,1.92,1.92,1.90,1.91,0
04-06-1990,1.90,1.92,1.90,1.92,0
04-09-1990,1.91,1.91,1.89,1.89,0
04-10-1990,1.89,1.89,1.86,1.87,0
04-11-1990,1.87,1.87,1.86,1.87,0
04-12-1990,1.86,1.87,1.83,1.86,0
04-16-1990,1.87,1.89,1.87,1.88,0
04-17-1990,1.88,1.88,1.87,1.87,0
04-18-1990,1.88,1.88,1.86,1.87,0
04-19-1990,1.88,1.89,1.86,1.87,0
04-20-1990,1.86,1.86,1.83,1.85,0
04-23-1990,1.85,1.85,1.84,1.85,0
04-24-1990,1.85,1.86,1.84,1.84,0
04-25-1990,1.85,1.87,1.85,1.87,0
04-26-1990,1.87,1.87,1.86,1.86,0
04-27-1990,1.87,1.87,1.87,1.87,0
04-30-1990,1.87,1.87,1.86,1.87,0
05-01-1990,1.87,1.87,1.85,1.86,0
05-02-1990,1.87,1.87,1.86,1.87,0
05-03-1990,1.88,1.88,1.87,1.87,0
05-04-1990,1.87,1.88,1.85,1.85,0
05-07-1990,1.89,1.91,1.89,1.91,0
05-08-1990,1.90,1.91,1.90,1.91,0
05-09-1990,1.90,1.93,1.90,1.93,0
05-10-1990,1.93,1.94,1.91,1.92,0
05-11-1990,1.93,1.94,1.93,1.94,0
05-14-1990,1.95,1.96,1.94,1.96,0
05-15-1990,1.94,1.95,1.94,1.95,0
05-16-1990,1.94,1.95,1.94,1.95,0
05-17-1990,1.93,1.95,1.93,1.95,0
05-18-1990,1.94,1.96,1.94,1.96,0
05-21-1990,1.96,1.96,1.93,1.95,0
05-22-1990,1.95,1.95,1.92,1.93,0
05-23-1990,1.93,1.93,1.92,1.93,0
05-24-1990,1.93,1.93,1.90,1.93,0
05-25-1990,1.91,1.93,1.91,1.93,0
05-29-1990,1.92,1.94,1.91,1.94,0
05-30-1990,1.93,1.95,1.93,1.94,0
05-31-1990,1.94,1.94,1.92,1.93,0
06-01-1990,1.94,1.98,1.93,1.98,0
06-04-1990,1.96,2.02,1.96,2.02,0
06-05-1990,2.02,2.05,2.02,2.02,0
06-06-1990,2.03,2.04,2.02,2.04,0
06-07-1990,2.01,2.04,2.01,2.02,0
06-08-1990,2.04,2.05,2.02,2.04,0
06-11-1990,2.04,2.05,2.04,2.05,0
06-12-1990,2.05,2.05,2.04,2.04,0
06-13-1990,2.05,2.06,2.04,2.06,0
06-14-1990,2.05,2.05,2.05,2.05,0
06-15-1990,2.05,2.05,2.05,2.05,0
06-18-1990,2.05,2.05,2.04,2.04,0
06-19-1990,2.05,2.05,2.04,2.04,0
06-20-1990,2.01,2.01,1.99,1.99,0
06-21-1990,2.01,2.01,1.99,2.01,0
06-22-1990,1.99,2.00,1.98,1.99,0
06-25-1990,1.98,1.99,1.96,1.96,0
06-26-1990,1.97,1.98,1.96,1.98,0
06-27-1990,1.96,1.97,1.96,1.96,0
06-28-1990,1.98,1.98,1.96,1.98,0
06-29-1990,1.98,1.98,1.97,1.98,0
07-02-1990,1.97,1.98,1.97,1.98,0
07-03-1990,1.98,1.98,1.98,1.98,0
07-05-1990,1.99,1.99,1.98,1.99,0
07-06-1990,1.99,2.00,1.98,1.99,0
07-09-1990,1.98,1.99,1.98,1.99,0
07-10-1990,1.98,2.00,1.98,1.99,0
07-11-1990,1.98,2.02,1.98,2.02,0
07-12-1990,2.02,2.05,2.02,2.05,0
07-13-1990,2.05,2.07,2.04,2.07,0
07-16-1990,2.05,2.10,2.05,2.10,0
07-17-1990,2.08,2.10,2.07,2.09,0
07-18-1990,2.07,2.07,2.05,2.06,0
07-19-1990,2.05,2.05,2.03,2.05,0
07-20-1990,2.04,2.07,2.04,2.06,0
07-23-1990,2.05,2.06,2.03,2.04,0
07-24-1990,2.02,2.04,2.01,2.02,0
07-25-1990,2.03,2.03,2.00,2.01,0
07-26-1990,2.01,2.02,2.00,2.00,0
07-27-1990,2.02,2.03,2.02,2.02,0
07-30-1990,2.03,2.05,2.03,2.04,0
07-31-1990,2.04,2.07,2.04,2.06,0
08-01-1990,2.05,2.06,2.05,2.05,0
08-02-1990,2.03,2.04,2.02,2.02,0
08-03-1990,2.03,2.04,1.96,1.98,0
08-06-1990,2.03,2.04,2.00,2.00,0
08-07-1990,2.00,2.03,2.00,2.03,0
08-08-1990,2.01,2.02,2.01,2.02,0
08-09-1990,2.03,2.03,2.01,2.03,0
08-10-1990,2.04,2.05,2.04,2.04,0
08-13-1990,2.03,2.05,2.03,2.05,0
08-14-1990,2.04,2.06,2.04,2.06,0
08-15-1990,2.05,2.07,2.05,2.07,0
08-16-1990,2.07,2.08,2.06,2.08,0
08-17-1990,2.08,2.10,2.08,2.08,0
08-20-1990,2.09,2.09,2.08,2.09,0
08-21-1990,2.08,2.10,2.08,2.10,0
08-22-1990,2.10,2.10,2.07,2.08,0
08-23-1990,2.07,2.07,2.05,2.05,0
08-24-1990,2.05,2.07,2.05,2.06,0
08-27-1990,2.12,2.12,2.10,2.10,0
08-28-1990,2.09,2.09,2.05,2.06,0
08-29-1990,2.05,2.05,2.03,2.03,0
08-30-1990,2.03,2.03,2.02,2.03,0
08-31-1990,2.03,2.03,2.02,2.03,0
09-04-1990,2.02,2.02,2.00,2.02,0
09-05-1990,2.03,2.03,2.02,2.03,0
09-06-1990,2.01,2.02,2.01,2.01,0
09-07-1990,2.01,2.02,2.00,2.02,0
09-10-1990,2.02,2.02,2.00,2.01,0
09-11-1990,1.99,2.01,1.99,2.01,0
09-12-1990,2.01,2.02,2.00,2.01,0
09-13-1990,2.00,2.00,1.99,1.99,0
09-14-1990,2.00,2.00,1.98,1.99,0
09-17-1990,1.98,1.99,1.98,1.99,0
09-18-1990,1.98,1.99,1.98,1.99,0
09-19-1990,1.99,1.99,1.96,1.97,0
09-20-1990,1.97,1.97,1.94,1.94,0
09-21-1990,1.96,1.96,1.92,1.94,0
