Date,Open,High,Low,Close,Volume
08-07-2012,10.57,10.57,10.57,10.57,0
08-08-2012,11.14,12.56,11.11,11.92,11388189
08-09-2012,12.04,13.13,12.02,12.96,1624628
08-10-2012,13.45,13.45,12.30,12.35,1114278
08-13-2012,12.40,12.58,12.01,12.40,411232
08-14-2012,12.54,12.55,12.35,12.42,510421
08-15-2012,12.49,12.49,12.01,12.46,562685
08-16-2012,12.26,12.44,12.10,12.27,313742
08-17-2012,12.25,12.72,12.25,12.55,582301
08-20-2012,12.58,12.58,12.39,12.49,142811
08-21-2012,12.52,12.81,12.25,12.81,196119
08-22-2012,12.70,12.92,12.49,12.81,311912
08-23-2012,12.85,12.91,12.47,12.49,524207
08-24-2012,12.49,12.49,12.15,12.38,425412
08-27-2012,12.30,12.36,12.18,12.29,187693
08-28-2012,12.25,12.33,12.01,12.33,143090
08-29-2012,12.29,12.57,12.14,12.51,154808
08-30-2012,12.41,12.59,12.10,12.54,301931
08-31-2012,12.56,12.63,12.25,12.47,86854
09-04-2012,12.54,12.96,12.39,12.92,597556
09-05-2012,12.63,13.86,12.58,13.31,1000905
09-06-2012,13.60,14.00,13.39,13.84,304424
09-07-2012,13.93,13.93,13.48,13.88,222074
09-10-2012,13.92,13.93,13.71,13.85,164578
09-11-2012,13.83,13.91,13.45,13.87,411728
09-12-2012,13.90,13.93,13.55,13.88,200455
09-13-2012,13.61,13.82,13.56,13.69,215134
09-14-2012,13.79,14.02,13.47,13.83,505467
09-17-2012,15.03,15.22,14.12,14.46,1231772
09-18-2012,14.75,14.75,14.27,14.51,972063
09-19-2012,14.70,14.70,14.38,14.51,406836
09-20-2012,14.45,14.82,14.41,14.69,642636
09-21-2012,14.79,15.54,14.55,15.34,759770
09-24-2012,15.37,15.60,14.89,15.13,557850
09-25-2012,15.21,15.41,14.51,14.62,446526
09-26-2012,14.60,14.70,13.93,14.40,764188
09-27-2012,14.68,15.24,14.47,15.20,365820
09-28-2012,15.21,15.88,14.89,15.80,3066631
10-01-2012,15.95,15.99,15.43,15.73,460025
10-02-2012,15.82,16.31,15.54,15.58,430862
10-03-2012,15.58,15.60,14.78,15.06,486708
10-04-2012,15.08,15.26,14.79,15.01,388275
10-05-2012,15.02,15.25,14.65,14.77,279699
10-08-2012,14.68,14.97,14.52,14.61,300594
10-09-2012,14.57,14.75,14.09,14.22,452295
10-10-2012,14.28,14.43,13.61,13.75,592891
10-11-2012,14.09,14.55,14.08,14.52,477672
10-12-2012,14.55,14.70,14.22,14.30,146978
10-15-2012,14.32,14.32,13.69,14.22,215378
10-16-2012,14.19,14.47,14.19,14.28,88494
10-17-2012,14.33,14.37,14.03,14.19,270124
10-18-2012,14.17,14.55,14.04,14.52,158692
10-19-2012,14.38,14.38,13.91,14.08,148306
10-22-2012,14.07,14.07,13.09,13.33,532697
10-23-2012,13.23,13.48,12.86,13.33,650414
10-24-2012,13.44,13.67,12.92,12.97,358135
10-25-2012,13.05,13.19,12.50,12.62,426721
10-26-2012,12.64,12.81,12.50,12.61,191409
10-31-2012,12.66,13.31,12.50,13.13,365524
11-01-2012,13.18,13.35,12.55,12.95,339973
11-02-2012,12.96,13.25,12.87,13.03,418778
11-05-2012,13.00,13.22,12.78,13.19,184549
11-06-2012,13.21,13.54,13.15,13.51,455404
11-07-2012,13.35,13.42,12.91,13.19,611820
11-08-2012,14.12,15.27,14.12,14.85,1745786
11-09-2012,14.68,15.07,14.62,14.80,211703
11-12-2012,14.80,14.91,14.65,14.77,209482
11-13-2012,14.69,14.81,14.13,14.60,256359
11-14-2012,14.58,14.64,14.41,14.41,217151
11-15-2012,14.39,14.82,13.99,14.19,180346
11-16-2012,14.07,14.23,13.55,14.12,525833
11-19-2012,14.23,14.79,14.23,14.69,117846
11-20-2012,14.66,14.86,14.40,14.72,82763
11-21-2012,14.73,14.76,14.51,14.71,77904
11-23-2012,14.70,15.08,14.70,14.94,37033
11-26-2012,14.93,15.45,14.91,15.30,163130
11-27-2012,15.33,15.33,14.89,14.95,133283
11-28-2012,14.87,15.18,14.52,14.88,156121
11-29-2012,15.01,15.25,15.00,15.16,85412
11-30-2012,15.22,15.27,14.64,15.21,191328
12-03-2012,15.19,15.85,15.18,15.42,323593
12-04-2012,15.29,15.29,14.52,14.84,1104150
12-05-2012,14.94,15.11,14.76,14.79,260847
12-06-2012,14.76,14.93,14.60,14.74,265324
12-07-2012,14.83,14.90,14.68,14.82,165169
12-10-2012,14.85,15.01,14.28,14.50,628529
12-11-2012,14.65,14.80,14.23,14.39,289166
12-12-2012,14.46,14.93,14.41,14.81,186817
12-13-2012,14.85,15.53,14.85,15.42,283598
12-14-2012,15.34,15.98,15.09,15.64,305590
12-17-2012,15.66,16.13,15.36,15.84,273752
12-18-2012,15.89,16.13,15.86,15.92,216094
12-19-2012,15.96,16.09,15.77,15.94,283638
12-20-2012,15.98,15.98,15.41,15.45,203744
12-21-2012,15.27,15.36,14.30,15.04,665464
12-24-2012,15.10,15.25,14.79,15.16,22838
12-26-2012,15.24,15.47,15.01,15.18,157246
12-27-2012,15.19,15.40,14.98,15.11,80531
12-28-2012,15.04,15.25,14.90,15.07,219024
12-31-2012,15.09,15.12,14.66,15.02,331210
01-02-2013,15.37,16.12,15.24,15.74,473120
01-03-2013,15.79,15.82,15.36,15.58,331391
01-04-2013,15.71,15.89,15.49,15.67,172417
01-07-2013,15.56,15.79,15.38,15.61,516498
01-08-2013,15.65,15.90,15.54,15.67,342850
01-09-2013,15.88,15.95,15.65,15.83,532598
01-10-2013,15.75,17.03,15.60,16.52,1267186
01-11-2013,16.57,16.66,16.12,16.33,399253
01-14-2013,16.87,16.89,15.95,16.33,531888
01-15-2013,16.30,16.46,16.05,16.46,297876
01-16-2013,16.34,16.55,15.81,16.33,418864
01-17-2013,16.39,16.93,16.33,16.87,654478
01-18-2013,16.96,17.99,16.96,17.77,555849
01-22-2013,17.74,17.96,17.20,17.89,591897
01-23-2013,18.00,18.09,17.32,17.69,508881
01-24-2013,17.67,17.92,17.55,17.68,271515
01-25-2013,17.69,17.77,17.10,17.56,1167542
01-28-2013,17.53,17.77,17.21,17.72,554727
01-29-2013,17.77,17.90,17.58,17.75,564988
01-30-2013,17.79,18.23,17.77,17.86,540092
01-31-2013,17.80,17.95,17.60,17.84,538602
02-01-2013,17.97,18.24,17.73,17.99,355544
02-04-2013,17.94,18.04,17.61,17.87,681907
02-05-2013,17.96,18.16,17.68,17.83,336302
02-06-2013,17.81,17.98,17.52,17.75,567091
02-07-2013,17.71,17.75,17.40,17.61,351974
02-08-2013,17.66,17.98,17.29,17.53,236233
02-11-2013,17.53,17.87,17.39,17.76,168505
02-12-2013,17.60,17.89,17.58,17.89,158997
02-13-2013,17.93,17.93,17.62,17.80,112777
02-14-2013,17.71,17.93,17.62,17.62,297562
02-15-2013,17.76,17.82,17.27,17.38,861877
02-19-2013,17.50,17.90,17.20,17.88,599029
02-20-2013,17.82,18.00,17.45,17.50,541128
02-21-2013,17.52,18.01,17.29,17.34,804589
02-22-2013,17.38,17.38,15.99,16.48,1313394
02-25-2013,16.71,17.04,16.64,16.83,534124
02-26-2013,16.89,16.94,16.46,16.72,992029
02-27-2013,16.62,17.13,16.47,16.97,770745
02-28-2013,16.98,16.98,16.47,16.53,538345
03-01-2013,16.46,16.53,16.16,16.28,349996
03-04-2013,16.21,16.40,16.09,16.36,352564
03-05-2013,16.44,16.76,16.29,16.63,648407
03-06-2013,16.62,16.71,16.49,16.55,651406
03-07-2013,16.59,16.81,16.55,16.69,584783
03-08-2013,16.72,16.89,16.59,16.81,587860
03-11-2013,16.79,16.91,16.67,16.82,533177
03-12-2013,16.84,16.98,16.71,16.84,467802
03-13-2013,16.82,16.96,16.70,16.94,548271
03-14-2013,16.81,17.19,16.76,17.15,610075
03-15-2013,17.22,17.24,16.83,16.92,757704
03-18-2013,16.80,16.96,16.59,16.79,259566
03-19-2013,16.85,16.99,16.60,16.82,767858
03-20-2013,16.88,17.23,16.81,17.11,519959
03-21-2013,17.08,17.20,16.86,17.04,813627
03-22-2013,17.04,17.46,16.99,17.46,682960
03-25-2013,17.49,17.53,17.22,17.29,370359
03-26-2013,17.29,17.39,17.07,17.29,211083
03-27-2013,17.20,17.24,16.82,16.95,327349
03-28-2013,17.03,17.25,16.93,17.16,361513
04-01-2013,17.16,17.22,16.90,17.05,394040
04-02-2013,17.12,17.21,16.72,16.92,484855
04-03-2013,16.95,17.42,16.84,17.33,316885
04-04-2013,17.44,17.77,17.25,17.77,561433
04-05-2013,17.56,17.77,17.34,17.68,338866
04-08-2013,17.78,17.96,17.44,17.93,443383
04-09-2013,17.92,18.25,17.71,18.17,730483
04-10-2013,18.22,19.21,18.17,19.03,1376409
04-11-2013,19.21,19.34,18.74,19.32,1416252
04-12-2013,19.16,20.26,18.88,19.96,916975
04-15-2013,19.98,19.98,19.63,19.69,610442
04-16-2013,19.81,20.86,19.79,20.64,977609
04-17-2013,20.53,20.53,19.81,19.93,1043993
04-18-2013,19.75,20.22,19.63,19.70,557730
04-19-2013,19.65,20.09,19.65,20.07,328333
