Date,Open,High,Low,Close,Volume
01-02-1990,0.706,0.706,0.688,0.697,0
01-03-1990,0.692,0.692,0.692,0.692,0
01-04-1990,0.683,0.683,0.683,0.683,0
01-05-1990,0.682,0.682,0.655,0.655,0
01-08-1990,0.655,0.669,0.655,0.660,0
01-09-1990,0.660,0.669,0.660,0.660,0
01-10-1990,0.660,0.669,0.655,0.664,0
01-11-1990,0.664,0.664,0.664,0.664,0
01-12-1990,0.664,0.664,0.664,0.664,0
01-15-1990,0.664,0.664,0.664,0.664,0
01-16-1990,0.664,0.664,0.664,0.664,0
01-17-1990,0.664,0.664,0.664,0.664,0
01-18-1990,0.664,0.664,0.664,0.664,0
01-19-1990,0.664,0.664,0.664,0.664,0
01-22-1990,0.655,0.655,0.655,0.655,0
01-23-1990,0.655,0.655,0.655,0.655,0
01-24-1990,0.655,0.655,0.655,0.655,0
01-25-1990,0.655,0.655,0.655,0.655,0
01-26-1990,0.650,0.650,0.650,0.650,0
01-29-1990,0.650,0.650,0.650,0.650,0
01-30-1990,0.640,0.640,0.636,0.636,0
01-31-1990,0.636,0.640,0.632,0.632,0
02-01-1990,0.632,0.632,0.632,0.632,0
02-02-1990,0.632,0.632,0.632,0.632,0
02-05-1990,0.627,0.627,0.622,0.627,0
02-06-1990,0.637,0.641,0.637,0.641,0
02-07-1990,0.641,0.646,0.637,0.646,0
02-08-1990,0.650,0.650,0.650,0.650,0
02-09-1990,0.650,0.650,0.650,0.650,0
02-12-1990,0.650,0.650,0.650,0.650,0
02-13-1990,0.650,0.655,0.646,0.646,0
02-14-1990,0.646,0.650,0.646,0.650,0
02-15-1990,0.660,0.660,0.660,0.660,0
02-16-1990,0.660,0.660,0.660,0.660,0
02-20-1990,0.659,0.659,0.655,0.655,0
02-21-1990,0.655,0.655,0.655,0.655,0
02-22-1990,0.655,0.655,0.655,0.655,0
02-23-1990,0.646,0.646,0.641,0.646,0
02-26-1990,0.646,0.646,0.646,0.646,0
02-27-1990,0.650,0.650,0.650,0.650,0
02-28-1990,0.655,0.655,0.655,0.655,0
03-01-1990,0.641,0.641,0.641,0.641,0
03-02-1990,0.650,0.650,0.650,0.650,0
03-05-1990,0.650,0.650,0.650,0.650,0
03-06-1990,0.646,0.646,0.646,0.646,0
03-07-1990,0.646,0.655,0.646,0.646,0
03-08-1990,0.646,0.655,0.646,0.655,0
03-09-1990,0.655,0.655,0.655,0.655,0
03-12-1990,0.655,0.655,0.655,0.655,0
03-13-1990,0.655,0.664,0.655,0.664,0
03-14-1990,0.669,0.669,0.669,0.669,0
03-15-1990,0.674,0.674,0.674,0.674,0
03-16-1990,0.683,0.683,0.683,0.683,0
03-19-1990,0.683,0.683,0.683,0.683,0
03-20-1990,0.688,0.688,0.688,0.688,0
03-21-1990,0.692,0.692,0.692,0.692,0
03-22-1990,0.692,0.692,0.692,0.692,0
03-23-1990,0.692,0.692,0.692,0.692,0
03-26-1990,0.688,0.688,0.688,0.688,0
03-27-1990,0.683,0.683,0.683,0.683,0
03-28-1990,0.683,0.683,0.683,0.683,0
03-29-1990,0.683,0.683,0.683,0.683,0
03-30-1990,0.678,0.678,0.674,0.674,0
04-02-1990,0.669,0.669,0.669,0.669,0
04-03-1990,0.669,0.669,0.669,0.669,0
04-04-1990,0.669,0.669,0.669,0.669,0
04-05-1990,0.669,0.669,0.669,0.669,0
04-06-1990,0.678,0.683,0.678,0.683,0
04-09-1990,0.678,0.678,0.678,0.678,0
04-10-1990,0.674,0.674,0.674,0.674,0
04-11-1990,0.674,0.674,0.664,0.674,0
04-12-1990,0.674,0.678,0.669,0.678,0
04-16-1990,0.674,0.674,0.674,0.674,0
04-17-1990,0.678,0.692,0.678,0.692,0
04-18-1990,0.692,0.692,0.692,0.692,0
04-19-1990,0.692,0.692,0.688,0.688,0
04-20-1990,0.688,0.688,0.688,0.688,0
04-23-1990,0.688,0.692,0.678,0.692,0
04-24-1990,0.692,0.692,0.692,0.692,0
04-25-1990,0.692,0.692,0.692,0.692,0
04-26-1990,0.688,0.688,0.678,0.688,0
04-27-1990,0.678,0.678,0.678,0.678,0
04-30-1990,0.674,0.674,0.674,0.674,0
05-01-1990,0.674,0.674,0.674,0.674,0
05-02-1990,0.669,0.669,0.669,0.669,0
05-03-1990,0.664,0.664,0.664,0.664,0
05-04-1990,0.669,0.669,0.669,0.669,0
05-07-1990,0.669,0.674,0.669,0.674,0
05-08-1990,0.678,0.683,0.678,0.678,0
05-09-1990,0.674,0.674,0.674,0.674,0
05-10-1990,0.678,0.692,0.678,0.692,0
05-11-1990,0.702,0.711,0.702,0.711,0
05-14-1990,0.711,0.711,0.711,0.711,0
05-15-1990,0.711,0.720,0.711,0.711,0
05-16-1990,0.711,0.711,0.711,0.711,0
05-17-1990,0.711,0.715,0.706,0.706,0
05-18-1990,0.706,0.725,0.706,0.720,0
05-21-1990,0.720,0.720,0.716,0.720,0
05-22-1990,0.711,0.711,0.711,0.711,0
05-23-1990,0.711,0.711,0.711,0.711,0
05-24-1990,0.711,0.711,0.702,0.711,0
05-25-1990,0.702,0.702,0.702,0.702,0
05-29-1990,0.702,0.702,0.702,0.702,0
05-30-1990,0.692,0.692,0.692,0.692,0
05-31-1990,0.683,0.683,0.683,0.683,0
06-01-1990,0.683,0.683,0.678,0.683,0
06-04-1990,0.678,0.678,0.674,0.678,0
06-05-1990,0.678,0.678,0.678,0.678,0
06-06-1990,0.674,0.674,0.660,0.669,0
06-07-1990,0.664,0.664,0.664,0.664,0
06-08-1990,0.664,0.664,0.660,0.664,0
06-11-1990,0.664,0.664,0.664,0.664,0
06-12-1990,0.660,0.660,0.655,0.660,0
06-13-1990,0.660,0.660,0.660,0.660,0
06-14-1990,0.660,0.660,0.660,0.660,0
06-15-1990,0.659,0.659,0.655,0.655,0
06-18-1990,0.655,0.655,0.655,0.655,0
06-19-1990,0.655,0.655,0.655,0.655,0
06-20-1990,0.655,0.655,0.655,0.655,0
06-21-1990,0.650,0.650,0.650,0.650,0
06-22-1990,0.660,0.660,0.660,0.660,0
06-25-1990,0.669,0.669,0.669,0.669,0
06-26-1990,0.674,0.678,0.674,0.678,0
06-27-1990,0.678,0.678,0.678,0.678,0
06-28-1990,0.678,0.678,0.678,0.678,0
06-29-1990,0.678,0.678,0.678,0.678,0
07-02-1990,0.669,0.669,0.664,0.664,0
07-03-1990,0.660,0.660,0.655,0.660,0
07-05-1990,0.660,0.660,0.660,0.660,0
07-06-1990,0.655,0.655,0.655,0.655,0
07-09-1990,0.655,0.655,0.655,0.655,0
07-10-1990,0.646,0.646,0.646,0.646,0
07-11-1990,0.646,0.655,0.637,0.655,0
07-12-1990,0.655,0.655,0.655,0.655,0
07-13-1990,0.655,0.655,0.655,0.655,0
07-16-1990,0.655,0.655,0.655,0.655,0
07-17-1990,0.655,0.655,0.655,0.655,0
07-18-1990,0.655,0.655,0.655,0.655,0
07-19-1990,0.646,0.646,0.646,0.646,0
07-20-1990,0.641,0.641,0.641,0.641,0
07-23-1990,0.641,0.641,0.641,0.641,0
07-24-1990,0.646,0.646,0.646,0.646,0
07-25-1990,0.646,0.646,0.646,0.646,0
07-26-1990,0.646,0.646,0.646,0.646,0
07-27-1990,0.645,0.645,0.636,0.636,0
07-30-1990,0.636,0.636,0.636,0.636,0
07-31-1990,0.641,0.641,0.641,0.641,0
08-01-1990,0.636,0.636,0.636,0.636,0
08-02-1990,0.636,0.636,0.636,0.636,0
08-03-1990,0.636,0.636,0.636,0.636,0
08-06-1990,0.632,0.632,0.632,0.632,0
08-07-1990,0.631,0.636,0.613,0.613,0
08-08-1990,0.613,0.617,0.608,0.617,0
08-09-1990,0.617,0.617,0.617,0.617,0
08-10-1990,0.617,0.617,0.617,0.617,0
08-13-1990,0.617,0.617,0.617,0.617,0
08-14-1990,0.617,0.617,0.608,0.613,0
08-15-1990,0.613,0.613,0.613,0.613,0
08-16-1990,0.608,0.608,0.599,0.599,0
08-17-1990,0.589,0.589,0.575,0.575,0
08-20-1990,0.566,0.566,0.566,0.566,0
08-21-1990,0.561,0.561,0.557,0.561,0
08-22-1990,0.552,0.552,0.543,0.543,0
08-23-1990,0.538,0.538,0.538,0.538,0
08-24-1990,0.528,0.528,0.510,0.519,0
08-27-1990,0.510,0.510,0.506,0.510,0
08-28-1990,0.510,0.510,0.496,0.505,0
08-29-1990,0.495,0.495,0.473,0.487,0
08-30-1990,0.487,0.501,0.482,0.501,0
08-31-1990,0.510,0.529,0.510,0.529,0
09-04-1990,0.529,0.529,0.519,0.529,0
09-05-1990,0.529,0.543,0.520,0.543,0
09-06-1990,0.538,0.538,0.529,0.529,0
09-07-1990,0.557,0.557,0.557,0.557,0
09-10-1990,0.561,0.566,0.561,0.561,0
09-11-1990,0.561,0.561,0.561,0.561,0
09-12-1990,0.571,0.571,0.571,0.571,0
09-13-1990,0.581,0.589,0.581,0.589,0
09-14-1990,0.589,0.603,0.585,0.585,0
09-17-1990,0.575,0.575,0.575,0.575,0
09-18-1990,0.566,0.566,0.562,0.566,0
09-19-1990,0.566,0.566,0.566,0.566,0
09-20-1990,0.566,0.566,0.566,0.566,0
09-21-1990,0.557,0.557,0.552,0.552,0
09-24-1990,0.552,0.552,0.552,0.552,0
09-25-1990,0.547,0.547,0.547,0.547,0
09-26-1990,0.543,0.543,0.543,0.543,0
09-27-1990,0.533,0.533,0.533,0.533,0
09-28-1990,0.534,0.543,0.534,0.543,0
10-01-1990,0.543,0.543,0.543,0.543,0
10-02-1990,0.543,0.543,0.543,0.543,0
10-03-1990,0.543,0.543,0.543,0.543,0
10-04-1990,0.547,0.547,0.547,0.547,0
10-05-1990,0.547,0.547,0.547,0.547,0
10-08-1990,0.547,0.547,0.547,0.547,0
10-09-1990,0.547,0.547,0.547,0.547,0
10-10-1990,0.538,0.538,0.533,0.533,0
10-11-1990,0.538,0.538,0.538,0.538,0
10-12-1990,0.529,0.529,0.524,0.529,0
10-15-1990,0.534,0.538,0.534,0.538,0
10-16-1990,0.529,0.529,0.529,0.529,0
10-17-1990,0.533,0.533,0.533,0.533,0
10-18-1990,0.533,0.533,0.533,0.533,0
10-19-1990,0.533,0.533,0.524,0.524,0
10-22-1990,0.524,0.528,0.519,0.519,0
10-23-1990,0.519,0.519,0.519,0.519,0
10-24-1990,0.509,0.509,0.496,0.496,0
10-25-1990,0.501,0.501,0.501,0.501,0
10-26-1990,0.501,0.501,0.501,0.501,0
10-29-1990,0.501,0.501,0.501,0.501,0
