Date,Open,High,Low,Close,Volume
07-24-2015,14.80,14.80,13.94,14.41,22072
07-27-2015,14.00,14.85,14.00,14.16,75029
07-28-2015,14.00,14.75,13.57,13.57,141888
07-29-2015,13.65,14.25,13.61,13.61,15466
07-30-2015,13.51,13.62,13.35,13.51,25238
07-31-2015,13.75,14.37,13.12,14.35,516073
08-03-2015,14.25,14.25,12.50,13.19,1689338
08-04-2015,12.85,13.38,12.80,12.94,983167
08-05-2015,13.12,13.22,12.79,13.13,827507
08-06-2015,13.37,13.60,12.57,12.59,1308892
08-07-2015,12.59,13.13,11.75,11.80,999729
08-10-2015,11.81,12.91,11.81,12.71,2369044
08-11-2015,12.70,13.39,12.43,13.18,983450
08-12-2015,13.13,13.16,12.63,12.88,729469
08-13-2015,12.72,13.01,12.69,12.95,567701
08-14-2015,13.02,13.84,13.00,13.73,1684727
08-17-2015,13.77,14.42,13.56,14.09,630056
08-18-2015,13.86,14.09,13.22,13.36,494345
08-19-2015,12.43,13.51,12.32,13.11,236987
08-20-2015,12.85,13.03,12.58,12.67,375361
08-21-2015,12.26,13.00,11.87,12.87,608647
08-24-2015,12.00,12.83,12.00,12.56,749860
08-25-2015,12.89,12.89,12.15,12.17,435336
08-26-2015,12.37,12.50,12.10,12.17,416583
08-27-2015,12.20,12.48,12.13,12.41,269353
08-28-2015,12.35,13.13,12.17,12.86,328770
08-31-2015,12.96,13.25,12.80,12.90,400961
09-01-2015,12.71,13.16,12.68,13.03,255431
09-02-2015,13.27,14.00,12.93,13.31,521495
09-03-2015,13.42,13.60,12.91,13.30,425688
09-04-2015,13.02,13.82,13.02,13.45,365952
09-08-2015,13.45,13.89,13.23,13.26,561406
09-09-2015,14.19,14.61,12.81,12.95,945246
09-10-2015,12.96,13.03,12.64,12.94,283684
09-11-2015,12.95,12.95,12.60,12.74,364270
09-14-2015,12.74,13.62,12.67,13.60,465523
09-15-2015,13.52,13.60,13.11,13.29,366559
09-16-2015,13.25,13.25,12.90,13.02,300667
09-17-2015,12.93,13.03,12.62,12.92,243663
09-18-2015,12.78,13.14,12.60,12.87,1607406
09-21-2015,12.99,12.99,12.63,12.71,311926
09-22-2015,12.65,12.77,12.56,12.65,156655
09-23-2015,12.70,12.70,12.50,12.55,154341
09-24-2015,12.54,13.34,12.53,13.28,195648
09-25-2015,13.29,13.44,13.04,13.37,222033
09-28-2015,13.29,13.29,12.59,12.71,556571
09-29-2015,12.68,13.04,12.62,12.76,400307
09-30-2015,12.84,12.96,12.68,12.71,312641
10-01-2015,12.79,12.99,12.42,12.43,402674
10-02-2015,12.40,12.68,12.32,12.68,300831
10-05-2015,12.74,12.92,12.57,12.61,193463
10-06-2015,12.67,12.90,12.46,12.52,222159
10-07-2015,12.48,12.90,12.25,12.69,472288
10-08-2015,12.41,12.61,12.32,12.61,233282
10-09-2015,12.60,12.60,12.36,12.42,252413
10-12-2015,12.45,12.69,12.23,12.61,182845
10-13-2015,12.50,12.72,12.40,12.45,259175
10-14-2015,12.43,12.64,12.30,12.40,245130
10-15-2015,12.25,12.65,12.24,12.65,223418
10-16-2015,12.72,12.91,12.59,12.86,157216
10-19-2015,12.66,12.86,12.42,12.70,211058
10-20-2015,12.62,12.62,12.37,12.43,240618
10-21-2015,12.43,12.53,12.35,12.44,179356
10-22-2015,12.56,12.70,12.41,12.58,128178
10-23-2015,12.58,12.64,12.23,12.56,251582
10-26-2015,13.47,13.86,13.10,13.24,851411
10-27-2015,13.29,13.58,12.80,12.99,332176
10-28-2015,13.03,13.63,12.80,13.51,454909
10-29-2015,13.42,14.01,13.16,13.97,403185
10-30-2015,13.97,15.34,13.85,14.75,560944
11-02-2015,14.92,14.92,14.06,14.20,301228
11-03-2015,14.20,14.87,14.13,14.33,193681
11-04-2015,14.40,14.74,14.36,14.59,209028
11-05-2015,14.62,14.74,14.27,14.56,131635
11-06-2015,14.43,14.93,14.22,14.93,205434
11-09-2015,14.98,14.98,14.36,14.65,168309
11-10-2015,14.63,14.73,14.38,14.51,145071
11-11-2015,14.57,14.87,13.95,14.11,146550
11-12-2015,13.95,14.23,13.69,13.73,149506
11-13-2015,13.58,13.86,13.35,13.55,197177
11-16-2015,13.63,14.34,13.40,14.20,299290
11-17-2015,14.30,14.76,14.06,14.30,249918
11-18-2015,14.38,14.64,14.23,14.55,178314
11-19-2015,14.52,14.73,14.30,14.41,207329
11-20-2015,14.53,14.90,14.32,14.85,175069
11-23-2015,14.88,14.95,14.49,14.93,200929
11-24-2015,14.78,14.89,14.42,14.81,244291
11-25-2015,14.80,15.26,14.68,15.14,257664
11-27-2015,15.13,15.49,14.86,15.27,59483
11-30-2015,15.28,15.28,14.17,14.45,315931
12-01-2015,14.39,14.64,14.15,14.47,125035
12-02-2015,14.49,15.05,14.38,14.72,208927
12-03-2015,14.72,14.88,13.84,14.00,429683
12-04-2015,13.98,14.19,12.92,12.97,657568
12-07-2015,12.86,13.37,12.72,12.80,357220
12-08-2015,10.95,11.31,9.11,9.31,2828727
12-09-2015,9.31,9.33,8.15,8.99,2196463
12-10-2015,8.95,9.03,8.60,8.76,673992
12-11-2015,8.55,8.72,8.43,8.70,1021729
12-14-2015,9.00,9.30,8.75,9.03,983119
12-15-2015,9.05,9.10,8.83,9.02,802811
12-16-2015,9.08,9.42,8.96,9.35,477836
12-17-2015,9.42,9.67,9.26,9.63,429516
12-18-2015,9.71,10.31,9.68,10.02,1798754
12-21-2015,10.10,10.10,9.66,9.76,345612
12-22-2015,9.75,9.93,9.65,9.66,309061
12-23-2015,9.61,10.00,9.61,9.93,227237
12-24-2015,9.93,10.30,9.86,10.16,99850
12-28-2015,10.15,10.28,9.91,10.06,229090
12-29-2015,10.01,10.13,9.96,10.13,177469
12-30-2015,10.09,10.23,10.00,10.10,125919
12-31-2015,10.00,10.13,9.92,9.95,171994
01-04-2016,9.78,9.82,9.55,9.57,506629
01-05-2016,9.66,9.75,9.40,9.62,415579
01-06-2016,9.45,9.62,9.44,9.49,287226
01-07-2016,9.30,9.50,9.10,9.14,386788
01-08-2016,9.22,9.40,9.03,9.03,507828
01-11-2016,9.06,9.33,8.84,8.93,427897
01-12-2016,8.96,9.21,8.75,8.87,601346
01-13-2016,8.98,9.08,8.54,8.73,641437
01-14-2016,8.78,9.18,8.77,9.11,505784
01-15-2016,8.84,9.30,8.83,9.14,522252
01-19-2016,9.22,10.04,9.15,9.35,696837
01-20-2016,9.29,9.81,9.28,9.63,457132
01-21-2016,9.71,10.32,9.60,10.11,302556
01-22-2016,10.24,10.42,10.04,10.36,220682
01-25-2016,10.29,10.48,9.91,9.99,415875
01-26-2016,10.04,10.11,9.85,10.10,334672
01-27-2016,10.12,10.36,10.00,10.14,339421
01-28-2016,10.27,10.65,10.15,10.62,283795
01-29-2016,10.64,11.03,10.62,11.02,407209
02-01-2016,11.08,11.18,10.68,11.00,324267
02-02-2016,10.86,10.98,10.62,10.74,347343
02-03-2016,10.85,10.85,9.80,10.26,344354
02-04-2016,10.25,10.90,10.24,10.73,387565
02-05-2016,10.68,10.80,10.38,10.45,276707
02-08-2016,10.39,10.40,10.03,10.18,487699
02-09-2016,10.14,10.14,9.80,9.98,424319
02-10-2016,10.07,10.38,9.99,10.00,259934
02-11-2016,9.81,10.01,9.66,9.91,171097
02-12-2016,9.94,10.05,9.75,9.95,184912
02-16-2016,10.03,10.28,9.78,10.20,342066
02-17-2016,10.29,10.49,10.26,10.31,266100
02-18-2016,10.29,10.42,10.04,10.38,174048
02-19-2016,10.38,10.54,10.07,10.20,215088
02-22-2016,10.28,10.70,10.18,10.59,349918
02-23-2016,10.52,10.69,10.35,10.35,227064
02-24-2016,10.25,10.46,9.96,10.42,272291
02-25-2016,10.43,10.46,10.12,10.21,187438
02-26-2016,10.28,10.54,9.99,10.40,215807
02-29-2016,10.41,10.72,10.34,10.68,246437
03-01-2016,10.73,10.99,10.65,10.94,218389
03-02-2016,10.87,11.01,10.62,10.73,239128
03-03-2016,10.70,10.98,10.51,10.80,291502
03-04-2016,10.74,11.00,10.69,10.79,206146
03-07-2016,10.82,11.43,10.75,11.39,651276
03-08-2016,11.57,11.93,9.64,9.69,604807
03-09-2016,9.71,9.95,9.54,9.71,470858
03-10-2016,9.77,9.86,9.59,9.77,344908
03-11-2016,9.80,9.98,9.75,9.93,233301
03-14-2016,9.88,9.99,9.78,9.91,125679
03-15-2016,9.86,9.92,9.70,9.77,141002
03-16-2016,9.72,10.17,9.72,10.04,154883
03-17-2016,10.01,10.03,9.80,9.97,182854
03-18-2016,10.02,10.09,9.53,9.74,469949
03-21-2016,9.63,9.97,9.63,9.80,163691
03-22-2016,9.67,10.07,9.66,9.93,127379
03-23-2016,9.84,9.99,9.53,9.55,197416
03-24-2016,9.56,9.97,9.56,9.95,194685
03-28-2016,9.95,10.00,9.49,9.50,211833
03-29-2016,9.50,9.63,9.27,9.63,280109
03-30-2016,9.65,9.92,9.55,9.76,149465
03-31-2016,9.79,9.89,9.74,9.80,148209
04-01-2016,9.70,9.70,9.51,9.58,145585
04-04-2016,9.54,9.67,9.37,9.40,110734
04-05-2016,9.30,9.45,9.21,9.25,209071
04-06-2016,9.22,9.37,8.99,9.26,178670
04-07-2016,9.24,9.33,8.90,8.92,480131
04-08-2016,9.00,9.00,8.71,8.83,220245
04-11-2016,8.84,9.09,8.79,8.81,192020
04-12-2016,8.80,9.20,8.71,8.99,208366
04-13-2016,9.18,9.65,9.16,9.47,352891
04-14-2016,9.46,9.72,9.46,9.62,234492
04-15-2016,9.57,9.66,9.34,9.62,172790
04-18-2016,9.50,9.84,9.50,9.77,168366
04-19-2016,9.67,9.85,9.67,9.77,132438
04-20-2016,9.72,9.85,9.70,9.78,149994
04-21-2016,9.80,9.99,9.73,9.97,167048
04-22-2016,9.92,10.10,9.87,10.10,291085
04-25-2016,10.05,10.07,9.63,9.85,196343
04-26-2016,9.86,10.11,9.85,10.00,130798
04-27-2016,9.98,10.05,9.91,9.99,141596
04-28-2016,9.92,9.97,9.59,9.62,266322
04-29-2016,9.56,9.73,9.35,9.36,191206
05-02-2016,9.36,9.57,9.26,9.53,215953
05-03-2016,9.41,9.48,9.25,9.33,206736
05-04-2016,9.30,9.36,9.07,9.20,158749
05-05-2016,9.30,9.34,9.11,9.19,220065
05-06-2016,9.14,9.43,9.14,9.43,244340
05-09-2016,9.29,9.70,9.29,9.41,315006
05-10-2016,9.42,9.53,9.36,9.44,166510
05-11-2016,9.38,9.44,8.76,8.78,220679
05-12-2016,8.78,9.00,8.76,8.89,126083
05-13-2016,8.82,9.11,8.67,8.86,250814
05-16-2016,8.86,9.10,8.78,8.79,199809
05-17-2016,8.71,8.94,8.51,8.69,291634
05-18-2016,8.63,8.85,8.50,8.57,328677
05-19-2016,8.57,8.90,8.57,8.69,246389
05-20-2016,8.69,9.07,8.69,8.98,166243
05-23-2016,8.95,9.08,8.88,8.95,228844
05-24-2016,9.01,9.19,8.97,9.16,260923
05-25-2016,9.13,9.42,9.07,9.42,197679
05-26-2016,9.40,9.56,9.23,9.26,117243
05-27-2016,9.22,9.43,9.16,9.32,104481
05-31-2016,9.39,9.65,9.20,9.50,212690
06-01-2016,9.45,9.90,9.40,9.90,277677
06-02-2016,9.83,9.94,9.73,9.93,230451
06-03-2016,9.94,9.94,9.54,9.66,182944
06-06-2016,9.65,9.76,9.59,9.71,128711
06-07-2016,9.69,9.95,9.34,9.83,192563
06-08-2016,9.90,9.93,9.80,9.89,176435
06-09-2016,9.83,9.84,9.52,9.71,169135
06-10-2016,9.67,9.70,9.49,9.61,123318
06-13-2016,9.61,9.79,9.53,9.55,165151
06-14-2016,9.48,9.73,9.47,9.52,215721
06-15-2016,9.49,9.97,9.46,9.74,261357
06-16-2016,9.66,9.73,9.46,9.59,346708
06-17-2016,9.62,9.80,9.60,9.72,836150
06-20-2016,9.85,10.33,9.85,10.16,335856
06-21-2016,10.16,10.21,10.01,10.10,141369
06-22-2016,10.09,10.25,9.95,9.98,213419
06-23-2016,10.10,10.75,10.06,10.29,333805
06-24-2016,10.02,10.16,9.73,10.07,1052605
06-27-2016,9.89,9.94,9.48,9.59,245197
06-28-2016,9.70,9.82,9.39,9.42,567930
06-29-2016,9.62,10.03,9.56,9.95,767367
06-30-2016,10.05,10.15,9.86,10.15,535314
07-01-2016,10.21,10.55,10.21,10.51,211875
07-05-2016,10.40,10.46,10.09,10.24,166374
07-06-2016,10.24,10.52,10.21,10.49,270050
07-07-2016,10.55,10.72,10.48,10.53,150978
07-08-2016,10.63,10.93,10.63,10.90,419201
07-11-2016,11.00,11.28,11.00,11.24,363442
07-12-2016,11.32,11.52,11.32,11.45,308640
07-13-2016,11.46,11.56,11.27,11.38,267647
07-14-2016,11.40,11.68,11.40,11.55,273279
07-15-2016,11.60,11.69,11.51,11.64,264328
07-18-2016,11.56,11.85,11.56,11.81,287134
07-19-2016,11.77,11.88,11.77,11.77,174747
07-20-2016,11.78,11.80,11.62,11.66,110897
07-21-2016,11.65,11.74,11.47,11.55,234639
