Date,Open,High,Low,Close,Volume
09-06-1991,10.36,10.36,10.36,10.36,0
09-10-1991,10.36,10.36,10.36,10.36,0
09-11-1991,10.36,10.36,10.36,10.36,0
09-12-1991,10.36,10.36,10.36,10.36,0
09-13-1991,10.36,10.36,10.36,10.36,0
09-16-1991,10.36,10.36,10.36,10.36,0
09-26-1991,10.36,10.36,10.36,10.36,0
09-30-1991,6.91,6.91,6.91,6.91,0
10-03-1991,8.63,8.63,8.63,8.63,0
10-08-1991,8.63,8.63,8.63,8.63,0
10-09-1991,8.63,8.63,8.63,8.63,0
10-16-1991,12.08,12.08,12.08,12.08,0
10-17-1991,12.08,12.08,12.08,12.08,0
10-21-1991,12.08,12.08,12.08,12.08,0
10-22-1991,12.08,12.08,12.08,12.08,0
10-24-1991,12.08,12.08,12.08,12.08,0
10-25-1991,10.36,10.36,10.36,10.36,0
10-28-1991,10.36,10.36,10.36,10.36,0
10-29-1991,6.03,6.03,2.59,2.59,0
10-30-1991,5.18,5.18,5.18,5.18,0
10-31-1991,5.18,5.18,5.18,5.18,0
11-01-1991,5.18,5.18,5.18,5.18,0
11-04-1991,5.18,5.18,5.18,5.18,0
11-05-1991,4.32,4.32,4.32,4.32,0
11-06-1991,3.45,3.45,3.45,3.45,0
11-07-1991,3.45,3.45,3.45,3.45,0
11-08-1991,3.45,3.45,3.45,3.45,0
11-11-1991,3.45,3.45,3.45,3.45,0
11-12-1991,1.72,1.72,1.72,1.72,0
11-13-1991,2.59,2.59,2.59,2.59,0
11-14-1991,3.45,3.45,3.45,3.45,0
11-19-1991,3.45,3.45,3.45,3.45,0
11-21-1991,3.45,3.45,3.45,3.45,0
11-25-1991,3.45,3.45,3.45,3.45,0
12-05-1991,3.45,3.45,3.45,3.45,0
12-06-1991,3.45,3.45,3.45,3.45,0
12-13-1991,2.59,2.59,2.59,2.59,0
12-16-1991,2.59,2.59,2.59,2.59,0
12-19-1991,2.14,2.14,2.14,2.14,0
12-20-1991,2.28,2.28,2.28,2.28,0
12-23-1991,2.35,2.35,2.35,2.35,0
12-24-1991,2.48,2.48,2.48,2.48,0
12-26-1991,2.48,2.48,2.48,2.48,0
12-27-1991,2.83,2.83,2.83,2.83,0
12-30-1991,3.59,3.59,3.59,3.59,0
12-31-1991,3.59,3.59,3.59,3.59,0
01-02-1992,3.45,3.45,3.45,3.45,0
01-03-1992,3.05,3.48,2.61,3.05,14097
01-06-1992,3.05,3.48,2.75,3.12,4448
01-07-1992,3.12,3.77,2.83,3.30,9959
01-08-1992,3.30,3.77,2.90,3.33,3758
01-09-1992,3.33,3.48,2.61,3.05,998
01-10-1992,3.05,3.77,2.68,3.23,14
01-13-1992,3.23,3.77,2.68,3.23,303
01-14-1992,3.23,3.77,2.75,3.26,1342
01-15-1992,3.26,3.77,2.75,3.26,6165
01-16-1992,3.26,3.77,2.75,3.26,4105
01-17-1992,3.26,3.77,2.75,3.26,2375
01-20-1992,3.26,3.48,2.68,3.08,7196
01-21-1992,3.08,3.48,2.68,3.08,3758
01-22-1992,3.08,3.48,2.32,2.90,22033
01-23-1992,2.90,2.90,2.32,2.61,648
01-24-1992,2.61,2.90,2.32,2.61,998
01-27-1992,2.61,2.90,2.32,2.61,1342
01-28-1992,2.61,2.90,2.32,2.61,5478
01-29-1992,3.08,3.41,2.75,3.08,4105
01-30-1992,2.79,2.90,2.68,2.79,22375
01-31-1992,2.79,2.90,2.68,2.79,9617
02-03-1992,2.79,2.90,2.68,2.79,1680
02-04-1992,2.79,2.90,2.68,2.79,14097
02-05-1992,2.79,2.97,2.68,2.83,4448
02-06-1992,2.83,2.83,2.54,2.68,24447
02-07-1992,2.68,2.97,2.54,2.75,4448
02-10-1992,2.75,2.83,2.54,2.68,8579
02-11-1992,2.68,2.68,2.54,2.61,4448
02-12-1992,2.61,2.90,2.54,2.72,3401
02-13-1992,2.72,2.90,2.54,2.72,2375
02-14-1992,2.72,2.90,2.54,2.72,228
02-18-1992,2.72,2.75,2.46,2.61,4790
02-19-1992,2.61,2.75,2.46,2.61,7550
02-20-1992,2.61,2.75,2.46,2.61,6856
02-21-1992,2.61,2.75,2.46,2.61,11691
02-24-1992,2.61,2.75,2.46,2.61,1680
02-25-1992,2.61,2.90,2.39,2.65,10994
02-26-1992,2.65,2.97,2.46,2.72,4448
02-27-1992,2.72,2.72,2.72,2.72,0
02-28-1992,2.72,2.72,2.72,2.72,0
03-02-1992,3.23,3.55,2.90,3.23,57551
03-03-1992,3.23,3.70,3.12,3.41,40656
03-04-1992,3.41,3.70,3.12,3.41,5828
03-05-1992,3.41,3.70,3.12,3.41,12033
03-06-1992,3.41,3.55,3.12,3.33,998
03-09-1992,3.33,3.55,3.12,3.33,5828
03-10-1992,3.33,3.48,3.12,3.30,5478
03-11-1992,3.30,3.33,3.12,3.23,9617
03-12-1992,3.23,3.48,3.12,3.30,16512
03-13-1992,3.30,3.48,3.12,3.30,2
03-16-1992,3.30,3.48,3.12,3.30,998
03-17-1992,3.30,3.30,3.30,3.30,0
03-18-1992,3.30,3.62,3.19,3.41,11341
03-19-1992,3.41,3.62,3.19,3.41,9274
03-20-1992,3.41,3.77,3.19,3.48,2375
03-23-1992,3.48,3.48,3.48,3.48,0
03-24-1992,3.48,3.84,3.19,3.52,2375
03-25-1992,3.52,3.70,3.12,3.41,239
03-26-1992,3.41,3.70,3.12,3.41,648
03-27-1992,3.41,3.70,3.12,3.41,233
03-30-1992,3.41,3.70,3.12,3.41,303
03-31-1992,3.41,3.70,3.12,3.41,6
04-01-1992,3.41,3.70,3.12,3.41,4448
04-02-1992,3.41,3.70,3.12,3.41,648
04-03-1992,3.41,3.70,3.12,3.41,1680
04-06-1992,3.41,3.70,3.12,3.41,54
04-07-1992,3.41,3.62,3.12,3.37,8579
04-08-1992,3.37,3.37,3.37,3.37,0
04-09-1992,3.37,3.37,3.37,3.37,0
04-10-1992,3.37,3.55,3.12,3.33,7892
04-13-1992,3.33,3.33,3.33,3.33,0
04-14-1992,3.33,3.55,3.12,3.33,4790
04-15-1992,3.33,3.55,3.12,3.33,2375
04-16-1992,3.33,3.55,3.12,3.33,1342
04-20-1992,3.33,3.55,3.12,3.33,998
04-21-1992,3.33,3.55,3.12,3.33,1680
04-22-1992,3.33,3.41,3.12,3.26,11691
04-23-1992,3.26,3.41,3.12,3.26,2375
04-24-1992,3.26,3.41,3.12,3.26,1342
04-27-1992,3.26,3.26,3.05,3.15,13067
04-28-1992,3.15,3.15,3.15,3.15,0
04-29-1992,3.15,3.26,3.05,3.15,2375
04-30-1992,3.15,3.26,3.05,3.15,15481
05-01-1992,3.15,3.26,3.05,3.15,1680
05-04-1992,3.15,3.26,3.05,3.15,998
05-05-1992,3.15,3.26,3.05,3.15,648
05-06-1992,3.15,3.26,3.05,3.15,3758
05-07-1992,3.15,3.15,3.15,3.15,0
05-08-1992,3.15,3.15,3.15,3.15,0
05-11-1992,3.15,3.26,3.05,3.15,303
05-12-1992,3.15,3.26,3.05,3.15,2028
05-13-1992,3.15,3.26,3.05,3.15,303
05-14-1992,3.15,3.26,3.05,3.15,1342
05-15-1992,3.15,3.15,3.15,3.15,0
05-18-1992,3.15,3.15,3.15,3.15,0
05-19-1992,3.15,3.26,3.05,3.15,7196
05-20-1992,3.15,3.26,3.05,3.15,34446
05-21-1992,3.15,3.26,3.05,3.15,1342
05-22-1992,3.15,3.15,3.15,3.15,0
05-26-1992,3.15,3.26,3.05,3.15,6165
05-27-1992,3.15,3.26,3.05,3.15,648
05-28-1992,3.15,3.15,3.15,3.15,0
05-29-1992,3.15,3.26,3.05,3.15,6165
06-01-1992,3.15,3.26,3.05,3.15,9274
06-02-1992,3.15,3.26,3.05,3.15,7892
06-03-1992,3.15,3.70,3.05,3.37,3068
06-04-1992,3.37,3.70,3.05,3.37,1342
06-05-1992,3.37,3.37,3.37,3.37,0
06-08-1992,3.37,3.70,3.05,3.37,648
06-09-1992,3.37,3.37,3.37,3.37,0
06-10-1992,3.37,3.70,3.05,3.37,3401
06-11-1992,3.37,3.70,3.05,3.37,4105
06-12-1992,3.37,3.55,3.05,3.30,1680
