Date,Open,High,Low,Close,Volume
08-17-1995,26.00,27.00,24.75,27.00,3436400
08-18-1995,27.25,31.00,26.50,30.50,1067500
08-21-1995,30.25,32.75,30.25,31.25,651600
08-22-1995,31.50,32.00,30.75,31.75,341700
08-23-1995,32.00,32.00,31.25,31.63,92200
08-24-1995,31.75,34.50,31.38,34.25,348500
08-25-1995,34.25,35.00,33.50,34.75,241200
08-28-1995,34.50,35.00,33.00,33.00,175100
08-29-1995,33.00,33.50,28.50,30.25,424500
08-30-1995,31.00,31.25,30.50,31.25,85800
08-31-1995,31.25,32.50,30.75,32.38,109200
09-01-1995,32.50,33.75,31.75,33.25,95500
09-05-1995,29.50,32.13,28.25,32.00,391800
09-06-1995,31.50,33.75,31.50,33.38,153100
09-07-1995,33.00,33.50,32.00,32.50,75600
09-08-1995,30.25,30.75,27.00,30.00,652300
09-11-1995,29.25,29.75,28.75,29.75,156000
09-12-1995,29.25,29.75,28.75,29.50,85400
09-13-1995,29.50,29.50,29.00,29.25,61000
09-14-1995,29.50,29.50,28.00,28.75,83800
09-15-1995,28.75,29.00,28.00,28.50,39800
09-18-1995,29.00,30.00,28.25,29.75,69000
09-19-1995,29.75,30.00,29.25,30.00,14300
09-20-1995,30.00,30.25,29.25,29.50,30500
09-21-1995,29.75,29.75,29.00,29.50,45200
09-22-1995,29.25,29.50,28.75,29.00,20900
09-25-1995,29.50,30.00,29.00,30.00,60700
09-26-1995,29.50,31.25,29.50,30.50,78400
09-27-1995,30.50,30.50,29.25,29.75,44000
09-28-1995,29.75,29.75,29.50,29.50,18400
09-29-1995,29.75,29.75,29.50,29.50,10300
10-02-1995,30.00,30.00,29.50,30.00,25200
10-03-1995,29.50,30.00,29.00,29.00,21700
10-04-1995,28.75,29.25,28.50,28.50,21300
10-05-1995,29.00,29.00,28.50,29.00,4900
10-06-1995,28.50,29.50,28.50,28.75,16300
10-09-1995,29.25,29.25,28.50,28.50,15900
10-10-1995,28.00,28.50,28.00,28.50,22600
10-11-1995,28.75,28.75,27.50,27.50,22400
10-12-1995,27.50,28.25,26.00,26.50,61900
10-13-1995,26.50,26.50,26.00,26.00,16500
10-16-1995,26.00,26.50,26.00,26.00,13600
10-17-1995,26.00,26.50,26.00,26.50,6300
10-18-1995,26.50,26.50,26.00,26.00,13800
10-19-1995,26.50,26.50,26.00,26.50,9200
10-20-1995,26.50,29.25,26.00,28.25,132800
10-23-1995,28.25,28.75,27.50,27.50,12300
10-24-1995,28.25,28.25,27.25,28.00,9900
10-25-1995,28.00,30.00,28.00,29.25,145100
10-26-1995,29.75,29.75,27.50,27.75,63900
10-27-1995,27.50,28.00,27.00,27.75,38100
