Date,Open,High,Low,Close,Volume
04-30-2015,16.26,16.26,16.26,16.26,0
05-01-2015,16.39,16.65,15.40,15.61,20606104
05-04-2015,15.51,15.60,14.97,15.19,3640194
05-05-2015,15.19,15.60,15.19,15.40,1170719
05-06-2015,15.35,15.78,15.07,15.14,1567894
05-07-2015,15.14,15.53,15.14,15.15,419728
05-08-2015,15.31,15.38,15.14,15.18,725972
05-11-2015,15.65,15.86,15.15,15.20,1149371
05-12-2015,15.07,15.14,14.85,14.97,470805
05-13-2015,14.82,15.19,14.82,14.97,411534
05-14-2015,15.12,15.12,14.72,14.74,288990
05-15-2015,14.85,14.85,14.44,14.54,532356
05-18-2015,14.40,14.49,14.26,14.45,248868
05-19-2015,14.30,14.72,14.19,14.51,167718
05-20-2015,14.46,14.61,14.37,14.54,204242
05-21-2015,14.63,15.05,14.47,14.88,440020
05-22-2015,14.70,15.39,14.56,15.39,211237
05-26-2015,15.35,15.38,14.99,15.21,185707
05-27-2015,15.35,15.39,15.08,15.14,194207
05-28-2015,15.59,15.59,15.11,15.35,262576
05-29-2015,15.26,15.53,15.14,15.48,40190
06-01-2015,15.49,15.49,15.08,15.34,474333
06-02-2015,15.44,15.62,15.18,15.34,1055925
06-03-2015,15.27,15.44,15.11,15.27,1005590
06-04-2015,15.17,15.49,14.79,15.24,1298632
06-05-2015,15.32,15.75,15.04,15.57,1357686
06-08-2015,15.49,15.53,15.12,15.28,219267
06-09-2015,15.38,15.48,15.08,15.26,85767
06-10-2015,15.05,15.40,15.05,15.36,110007
06-11-2015,15.36,15.37,15.15,15.26,116148
06-12-2015,15.30,15.46,15.08,15.16,111904
06-15-2015,15.27,15.34,15.06,15.20,120385
06-16-2015,15.18,15.33,15.13,15.18,126714
06-17-2015,15.17,15.39,15.08,15.08,254633
06-18-2015,15.08,15.26,15.05,15.12,503994
06-19-2015,15.12,15.20,15.00,15.11,246084
06-22-2015,15.20,15.25,15.09,15.25,126779
06-23-2015,15.27,15.38,15.23,15.32,135413
06-24-2015,15.32,15.33,14.71,14.97,233958
06-25-2015,14.88,15.07,14.81,15.07,334469
06-26-2015,14.96,15.17,14.96,15.12,27007
06-29-2015,15.15,15.19,14.81,14.97,72409
06-30-2015,14.97,14.97,14.67,14.73,133624
07-01-2015,14.66,14.97,14.61,14.72,104857
07-02-2015,14.67,14.75,14.55,14.65,89103
07-06-2015,14.58,14.62,14.33,14.43,112201
07-07-2015,14.31,14.56,13.96,14.53,238240
07-08-2015,14.13,14.59,14.13,14.43,127750
07-09-2015,14.41,14.71,13.91,14.20,271005
07-10-2015,14.19,14.41,13.96,14.03,74927
07-13-2015,14.13,14.14,13.88,14.14,143385
07-14-2015,14.08,14.30,13.96,14.29,164286
07-15-2015,14.39,14.39,13.93,14.21,99058
07-16-2015,14.20,14.33,13.84,13.90,93379
07-17-2015,13.85,13.91,13.36,13.48,152157
07-20-2015,13.44,13.77,13.27,13.29,470013
07-21-2015,13.33,13.40,13.15,13.33,132265
07-22-2015,13.29,13.48,13.19,13.47,89145
07-23-2015,13.51,13.82,13.43,13.46,172086
07-24-2015,13.69,13.72,12.96,13.01,160519
07-27-2015,13.00,13.26,12.63,12.65,318995
07-28-2015,12.63,13.05,12.42,12.83,176137
07-29-2015,12.83,13.05,12.49,12.53,113104
07-30-2015,12.45,12.75,12.19,12.19,131272
07-31-2015,12.20,12.34,12.05,12.09,114928
08-03-2015,12.13,12.48,11.99,12.21,126950
08-04-2015,12.19,12.38,12.11,12.35,191778
08-05-2015,12.32,12.53,11.81,11.88,101530
08-06-2015,11.88,11.89,11.47,11.59,124115
08-07-2015,11.59,12.08,11.38,11.51,132930
08-10-2015,11.52,11.98,11.52,11.90,49141
08-11-2015,11.74,11.97,11.49,11.59,59317
08-12-2015,11.35,11.98,11.35,11.69,128787
08-13-2015,11.39,11.93,11.38,11.75,99129
08-14-2015,11.75,12.59,11.49,12.50,246613
08-17-2015,12.75,12.78,12.43,12.55,140721
08-18-2015,12.80,12.82,12.35,12.50,50888
08-19-2015,12.60,12.60,11.78,12.06,228843
08-20-2015,12.28,12.61,11.86,12.33,62008
08-21-2015,12.30,12.46,12.04,12.23,184173
08-24-2015,11.85,12.31,11.76,12.22,277659
08-25-2015,12.48,12.63,12.28,12.48,255363
08-26-2015,12.69,12.69,12.31,12.44,133160
08-27-2015,12.40,13.16,12.18,12.94,136907
08-28-2015,13.00,13.67,12.98,13.51,219138
08-31-2015,13.44,13.62,13.22,13.55,236046
09-01-2015,13.51,13.77,13.35,13.48,161226
09-02-2015,13.60,13.75,13.00,13.50,200663
09-03-2015,13.54,14.16,13.32,13.97,193901
09-04-2015,14.00,14.00,13.49,14.00,68627
09-08-2015,14.02,14.43,13.85,14.04,74952
09-09-2015,14.13,14.40,14.00,14.19,80015
09-10-2015,14.26,14.45,14.04,14.06,144572
09-11-2015,13.86,13.90,13.50,13.50,44794
09-14-2015,13.52,13.88,13.06,13.20,47810
09-15-2015,13.42,13.49,13.25,13.33,50334
09-16-2015,13.32,13.56,12.93,12.96,136947
09-17-2015,13.12,13.59,13.12,13.20,113482
09-18-2015,13.06,13.23,12.75,13.13,43013
09-21-2015,13.19,13.30,12.83,12.93,61174
09-22-2015,12.93,13.02,12.72,12.78,34784
09-23-2015,12.80,12.98,12.16,12.29,108677
09-24-2015,12.12,12.90,12.12,12.60,114077
09-25-2015,12.76,12.76,12.22,12.28,61617
09-28-2015,12.44,12.60,11.96,12.02,78840
09-29-2015,12.15,12.18,11.90,11.98,95028
09-30-2015,12.18,12.19,11.57,11.94,122632
10-01-2015,12.03,12.49,11.92,12.05,268437
10-02-2015,11.90,12.20,11.90,12.11,158703
10-05-2015,12.23,12.95,12.23,12.86,111895
10-06-2015,12.88,13.72,12.47,13.45,351533
10-07-2015,13.44,13.52,13.09,13.19,408416
10-08-2015,13.12,13.30,12.93,13.16,137034
10-09-2015,13.07,13.24,12.91,13.00,143600
10-12-2015,13.09,13.11,12.78,12.97,83180
10-13-2015,12.83,13.17,12.56,12.71,74619
10-14-2015,12.64,12.78,12.25,12.41,223368
10-15-2015,12.51,12.95,12.29,12.67,237532
10-16-2015,12.51,12.74,12.22,12.22,253486
10-19-2015,12.21,12.35,11.97,12.04,71874
10-20-2015,12.10,12.15,12.00,12.06,228252
10-21-2015,12.11,12.27,11.90,11.96,70950
10-22-2015,12.05,12.19,11.68,12.05,247902
10-23-2015,12.09,12.22,11.75,12.11,105598
10-26-2015,12.11,12.11,11.19,11.26,306855
10-27-2015,11.29,11.30,10.40,10.82,948868
10-28-2015,10.87,11.45,10.67,11.31,233530
10-29-2015,11.31,11.62,11.20,11.52,229995
10-30-2015,11.47,11.88,11.20,11.88,261977
11-02-2015,11.87,12.26,11.65,12.13,144986
