Date,Open,High,Low,Close,Volume
10-02-1998,24.33,24.33,22.79,22.79,3312
10-05-1998,22.79,23.41,22.79,23.41,956
10-06-1998,22.79,23.41,22.79,23.41,389
10-07-1998,23.41,23.41,23.41,23.41,1201
10-08-1998,23.41,23.41,23.41,23.41,0
10-09-1998,23.41,23.41,22.79,22.79,4207
10-12-1998,23.56,23.56,23.41,23.41,3149
10-13-1998,23.72,23.72,23.72,23.72,469
10-14-1998,22.79,22.79,22.79,22.79,66
10-15-1998,22.79,22.79,22.79,22.79,0
10-16-1998,23.41,23.56,23.41,23.41,469
10-19-1998,23.41,23.41,23.41,23.41,66
10-20-1998,23.10,23.41,22.48,23.41,632
10-21-1998,23.41,23.41,23.41,23.41,0
10-22-1998,23.41,23.41,22.64,22.64,1121
10-23-1998,22.48,23.41,22.48,23.41,2257
10-26-1998,22.64,23.10,22.64,23.10,1201
10-27-1998,23.10,23.10,23.10,23.10,0
10-28-1998,23.10,23.10,23.10,23.10,0
10-29-1998,23.41,23.41,23.10,23.10,23848
10-30-1998,23.10,23.10,22.18,22.18,1444
11-02-1998,23.10,23.10,23.10,23.10,554
11-03-1998,23.10,23.10,22.18,22.18,2662
11-04-1998,23.41,23.41,23.10,23.10,3556
11-05-1998,23.10,23.10,23.10,23.10,2419
11-06-1998,22.95,22.95,22.95,22.95,147
11-09-1998,22.95,22.95,22.95,22.95,0
11-10-1998,22.95,22.95,22.95,22.95,0
11-11-1998,22.95,22.95,22.95,22.95,147
11-12-1998,22.48,22.48,22.48,22.48,879
11-13-1998,22.48,22.48,22.48,22.48,0
11-16-1998,22.95,22.95,22.95,22.95,228
11-17-1998,22.95,22.95,22.33,22.33,1121
11-18-1998,22.33,22.33,22.33,22.33,0
11-19-1998,22.79,22.79,22.79,22.79,66
11-20-1998,22.79,22.79,22.79,22.79,0
11-23-1998,22.79,22.79,22.79,22.79,469
11-24-1998,22.48,22.48,22.33,22.33,228
