Date,Open,High,Low,Close,Volume
05-15-1996,3.82,3.93,3.76,3.93,2061401
05-16-1996,3.93,4.04,3.93,4.04,527478
05-17-1996,4.09,4.15,4.09,4.15,490817
05-20-1996,4.15,4.15,4.12,4.15,1039402
05-21-1996,4.15,4.15,4.12,4.12,165884
05-22-1996,4.15,4.15,4.12,4.15,67805
05-23-1996,4.17,4.17,4.04,4.04,108597
05-24-1996,4.04,4.06,4.01,4.01,300161
05-28-1996,4.04,4.12,4.04,4.12,288704
05-29-1996,4.20,4.20,4.15,4.15,540773
05-30-1996,4.20,4.20,4.20,4.20,69184
05-31-1996,4.20,4.26,4.20,4.26,82474
06-03-1996,4.26,4.28,4.26,4.26,76975
06-04-1996,4.26,4.26,4.15,4.17,265330
06-05-1996,4.15,4.15,4.15,4.15,263501
06-06-1996,4.04,4.09,4.04,4.09,230504
06-07-1996,4.06,4.06,4.06,4.06,5935
06-10-1996,4.09,4.12,4.09,4.09,414734
06-11-1996,4.09,4.09,4.04,4.04,164968
06-12-1996,4.04,4.06,4.04,4.06,73305
06-13-1996,4.06,4.06,4.06,4.06,2730
06-14-1996,4.06,4.06,4.06,4.06,0
06-17-1996,4.09,4.09,4.06,4.06,77886
06-18-1996,4.06,4.06,4.06,4.06,36641
06-19-1996,4.06,4.06,4.06,4.06,439
06-20-1996,4.09,4.15,4.09,4.15,106764
06-21-1996,4.20,4.20,4.20,4.20,97597
06-24-1996,4.20,4.26,4.20,4.20,375324
06-25-1996,4.20,4.26,4.20,4.26,730967
06-26-1996,4.31,4.47,4.31,4.45,467438
06-27-1996,4.42,4.42,4.31,4.36,267627
06-28-1996,4.34,4.36,4.31,4.34,205298
07-01-1996,4.26,4.26,4.26,4.26,124181
07-02-1996,4.20,4.20,4.17,4.17,83388
07-03-1996,4.20,4.20,4.20,4.20,22898
07-05-1996,4.17,4.17,4.15,4.15,23351
07-08-1996,4.15,4.15,4.15,4.15,14646
07-09-1996,4.15,4.15,4.15,4.15,177343
07-10-1996,4.15,4.15,4.15,4.15,5935
07-11-1996,4.15,4.17,4.15,4.17,246084
07-12-1996,4.20,4.20,4.15,4.15,98519
07-15-1996,4.15,4.15,4.15,4.15,0
07-16-1996,4.09,4.09,4.06,4.06,19229
07-17-1996,4.04,4.04,4.04,4.04,7317
07-18-1996,4.01,4.06,4.01,4.04,102643
07-19-1996,4.06,4.06,4.04,4.04,116849
07-22-1996,4.04,4.04,4.04,4.04,0
07-23-1996,4.06,4.06,4.06,4.06,114557
07-24-1996,4.06,4.06,4.01,4.04,156259
07-25-1996,4.01,4.04,3.98,3.98,24729
07-26-1996,3.98,3.98,3.98,3.98,35270
07-29-1996,4.01,4.01,4.01,4.01,4564
07-30-1996,3.98,3.98,3.98,3.98,2272
07-31-1996,3.93,3.93,3.90,3.90,10979
08-01-1996,3.87,3.90,3.87,3.90,326747
08-02-1996,3.90,3.98,3.90,3.95,218126
08-05-1996,4.01,4.06,4.01,4.06,143425
08-06-1996,4.04,4.04,4.04,4.04,3190
