Date,Open,High,Low,Close,Volume
01-02-1990,1.81,1.94,1.78,1.83,0
01-03-1990,1.82,1.93,1.80,1.93,0
01-04-1990,1.93,1.93,1.80,1.93,0
01-05-1990,1.93,1.93,1.80,1.80,0
01-08-1990,1.85,1.93,1.85,1.85,0
01-09-1990,1.85,1.85,1.80,1.80,0
01-10-1990,1.80,1.85,1.80,1.85,0
01-11-1990,1.85,1.85,1.85,1.85,0
01-12-1990,1.85,1.89,1.85,1.85,0
01-15-1990,1.85,1.85,1.85,1.85,0
01-16-1990,1.85,1.89,1.85,1.85,0
01-17-1990,1.93,1.93,1.93,1.93,0
01-18-1990,1.93,1.93,1.93,1.93,0
01-19-1990,1.80,1.80,1.80,1.80,0
01-22-1990,1.80,1.80,1.80,1.80,0
01-23-1990,1.81,1.89,1.81,1.89,0
01-24-1990,1.80,1.80,1.80,1.80,0
01-25-1990,1.93,1.93,1.93,1.93,0
01-26-1990,1.87,1.87,1.80,1.87,0
01-29-1990,1.87,1.87,1.87,1.87,0
01-30-1990,1.87,1.87,1.87,1.87,0
01-31-1990,1.80,1.80,1.80,1.80,0
02-01-1990,1.80,1.80,1.80,1.80,0
02-02-1990,1.80,1.93,1.80,1.80,0
02-05-1990,1.87,1.93,1.87,1.87,0
02-06-1990,1.87,1.87,1.87,1.87,0
02-07-1990,1.87,1.87,1.87,1.87,0
02-08-1990,1.87,1.91,1.80,1.91,0
02-09-1990,1.91,1.91,1.91,1.91,0
02-12-1990,1.80,1.80,1.80,1.80,0
02-13-1990,1.80,1.91,1.78,1.78,0
02-14-1990,1.78,1.80,1.78,1.80,0
02-15-1990,1.80,1.80,1.80,1.80,0
02-16-1990,1.78,1.78,1.78,1.78,0
02-20-1990,1.78,1.91,1.78,1.91,0
02-21-1990,1.91,1.91,1.78,1.78,0
02-22-1990,1.78,1.78,1.78,1.78,0
02-23-1990,1.91,1.91,1.91,1.91,0
02-26-1990,1.89,1.89,1.78,1.85,0
02-27-1990,1.78,1.78,1.78,1.78,0
02-28-1990,1.78,1.89,1.78,1.78,0
03-01-1990,1.78,1.78,1.78,1.78,0
03-02-1990,1.78,1.91,1.78,1.78,0
03-05-1990,1.78,1.78,1.78,1.78,0
03-06-1990,1.91,1.91,1.91,1.91,0
03-07-1990,1.84,1.84,1.84,1.84,0
03-08-1990,1.83,1.83,1.83,1.83,0
03-09-1990,1.83,1.91,1.78,1.78,0
03-12-1990,1.78,1.78,1.78,1.78,0
03-13-1990,1.89,1.89,1.89,1.89,0
03-14-1990,1.89,1.89,1.85,1.89,0
03-15-1990,1.89,1.89,1.80,1.80,0
03-16-1990,1.80,1.80,1.80,1.80,0
03-19-1990,1.80,1.80,1.80,1.80,0
03-20-1990,1.80,1.80,1.80,1.80,0
03-21-1990,1.80,1.80,1.80,1.80,0
03-22-1990,1.80,1.80,1.80,1.80,0
03-23-1990,1.80,1.80,1.80,1.80,0
03-26-1990,2.07,2.07,2.07,2.07,0
03-27-1990,2.08,2.18,2.08,2.18,0
03-28-1990,2.18,2.18,2.18,2.18,0
03-29-1990,2.08,2.10,2.08,2.10,0
03-30-1990,2.15,2.15,2.07,2.08,0
04-02-1990,2.09,2.18,2.08,2.13,0
04-03-1990,2.07,2.07,2.07,2.07,0
04-04-1990,2.13,2.13,2.10,2.13,0
04-05-1990,2.14,2.14,2.14,2.14,0
04-06-1990,2.08,2.10,2.08,2.10,0
04-09-1990,2.07,2.07,2.07,2.07,0
04-10-1990,2.17,2.17,2.07,2.07,0
04-11-1990,2.07,2.07,2.07,2.07,0
04-12-1990,2.07,2.07,2.07,2.07,0
04-16-1990,2.07,2.10,2.07,2.07,0
04-17-1990,2.07,2.07,2.07,2.07,0
04-18-1990,2.10,2.13,2.10,2.13,0
04-19-1990,2.07,2.07,2.07,2.07,0
04-20-1990,2.07,2.07,2.07,2.07,0
04-23-1990,2.07,2.07,2.07,2.07,0
04-24-1990,2.07,2.07,2.07,2.07,0
04-25-1990,2.17,2.17,2.07,2.07,0
04-26-1990,2.07,2.07,2.07,2.07,0
04-27-1990,2.11,2.11,2.11,2.11,0
04-30-1990,2.07,2.07,2.07,2.07,0
05-01-1990,2.07,2.07,2.07,2.07,0
05-02-1990,2.07,2.07,2.07,2.07,0
05-03-1990,2.08,2.18,2.08,2.18,0
05-04-1990,2.10,2.11,2.10,2.11,0
05-07-1990,2.07,2.07,2.07,2.07,0
05-08-1990,2.07,2.08,2.07,2.08,0
05-09-1990,2.07,2.07,2.07,2.07,0
05-10-1990,2.07,2.07,2.07,2.07,0
05-11-1990,2.07,2.07,2.07,2.07,0
05-14-1990,2.07,2.07,2.07,2.07,0
05-15-1990,2.07,2.07,2.07,2.07,0
05-16-1990,2.07,2.07,2.07,2.07,0
05-17-1990,2.07,2.07,2.07,2.07,0
05-18-1990,2.07,2.07,2.07,2.07,0
05-21-1990,2.07,2.07,2.07,2.07,0
05-22-1990,2.13,2.13,2.13,2.13,0
05-23-1990,2.13,2.13,2.13,2.13,0
