Date,Open,High,Low,Close,Volume
02-05-1993,1.11,1.13,1.11,1.12,11623061
02-08-1993,1.11,1.13,1.11,1.11,669095
02-09-1993,1.11,1.13,1.11,1.11,791446
02-10-1993,1.12,1.13,1.11,1.11,622541
02-11-1993,1.13,1.13,1.11,1.11,730813
02-12-1993,1.12,1.12,1.11,1.11,554321
02-16-1993,1.108,1.108,0.970,0.970,1214792
02-17-1993,0.924,0.970,0.924,0.924,1082699
02-18-1993,0.924,0.947,0.924,0.924,225176
02-19-1993,0.947,0.947,0.924,0.924,579226
02-22-1993,0.924,0.947,0.924,0.924,386503
02-23-1993,0.924,0.924,0.808,0.808,537000
02-24-1993,0.808,0.877,0.785,0.808,236006
02-25-1993,0.808,0.970,0.808,0.970,412485
02-26-1993,0.947,1.016,0.900,0.947,2523810
03-01-1993,1.02,1.02,0.97,1.00,535920
03-02-1993,0.970,1.016,0.970,0.993,363766
03-03-1993,1.02,1.04,0.99,1.02,2102629
03-04-1993,1.06,1.06,1.02,1.04,530510
03-05-1993,1.04,1.09,1.02,1.09,814185
03-08-1993,1.09,1.11,1.06,1.09,1375031
03-09-1993,1.11,1.12,1.09,1.09,1612155
03-10-1993,1.13,1.13,1.09,1.12,173204
03-11-1993,1.13,1.13,1.09,1.09,75762
03-12-1993,1.13,1.13,1.06,1.11,1495217
03-15-1993,1.09,1.13,1.09,1.13,930032
03-16-1993,1.09,1.13,1.09,1.09,123398
03-17-1993,1.09,1.13,1.09,1.09,375677
03-18-1993,1.11,1.11,1.06,1.06,110405
03-19-1993,1.04,1.11,1.04,1.11,15126
03-22-1993,1.11,1.11,1.06,1.11,42197
03-23-1993,1.11,1.11,1.04,1.06,300966
03-24-1993,1.04,1.10,1.04,1.10,687501
03-25-1993,1.10,1.10,1.06,1.07,102829
03-26-1993,1.10,1.10,1.06,1.07,164546
03-29-1993,1.06,1.13,1.06,1.11,921369
03-30-1993,1.09,1.13,1.06,1.13,760043
03-31-1993,1.13,1.13,1.06,1.13,434146
04-01-1993,1.13,1.13,1.11,1.11,807682
04-02-1993,1.13,1.13,1.09,1.11,207850
04-05-1993,1.09,1.13,1.09,1.11,51942
04-06-1993,1.09,1.13,1.09,1.13,194859
04-07-1993,1.09,1.18,1.09,1.14,605216
04-08-1993,1.13,1.18,1.11,1.11,483949
04-12-1993,1.11,1.15,1.06,1.11,158048
04-13-1993,1.06,1.11,1.06,1.06,162375
04-14-1993,1.11,1.11,1.06,1.06,88753
04-15-1993,1.09,1.11,1.06,1.09,174288
04-16-1993,1.13,1.13,1.09,1.13,149385
04-19-1993,1.09,1.15,1.09,1.12,59517
04-20-1993,1.14,1.14,1.11,1.12,198112
04-21-1993,1.15,1.15,1.09,1.09,109329
04-22-1993,1.11,1.12,1.09,1.09,106075
04-23-1993,1.09,1.15,1.09,1.09,135314
04-26-1993,1.09,1.09,1.09,1.09,46523
04-27-1993,1.09,1.15,1.09,1.09,59517
04-28-1993,1.09,1.10,1.02,1.02,173204
04-29-1993,0.993,1.039,0.877,0.993,734058
04-30-1993,1.04,1.04,0.97,1.02,84425
05-03-1993,0.947,1.016,0.947,0.993,168879
05-04-1993,0.970,1.016,0.970,0.970,168879
05-05-1993,0.993,0.993,0.993,0.993,9711
05-06-1993,0.970,0.970,0.970,0.970,10796
05-07-1993,1.06,1.06,0.99,1.02,50855
05-10-1993,1.06,1.09,1.04,1.04,145053
05-11-1993,1.11,1.18,1.11,1.18,338860
05-12-1993,1.11,1.13,1.11,1.13,499106
05-13-1993,1.11,1.12,1.09,1.09,2265035
05-14-1993,1.15,1.15,1.09,1.15,95255
05-17-1993,1.09,1.18,1.09,1.18,20540
05-18-1993,1.09,1.13,1.06,1.06,102829
05-19-1993,1.06,1.13,1.06,1.11,146136
05-20-1993,1.12,1.15,1.06,1.11,554321
05-21-1993,1.15,1.15,1.09,1.15,207850
05-24-1993,1.13,1.13,1.06,1.06,16211
05-25-1993,1.016,1.085,0.970,0.970,446053
05-26-1993,0.993,1.016,0.970,0.993,321538
05-27-1993,1.02,1.04,0.99,1.02,51942
05-28-1993,0.993,0.993,0.993,0.993,119068
06-01-1993,1.039,1.039,0.993,0.993,124481
