Date,Open,High,Low,Close,Volume
01-06-1995,1.02,1.02,1.02,1.02,1328
01-09-1995,0.740,0.740,0.740,0.740,2679
01-10-1995,0.924,0.924,0.924,0.924,5383
01-11-1995,0.924,0.924,0.740,0.832,103818
01-12-1995,0.740,0.740,0.740,0.740,1868
01-13-1995,0.832,0.855,0.832,0.855,5925
01-16-1995,0.855,0.924,0.855,0.924,13221
01-17-1995,0.832,0.832,0.832,0.832,8359
01-18-1995,0.832,0.924,0.832,0.924,6461
01-19-1995,0.924,0.924,0.924,0.924,0
01-20-1995,0.922,0.922,0.922,0.922,0
01-23-1995,0.922,0.922,0.922,0.922,0
01-24-1995,0.92,1.11,0.88,1.02,96246
01-25-1995,0.971,0.971,0.971,0.971,1328
01-26-1995,0.97,1.02,0.97,1.02,2138
01-27-1995,0.971,1.156,0.971,0.971,34860
01-30-1995,1.02,1.02,1.02,1.02,13499
01-31-1995,1.02,1.02,1.02,1.02,0
02-01-1995,1.06,1.06,1.06,1.06,2679
02-02-1995,0.97,1.02,0.97,1.02,57573
02-03-1995,0.99,1.02,0.99,1.02,17552
02-06-1995,0.97,1.02,0.97,1.02,5109
02-07-1995,0.971,0.971,0.924,0.971,71910
02-08-1995,0.878,0.878,0.878,0.878,516
02-09-1995,0.878,0.878,0.878,0.878,0
02-10-1995,1.02,1.02,0.88,1.02,2408
02-13-1995,1.017,1.017,0.878,0.878,38918
02-14-1995,0.878,0.878,0.878,0.878,0
02-15-1995,0.878,0.878,0.878,0.878,8087
02-16-1995,0.878,0.878,0.878,0.878,0
02-17-1995,0.971,0.971,0.971,0.971,1868
02-21-1995,0.971,0.971,0.878,0.878,1596
02-22-1995,0.878,0.878,0.878,0.878,0
02-23-1995,0.879,0.879,0.879,0.879,0
02-24-1995,0.878,0.878,0.786,0.786,140594
02-27-1995,0.786,0.786,0.786,0.786,787
02-28-1995,0.786,0.786,0.786,0.786,0
03-01-1995,0.786,0.832,0.740,0.740,38106
03-02-1995,0.740,0.740,0.740,0.740,0
03-03-1995,0.647,0.647,0.601,0.601,98952
03-06-1995,0.601,0.601,0.601,0.601,3217
03-07-1995,0.601,0.601,0.601,0.601,0
03-08-1995,0.601,0.693,0.601,0.693,116253
03-09-1995,0.693,0.693,0.693,0.693,0
03-10-1995,0.601,0.740,0.601,0.740,1058
03-13-1995,0.740,0.740,0.693,0.693,58657
03-14-1995,0.647,0.786,0.647,0.786,684962
03-15-1995,0.786,0.786,0.786,0.786,0
03-16-1995,0.740,0.832,0.740,0.832,42704
03-17-1995,0.762,0.762,0.762,0.762,46218
03-20-1995,0.762,0.762,0.762,0.762,0
03-21-1995,0.762,0.762,0.762,0.762,516
03-22-1995,0.762,0.786,0.762,0.786,52707
03-23-1995,0.786,0.786,0.786,0.786,0
03-24-1995,0.832,0.832,0.832,0.832,787
03-27-1995,0.83,1.11,0.83,1.10,889675
03-28-1995,1.09,1.09,1.06,1.06,11335
03-29-1995,0.971,0.971,0.971,0.971,244
03-30-1995,0.971,0.971,0.971,0.971,0
03-31-1995,1.040,1.040,0.971,0.971,20259
04-03-1995,1.06,1.06,1.02,1.02,30532
04-04-1995,1.02,1.02,1.02,1.02,0
04-05-1995,0.924,0.936,0.924,0.924,61089
04-06-1995,0.924,0.924,0.924,0.924,0
04-07-1995,0.922,0.922,0.922,0.922,0
04-10-1995,0.922,0.922,0.922,0.922,0
04-11-1995,0.922,0.922,0.922,0.922,0
04-12-1995,0.924,0.924,0.924,0.924,5925
04-13-1995,0.924,0.924,0.924,0.924,0
04-17-1995,0.948,0.971,0.948,0.971,2138
04-18-1995,1.02,1.02,1.02,1.02,43515
04-19-1995,0.924,0.971,0.878,0.924,51629
04-20-1995,0.878,0.878,0.878,0.878,18905
04-21-1995,0.924,0.924,0.878,0.878,5383
04-24-1995,0.97,1.02,0.92,1.02,1664990
04-25-1995,1.06,1.29,1.06,1.25,2348623
04-26-1995,1.25,1.25,1.16,1.22,55414
04-27-1995,1.16,1.25,1.02,1.11,182510
04-28-1995,1.11,1.11,1.11,1.11,47027
05-01-1995,1.11,1.11,1.11,1.11,0
05-02-1995,1.13,1.16,1.11,1.16,24317
05-03-1995,1.16,1.16,1.16,1.16,0
05-04-1995,1.15,1.15,1.15,1.15,0
05-05-1995,1.16,1.16,1.11,1.14,112468
05-08-1995,1.20,1.20,1.19,1.19,54871
05-09-1995,1.13,1.16,1.13,1.16,36479
05-10-1995,1.06,1.16,1.06,1.16,4571
05-11-1995,1.16,1.16,1.16,1.16,0
05-12-1995,1.06,1.11,1.06,1.06,89216
05-15-1995,1.11,1.11,0.97,1.02,48921
05-16-1995,1.06,1.06,1.06,1.06,2679
05-17-1995,1.04,1.06,1.04,1.06,12686
05-18-1995,0.99,1.06,0.99,1.06,8087
05-19-1995,0.994,0.994,0.994,0.994,9442
05-22-1995,0.95,1.06,0.95,1.06,10248
05-23-1995,1.06,1.06,1.06,1.06,2138
05-24-1995,0.95,1.06,0.95,1.06,168449
05-25-1995,1.06,1.06,1.04,1.04,5383
05-26-1995,1.04,1.04,1.04,1.04,3757
05-30-1995,1.04,1.04,1.04,1.04,0
05-31-1995,1.11,1.11,1.11,1.11,787
06-01-1995,1.11,1.11,1.11,1.11,2679
06-02-1995,1.040,1.040,0.924,0.924,24582
06-05-1995,0.924,0.924,0.924,0.924,0
06-06-1995,0.948,0.971,0.924,0.948,83801
06-07-1995,0.97,1.06,0.97,1.06,8087
06-08-1995,1.06,1.06,1.06,1.06,5109
06-09-1995,1.06,1.06,1.06,1.06,0
06-12-1995,1.06,1.06,1.06,1.06,10789
06-13-1995,1.06,1.06,1.06,1.06,5383
06-14-1995,1.11,1.11,1.02,1.02,35126
06-15-1995,1.02,1.11,1.02,1.11,410206
06-16-1995,1.11,1.11,1.11,1.11,244
06-19-1995,1.02,1.11,1.02,1.11,2138
06-20-1995,1.06,1.11,1.02,1.11,62171
06-21-1995,1.11,1.11,1.11,1.11,0
06-22-1995,1.11,1.11,1.11,1.11,0
06-23-1995,1.06,1.06,1.06,1.06,10789
06-26-1995,1.02,1.02,1.02,1.02,244
06-27-1995,1.11,1.11,1.11,1.11,787
06-28-1995,1.06,1.09,1.06,1.09,162231
06-29-1995,1.09,1.09,1.09,1.09,0
06-30-1995,1.08,1.08,1.08,1.08,0
07-03-1995,1.08,1.08,1.08,1.08,0
07-05-1995,1.08,1.08,1.08,1.08,0
07-06-1995,1.08,1.08,1.08,1.08,0
07-07-1995,1.08,1.08,1.08,1.08,0
07-10-1995,1.11,1.11,1.06,1.06,58385
07-11-1995,1.06,1.11,1.06,1.11,45678
07-12-1995,1.11,1.13,1.06,1.13,159260
07-13-1995,1.06,1.06,1.06,1.06,3490
07-14-1995,1.11,1.11,1.11,1.11,2679
07-17-1995,1.11,1.11,1.11,1.11,0
07-18-1995,1.06,1.06,1.06,1.06,21608
07-19-1995,1.06,1.06,1.06,1.06,51080
07-20-1995,1.06,1.06,1.06,1.06,0
07-21-1995,1.06,1.06,1.06,1.06,3490
07-24-1995,1.06,1.06,1.06,1.06,0
07-25-1995,1.06,1.06,1.06,1.06,0
07-26-1995,1.09,1.13,1.09,1.13,272021
07-27-1995,1.11,1.59,1.11,1.53,380193
07-28-1995,1.53,1.62,1.39,1.39,92463
07-31-1995,1.43,1.79,1.39,1.57,268509
08-01-1995,1.66,1.66,1.48,1.53,131944
08-02-1995,1.48,1.48,1.43,1.43,63791
08-03-1995,1.43,1.43,1.43,1.43,12147
08-04-1995,1.43,1.43,1.43,1.43,0
08-07-1995,1.43,1.43,1.43,1.43,0
08-08-1995,1.43,1.43,1.43,1.43,2679
08-09-1995,1.39,1.43,1.39,1.41,61896
08-10-1995,1.43,1.53,1.39,1.53,131944
08-11-1995,1.53,2.08,1.53,2.03,739319
08-14-1995,2.08,2.08,1.57,1.76,339893
08-15-1995,1.80,1.80,1.71,1.80,143302
08-16-1995,1.85,2.13,1.80,1.83,652779
08-17-1995,1.76,1.90,1.76,1.90,102737
08-18-1995,1.90,1.90,1.66,1.69,150061
08-21-1995,1.80,1.80,1.66,1.71,18635
08-22-1995,1.66,1.71,1.48,1.57,134370
08-23-1995,1.71,1.71,1.57,1.71,4032
08-24-1995,1.71,1.90,1.71,1.90,104087
08-25-1995,1.80,1.85,1.62,1.66,138164
08-28-1995,1.71,1.71,1.66,1.66,6735
08-29-1995,1.71,1.71,1.62,1.62,55144
08-30-1995,1.62,1.66,1.57,1.57,27018
08-31-1995,1.66,1.76,1.66,1.76,74883
09-01-1995,1.80,1.80,1.80,1.80,2679
09-05-1995,1.71,1.71,1.57,1.57,89487
09-06-1995,1.53,1.66,1.53,1.66,12952
09-07-1995,1.53,1.66,1.53,1.62,46490
09-08-1995,1.66,1.71,1.62,1.62,80560
09-11-1995,1.62,1.71,1.62,1.62,2138
09-12-1995,1.71,1.71,1.62,1.62,28371
