Date,Open,High,Low,Close,Volume
06-28-1996,3.21,4.06,3.17,4.00,0
07-01-1996,3.92,4.08,3.42,4.08,6322800
07-02-1996,4.08,4.08,3.63,3.63,4495200
07-03-1996,3.58,3.63,3.25,3.38,3990000
07-05-1996,3.31,3.38,3.08,3.23,1314600
07-08-1996,3.21,3.25,3.13,3.15,1791000
07-09-1996,3.21,3.23,2.94,2.98,1644600
07-10-1996,2.94,2.96,2.81,2.85,1659600
07-11-1996,2.81,2.85,2.67,2.67,1023600
07-12-1996,2.75,2.90,2.67,2.90,1083000
07-15-1996,2.90,2.90,2.50,2.54,1161600
07-16-1996,2.50,2.54,2.21,2.52,1831200
07-17-1996,2.63,2.92,2.63,2.75,1265400
07-18-1996,2.79,3.33,2.75,3.13,1325400
07-19-1996,3.17,3.17,2.98,3.04,409800
07-22-1996,3.04,3.04,2.88,2.92,255000
07-23-1996,2.96,3.00,2.38,2.42,2223000
07-24-1996,2.38,2.56,2.27,2.48,1270800
07-25-1996,2.54,2.63,2.52,2.63,738000
07-26-1996,2.67,2.75,2.58,2.75,391800
07-29-1996,2.71,2.77,2.54,2.58,216600
07-30-1996,2.60,2.65,2.54,2.58,292800
07-31-1996,2.58,2.67,2.54,2.67,154200
08-01-1996,2.67,3.04,2.60,3.04,804000
08-02-1996,3.21,3.79,3.21,3.73,3110400
08-05-1996,3.83,4.04,3.81,3.96,1887600
08-06-1996,3.92,3.96,3.63,3.67,867000
08-07-1996,3.63,3.75,3.63,3.67,555600
08-08-1996,3.71,3.96,3.71,3.85,662400
08-09-1996,3.92,4.52,3.85,4.31,2149800
08-12-1996,4.42,4.69,4.40,4.69,1681800
08-13-1996,4.65,4.67,4.35,4.44,558000
08-14-1996,4.38,4.63,4.38,4.42,448200
08-15-1996,4.42,4.46,4.08,4.10,684600
08-16-1996,4.17,4.17,4.10,4.17,271800
08-19-1996,4.13,4.17,3.94,3.94,208200
08-20-1996,3.94,3.98,3.79,3.92,262800
08-21-1996,3.92,3.92,3.79,3.79,333000
08-22-1996,3.75,4.06,3.75,4.02,652800
08-23-1996,4.04,4.23,4.04,4.21,403800
08-26-1996,4.17,4.25,4.06,4.15,246000
08-27-1996,4.25,4.40,4.21,4.40,708000
08-28-1996,4.38,4.46,4.33,4.33,232800
08-29-1996,4.35,4.35,4.23,4.25,209400
08-30-1996,4.25,4.25,4.08,4.08,186000
09-03-1996,4.02,4.08,3.94,4.00,384600
09-04-1996,4.00,4.13,3.92,4.13,858600
09-05-1996,4.15,4.23,4.08,4.19,357600
09-06-1996,4.19,4.31,4.19,4.25,489000
09-09-1996,4.31,4.31,4.15,4.25,445800
09-10-1996,4.31,4.48,4.27,4.46,260400
09-11-1996,4.42,4.54,4.42,4.54,511200
09-12-1996,4.48,4.63,4.48,4.60,414000
09-13-1996,4.75,4.79,4.67,4.71,469200
09-16-1996,4.69,4.90,4.69,4.83,255000
09-17-1996,4.83,4.92,4.75,4.92,568800
09-18-1996,4.85,4.92,4.83,4.88,310800
09-19-1996,4.83,4.88,4.77,4.88,493200
09-20-1996,4.83,4.96,4.83,4.96,212400
09-23-1996,4.90,5.21,4.88,5.10,357600
09-24-1996,5.21,5.42,5.10,5.42,784200
09-25-1996,5.40,5.96,4.79,5.02,4722600
09-26-1996,5.13,5.38,5.06,5.19,1452600
09-27-1996,5.50,5.50,5.29,5.42,955800
09-30-1996,5.48,5.67,5.42,5.63,770400
10-01-1996,5.65,5.71,5.42,5.58,981600
10-02-1996,5.58,5.63,5.48,5.54,517800
10-03-1996,5.58,5.60,5.52,5.60,342600
10-04-1996,5.60,5.69,5.52,5.60,423000
10-07-1996,5.56,5.69,5.56,5.63,258000
10-08-1996,5.67,5.73,5.42,5.48,734400
10-09-1996,5.60,5.73,5.56,5.63,746400
10-10-1996,5.69,6.04,5.65,5.85,1114800
10-11-1996,5.88,5.88,5.63,5.67,300000
10-14-1996,5.63,5.88,5.63,5.77,825000
10-15-1996,5.88,6.00,5.79,5.92,409200
10-16-1996,6.00,6.00,5.88,5.90,476400
10-17-1996,5.90,5.92,5.71,5.73,746400
10-18-1996,5.71,5.73,5.54,5.54,610800
10-21-1996,5.58,5.58,4.96,5.04,950400
10-22-1996,4.98,5.02,4.46,4.56,1419600
10-23-1996,4.63,5.27,4.58,5.25,2094000
10-24-1996,5.23,5.33,5.00,5.15,560400
10-25-1996,5.08,5.29,5.08,5.15,418800
10-28-1996,5.15,5.21,4.90,4.90,237000
10-29-1996,4.83,4.98,4.63,4.94,594000
10-30-1996,4.96,5.08,4.65,4.77,719400
10-31-1996,4.79,4.79,4.50,4.58,820800
11-01-1996,4.56,5.00,4.50,4.96,628200
11-04-1996,5.00,5.19,4.94,5.06,1122600
11-05-1996,4.92,4.92,4.17,4.27,3852600
11-06-1996,4.38,4.42,4.23,4.25,1650600
11-07-1996,4.25,4.25,3.81,3.94,2046000
11-08-1996,3.98,3.98,3.79,3.85,1123800
11-11-1996,3.90,3.92,3.58,3.73,907200
11-12-1996,3.75,3.92,3.68,3.83,2410800
11-13-1996,3.85,3.92,3.83,3.90,781800
11-14-1996,3.92,4.29,3.89,4.29,2185800
11-15-1996,4.38,4.48,4.13,4.17,2037000
11-18-1996,4.13,4.13,3.88,3.96,1457400
11-19-1996,3.96,3.98,3.71,3.71,1458000
11-20-1996,3.75,3.88,3.67,3.77,756600
11-21-1996,3.71,3.88,3.69,3.73,450600
11-22-1996,3.79,3.79,3.65,3.65,423600
11-25-1996,3.88,4.31,3.83,4.04,2539800
11-26-1996,4.06,4.08,3.96,4.00,2155800
11-27-1996,4.00,4.04,3.75,3.75,613800
11-29-1996,3.83,3.83,3.73,3.79,259200
12-02-1996,3.79,3.79,3.56,3.56,1020600
12-03-1996,3.60,3.69,3.58,3.64,955800
12-04-1996,3.63,3.67,3.46,3.54,580800
12-05-1996,3.54,3.79,3.50,3.77,527400
12-06-1996,3.58,3.63,3.48,3.63,410400
12-09-1996,3.67,3.67,3.54,3.56,335400
12-10-1996,3.54,3.56,3.15,3.31,990000
12-11-1996,3.31,3.54,3.29,3.42,447000
12-12-1996,3.46,3.50,3.27,3.27,574200
12-13-1996,3.25,3.25,2.92,3.06,960600
12-16-1996,3.15,3.21,3.08,3.10,601200
12-17-1996,3.10,3.13,2.90,3.00,906600
12-18-1996,3.00,3.00,2.60,2.75,3406200
12-19-1996,2.75,2.92,2.75,2.85,1845600
12-20-1996,2.85,2.85,2.77,2.77,818400
12-23-1996,2.88,2.92,2.75,2.85,968400
12-24-1996,2.85,2.88,2.77,2.84,968400
12-26-1996,2.85,3.25,2.83,3.17,633000
12-27-1996,3.19,3.67,3.19,3.60,2088000
12-30-1996,3.65,3.75,3.42,3.67,1298400
