Date,Open,High,Low,Close,Volume
07-24-1995,6.79,6.79,6.79,6.79,4792
07-25-1995,6.85,6.85,6.79,6.79,9992
07-26-1995,6.79,6.79,6.79,6.79,0
07-27-1995,6.79,6.79,6.79,6.79,0
07-28-1995,6.79,6.79,6.79,6.79,0
07-31-1995,6.92,6.92,6.92,6.92,1812
08-01-1995,6.92,6.92,6.92,6.92,0
08-02-1995,6.92,6.92,6.92,6.92,0
08-03-1995,6.79,6.79,6.79,6.79,697
08-04-1995,6.79,6.79,6.79,6.79,0
08-07-1995,6.79,6.85,6.79,6.85,7397
08-08-1995,6.85,6.85,6.85,6.85,0
08-09-1995,6.79,6.89,6.79,6.79,20044
08-10-1995,6.79,6.79,6.79,6.79,2556
08-11-1995,6.79,6.79,6.79,6.79,1812
08-14-1995,6.79,6.79,6.79,6.79,0
08-15-1995,6.79,6.79,6.79,6.79,0
08-16-1995,6.85,6.85,6.85,6.85,697
08-17-1995,6.85,6.85,6.85,6.85,0
08-18-1995,6.85,6.85,6.85,6.85,697
08-21-1995,6.85,6.85,6.85,6.85,0
08-22-1995,6.85,6.85,6.85,6.85,2190
08-23-1995,6.85,6.85,6.85,6.85,0
08-24-1995,6.85,6.85,6.85,6.85,1439
08-25-1995,6.85,6.85,6.85,6.85,0
08-28-1995,6.85,6.85,6.85,6.85,0
08-29-1995,6.85,6.85,6.85,6.85,0
08-30-1995,6.85,6.85,6.85,6.85,0
08-31-1995,6.85,6.85,6.85,6.85,0
09-01-1995,6.85,6.85,6.85,6.85,0
09-05-1995,6.79,6.89,6.79,6.89,6286
09-06-1995,6.89,6.89,6.89,6.89,1812
09-07-1995,6.89,6.89,6.89,6.89,0
09-08-1995,6.89,6.89,6.89,6.89,0
09-11-1995,6.89,6.89,6.89,6.89,0
09-12-1995,6.89,6.89,6.89,6.89,0
09-13-1995,6.89,6.89,6.89,6.89,0
09-14-1995,6.89,6.89,6.89,6.89,0
09-15-1995,6.89,6.89,6.89,6.89,0
09-18-1995,6.89,6.89,6.89,6.89,0
09-19-1995,6.89,6.89,6.89,6.89,0
09-20-1995,6.89,6.89,6.89,6.89,0
09-21-1995,6.89,6.89,6.89,6.89,0
09-22-1995,6.89,6.89,6.89,6.89,0
09-25-1995,6.79,6.79,6.79,6.79,1439
09-26-1995,6.99,6.99,6.99,6.99,316
09-27-1995,6.99,6.99,6.99,6.99,316
09-28-1995,6.99,6.99,6.99,6.99,0
09-29-1995,6.99,6.99,6.99,6.99,0
10-02-1995,6.79,6.79,6.79,6.79,13351
10-03-1995,6.79,6.79,6.79,6.79,0
10-04-1995,6.89,6.89,6.89,6.89,697
10-05-1995,6.89,6.89,6.89,6.89,1812
10-06-1995,6.79,6.79,6.79,6.79,316
10-09-1995,6.79,6.79,6.79,6.79,0
10-10-1995,6.79,6.79,6.79,6.79,0
10-11-1995,6.79,6.79,6.79,6.79,316
10-12-1995,6.79,6.79,6.79,6.79,0
10-13-1995,6.79,6.92,6.79,6.92,24514
10-16-1995,6.92,6.92,6.92,6.92,0
10-17-1995,6.92,6.92,6.92,6.92,0
10-18-1995,6.92,6.92,6.92,6.92,12971
10-19-1995,6.92,6.92,6.92,6.92,0
10-20-1995,6.92,6.92,6.92,6.92,0
10-23-1995,6.92,6.92,6.92,6.92,0
10-24-1995,6.92,6.92,6.92,6.92,0
10-25-1995,6.92,6.92,6.92,6.92,0
10-26-1995,6.92,6.92,6.92,6.92,0
10-27-1995,6.92,6.92,6.92,6.92,0
10-30-1995,6.85,6.85,6.85,6.85,1068
10-31-1995,6.85,6.85,6.85,6.85,0
11-01-1995,6.85,6.85,6.85,6.85,0
11-02-1995,6.85,6.85,6.85,6.85,0
11-03-1995,6.85,6.85,6.85,6.85,0
11-06-1995,6.85,6.85,6.85,6.85,0
11-07-1995,6.85,6.85,6.85,6.85,0
11-08-1995,6.85,6.85,6.85,6.85,0
11-09-1995,6.99,6.99,6.99,6.99,1439
11-10-1995,6.99,6.99,6.99,6.99,0
11-13-1995,6.99,6.99,6.99,6.99,0
11-14-1995,6.99,6.99,6.99,6.99,0
11-15-1995,6.99,6.99,6.99,6.99,0
11-16-1995,6.99,6.99,6.99,6.99,1812
11-17-1995,7.14,7.14,7.14,7.14,1812
