Date,Open,High,Low,Close,Volume
10-18-1999,11.35,11.76,10.05,10.05,74748
10-19-1999,10.28,10.28,9.75,9.81,41540
10-20-1999,9.69,9.69,9.40,9.69,119904
10-21-1999,9.63,9.69,9.57,9.63,86801
10-22-1999,9.57,10.40,9.51,10.22,78869
10-25-1999,10.28,10.28,10.05,10.05,50632
10-26-1999,9.99,9.99,8.51,8.51,89235
10-27-1999,8.51,8.98,8.51,8.86,60571
10-28-1999,8.81,8.81,8.45,8.75,40164
10-29-1999,8.81,8.98,8.51,8.98,109223
11-01-1999,9.10,9.46,9.04,9.46,36669
11-02-1999,9.57,9.57,9.22,9.22,154276
11-03-1999,9.22,9.22,8.86,8.98,249144
11-04-1999,8.98,9.40,8.98,9.10,156390
11-05-1999,9.04,9.22,8.98,9.16,83203
11-08-1999,9.16,9.46,9.04,9.40,35612
11-09-1999,9.40,9.46,9.16,9.34,28530
11-10-1999,9.22,9.46,9.16,9.22,68614
11-11-1999,9.51,9.57,9.22,9.34,41851
11-12-1999,9.34,9.46,9.34,9.40,21443
11-15-1999,9.63,9.69,9.46,9.69,50527
11-16-1999,9.81,9.81,9.46,9.46,55711
11-17-1999,9.46,9.57,9.46,9.51,48728
11-18-1999,9.57,9.63,9.46,9.63,24298
11-19-1999,9.51,9.63,9.46,9.51,27051
11-22-1999,9.57,9.57,9.46,9.57,19963
11-23-1999,9.57,9.81,9.57,9.63,47675
11-24-1999,9.63,9.81,9.51,9.81,31171
11-26-1999,9.75,9.75,9.69,9.75,6533
11-29-1999,9.69,10.22,9.46,10.22,92088
11-30-1999,10.22,10.28,9.99,10.28,42915
12-01-1999,10.34,10.52,10.34,10.40,58247
12-02-1999,10.46,10.58,10.16,10.46,16261
12-03-1999,10.40,10.46,10.05,10.16,7058
12-06-1999,10.05,10.11,9.40,9.69,84158
12-07-1999,9.63,9.93,9.63,9.93,50739
12-08-1999,9.87,9.93,9.69,9.93,29264
12-09-1999,9.87,9.93,9.81,9.87,9914
12-10-1999,9.87,10.16,9.69,9.69,34876
12-13-1999,9.69,9.69,9.63,9.63,6742
12-14-1999,9.57,9.81,9.57,9.57,32014
12-15-1999,9.46,9.51,9.40,9.51,11181
12-16-1999,9.57,9.57,9.34,9.34,5893
12-17-1999,9.40,9.57,9.34,9.46,51268
12-20-1999,9.57,10.28,9.57,10.16,45449
12-21-1999,10.28,10.40,9.93,10.05,83524
12-22-1999,10.16,10.16,9.57,9.69,73899
12-23-1999,9.57,9.57,9.51,9.51,10124
12-27-1999,9.57,9.69,9.46,9.46,11714
12-28-1999,9.46,9.57,9.34,9.57,8219
12-29-1999,9.51,9.93,9.51,9.81,21123
12-30-1999,9.69,9.69,9.57,9.63,5470
12-31-1999,9.69,9.87,9.63,9.75,2615
01-03-2000,9.69,9.69,9.46,9.46,5367
01-04-2000,9.57,9.63,9.40,9.46,10021
01-05-2000,9.51,9.75,9.46,9.75,52748
01-06-2000,9.87,10.40,9.87,10.40,29801
01-07-2000,10.34,11.29,10.34,11.17,23561
01-10-2000,11.17,11.17,10.76,10.76,21443
01-11-2000,10.87,11.11,10.76,10.76,26830
01-12-2000,10.76,10.99,10.64,10.81,36144
01-13-2000,10.93,10.99,10.87,10.87,37836
01-14-2000,10.99,10.99,10.81,10.81,35612
01-18-2000,10.87,10.99,10.64,10.76,11394
01-19-2000,10.81,11.35,10.76,11.35,49573
01-20-2000,11.35,11.82,11.35,11.82,30539
01-21-2000,11.94,12.17,11.82,11.88,97803
01-24-2000,12.00,12.00,11.76,11.76,21867
01-25-2000,11.76,11.76,11.70,11.76,35084
01-26-2000,11.76,11.76,11.64,11.70,35297
01-27-2000,11.70,11.82,11.46,11.46,21867
01-28-2000,11.46,11.52,11.46,11.46,5790
01-31-2000,11.35,11.58,11.23,11.46,13826
02-01-2000,11.82,12.47,11.82,11.88,36986
02-02-2000,11.94,12.41,11.94,12.41,20487
02-03-2000,12.35,12.35,12.29,12.29,3672
02-04-2000,12.29,12.59,12.29,12.59,9594
02-07-2000,12.47,12.76,12.47,12.76,11288
02-08-2000,12.71,12.88,12.65,12.88,11499
02-09-2000,12.88,13.06,12.82,12.94,6319
02-10-2000,13.06,13.06,12.71,12.82,12878
02-11-2000,12.82,12.82,12.82,12.82,3042
02-14-2000,12.71,12.82,12.71,12.76,7905
02-15-2000,12.76,12.82,12.65,12.82,15516
02-16-2000,13.24,13.47,13.00,13.47,29801
02-17-2000,13.36,13.36,13.24,13.30,2936
02-18-2000,13.24,13.47,13.12,13.18,47141
02-22-2000,13.12,13.24,13.12,13.12,12765
02-23-2000,13.24,13.24,13.00,13.06,18477
02-24-2000,13.18,13.18,12.76,12.76,47141
02-25-2000,12.76,12.76,12.65,12.65,17634
02-28-2000,12.65,12.65,12.53,12.59,94522
02-29-2000,12.59,12.59,12.53,12.53,16577
03-01-2000,12.53,12.65,12.53,12.59,17950
03-02-2000,12.59,12.88,12.59,12.82,87330
03-03-2000,12.94,12.94,12.71,12.82,60782
03-06-2000,12.94,13.06,12.82,12.94,36251
03-07-2000,13.06,13.12,12.88,13.12,6213
03-08-2000,13.12,13.59,12.94,13.41,77173
03-09-2000,13.36,13.59,13.24,13.53,10553
03-10-2000,13.53,13.59,13.47,13.47,1769
03-13-2000,13.53,14.06,13.53,14.06,7692
03-14-2000,13.95,14.30,13.95,14.30,7058
03-15-2000,14.42,14.42,13.83,13.95,34773
03-16-2000,13.95,14.01,13.71,14.01,5790
03-17-2000,13.89,14.06,13.77,14.01,13931
03-20-2000,14.06,14.12,13.95,13.95,20706
03-21-2000,13.83,13.83,13.71,13.83,21648
03-22-2000,13.83,13.95,13.47,13.59,32656
03-23-2000,13.47,13.77,13.47,13.77,30539
03-24-2000,13.83,13.83,13.65,13.65,10124
03-27-2000,13.53,13.65,13.36,13.47,8116
03-28-2000,13.53,13.53,13.36,13.36,23347
03-29-2000,13.36,13.36,12.88,13.00,66916
03-30-2000,13.12,13.12,12.88,12.88,13198
03-31-2000,12.88,12.88,12.59,12.59,27158
04-03-2000,12.59,12.59,12.47,12.53,10230
04-04-2000,12.53,12.88,12.53,12.82,128577
04-05-2000,12.85,12.88,12.76,12.88,64693
04-06-2000,12.82,13.00,12.82,12.94,3042
04-07-2000,12.94,12.94,12.82,12.82,604
04-10-2000,13.12,13.12,12.88,12.88,3353
04-11-2000,13.00,13.12,13.00,13.12,8219
04-12-2000,13.00,13.00,12.88,12.88,32439
04-13-2000,13.00,13.12,12.88,12.88,30009
04-14-2000,12.65,12.76,12.65,12.65,12137
04-17-2000,12.71,12.76,12.71,12.76,23666
04-18-2000,12.88,12.88,12.59,12.65,7692
04-19-2000,12.71,12.71,12.65,12.65,1877
04-20-2000,12.65,12.65,12.65,12.65,1133
04-24-2000,12.53,12.53,12.23,12.29,3887
04-25-2000,12.17,12.23,11.76,11.76,9698
04-26-2000,11.76,11.76,11.70,11.70,1877
04-27-2000,11.58,11.70,11.11,11.11,21971
04-28-2000,10.99,10.99,10.76,10.81,12346
05-01-2000,10.81,11.11,10.64,11.11,25673
05-02-2000,11.11,11.46,11.11,11.46,20809
05-03-2000,11.64,11.64,11.46,11.46,4944
05-04-2000,11.46,11.46,11.35,11.46,12137
05-05-2000,11.52,11.52,11.52,11.52,2197
05-08-2000,11.58,11.76,11.52,11.64,17000
05-09-2000,11.58,11.82,11.58,11.82,36986
05-10-2000,11.82,11.82,11.70,11.76,1344
05-11-2000,11.88,11.88,11.82,11.88,5999
05-12-2000,11.88,12.41,11.88,12.35,78654
05-15-2000,12.35,12.65,12.29,12.65,8646
05-16-2000,12.65,12.76,12.65,12.65,8219
05-17-2000,12.65,12.65,12.65,12.65,200
05-18-2000,12.65,12.65,12.11,12.11,35508
05-19-2000,12.06,12.29,12.06,12.29,7058
05-22-2000,12.53,12.53,12.23,12.23,12556
05-23-2000,12.29,12.29,12.17,12.17,24511
05-24-2000,12.17,12.23,11.70,11.70,37623
05-25-2000,11.70,11.76,11.70,11.76,3782
05-26-2000,11.76,11.76,11.35,11.35,15730
05-30-2000,11.35,11.41,11.23,11.23,4944
05-31-2000,11.35,11.35,9.99,9.99,47985
06-01-2000,9.99,10.40,9.99,10.22,41644
06-02-2000,10.22,10.40,10.16,10.34,12659
06-05-2000,10.28,10.28,9.93,9.99,33497
06-06-2000,9.99,10.05,9.99,10.05,27051
06-07-2000,9.99,10.05,9.96,10.05,25673
06-08-2000,9.99,10.11,9.99,10.05,30322
06-09-2000,10.05,10.16,10.05,10.05,5893
06-12-2000,9.93,10.34,9.93,10.34,18166
06-13-2000,10.22,10.58,10.22,10.58,22395
