Date,Open,High,Low,Close,Volume
01-02-1990,0.732,0.754,0.732,0.748,0
01-03-1990,0.748,0.751,0.745,0.748,0
01-04-1990,0.754,0.767,0.748,0.748,0
01-05-1990,0.745,0.748,0.745,0.748,0
01-08-1990,0.745,0.748,0.745,0.748,0
01-09-1990,0.757,0.769,0.754,0.766,0
01-10-1990,0.763,0.763,0.757,0.757,0
01-11-1990,0.757,0.760,0.754,0.757,0
01-12-1990,0.751,0.763,0.748,0.748,0
01-15-1990,0.751,0.751,0.748,0.748,0
01-16-1990,0.754,0.754,0.742,0.748,0
01-17-1990,0.751,0.757,0.748,0.748,0
01-18-1990,0.751,0.751,0.748,0.748,0
01-19-1990,0.751,0.757,0.748,0.748,0
01-22-1990,0.738,0.742,0.735,0.738,0
01-23-1990,0.732,0.738,0.729,0.729,0
01-24-1990,0.714,0.717,0.689,0.711,0
01-25-1990,0.716,0.751,0.716,0.748,0
01-26-1990,0.751,0.751,0.742,0.748,0
01-29-1990,0.745,0.748,0.745,0.748,0
01-30-1990,0.738,0.738,0.729,0.729,0
01-31-1990,0.721,0.724,0.708,0.711,0
02-01-1990,0.720,0.742,0.717,0.738,0
02-02-1990,0.742,0.748,0.738,0.738,0
02-05-1990,0.735,0.757,0.735,0.757,0
02-06-1990,0.757,0.767,0.748,0.748,0
02-07-1990,0.730,0.730,0.711,0.711,0
02-08-1990,0.716,0.732,0.716,0.729,0
02-09-1990,0.735,0.748,0.735,0.748,0
02-12-1990,0.738,0.738,0.729,0.729,0
02-13-1990,0.727,0.727,0.714,0.720,0
02-14-1990,0.723,0.732,0.723,0.729,0
02-15-1990,0.742,0.742,0.738,0.738,0
02-16-1990,0.742,0.745,0.738,0.738,0
02-20-1990,0.754,0.760,0.754,0.757,0
02-21-1990,0.751,0.757,0.751,0.757,0
02-22-1990,0.754,0.760,0.750,0.757,0
02-23-1990,0.757,0.757,0.753,0.757,0
02-26-1990,0.748,0.748,0.748,0.748,0
02-27-1990,0.741,0.763,0.741,0.757,0
02-28-1990,0.751,0.757,0.751,0.757,0
03-01-1990,0.772,0.795,0.772,0.785,0
03-02-1990,0.782,0.785,0.779,0.785,0
03-05-1990,0.800,0.806,0.800,0.803,0
03-06-1990,0.803,0.810,0.803,0.803,0
03-07-1990,0.812,0.834,0.812,0.831,0
03-08-1990,0.841,0.886,0.841,0.886,0
03-09-1990,0.884,0.891,0.859,0.859,0
03-12-1990,0.872,0.875,0.852,0.859,0
03-13-1990,0.850,0.857,0.822,0.822,0
03-14-1990,0.821,0.840,0.821,0.831,0
03-15-1990,0.834,0.847,0.831,0.840,0
03-16-1990,0.845,0.865,0.845,0.859,0
03-19-1990,0.859,0.865,0.852,0.859,0
03-20-1990,0.854,0.886,0.854,0.886,0
03-21-1990,0.880,0.887,0.871,0.877,0
03-22-1990,0.865,0.865,0.849,0.849,0
03-23-1990,0.856,0.856,0.840,0.849,0
03-26-1990,0.850,0.850,0.840,0.840,0
03-27-1990,0.846,0.853,0.840,0.849,0
03-28-1990,0.849,0.868,0.849,0.868,0
03-29-1990,0.874,0.880,0.864,0.868,0
03-30-1990,0.861,0.868,0.852,0.868,0
04-02-1990,0.859,0.859,0.821,0.840,0
04-03-1990,0.840,0.856,0.840,0.849,0
04-04-1990,0.840,0.855,0.840,0.849,0
04-05-1990,0.846,0.855,0.846,0.849,0
04-06-1990,0.859,0.865,0.855,0.859,0
04-09-1990,0.867,0.887,0.867,0.877,0
04-10-1990,0.885,0.885,0.843,0.849,0
04-11-1990,0.844,0.844,0.809,0.813,0
04-12-1990,0.809,0.825,0.809,0.822,0
04-16-1990,0.822,0.822,0.815,0.822,0
04-17-1990,0.816,0.816,0.803,0.803,0
04-18-1990,0.803,0.803,0.787,0.794,0
04-19-1990,0.797,0.806,0.794,0.803,0
04-20-1990,0.812,0.825,0.812,0.822,0
04-23-1990,0.813,0.813,0.775,0.794,0
04-24-1990,0.794,0.800,0.781,0.794,0
04-25-1990,0.797,0.813,0.797,0.813,0
04-26-1990,0.800,0.803,0.794,0.794,0
04-27-1990,0.791,0.791,0.775,0.775,0
04-30-1990,0.776,0.776,0.757,0.757,0
05-01-1990,0.757,0.782,0.757,0.766,0
05-02-1990,0.772,0.779,0.769,0.775,0
05-03-1990,0.775,0.782,0.769,0.775,0
05-04-1990,0.782,0.782,0.775,0.775,0
05-07-1990,0.781,0.810,0.781,0.803,0
05-08-1990,0.809,0.831,0.809,0.822,0
05-09-1990,0.816,0.816,0.809,0.813,0
05-10-1990,0.816,0.816,0.813,0.813,0
05-11-1990,0.824,0.853,0.824,0.849,0
05-14-1990,0.844,0.850,0.822,0.822,0
05-15-1990,0.816,0.819,0.803,0.803,0
05-16-1990,0.803,0.806,0.797,0.803,0
05-17-1990,0.800,0.803,0.797,0.803,0
05-18-1990,0.809,0.816,0.809,0.813,0
05-21-1990,0.817,0.840,0.814,0.840,0
05-22-1990,0.846,0.853,0.840,0.840,0
05-23-1990,0.831,0.837,0.827,0.831,0
05-24-1990,0.825,0.835,0.818,0.822,0
05-25-1990,0.822,0.825,0.822,0.822,0
05-29-1990,0.821,0.835,0.821,0.831,0
05-30-1990,0.827,0.831,0.821,0.831,0
05-31-1990,0.824,0.837,0.824,0.831,0
06-01-1990,0.832,0.862,0.832,0.859,0
06-04-1990,0.876,0.895,0.876,0.895,0
06-05-1990,0.907,0.914,0.868,0.868,0
06-06-1990,0.867,0.883,0.867,0.877,0
06-07-1990,0.883,0.886,0.883,0.886,0
06-08-1990,0.890,0.890,0.877,0.877,0
06-11-1990,0.877,0.877,0.868,0.868,0
06-12-1990,0.864,0.874,0.864,0.868,0
06-13-1990,0.868,0.887,0.868,0.868,0
06-14-1990,0.868,0.868,0.868,0.868,0
06-15-1990,0.868,0.868,0.859,0.859,0
06-18-1990,0.849,0.859,0.849,0.859,0
06-19-1990,0.847,0.847,0.840,0.840,0
06-20-1990,0.838,0.838,0.822,0.822,0
06-21-1990,0.828,0.828,0.822,0.822,0
06-22-1990,0.816,0.816,0.803,0.803,0
06-25-1990,0.799,0.813,0.799,0.813,0
06-26-1990,0.819,0.819,0.809,0.813,0
06-27-1990,0.818,0.828,0.815,0.822,0
06-28-1990,0.827,0.831,0.824,0.831,0
06-29-1990,0.824,0.831,0.824,0.831,0
07-02-1990,0.818,0.825,0.818,0.822,0
07-03-1990,0.830,0.850,0.830,0.840,0
07-05-1990,0.834,0.840,0.831,0.840,0
07-06-1990,0.839,0.849,0.839,0.849,0
07-09-1990,0.843,0.849,0.843,0.849,0
07-10-1990,0.847,0.853,0.840,0.840,0
07-11-1990,0.837,0.837,0.831,0.831,0
07-12-1990,0.835,0.835,0.824,0.831,0
07-13-1990,0.821,0.834,0.818,0.831,0
07-16-1990,0.840,0.843,0.840,0.840,0
07-17-1990,0.838,0.841,0.822,0.822,0
07-18-1990,0.816,0.816,0.813,0.813,0
07-19-1990,0.803,0.803,0.803,0.803,0
07-20-1990,0.805,0.813,0.803,0.813,0
07-23-1990,0.801,0.804,0.781,0.785,0
07-24-1990,0.785,0.798,0.778,0.785,0
07-25-1990,0.778,0.785,0.775,0.785,0
07-26-1990,0.795,0.795,0.785,0.785,0
07-27-1990,0.779,0.779,0.775,0.775,0
07-30-1990,0.775,0.779,0.775,0.775,0
07-31-1990,0.775,0.775,0.772,0.775,0
08-01-1990,0.779,0.779,0.769,0.775,0
08-02-1990,0.772,0.779,0.766,0.775,0
08-03-1990,0.773,0.773,0.757,0.757,0
08-06-1990,0.752,0.752,0.726,0.738,0
08-07-1990,0.732,0.736,0.729,0.729,0
08-08-1990,0.732,0.739,0.726,0.729,0
08-09-1990,0.729,0.729,0.726,0.729,0
08-10-1990,0.730,0.730,0.716,0.720,0
08-13-1990,0.717,0.720,0.704,0.720,0
08-14-1990,0.722,0.738,0.722,0.738,0
08-15-1990,0.744,0.757,0.744,0.757,0
08-16-1990,0.745,0.751,0.745,0.748,0
08-17-1990,0.758,0.758,0.735,0.738,0
08-20-1990,0.726,0.733,0.716,0.720,0
08-21-1990,0.711,0.711,0.698,0.701,0
08-22-1990,0.702,0.702,0.692,0.692,0
08-23-1990,0.684,0.684,0.671,0.674,0
08-24-1990,0.679,0.686,0.673,0.683,0
08-27-1990,0.678,0.685,0.665,0.665,0
08-28-1990,0.668,0.672,0.665,0.665,0
08-29-1990,0.670,0.683,0.670,0.683,0
08-30-1990,0.687,0.693,0.683,0.683,0
08-31-1990,0.671,0.674,0.664,0.674,0
09-04-1990,0.668,0.668,0.665,0.665,0
09-05-1990,0.668,0.668,0.665,0.665,0
09-06-1990,0.668,0.675,0.665,0.665,0
09-07-1990,0.670,0.674,0.667,0.674,0
09-10-1990,0.671,0.674,0.664,0.674,0
09-11-1990,0.680,0.680,0.674,0.674,0
09-12-1990,0.680,0.690,0.680,0.683,0
09-13-1990,0.678,0.678,0.665,0.665,0
09-14-1990,0.649,0.655,0.649,0.655,0
09-17-1990,0.647,0.647,0.628,0.628,0
09-18-1990,0.609,0.618,0.605,0.618,0
09-19-1990,0.615,0.618,0.615,0.618,0
09-20-1990,0.612,0.616,0.609,0.609,0
09-21-1990,0.619,0.619,0.606,0.609,0
09-24-1990,0.609,0.612,0.606,0.609,0
09-25-1990,0.603,0.609,0.603,0.609,0
09-26-1990,0.605,0.618,0.605,0.618,0
09-27-1990,0.613,0.613,0.600,0.600,0
09-28-1990,0.607,0.607,0.597,0.600,0
10-01-1990,0.599,0.612,0.590,0.609,0
10-02-1990,0.622,0.628,0.618,0.618,0
10-03-1990,0.613,0.613,0.600,0.600,0
10-04-1990,0.594,0.598,0.591,0.591,0
10-05-1990,0.584,0.600,0.584,0.600,0
10-08-1990,0.603,0.609,0.603,0.609,0
10-09-1990,0.607,0.607,0.600,0.600,0
10-10-1990,0.595,0.595,0.582,0.582,0
10-11-1990,0.578,0.585,0.572,0.582,0
10-12-1990,0.566,0.579,0.566,0.572,0
10-15-1990,0.564,0.564,0.554,0.554,0
10-16-1990,0.543,0.543,0.517,0.517,0
10-17-1990,0.523,0.539,0.523,0.526,0
10-18-1990,0.527,0.554,0.527,0.554,0
10-19-1990,0.555,0.558,0.538,0.545,0
10-22-1990,0.548,0.551,0.545,0.545,0
10-23-1990,0.547,0.554,0.547,0.554,0
10-24-1990,0.551,0.551,0.545,0.545,0
10-25-1990,0.550,0.570,0.550,0.563,0
10-26-1990,0.563,0.563,0.563,0.563,0
10-29-1990,0.554,0.554,0.554,0.554,0
10-30-1990,0.551,0.554,0.551,0.554,0
10-31-1990,0.554,0.557,0.554,0.554,0
