Date,Open,High,Low,Close,Volume
05-25-2007,12.00,13.00,11.97,12.04,8456661
05-29-2007,12.04,12.08,12.00,12.04,1929471
05-30-2007,12.00,12.03,12.00,12.00,261067
05-31-2007,12.00,12.61,12.00,12.35,916040
06-01-2007,12.69,13.25,12.25,13.11,893894
06-04-2007,13.40,13.57,12.77,13.17,716689
06-05-2007,13.30,13.52,13.14,13.23,428332
06-06-2007,13.23,13.23,12.40,12.70,348207
06-07-2007,12.77,13.00,12.33,12.75,156960
06-08-2007,12.60,12.74,12.40,12.72,136243
06-11-2007,12.88,12.88,12.61,12.61,86866
06-12-2007,12.75,12.84,12.71,12.79,58654
06-13-2007,12.75,13.10,12.75,12.90,169660
06-14-2007,13.00,13.40,12.93,13.05,217045
06-15-2007,13.13,13.13,12.71,13.08,158385
06-18-2007,13.10,13.68,13.04,13.31,174047
06-19-2007,13.37,13.72,13.25,13.58,151821
06-20-2007,13.70,13.90,13.46,13.46,235655
06-21-2007,13.50,13.55,13.26,13.26,148335
06-22-2007,13.35,13.35,12.56,12.56,995600
06-25-2007,12.50,12.52,11.40,11.83,774697
06-26-2007,12.00,12.05,11.71,11.75,219521
06-27-2007,11.70,12.05,11.70,11.94,134029
06-28-2007,11.99,12.50,11.83,12.50,393753
06-29-2007,12.50,12.65,12.25,12.56,201307
07-02-2007,12.59,12.83,12.41,12.80,195502
07-03-2007,12.83,13.04,12.68,12.88,116076
07-05-2007,13.10,13.15,12.77,13.07,119921
07-06-2007,13.07,13.16,12.67,13.11,170987
07-09-2007,13.25,13.42,13.15,13.30,144487
07-10-2007,13.28,13.40,12.70,12.75,143413
07-11-2007,12.84,13.10,12.67,13.00,99480
07-12-2007,13.00,13.25,12.87,13.24,79629
07-13-2007,13.25,13.59,13.23,13.44,136503
07-16-2007,13.60,15.00,13.50,14.96,494581
07-17-2007,15.20,15.97,15.12,15.22,602405
07-18-2007,15.80,16.30,15.51,15.97,638271
07-19-2007,16.50,16.50,15.42,15.46,520236
07-20-2007,16.40,16.45,15.75,15.92,1437529
07-23-2007,16.19,18.09,15.98,17.47,1327916
07-24-2007,17.74,17.76,16.00,16.50,833577
07-25-2007,16.83,16.99,15.25,16.00,469234
07-26-2007,15.74,15.92,14.75,15.04,428889
07-27-2007,14.74,15.15,14.01,14.42,450361
07-30-2007,14.35,14.45,13.50,13.84,607578
07-31-2007,13.86,16.00,13.86,15.82,865830
08-01-2007,15.43,15.68,14.50,14.87,355291
08-02-2007,15.20,16.50,15.20,15.80,806805
08-03-2007,16.05,16.90,15.37,15.45,769547
08-06-2007,15.99,16.50,15.25,16.31,498213
08-07-2007,16.44,17.05,16.02,16.95,703507
08-08-2007,17.37,18.80,17.07,17.96,898424
08-09-2007,17.50,18.40,16.65,18.02,691003
08-10-2007,17.90,18.38,17.30,17.56,444110
08-13-2007,18.00,18.30,16.75,17.25,586869
08-14-2007,16.83,17.00,13.06,13.35,2563438
08-15-2007,13.40,14.00,12.55,12.82,696708
08-16-2007,12.50,12.53,10.81,11.55,1726752
08-17-2007,12.72,13.25,11.68,12.11,633242
08-20-2007,12.41,12.51,11.44,11.72,295003
08-21-2007,11.82,12.34,11.57,12.25,234427
08-22-2007,12.50,13.86,12.50,13.51,634481
08-23-2007,13.69,13.75,13.00,13.29,263460
08-24-2007,13.28,13.91,13.28,13.69,218129
08-27-2007,13.55,13.82,12.80,13.20,199722
08-28-2007,13.08,13.50,12.85,13.19,216688
08-29-2007,13.22,13.64,13.22,13.57,106238
08-30-2007,13.29,14.15,13.25,13.80,238418
08-31-2007,14.00,14.02,13.66,13.75,89471
09-04-2007,14.00,14.35,13.81,14.31,188758
09-05-2007,14.11,14.15,13.70,14.02,161181
09-06-2007,14.16,14.30,13.93,14.07,144242
09-07-2007,14.00,14.02,13.10,13.74,179984
09-10-2007,13.57,13.65,13.05,13.25,127608
09-11-2007,13.16,13.32,12.13,12.30,467871
09-12-2007,12.18,12.50,11.73,11.84,441502
09-13-2007,12.03,12.90,11.86,12.49,531815
09-14-2007,12.35,12.75,12.07,12.60,420005
09-17-2007,12.54,12.69,12.09,12.22,122009
09-18-2007,12.28,12.98,12.28,12.84,259097
09-19-2007,13.07,15.47,13.07,14.75,2438509
09-20-2007,15.00,16.90,14.46,15.95,1788338
09-21-2007,16.15,16.70,16.15,16.27,869991
09-24-2007,16.41,16.47,15.15,15.52,655064
09-25-2007,15.39,15.39,14.55,14.89,585363
09-26-2007,15.04,15.60,14.83,15.28,280340
09-27-2007,15.45,15.50,14.60,14.76,282988
09-28-2007,14.65,15.25,14.62,15.14,320646
10-01-2007,15.25,15.77,15.19,15.61,338755
10-02-2007,15.61,16.65,15.55,16.56,504601
10-03-2007,16.50,16.54,15.72,15.88,310319
10-04-2007,15.82,16.23,15.60,16.13,163339
10-05-2007,16.27,16.50,15.65,15.72,232974
10-08-2007,15.57,16.15,15.57,16.08,119974
10-09-2007,16.20,16.54,15.80,16.02,262265
10-10-2007,16.06,16.99,15.91,16.76,268286
10-11-2007,16.80,17.23,16.08,16.35,389529
10-12-2007,16.25,17.33,16.25,17.31,404383
10-15-2007,17.49,20.00,17.38,19.80,1614991
10-16-2007,20.00,20.02,18.61,19.60,1092825
10-17-2007,20.13,20.65,18.15,18.60,820374
10-18-2007,18.14,18.66,16.93,18.65,834624
10-19-2007,18.54,18.54,17.40,17.53,481759
10-22-2007,17.00,18.20,16.31,17.68,536002
10-23-2007,18.08,18.80,17.86,18.48,260800
10-24-2007,18.41,19.60,17.88,18.70,426336
10-25-2007,18.82,19.46,18.44,18.59,280428
10-26-2007,19.14,19.48,18.61,18.93,152095
10-29-2007,19.00,19.46,18.25,18.63,180045
10-30-2007,18.75,18.75,17.98,18.08,171055
10-31-2007,18.07,18.56,17.75,17.88,204852
11-01-2007,17.66,18.75,17.25,17.90,376729
11-02-2007,18.16,18.16,17.50,18.00,157154
11-05-2007,17.55,19.00,17.52,18.52,248875
11-06-2007,18.53,19.49,18.50,19.30,499607
11-07-2007,19.10,19.30,18.13,18.15,243723
11-08-2007,18.01,18.76,17.22,17.85,334828
11-09-2007,17.98,18.46,17.45,18.26,328342
11-12-2007,17.88,18.99,17.85,18.50,563977
11-13-2007,18.00,18.56,17.73,17.83,409766
11-14-2007,18.37,18.80,18.04,18.42,369390
11-15-2007,18.24,18.86,17.90,18.29,225161
11-16-2007,18.23,18.48,17.60,17.88,280795
11-19-2007,17.98,18.11,16.36,16.48,419356
11-20-2007,16.97,16.97,15.16,15.36,508280
11-21-2007,15.36,16.39,15.25,15.64,231879
11-23-2007,15.70,16.30,15.50,16.21,138241
11-26-2007,16.33,16.62,15.53,15.90,214333
11-27-2007,16.00,16.09,15.02,15.31,234850
11-28-2007,15.33,15.90,15.21,15.52,331272
11-29-2007,15.49,16.00,15.29,15.40,202792
11-30-2007,15.77,15.86,14.55,14.92,615050
12-03-2007,14.99,15.17,14.60,14.96,220223
12-04-2007,14.66,14.92,14.47,14.62,148311
12-05-2007,14.55,15.00,12.65,12.76,1198669
12-06-2007,13.00,14.70,12.55,14.61,1310961
12-07-2007,14.85,14.90,13.75,14.71,359829
12-10-2007,14.89,14.89,14.24,14.28,209690
12-11-2007,14.59,15.40,14.35,15.14,1078727
12-12-2007,15.50,15.60,15.08,15.27,528569
12-13-2007,15.58,15.64,15.05,15.34,452232
12-14-2007,15.25,16.37,14.55,16.24,881612
12-17-2007,16.24,16.24,15.06,15.15,515047
12-18-2007,15.45,15.94,15.15,15.50,440842
12-19-2007,15.62,15.62,15.15,15.19,225514
12-20-2007,15.30,15.30,14.65,15.00,320887
12-21-2007,15.12,15.59,14.66,15.51,437931
12-24-2007,15.53,15.71,15.30,15.61,102934
12-26-2007,15.45,15.60,14.95,15.16,268273
12-27-2007,15.05,15.34,14.90,15.00,292640
12-28-2007,15.05,15.24,14.75,15.05,180346
12-31-2007,15.04,15.14,14.82,15.14,207358
01-02-2008,15.21,15.32,14.90,15.10,283557
01-03-2008,15.25,15.92,15.12,15.61,434093
01-04-2008,15.43,15.47,15.10,15.26,366151
01-07-2008,15.25,15.52,15.10,15.26,629521
01-08-2008,15.26,15.30,14.91,15.00,715883
01-09-2008,15.24,15.36,14.95,15.23,301270
01-10-2008,15.13,16.11,14.85,15.75,359429
01-11-2008,15.74,15.83,15.40,15.46,180166
01-14-2008,15.51,15.68,15.32,15.61,160162
