Date,Open,High,Low,Close,Volume
01-26-2006,45.00,48.28,39.51,44.00,13219399
01-27-2006,44.88,44.90,41.75,42.20,1150799
01-30-2006,42.20,45.51,41.25,44.80,736199
01-31-2006,45.50,49.30,45.38,47.52,1111199
02-01-2006,48.90,49.24,45.25,46.56,606699
02-02-2006,47.90,47.91,44.26,44.75,403799
02-03-2006,44.85,46.56,44.25,46.55,245299
02-06-2006,47.48,48.00,46.00,47.71,349899
02-07-2006,47.71,47.75,45.25,46.28,267199
02-08-2006,45.85,46.60,45.04,45.74,174399
02-09-2006,45.78,46.00,43.08,44.05,220299
02-10-2006,43.25,43.26,41.50,42.31,375499
02-13-2006,41.75,42.55,41.00,41.48,199099
02-14-2006,41.45,43.26,41.19,43.00,197899
02-15-2006,43.10,43.30,42.22,42.70,98099
02-16-2006,43.75,44.70,42.53,44.45,292999
02-17-2006,44.25,45.00,43.85,43.85,137999
02-21-2006,44.00,44.06,42.81,43.10,68099
02-22-2006,43.00,44.15,42.85,43.87,95899
02-23-2006,45.10,45.99,44.75,45.80,249299
02-24-2006,45.90,46.75,45.80,46.67,138299
02-27-2006,46.95,46.95,46.18,46.53,100799
02-28-2006,46.53,46.53,45.60,45.60,87499
03-01-2006,45.64,46.20,44.60,45.50,190099
03-02-2006,45.50,46.31,45.07,45.75,228999
03-03-2006,45.75,46.29,45.13,45.48,89099
03-06-2006,45.60,46.10,45.03,45.79,168899
03-07-2006,44.50,45.25,44.25,45.00,328299
03-08-2006,44.85,44.85,42.20,42.50,306599
03-09-2006,42.75,42.90,41.25,41.46,161499
03-10-2006,41.40,42.88,40.89,42.11,313899
03-13-2006,42.36,43.75,42.36,43.41,191399
03-14-2006,46.29,49.15,45.95,48.70,1255799
03-15-2006,48.00,52.75,47.85,52.01,1142099
03-16-2006,52.00,56.75,51.89,55.05,1697699
03-17-2006,55.50,55.50,53.42,53.86,396199
03-20-2006,53.86,53.86,50.05,50.09,863499
03-21-2006,50.26,52.35,50.20,52.00,360599
03-22-2006,52.95,54.85,52.95,54.80,579699
03-23-2006,55.00,55.10,53.00,53.88,505599
03-24-2006,54.00,54.85,53.61,54.51,276999
03-27-2006,54.25,54.45,53.30,54.09,220899
03-28-2006,54.10,54.10,52.95,53.20,175599
