Date,Open,High,Low,Close,Volume
11-13-1998,25.47,25.76,25.39,25.59,0
11-16-1998,24.84,24.88,24.67,24.72,0
11-17-1998,25.52,25.92,25.52,25.88,0
11-18-1998,25.36,25.64,25.27,25.40,0
11-19-1998,25.22,25.42,25.22,25.34,0
11-20-1998,25.92,26.33,25.88,26.21,0
11-23-1998,26.40,26.84,26.40,26.68,0
11-24-1998,26.59,26.92,26.59,26.92,0
11-25-1998,26.92,27.16,26.84,27.12,0
11-27-1998,27.24,27.57,27.24,27.44,0
11-30-1998,27.32,27.36,26.71,26.75,0
12-01-1998,26.70,27.02,26.62,27.02,0
12-02-1998,27.08,27.40,27.08,27.40,0
12-03-1998,27.50,27.71,27.38,27.63,0
12-04-1998,27.46,27.75,27.46,27.54,0
12-07-1998,27.41,27.49,27.21,27.29,0
12-08-1998,27.26,27.30,27.02,27.10,0
12-09-1998,26.94,26.94,26.50,26.82,0
12-10-1998,26.83,26.87,26.42,26.50,0
12-11-1998,26.38,26.70,26.05,26.66,0
12-14-1998,26.55,26.63,26.27,26.35,0
12-15-1998,26.27,26.39,26.15,26.27,0
12-16-1998,26.29,26.29,26.05,26.13,0
12-17-1998,26.13,26.41,26.09,26.13,0
12-18-1998,26.00,26.45,25.84,26.41,0
12-21-1998,26.37,26.57,26.25,26.33,0
12-22-1998,26.57,26.57,26.20,26.20,0
12-23-1998,26.33,26.45,25.92,26.45,0
12-24-1998,26.53,26.53,26.29,26.53,0
12-28-1998,26.28,26.28,25.75,25.91,0
12-29-1998,26.08,26.16,25.83,25.91,0
12-30-1998,26.04,26.08,25.79,25.95,0
12-31-1998,26.22,26.54,26.18,26.50,0
01-04-1999,26.50,26.50,26.10,26.26,0
01-05-1999,26.20,26.36,26.16,26.20,0
01-06-1999,26.05,26.09,25.52,25.56,0
01-07-1999,25.51,25.75,25.35,25.43,0
01-08-1999,25.48,25.60,24.91,25.24,0
01-11-1999,25.11,25.11,24.33,24.46,0
01-12-1999,24.72,24.72,24.47,24.64,0
01-13-1999,24.57,24.74,24.49,24.66,0
01-14-1999,24.66,24.66,24.41,24.41,0
01-15-1999,24.57,24.62,24.37,24.41,0
01-19-1999,24.57,24.62,24.05,24.17,0
01-20-1999,24.38,24.50,23.98,23.98,0
01-21-1999,24.19,24.27,24.07,24.19,0
01-22-1999,24.19,24.55,24.19,24.51,0
01-25-1999,24.27,24.47,24.11,24.15,0
01-26-1999,24.24,24.37,24.16,24.20,0
01-27-1999,24.24,24.24,24.00,24.04,0
01-28-1999,24.09,24.09,23.60,23.68,0
01-29-1999,23.60,23.60,22.75,22.75,0
02-01-1999,22.97,22.97,22.61,22.65,0
02-02-1999,22.75,22.75,21.77,22.58,0
02-03-1999,22.53,23.02,22.49,22.82,0
02-04-1999,22.74,22.94,22.57,22.66,0
02-05-1999,22.56,22.56,22.19,22.35,0
02-08-1999,22.43,22.64,22.27,22.47,0
02-09-1999,22.56,22.64,22.27,22.27,0
02-10-1999,22.32,22.36,21.88,22.04,0
02-11-1999,22.20,22.20,21.63,21.83,0
02-12-1999,21.62,21.70,21.05,21.46,0
02-16-1999,21.69,21.98,21.53,21.81,0
02-17-1999,21.54,22.15,21.46,22.11,0
02-18-1999,22.13,22.46,22.13,22.21,0
02-19-1999,22.34,22.34,21.85,22.10,0
02-22-1999,22.00,22.56,22.00,22.52,0
02-23-1999,22.62,22.62,22.22,22.54,0
02-24-1999,22.48,22.81,22.40,22.44,0
02-25-1999,22.28,22.28,21.47,22.00,0
02-26-1999,21.83,22.12,21.67,21.92,0
03-01-1999,21.86,21.94,21.21,21.70,0
03-02-1999,21.87,22.44,21.83,22.36,0
03-03-1999,22.17,22.37,21.76,22.33,0
03-04-1999,22.37,22.82,22.21,22.61,0
03-05-1999,22.95,22.99,22.67,22.75,0
03-08-1999,22.91,22.91,22.10,22.26,0
03-09-1999,21.90,21.98,21.45,21.53,0
03-10-1999,21.40,21.52,21.32,21.36,0
03-11-1999,21.36,21.68,21.28,21.52,0
03-12-1999,21.55,22.28,21.51,22.20,0
03-15-1999,22.61,22.73,22.32,22.57,0
03-16-1999,22.33,22.74,22.29,22.41,0
03-17-1999,22.41,22.57,21.93,22.57,0
03-18-1999,22.49,22.78,22.37,22.74,0
03-19-1999,22.56,23.21,22.56,22.73,0
03-22-1999,22.70,22.70,22.33,22.53,0
03-23-1999,22.45,22.49,22.21,22.41,0
03-24-1999,22.41,23.02,22.41,23.02,0
03-25-1999,22.94,23.14,22.21,22.94,0
03-26-1999,23.01,23.01,22.12,22.56,0
03-29-1999,22.56,22.56,21.92,21.96,0
03-30-1999,21.66,21.70,21.05,21.46,0
03-31-1999,21.46,21.50,20.69,21.13,0
04-01-1999,20.83,21.44,20.71,21.28,0
04-05-1999,21.68,21.68,21.24,21.64,0
04-06-1999,21.70,21.78,20.97,21.25,0
04-07-1999,21.29,21.29,20.60,20.72,0
04-08-1999,20.70,21.10,20.62,21.10,0
04-09-1999,20.96,21.17,20.68,21.09,0
04-12-1999,21.09,21.50,20.97,21.05,0
04-13-1999,20.87,21.08,20.55,20.67,0
04-14-1999,20.75,20.79,20.55,20.67,0
04-15-1999,20.51,20.79,20.39,20.39,0
04-16-1999,20.55,20.83,20.55,20.71,0
04-19-1999,20.87,21.24,20.79,21.24,0
04-20-1999,21.24,21.85,21.20,21.85,0
04-21-1999,21.65,21.85,21.40,21.81,0
04-22-1999,21.78,21.78,21.09,21.33,0
04-23-1999,21.37,21.89,21.37,21.45,0
04-26-1999,21.59,21.72,21.43,21.63,0
04-27-1999,23.16,23.60,22.87,23.08,0
04-28-1999,23.08,23.12,22.67,23.08,0
04-29-1999,23.05,23.37,22.96,23.37,0
04-30-1999,23.32,23.32,22.99,23.20,0
05-03-1999,23.47,23.55,23.31,23.55,0
05-04-1999,23.59,23.84,23.31,23.75,0
05-05-1999,23.35,23.51,23.23,23.43,0
05-06-1999,23.37,23.69,23.25,23.69,0
05-07-1999,23.66,23.70,23.34,23.66,0
05-10-1999,23.79,23.95,23.14,23.34,0
05-11-1999,23.50,23.74,23.34,23.34,0
05-12-1999,23.33,23.57,23.17,23.37,0
05-13-1999,23.37,23.69,23.21,23.61,0
05-14-1999,23.49,23.49,23.17,23.33,0
05-17-1999,23.37,23.65,23.17,23.61,0
05-18-1999,23.23,23.44,23.23,23.27,0
05-19-1999,23.38,23.98,23.34,23.62,0
05-20-1999,23.72,24.04,23.48,23.76,0
05-21-1999,23.89,24.42,23.85,24.22,0
05-24-1999,23.90,24.59,23.90,24.35,0
05-25-1999,24.42,24.91,24.42,24.71,0
05-26-1999,24.71,25.03,24.67,24.99,0
05-27-1999,24.59,24.76,24.02,24.31,0
05-28-1999,24.55,24.84,24.39,24.59,0
06-01-1999,24.55,24.55,23.13,23.25,0
06-02-1999,22.98,23.06,22.57,22.65,0
06-03-1999,22.97,22.97,22.61,22.65,0
06-04-1999,22.65,22.81,22.40,22.52,0
06-07-1999,22.46,22.71,22.26,22.71,0
06-08-1999,22.76,22.84,22.64,22.80,0
06-09-1999,22.82,22.95,22.58,22.70,0
06-10-1999,22.69,22.85,22.16,22.32,0
06-11-1999,22.21,22.30,22.01,22.05,0
06-14-1999,22.12,23.21,22.04,22.48,0
06-15-1999,22.56,22.93,22.08,22.89,0
06-16-1999,22.89,23.46,22.89,23.17,0
06-17-1999,23.18,23.51,22.86,22.86,0
06-18-1999,23.18,23.26,22.86,23.18,0
06-21-1999,23.12,23.16,22.43,22.55,0
06-22-1999,22.33,22.50,22.29,22.33,0
06-23-1999,22.24,22.53,22.24,22.36,0
06-24-1999,22.36,22.36,22.19,22.19,0
06-25-1999,22.34,22.34,21.89,21.97,0
06-28-1999,21.64,21.80,21.23,21.23,0
