Date,Open,High,Low,Close,Volume
01-02-1990,22.63,23.12,22.31,23.12,0
01-03-1990,23.09,23.09,22.72,23.06,0
01-04-1990,23.01,23.01,22.37,22.60,0
01-05-1990,22.64,22.64,22.00,22.29,0
01-08-1990,22.17,22.43,22.09,22.38,0
01-09-1990,22.40,22.49,22.08,22.20,0
01-10-1990,22.23,22.23,21.51,21.85,0
01-11-1990,21.91,22.03,21.83,21.97,0
01-12-1990,21.73,21.73,20.81,21.10,0
01-15-1990,21.04,21.10,20.70,20.70,0
01-16-1990,20.41,20.52,20.24,20.35,0
01-17-1990,20.32,20.35,19.66,19.89,0
01-18-1990,19.83,20.00,19.54,19.89,0
01-19-1990,19.94,20.09,19.65,19.65,0
01-22-1990,19.60,19.68,18.61,18.73,0
01-23-1990,18.73,19.34,18.67,19.28,0
01-24-1990,19.14,19.14,18.85,18.96,0
01-25-1990,18.96,19.02,17.69,17.80,0
01-26-1990,17.92,18.24,17.81,18.07,0
01-29-1990,18.04,18.38,17.75,18.27,0
01-30-1990,18.21,18.59,18.04,18.59,0
01-31-1990,18.73,19.89,18.62,19.89,0
02-01-1990,19.89,20.00,19.43,19.46,0
02-02-1990,19.37,19.42,19.31,19.34,0
02-05-1990,19.31,19.42,19.28,19.28,0
02-06-1990,19.22,19.25,19.05,19.19,0
02-07-1990,19.14,19.46,18.82,19.43,0
02-08-1990,19.48,19.63,19.28,19.37,0
02-09-1990,19.43,19.60,19.43,19.54,0
02-12-1990,19.42,19.42,19.13,19.13,0
02-13-1990,19.13,19.28,18.93,19.28,0
02-14-1990,19.31,19.37,18.70,18.70,0
02-15-1990,18.70,18.70,18.47,18.47,0
02-16-1990,18.53,18.53,17.98,18.07,0
02-20-1990,17.83,17.95,17.34,17.46,0
02-21-1990,17.23,17.23,16.94,17.09,0
02-22-1990,17.14,17.40,17.00,17.00,0
02-23-1990,17.05,17.25,17.05,17.17,0
02-26-1990,17.26,17.34,17.05,17.23,0
02-27-1990,17.22,17.28,17.17,17.17,0
02-28-1990,17.17,17.26,17.06,17.12,0
03-01-1990,17.14,17.75,17.06,17.52,0
03-02-1990,17.69,17.72,17.63,17.69,0
03-05-1990,17.69,17.69,17.23,17.23,0
03-06-1990,17.17,17.55,17.06,17.55,0
03-07-1990,17.49,17.75,17.29,17.43,0
03-08-1990,17.55,17.55,17.34,17.43,0
03-09-1990,17.49,17.63,16.94,17.00,0
03-12-1990,16.96,17.20,16.93,17.20,0
03-13-1990,17.26,17.26,16.88,16.97,0
03-14-1990,17.00,17.17,16.86,17.12,0
03-15-1990,17.06,17.17,17.06,17.12,0
03-16-1990,17.29,17.43,17.23,17.43,0
03-19-1990,17.37,17.43,17.31,17.43,0
03-20-1990,17.43,17.43,17.22,17.25,0
03-21-1990,17.28,17.31,17.14,17.14,0
03-22-1990,17.03,17.11,16.88,16.94,0
03-23-1990,16.91,16.97,16.85,16.91,0
03-26-1990,17.00,17.06,16.97,16.97,0
03-27-1990,16.91,17.03,16.77,17.03,0
03-28-1990,17.11,17.28,17.11,17.23,0
03-29-1990,17.28,17.28,17.08,17.20,0
03-30-1990,17.17,17.37,17.00,17.31,0
04-02-1990,17.26,17.26,17.00,17.06,0
04-03-1990,17.05,17.28,17.00,17.28,0
04-04-1990,17.28,17.34,17.11,17.17,0
04-05-1990,17.23,17.23,16.88,16.97,0
04-06-1990,17.00,17.00,16.82,16.94,0
04-09-1990,17.00,17.12,17.00,17.12,0
04-10-1990,17.11,17.14,17.11,17.14,0
04-11-1990,17.14,17.28,17.14,17.20,0
04-12-1990,17.26,17.60,17.26,17.49,0
04-16-1990,17.64,17.75,17.58,17.58,0
04-17-1990,17.46,17.69,17.37,17.63,0
04-18-1990,17.69,17.75,17.63,17.69,0
04-19-1990,17.74,17.74,17.60,17.63,0
04-20-1990,17.58,17.58,16.94,17.00,0
04-23-1990,16.88,16.91,16.51,16.57,0
04-24-1990,16.62,16.62,16.07,16.24,0
04-25-1990,16.30,16.48,16.19,16.27,0
04-26-1990,16.33,16.42,15.90,16.27,0
04-27-1990,16.33,16.33,15.84,15.90,0
04-30-1990,15.84,16.01,15.78,15.96,0
05-01-1990,16.02,16.19,16.02,16.16,0
05-02-1990,16.18,16.33,16.07,16.21,0
05-03-1990,16.33,16.33,16.24,16.27,0
05-04-1990,16.27,16.27,16.07,16.21,0
05-07-1990,16.19,16.36,16.19,16.27,0
05-08-1990,16.27,16.36,16.24,16.33,0
05-09-1990,16.33,16.53,16.30,16.42,0
05-10-1990,16.39,16.53,16.39,16.42,0
05-11-1990,16.36,16.76,16.36,16.76,0
05-14-1990,16.65,16.76,16.65,16.70,0
05-15-1990,16.71,17.03,16.71,16.97,0
05-16-1990,16.99,17.20,16.96,17.14,0
05-17-1990,17.23,17.35,17.06,17.06,0
05-18-1990,17.06,17.14,16.94,17.06,0
05-21-1990,17.11,17.34,17.08,17.23,0
05-22-1990,17.29,17.35,16.88,17.12,0
05-23-1990,17.11,17.17,16.99,17.17,0
