Date,Open,High,Low,Close,Volume
03-27-1990,1.92,1.92,1.92,1.92,0
03-28-1990,1.92,1.92,1.71,1.71,0
03-29-1990,1.71,1.71,1.71,1.71,0
03-30-1990,1.72,1.79,1.65,1.65,0
04-02-1990,1.64,1.78,1.64,1.78,0
04-03-1990,1.78,1.78,1.78,1.78,0
04-04-1990,1.78,1.78,1.64,1.78,0
04-05-1990,1.78,1.78,1.78,1.78,0
04-06-1990,1.65,1.72,1.37,1.65,0
04-09-1990,1.65,1.65,1.65,1.65,0
04-10-1990,1.64,1.78,1.64,1.78,0
04-11-1990,1.78,1.78,1.78,1.78,0
04-12-1990,1.78,1.78,1.64,1.78,0
04-16-1990,1.78,1.78,1.78,1.78,0
04-17-1990,1.71,1.71,1.58,1.71,0
04-18-1990,1.51,1.51,1.51,1.51,0
04-19-1990,1.78,1.78,1.51,1.51,0
04-20-1990,1.65,1.65,1.51,1.65,0
04-23-1990,1.37,1.65,1.37,1.65,0
04-24-1990,1.64,1.64,1.44,1.44,0
04-25-1990,1.37,1.65,1.37,1.48,0
04-26-1990,1.65,1.65,1.65,1.65,0
04-27-1990,1.65,1.65,1.65,1.65,0
04-30-1990,1.65,1.65,1.65,1.65,0
05-01-1990,1.65,1.65,1.51,1.54,0
05-02-1990,1.65,1.65,1.65,1.65,0
05-03-1990,1.65,1.65,1.65,1.65,0
05-04-1990,1.65,1.65,1.65,1.65,0
05-07-1990,1.44,1.65,1.44,1.65,0
05-08-1990,1.64,1.64,1.44,1.44,0
05-09-1990,1.58,1.58,1.44,1.58,0
05-10-1990,1.58,1.58,1.58,1.58,0
05-11-1990,1.44,1.51,1.44,1.51,0
05-14-1990,1.51,1.51,1.44,1.44,0
05-15-1990,1.44,1.51,1.44,1.51,0
05-16-1990,1.51,1.51,1.44,1.51,0
05-17-1990,1.54,1.58,1.51,1.54,0
05-18-1990,1.65,1.65,1.65,1.65,0
05-21-1990,1.64,1.64,1.61,1.61,0
05-22-1990,1.51,1.79,1.51,1.65,0
05-23-1990,1.78,1.78,1.78,1.78,0
05-24-1990,1.58,1.58,1.58,1.58,0
05-25-1990,1.58,1.58,1.58,1.58,0
05-29-1990,1.78,1.78,1.78,1.78,0
05-30-1990,1.58,1.58,1.58,1.58,0
05-31-1990,1.58,1.58,1.58,1.58,0
06-01-1990,1.58,1.58,1.58,1.58,0
06-04-1990,1.78,1.78,1.68,1.68,0
06-05-1990,1.58,1.78,1.58,1.78,0
06-06-1990,1.78,1.78,1.58,1.78,0
06-07-1990,1.78,1.78,1.71,1.71,0
06-08-1990,1.71,1.71,1.71,1.71,0
06-11-1990,1.79,1.79,1.58,1.65,0
06-12-1990,1.65,1.65,1.65,1.65,0
06-13-1990,1.65,1.65,1.65,1.65,0
06-14-1990,1.58,1.65,1.58,1.65,0
06-15-1990,1.58,1.65,1.51,1.65,0
06-18-1990,1.65,1.65,1.65,1.65,0
06-19-1990,1.51,1.65,1.51,1.65,0
06-20-1990,1.51,1.51,1.51,1.51,0
06-21-1990,1.51,1.51,1.51,1.51,0
06-22-1990,1.51,1.51,1.51,1.51,0
06-25-1990,1.58,1.58,1.58,1.58,0
06-26-1990,1.51,1.58,1.51,1.58,0
06-27-1990,1.51,1.51,1.51,1.51,0
06-28-1990,1.51,1.65,1.51,1.65,0
06-29-1990,1.54,1.65,1.51,1.65,0
07-02-1990,1.51,1.51,1.51,1.51,0
07-03-1990,1.51,1.54,1.51,1.51,0
07-05-1990,1.51,1.58,1.51,1.58,0
07-06-1990,1.65,1.65,1.65,1.65,0
