Date,Open,High,Low,Close,Volume
01-02-1990,0.766,0.775,0.755,0.775,0
01-03-1990,0.766,0.766,0.766,0.766,0
01-04-1990,0.777,0.777,0.757,0.757,0
01-05-1990,0.757,0.757,0.757,0.757,0
01-08-1990,0.775,0.775,0.775,0.775,0
01-09-1990,0.775,0.775,0.775,0.775,0
01-10-1990,0.767,0.767,0.757,0.757,0
01-11-1990,0.773,0.793,0.773,0.793,0
01-12-1990,0.793,0.793,0.793,0.793,0
01-15-1990,0.793,0.793,0.793,0.793,0
01-16-1990,0.793,0.793,0.784,0.784,0
01-17-1990,0.784,0.784,0.784,0.784,0
01-18-1990,0.793,0.793,0.793,0.793,0
01-19-1990,0.792,0.802,0.792,0.802,0
01-22-1990,0.811,0.811,0.811,0.811,0
01-23-1990,0.793,0.793,0.784,0.784,0
01-24-1990,0.768,0.768,0.739,0.739,0
01-25-1990,0.757,0.757,0.757,0.757,0
01-26-1990,0.748,0.748,0.739,0.739,0
01-29-1990,0.748,0.748,0.739,0.739,0
01-30-1990,0.730,0.730,0.721,0.721,0
01-31-1990,0.702,0.712,0.692,0.712,0
02-01-1990,0.703,0.703,0.703,0.703,0
02-02-1990,0.712,0.712,0.712,0.712,0
02-05-1990,0.703,0.703,0.703,0.703,0
02-06-1990,0.719,0.739,0.719,0.739,0
02-07-1990,0.740,0.740,0.730,0.730,0
02-08-1990,0.740,0.740,0.721,0.721,0
02-09-1990,0.730,0.730,0.730,0.730,0
02-12-1990,0.720,0.730,0.720,0.730,0
02-13-1990,0.739,0.739,0.739,0.739,0
02-14-1990,0.730,0.730,0.730,0.730,0
02-15-1990,0.739,0.739,0.739,0.739,0
02-16-1990,0.757,0.757,0.757,0.757,0
02-20-1990,0.739,0.739,0.739,0.739,0
02-21-1990,0.757,0.757,0.757,0.757,0
02-22-1990,0.739,0.739,0.739,0.739,0
02-23-1990,0.730,0.730,0.730,0.730,0
02-26-1990,0.716,0.766,0.716,0.766,0
02-27-1990,0.775,0.775,0.775,0.775,0
02-28-1990,0.772,0.793,0.772,0.793,0
03-01-1990,0.775,0.775,0.775,0.775,0
03-02-1990,0.766,0.766,0.755,0.766,0
03-05-1990,0.766,0.766,0.766,0.766,0
03-06-1990,0.766,0.766,0.766,0.766,0
03-07-1990,0.775,0.785,0.775,0.775,0
