Date,Open,High,Low,Close,Volume
09-22-2010,12.49,12.49,12.49,12.49,0
09-23-2010,12.49,12.91,12.14,12.50,19929432
09-24-2010,12.58,13.02,12.57,12.69,2222538
09-27-2010,12.59,12.76,12.31,12.49,1231026
09-28-2010,12.49,12.53,12.32,12.48,392788
09-29-2010,12.49,12.88,12.46,12.82,526223
09-30-2010,12.88,12.88,12.53,12.80,313071
10-01-2010,12.77,12.93,12.58,12.71,345858
10-04-2010,12.78,12.78,12.39,12.55,220965
10-05-2010,12.60,12.64,12.48,12.51,597285
10-06-2010,11.99,12.10,11.48,11.95,1756878
10-07-2010,11.98,12.25,11.96,12.16,817375
10-08-2010,12.18,12.30,12.06,12.25,228739
10-11-2010,12.19,12.39,12.17,12.21,119908
10-12-2010,12.14,12.20,12.07,12.18,385444
10-13-2010,12.18,12.27,12.09,12.14,218387
10-14-2010,12.18,12.22,11.96,11.99,282136
10-15-2010,12.07,12.08,11.96,12.08,190520
10-18-2010,12.18,12.20,11.99,12.02,197321
10-19-2010,11.93,12.01,11.93,11.94,249396
10-20-2010,11.94,12.03,11.85,11.85,254036
10-21-2010,11.71,11.84,11.56,11.81,286467
10-22-2010,11.87,11.95,11.52,11.75,115801
10-25-2010,11.84,12.00,11.51,11.71,139606
10-26-2010,11.61,11.74,11.56,11.63,221561
10-27-2010,11.67,11.86,11.30,11.44,554224
10-28-2010,11.45,11.76,11.42,11.55,292918
10-29-2010,11.61,11.77,11.56,11.76,244282
11-01-2010,11.70,11.78,11.56,11.73,135274
11-02-2010,11.87,12.02,11.83,11.95,414364
11-03-2010,11.98,12.01,11.77,11.88,182745
11-04-2010,11.88,12.06,11.38,11.46,277660
11-05-2010,11.71,11.72,11.10,11.35,339016
11-08-2010,11.27,11.31,10.95,11.00,239466
11-09-2010,10.98,11.05,10.63,10.93,288788
11-10-2010,10.88,10.92,10.74,10.90,178626
11-11-2010,10.77,11.02,10.74,10.77,292901
11-12-2010,10.74,10.74,9.81,10.19,766822
11-15-2010,11.26,11.26,10.21,10.26,666670
11-16-2010,10.31,10.34,10.13,10.21,469388
11-17-2010,10.26,10.45,10.15,10.35,362441
11-18-2010,10.49,10.53,10.32,10.35,298484
11-19-2010,10.28,10.42,10.24,10.30,149592
11-22-2010,10.35,10.35,10.18,10.28,150314
11-23-2010,10.31,10.31,10.14,10.15,549184
11-24-2010,10.22,10.22,10.10,10.13,345836
11-26-2010,10.14,10.27,10.04,10.11,180367
11-29-2010,10.13,10.17,10.03,10.05,136990
11-30-2010,10.19,10.23,10.06,10.06,213625
12-01-2010,10.10,10.23,10.04,10.15,206106
12-02-2010,10.10,10.48,10.10,10.28,491852
12-03-2010,10.23,10.49,10.19,10.45,202485
12-06-2010,10.38,10.63,10.23,10.59,243692
12-07-2010,10.69,10.69,10.37,10.45,95433
12-08-2010,10.38,10.38,10.06,10.14,230592
12-09-2010,10.24,10.31,10.12,10.16,152205
12-10-2010,10.21,10.25,10.10,10.24,164235
12-13-2010,10.33,10.46,10.27,10.43,162206
12-14-2010,10.42,10.42,10.19,10.19,237239
12-15-2010,10.15,10.25,10.11,10.13,213866
12-16-2010,10.25,10.88,10.13,10.16,420811
12-17-2010,10.19,10.19,9.56,9.82,2584823
12-20-2010,9.81,10.27,9.57,10.15,453408
12-21-2010,11.02,11.24,10.35,10.62,1322194
12-22-2010,10.74,10.84,10.62,10.76,487841
12-23-2010,10.81,10.86,10.58,10.60,370455
12-27-2010,10.67,10.79,10.67,10.70,189548
12-28-2010,10.75,10.86,10.70,10.74,394659
12-29-2010,10.92,10.93,10.73,10.74,283906
12-30-2010,10.75,10.95,10.70,10.73,117794
12-31-2010,10.72,10.80,10.70,10.75,120636
01-03-2011,10.76,11.09,10.76,11.06,368297
01-04-2011,11.03,11.03,10.50,10.52,482002
01-05-2011,10.52,10.78,10.46,10.74,214939
01-06-2011,10.78,10.78,10.50,10.70,226504
01-07-2011,10.71,10.89,10.64,10.89,176663
01-10-2011,10.88,11.06,10.85,11.00,527850
01-11-2011,11.06,11.19,11.00,11.19,268651
01-12-2011,11.23,11.23,10.98,11.13,209473
01-13-2011,11.17,11.34,11.14,11.29,127907
01-14-2011,11.35,11.37,10.89,11.06,267673
01-18-2011,11.61,11.61,11.13,11.53,271485
01-19-2011,11.60,11.71,11.38,11.41,237188
01-20-2011,11.34,11.43,11.23,11.29,150102
01-21-2011,11.34,11.35,11.09,11.25,120709
01-24-2011,11.37,11.45,11.19,11.33,183562
01-25-2011,11.41,11.41,11.23,11.34,118990
01-26-2011,11.34,11.51,11.30,11.48,143398
01-27-2011,11.51,11.63,11.45,11.52,95759
01-28-2011,11.63,11.74,11.25,11.31,243589
01-31-2011,11.38,11.42,11.15,11.33,158809
02-01-2011,11.36,11.36,11.15,11.29,102915
02-02-2011,11.26,11.34,11.22,11.26,81326
02-03-2011,11.26,11.41,11.23,11.31,72443
02-04-2011,11.35,11.46,11.26,11.31,91961
02-07-2011,11.43,11.50,11.36,11.50,156415
02-08-2011,11.57,11.82,11.34,11.63,166846
02-09-2011,11.63,11.75,11.59,11.70,110397
02-10-2011,11.68,11.81,11.59,11.64,90729
02-11-2011,11.63,11.82,11.56,11.76,60949
02-14-2011,11.81,11.85,11.67,11.68,91832
02-15-2011,11.67,11.78,11.48,11.59,295592
02-16-2011,11.63,11.74,11.51,11.61,215103
02-17-2011,11.63,11.68,11.59,11.67,131308
02-18-2011,11.67,11.98,11.63,11.91,251100
02-22-2011,11.82,12.10,11.73,11.80,189167
02-23-2011,11.85,11.93,11.71,11.76,85479
02-24-2011,11.81,11.91,11.73,11.81,95818
02-25-2011,11.83,12.21,11.75,12.21,100717
02-28-2011,12.31,12.34,12.14,12.25,123704
03-01-2011,12.27,12.37,12.05,12.07,105689
03-02-2011,12.06,12.06,11.70,11.86,50941
03-03-2011,11.93,12.21,11.89,12.10,76580
03-04-2011,12.12,12.17,12.01,12.08,42330
03-07-2011,12.08,12.08,11.97,11.97,115797
03-08-2011,11.97,12.27,11.97,12.18,49534
03-09-2011,12.19,12.19,12.02,12.05,166937
03-10-2011,12.09,12.09,11.59,11.74,182685
03-11-2011,11.74,12.15,11.72,12.01,175611
03-14-2011,11.93,11.93,11.78,11.84,78636
03-15-2011,11.84,11.84,11.60,11.67,77586
03-16-2011,11.63,11.72,11.59,11.64,104095
03-17-2011,11.74,11.78,11.68,11.75,91138
03-18-2011,11.82,12.20,11.82,12.20,163743
