Date,Open,High,Low,Close,Volume
03-26-1990,1.94,1.94,1.94,1.94,0
03-27-1990,1.94,2.12,1.94,1.94,0
03-28-1990,1.94,1.94,1.94,1.94,0
03-29-1990,1.85,2.03,1.85,2.03,0
04-02-1990,1.85,1.85,1.85,1.85,0
04-03-1990,1.85,1.85,1.85,1.85,0
04-04-1990,2.03,2.03,1.85,1.85,0
04-05-1990,1.85,1.85,1.85,1.85,0
04-06-1990,1.85,2.03,1.85,1.85,0
04-09-1990,1.85,1.85,1.85,1.85,0
04-10-1990,1.85,1.94,1.85,1.94,0
04-11-1990,2.03,2.03,1.85,1.85,0
04-12-1990,1.85,2.03,1.76,1.85,0
04-16-1990,1.85,1.94,1.76,1.76,0
04-17-1990,1.76,1.94,1.67,1.67,0
04-18-1990,1.67,1.67,1.67,1.67,0
04-19-1990,1.67,1.94,1.67,1.67,0
04-20-1990,1.67,1.76,1.67,1.76,0
04-23-1990,1.67,1.94,1.67,1.67,0
04-24-1990,1.94,1.94,1.67,1.67,0
04-25-1990,1.94,1.94,1.67,1.67,0
04-26-1990,1.67,1.67,1.67,1.67,0
04-27-1990,1.67,1.85,1.67,1.85,0
04-30-1990,1.67,1.76,1.67,1.67,0
05-01-1990,1.67,1.85,1.67,1.67,0
05-02-1990,1.67,1.85,1.67,1.67,0
05-03-1990,1.85,2.12,1.67,2.03,0
05-04-1990,2.27,2.27,2.17,2.17,0
05-08-1990,2.49,2.49,2.17,2.17,0
05-09-1990,2.17,2.17,2.17,2.17,0
05-10-1990,2.17,2.17,2.17,2.17,0
05-14-1990,2.17,2.17,2.17,2.17,0
05-15-1990,2.17,2.27,2.17,2.27,0
05-16-1990,2.06,2.06,2.06,2.06,0
05-17-1990,2.05,2.27,1.95,2.27,0
05-18-1990,1.95,1.95,1.95,1.95,0
05-21-1990,1.95,1.95,1.95,1.95,0
05-22-1990,1.95,2.17,1.95,1.95,0
05-23-1990,1.95,2.17,1.95,1.95,0
05-24-1990,1.96,2.06,1.96,2.06,0
05-29-1990,1.95,1.95,1.95,1.95,0
05-30-1990,1.95,1.95,1.95,1.95,0
05-31-1990,2.06,2.06,2.00,2.00,0
06-01-1990,1.90,1.90,1.84,1.84,0
06-04-1990,1.84,2.18,1.84,1.84,0
06-05-1990,1.84,1.84,1.84,1.84,0
06-06-1990,1.84,2.28,1.84,1.84,0
06-07-1990,1.84,1.96,1.84,1.84,0
06-08-1990,1.96,2.06,1.84,1.84,0
06-11-1990,1.84,2.18,1.84,1.84,0
06-12-1990,1.84,1.84,1.84,1.84,0
06-13-1990,1.84,1.84,1.84,1.84,0
06-14-1990,1.83,1.95,1.83,1.95,0
06-15-1990,1.95,1.95,1.73,1.79,0
06-18-1990,1.95,1.95,1.73,1.73,0
06-19-1990,1.73,1.73,1.73,1.73,0
06-20-1990,1.73,1.73,1.73,1.73,0
06-21-1990,1.83,1.83,1.73,1.73,0
06-22-1990,1.74,1.84,1.74,1.84,0
06-25-1990,1.73,1.73,1.73,1.73,0
06-26-1990,1.73,1.73,1.73,1.73,0
06-27-1990,1.73,1.73,1.73,1.73,0
06-29-1990,1.83,1.83,1.73,1.73,0
07-02-1990,1.84,1.84,1.84,1.84,0
07-03-1990,1.73,1.73,1.73,1.73,0
07-05-1990,1.73,1.73,1.73,1.73,0
07-06-1990,1.73,1.73,1.73,1.73,0
07-09-1990,1.73,1.73,1.73,1.73,0
07-10-1990,1.73,1.83,1.73,1.73,0
07-11-1990,1.73,1.73,1.73,1.73,0
07-12-1990,1.73,1.73,1.73,1.73,0
07-13-1990,1.62,1.62,1.62,1.62,0
07-16-1990,1.62,1.62,1.62,1.62,0
07-17-1990,1.84,1.84,1.62,1.62,0
07-18-1990,1.61,1.73,1.61,1.73,0
07-19-1990,1.62,1.74,1.52,1.62,0
07-20-1990,1.52,1.52,1.52,1.52,0
07-24-1990,1.52,1.74,1.52,1.52,0
07-25-1990,1.52,1.96,1.52,1.52,0
07-26-1990,1.52,1.74,1.52,1.52,0
07-27-1990,1.57,1.57,1.57,1.57,0
07-30-1990,1.52,1.52,1.52,1.52,0
07-31-1990,1.52,1.74,1.52,1.52,0
08-01-1990,1.52,1.52,1.52,1.52,0
08-02-1990,1.73,1.73,1.51,1.73,0
08-03-1990,1.74,1.74,1.52,1.52,0
08-06-1990,1.51,1.73,1.51,1.73,0
08-07-1990,1.84,1.84,1.52,1.52,0
08-08-1990,1.62,1.62,1.62,1.62,0
08-09-1990,1.62,1.62,1.62,1.62,0
08-10-1990,1.62,1.84,1.62,1.84,0
08-13-1990,1.62,1.84,1.62,1.62,0
08-14-1990,1.62,1.84,1.62,1.84,0
08-15-1990,1.62,1.62,1.62,1.62,0
08-16-1990,1.83,1.83,1.61,1.73,0
08-17-1990,1.84,1.84,1.62,1.62,0
08-20-1990,1.84,1.84,1.62,1.62,0
08-21-1990,1.84,1.84,1.62,1.62,0
08-22-1990,1.62,1.62,1.62,1.62,0
08-24-1990,1.84,1.84,1.84,1.84,0
08-27-1990,1.83,1.95,1.73,1.73,0
08-28-1990,1.74,1.84,1.62,1.84,0
08-30-1990,1.73,1.73,1.73,1.73,0
08-31-1990,1.62,1.62,1.62,1.62,0
09-04-1990,1.62,1.62,1.62,1.62,0
09-05-1990,1.62,1.62,1.62,1.62,0
09-06-1990,1.96,1.96,1.62,1.62,0
09-07-1990,1.68,1.84,1.68,1.84,0
09-10-1990,1.68,1.68,1.68,1.68,0
09-11-1990,1.67,1.89,1.67,1.89,0
09-12-1990,1.74,1.74,1.68,1.68,0
09-13-1990,1.73,1.73,1.73,1.73,0
09-14-1990,1.68,1.68,1.68,1.68,0
09-17-1990,1.74,1.74,1.68,1.68,0
09-18-1990,1.74,1.74,1.68,1.68,0
09-20-1990,1.68,1.68,1.68,1.68,0
09-21-1990,1.68,1.68,1.68,1.68,0
09-24-1990,1.67,1.73,1.67,1.73,0
09-25-1990,1.67,1.73,1.67,1.73,0
09-26-1990,1.68,1.74,1.62,1.62,0
09-27-1990,1.61,1.73,1.61,1.73,0
09-28-1990,1.73,1.73,1.73,1.73,0
10-01-1990,1.62,1.62,1.62,1.62,0
10-02-1990,1.62,1.62,1.62,1.62,0
10-03-1990,1.62,1.62,1.62,1.62,0
10-04-1990,1.62,1.62,1.62,1.62,0
10-05-1990,1.62,1.62,1.62,1.62,0
10-08-1990,1.62,1.62,1.62,1.62,0
10-09-1990,1.73,1.73,1.73,1.73,0
10-10-1990,1.62,1.68,1.62,1.68,0
10-11-1990,1.62,1.62,1.52,1.62,0
10-12-1990,1.41,1.41,1.41,1.41,0
10-15-1990,1.41,1.41,1.41,1.41,0
10-16-1990,1.41,1.41,1.41,1.41,0
