Date,Open,High,Low,Close,Volume
01-23-2014,17.00,17.00,17.00,17.00,0
01-24-2014,21.21,24.40,21.21,24.30,7471825
01-27-2014,25.12,27.82,24.90,24.90,1393285
01-28-2014,25.25,25.90,24.22,25.50,698004
01-29-2014,25.20,28.76,25.00,27.32,853206
01-30-2014,28.02,28.54,26.12,26.99,615559
01-31-2014,26.20,28.86,26.13,28.71,289360
02-03-2014,29.25,29.25,26.83,28.44,475179
02-04-2014,29.00,29.00,27.11,27.83,237189
02-05-2014,27.48,28.00,25.86,27.21,200194
02-06-2014,27.41,27.41,25.04,25.42,223022
02-07-2014,25.34,27.00,25.21,26.72,149096
02-10-2014,26.60,27.50,26.11,26.27,237169
02-11-2014,26.21,27.27,26.14,27.12,139527
02-12-2014,27.26,27.26,26.13,26.16,89225
02-13-2014,26.00,26.81,25.70,25.95,122243
02-14-2014,25.84,25.84,24.88,25.41,100104
02-18-2014,24.74,25.21,23.45,23.70,434032
02-19-2014,23.75,24.13,21.62,21.79,380229
02-20-2014,21.50,24.31,21.50,23.86,406414
02-21-2014,23.73,24.48,22.50,22.89,144202
02-24-2014,22.70,22.89,21.60,22.48,171609
02-25-2014,22.15,22.59,21.80,22.22,358865
02-26-2014,22.66,23.50,18.20,18.94,1342236
02-27-2014,19.61,20.59,19.14,20.03,573923
02-28-2014,19.95,19.95,17.74,18.51,398171
03-03-2014,18.36,18.50,17.42,17.84,724134
03-04-2014,17.99,20.81,17.92,20.47,624540
03-05-2014,20.24,21.24,20.21,21.03,253494
03-06-2014,21.11,21.30,20.04,20.41,279951
03-07-2014,20.54,20.70,19.80,20.25,92866
03-10-2014,20.12,20.98,19.90,19.92,138964
03-11-2014,19.82,21.00,19.61,20.05,218561
03-12-2014,20.00,20.00,18.50,18.70,368457
03-13-2014,19.25,19.25,17.62,17.92,306654
03-14-2014,17.93,18.93,17.62,18.93,161980
03-17-2014,18.93,19.37,18.09,18.22,151908
03-18-2014,18.31,19.37,18.16,19.25,178926
03-19-2014,20.01,20.01,18.63,18.74,86364
03-20-2014,18.70,19.10,17.72,17.82,237713
03-21-2014,18.00,18.07,17.16,17.16,402967
03-24-2014,17.34,17.34,15.87,16.19,268498
03-25-2014,16.43,16.70,15.66,16.53,204783
03-26-2014,16.70,16.84,15.92,16.27,152220
03-27-2014,16.27,16.57,15.02,15.70,242427
03-28-2014,15.70,16.52,15.51,16.37,227476
03-31-2014,16.45,16.55,15.63,16.55,798598
04-01-2014,16.75,18.37,16.09,16.35,538465
04-02-2014,16.39,16.47,15.65,15.89,226885
04-03-2014,15.78,15.84,14.37,14.49,467573
04-04-2014,14.50,14.64,13.44,13.82,608518
04-07-2014,13.67,13.98,13.00,13.47,586708
04-08-2014,13.37,13.56,12.36,12.62,480774
04-09-2014,12.62,12.76,12.22,12.54,388020
04-10-2014,12.51,12.51,11.47,11.62,404158
04-11-2014,11.42,12.50,11.16,12.01,460183
04-14-2014,12.12,12.12,11.00,11.16,179995
04-15-2014,11.16,11.75,10.66,11.65,517716
04-16-2014,11.76,12.02,11.34,11.85,305903
04-17-2014,11.95,13.06,11.84,12.61,545289
04-21-2014,12.62,12.92,12.27,12.45,170059
04-22-2014,12.53,13.89,12.49,13.65,334744
04-23-2014,13.76,13.84,13.22,13.45,203451
04-24-2014,13.67,13.72,13.10,13.51,237034
04-25-2014,13.38,13.38,12.77,12.86,229178
04-28-2014,12.84,13.17,11.87,12.25,231829
04-29-2014,12.52,12.72,12.09,12.48,178858
04-30-2014,12.47,12.47,11.97,12.25,115256
05-01-2014,12.40,13.06,11.72,11.99,367079
05-02-2014,11.95,11.95,11.32,11.49,257387
05-05-2014,11.36,11.54,10.80,10.98,170177
05-06-2014,10.84,11.07,10.41,10.51,381547
05-07-2014,10.61,10.61,9.80,9.99,293823
05-08-2014,10.00,10.34,9.78,9.85,225736
05-09-2014,9.79,9.99,9.66,9.80,222272
05-12-2014,9.87,10.67,9.87,10.65,202194
05-13-2014,10.67,10.87,10.41,10.57,170006
05-14-2014,10.58,10.80,10.29,10.50,121683
05-15-2014,10.41,11.15,10.21,11.09,151302
05-16-2014,11.10,11.19,10.41,10.73,119697
05-19-2014,10.64,11.61,10.64,11.49,256050
05-20-2014,11.46,11.80,10.93,11.40,450206
05-21-2014,11.47,11.64,11.00,11.27,186947
