Date,Open,High,Low,Close,Volume
08-04-2000,28.00,30.13,21.00,22.50,8024100
08-07-2000,21.63,24.75,21.06,22.69,2131700
08-08-2000,22.63,22.81,21.13,21.94,873900
08-09-2000,21.75,22.00,19.00,20.44,933600
08-10-2000,20.00,20.38,17.50,18.00,882200
08-11-2000,18.00,18.13,17.00,17.13,960200
08-14-2000,17.63,18.00,16.75,17.25,687600
08-15-2000,17.25,17.44,17.00,17.13,224500
08-16-2000,17.25,17.38,16.88,17.06,310000
08-17-2000,17.00,18.88,17.00,18.38,558300
08-18-2000,19.13,19.63,17.25,17.63,481300
08-21-2000,18.88,20.00,17.88,19.38,331300
08-22-2000,20.75,22.44,20.63,22.13,561000
08-23-2000,21.63,26.19,21.50,25.88,854600
08-24-2000,25.94,26.13,23.00,24.38,369400
08-25-2000,26.00,27.25,25.00,26.56,495300
08-28-2000,26.94,28.69,26.25,28.67,466200
08-29-2000,29.63,31.25,29.00,30.00,1153700
08-30-2000,30.06,30.19,26.50,28.25,349500
08-31-2000,28.31,29.50,26.06,29.17,317700
09-01-2000,29.25,30.00,27.06,27.19,255600
09-05-2000,27.75,27.75,24.56,24.56,301800
09-06-2000,25.38,25.94,25.31,25.63,264400
09-07-2000,25.50,31.56,25.50,31.38,784400
09-08-2000,31.00,32.94,30.00,32.00,364900
09-11-2000,31.50,32.00,26.00,26.06,430000
09-12-2000,26.06,26.50,23.00,24.00,362300
09-13-2000,24.06,25.25,23.50,24.50,248400
09-14-2000,25.06,27.38,24.00,24.25,217600
09-15-2000,24.25,25.25,23.00,24.75,73600
09-18-2000,25.13,25.25,24.00,24.50,201200
09-19-2000,24.06,24.38,22.88,23.13,174500
09-20-2000,23.06,24.38,21.81,22.94,238500
09-21-2000,22.13,23.25,21.00,21.00,188600
09-22-2000,20.13,24.75,19.75,24.25,392100
09-25-2000,24.69,26.44,24.25,26.25,131200
09-26-2000,25.81,26.50,25.50,25.88,82200
09-27-2000,25.69,26.13,24.50,24.50,478900
09-28-2000,24.38,26.88,22.88,26.50,109100
09-29-2000,25.13,27.00,24.88,26.88,72300
10-02-2000,27.13,27.13,24.31,24.75,129200
10-03-2000,25.25,26.00,23.25,23.50,239500
10-04-2000,23.50,24.25,23.00,23.50,52400
10-05-2000,23.13,23.50,22.50,22.75,19600
10-06-2000,22.63,22.63,20.63,21.00,115100
10-09-2000,20.69,20.75,19.38,19.75,56000
10-10-2000,19.75,21.75,19.13,19.50,63000
10-11-2000,19.01,20.06,17.00,17.00,84500
10-12-2000,17.50,18.25,17.00,18.00,129400
10-13-2000,18.00,18.88,18.00,18.50,124900
10-16-2000,19.31,20.06,19.25,19.31,43200
10-17-2000,19.88,20.00,18.25,18.75,121600
10-18-2000,19.38,19.38,18.00,18.25,91200
10-19-2000,18.31,18.38,17.25,17.31,134200
10-20-2000,17.63,17.63,17.06,17.56,66100
10-23-2000,17.63,18.00,15.25,15.69,270900
10-24-2000,16.38,16.50,14.50,14.50,466200
10-25-2000,14.88,15.75,12.31,12.50,344500
10-26-2000,13.44,13.50,10.63,11.50,191300
10-27-2000,11.98,13.56,11.50,13.50,110200
10-30-2000,12.06,15.75,12.00,12.81,109200
10-31-2000,13.61,13.63,11.63,12.50,265000
11-01-2000,12.63,13.31,12.50,13.00,208700
11-02-2000,13.38,13.63,12.75,12.75,236300
11-03-2000,13.50,14.25,13.44,14.13,221900
11-06-2000,14.63,15.06,14.31,14.63,253200
11-07-2000,14.63,14.63,13.63,13.69,247800
11-08-2000,14.00,15.38,13.00,13.63,346300
11-09-2000,13.50,13.50,12.00,12.50,174300
11-10-2000,12.19,12.38,10.50,10.63,234900
11-13-2000,10.50,10.88,9.38,10.75,188900
11-14-2000,11.00,13.19,11.00,12.13,225800
11-15-2000,12.50,13.44,11.94,12.94,222300
11-16-2000,13.00,13.25,11.75,12.00,203500
11-17-2000,12.94,13.06,12.63,12.88,338100
11-20-2000,12.75,12.94,12.44,12.50,109600
11-21-2000,12.69,13.00,12.56,12.88,82700
11-22-2000,12.50,12.56,10.88,11.25,257500
11-24-2000,11.63,13.38,11.57,12.25,52200
11-27-2000,12.75,13.00,12.25,12.38,110200
11-28-2000,12.25,12.38,11.63,12.13,232200
11-29-2000,12.20,12.20,9.88,10.75,198800
11-30-2000,10.50,11.00,9.38,11.00,154000
12-01-2000,10.75,11.31,10.75,11.00,248200
12-04-2000,11.00,11.50,10.88,11.50,361800
12-05-2000,11.69,12.56,11.50,12.44,92900
12-06-2000,12.88,13.94,12.81,13.75,160900
12-07-2000,13.69,14.00,13.50,14.00,125700
12-08-2000,14.19,16.00,13.75,14.00,160300
12-11-2000,14.63,15.94,14.63,15.75,45300
12-12-2000,15.73,16.00,15.31,15.50,44600
12-13-2000,15.94,16.25,15.44,16.00,93700
12-14-2000,15.94,16.13,15.38,15.75,52000
12-15-2000,15.51,16.00,14.00,14.44,136700
12-18-2000,14.50,14.98,13.63,14.13,50900
12-19-2000,14.19,14.50,13.13,14.25,38900
12-20-2000,12.13,13.06,11.19,12.31,141800
12-21-2000,12.06,12.50,10.06,11.75,394000
12-22-2000,12.13,12.50,11.25,11.81,120300
12-26-2000,11.63,12.13,10.50,11.06,52400
12-27-2000,11.00,11.56,11.00,11.25,160900
12-28-2000,11.44,12.25,11.00,11.88,230700
12-29-2000,11.75,12.38,11.50,12.06,1069900
01-02-2001,11.69,13.00,11.69,12.00,49100
01-03-2001,11.95,16.38,11.81,15.38,141200
01-04-2001,15.00,15.00,14.00,14.38,22400
01-05-2001,14.88,14.88,12.38,12.94,39700
01-08-2001,12.63,12.63,11.63,12.00,34100
01-09-2001,12.00,12.13,11.56,11.75,110700
01-10-2001,11.75,13.00,11.75,13.00,197300
01-11-2001,12.98,14.13,12.98,13.94,65100
01-12-2001,13.81,15.63,12.75,15.50,179900
01-16-2001,15.13,16.75,15.13,16.38,231900
01-17-2001,16.75,19.75,16.25,18.19,268600
01-18-2001,17.94,19.19,17.50,18.44,212700
01-19-2001,18.81,19.88,16.38,16.88,148400
01-22-2001,16.88,17.94,16.00,16.50,78900
01-23-2001,16.25,17.00,15.50,16.69,55600
01-24-2001,17.00,19.06,16.81,19.00,330300
01-25-2001,19.00,19.31,18.69,19.31,382800
01-26-2001,18.44,18.88,15.56,18.38,142800
01-29-2001,17.38,17.50,16.50,16.76,114300
01-30-2001,16.31,16.63,15.63,16.13,474500
01-31-2001,16.56,17.63,16.50,16.94,1361600
02-01-2001,17.44,17.44,16.50,16.94,137100
02-02-2001,16.38,16.88,15.13,15.38,148900
02-05-2001,14.94,15.25,14.63,15.19,224300
02-06-2001,14.88,15.19,14.81,14.94,202400
02-07-2001,14.50,15.13,14.38,14.75,326100
02-08-2001,15.81,15.88,15.25,15.56,626300
02-09-2001,15.63,15.69,15.13,15.44,126100
02-12-2001,15.25,15.25,14.81,15.13,612900
02-13-2001,15.06,16.88,15.06,16.63,391900
02-14-2001,16.56,16.81,16.19,16.44,306500
02-15-2001,16.75,17.31,16.56,16.94,397500
02-16-2001,16.56,16.75,16.06,16.38,27000
02-20-2001,16.38,16.50,14.63,14.63,209300
02-21-2001,14.63,14.75,13.25,13.56,192300
02-22-2001,13.31,14.25,13.25,14.19,102400
02-23-2001,13.94,14.00,13.75,13.75,152900
02-26-2001,14.13,16.50,13.94,16.25,103500
02-27-2001,16.19,16.19,15.44,15.69,103200
02-28-2001,16.06,16.06,14.50,14.69,378600
03-01-2001,14.38,14.50,13.13,14.50,30100
03-02-2001,14.31,14.88,14.19,14.69,69700
03-05-2001,14.50,14.75,14.13,14.13,75900
03-06-2001,14.13,14.63,13.75,14.13,186000
03-07-2001,14.25,15.00,14.13,14.75,112800
03-08-2001,14.81,14.88,13.06,13.13,194600
03-09-2001,13.13,13.25,12.19,12.19,146600
03-12-2001,12.19,12.19,9.88,9.94,447100
03-13-2001,9.94,10.13,8.94,9.56,135100
03-14-2001,9.13,9.50,8.50,9.13,255500
03-15-2001,9.44,9.69,9.19,9.38,107100
