Date,Open,High,Low,Close,Volume
08-01-2013,16.00,16.00,16.00,16.00,0
08-02-2013,18.70,20.70,18.14,20.05,3795335
08-05-2013,19.81,20.20,19.81,19.96,199393
08-06-2013,20.15,21.67,20.04,21.06,276834
08-07-2013,20.90,21.30,20.55,21.14,109849
08-08-2013,21.67,23.40,21.20,22.76,188021
08-09-2013,22.76,23.25,21.73,22.00,145794
08-12-2013,22.30,22.74,21.56,22.06,38215
08-13-2013,21.77,22.03,20.21,20.64,152238
08-14-2013,21.57,21.57,19.92,20.52,79798
08-15-2013,20.45,20.83,20.00,20.10,124972
08-16-2013,20.20,21.12,20.16,20.42,105602
08-19-2013,20.45,21.19,19.50,19.56,67426
08-20-2013,19.50,19.93,19.25,19.59,140359
08-21-2013,19.05,19.49,19.00,19.46,86586
08-22-2013,19.35,20.85,19.35,20.70,36801
08-23-2013,20.82,21.90,20.69,21.78,46540
08-26-2013,22.11,22.29,21.51,21.96,73961
08-27-2013,22.10,22.73,21.51,22.53,122557
08-28-2013,22.20,22.87,21.88,22.44,104342
08-29-2013,22.50,24.00,22.50,23.80,75323
08-30-2013,21.50,22.00,20.18,20.28,519686
09-03-2013,20.75,20.75,20.05,20.61,144084
09-04-2013,20.72,20.97,20.16,20.36,135000
09-05-2013,20.30,20.70,20.11,20.19,35181
09-06-2013,20.30,20.62,19.96,20.08,46162
09-09-2013,20.25,20.49,19.62,19.82,63796
09-10-2013,20.00,20.00,18.75,18.75,80353
09-11-2013,18.84,18.88,18.57,18.77,86214
09-12-2013,18.77,18.77,17.82,17.89,138986
09-13-2013,18.05,18.18,17.34,17.99,167090
09-16-2013,18.31,19.19,18.21,18.87,96581
09-17-2013,18.90,20.11,18.90,19.98,121661
09-18-2013,19.94,20.72,19.60,20.59,92869
09-19-2013,20.50,20.80,19.83,20.03,58331
09-20-2013,20.00,20.00,18.64,18.64,97549
09-23-2013,18.81,19.78,18.75,19.20,97280
09-24-2013,19.30,19.53,19.00,19.14,160495
09-25-2013,19.30,19.32,18.01,18.49,192357
09-26-2013,18.28,18.76,18.21,18.41,94347
09-27-2013,18.25,18.45,17.54,17.65,119048
09-30-2013,17.48,17.50,17.01,17.32,594699
10-01-2013,17.25,17.48,16.81,17.37,94928
10-02-2013,17.11,17.30,16.75,16.86,75458
10-03-2013,16.86,16.86,16.16,16.66,125730
10-04-2013,16.71,16.75,16.22,16.30,65747
10-07-2013,16.22,16.60,16.22,16.59,29421
10-08-2013,16.60,17.11,16.46,16.61,123889
10-09-2013,16.67,16.84,16.41,16.44,42194
10-10-2013,16.69,16.70,15.25,16.59,166086
10-11-2013,16.64,16.84,16.39,16.66,68172
10-14-2013,16.35,16.90,16.19,16.90,16424
10-15-2013,16.89,17.21,16.34,16.43,27829
10-16-2013,16.48,16.89,16.48,16.70,33227
10-17-2013,16.61,16.91,16.37,16.41,20002
10-18-2013,16.50,16.50,16.11,16.28,75395
10-21-2013,16.37,16.55,15.69,16.17,102692
10-22-2013,16.19,16.40,16.15,16.30,41220
10-23-2013,16.14,16.62,16.01,16.31,39625
10-24-2013,16.38,16.90,16.00,16.24,57992
10-25-2013,16.31,16.58,16.20,16.32,30879
10-28-2013,16.21,16.36,16.20,16.26,44134
10-29-2013,16.24,16.63,16.24,16.38,45914
10-30-2013,16.32,16.35,16.05,16.25,84708
10-31-2013,16.21,16.56,16.09,16.45,123251
11-01-2013,18.45,18.45,16.74,17.60,217642
11-04-2013,17.77,17.87,17.19,17.21,62743
11-05-2013,17.20,17.84,17.20,17.70,43997
11-06-2013,17.77,18.00,17.55,17.86,37840
11-07-2013,17.91,17.95,17.12,17.14,94722
11-08-2013,17.15,17.31,16.91,17.27,76510
11-11-2013,17.32,17.82,17.14,17.33,58010
11-12-2013,17.35,17.41,16.92,17.36,14115
11-13-2013,17.33,17.33,16.90,17.09,41181
11-14-2013,17.15,17.37,17.02,17.05,30366
11-15-2013,17.20,17.33,17.00,17.21,29892
11-18-2013,17.30,17.42,17.06,17.12,17350
11-19-2013,17.18,17.18,16.81,17.00,63405
11-20-2013,17.02,17.15,16.50,16.83,70031
11-21-2013,16.85,17.11,16.50,16.75,81071
11-22-2013,16.76,17.12,16.76,16.99,103575
11-25-2013,17.05,17.43,16.99,17.01,40278
11-26-2013,16.99,17.48,16.97,17.37,18106
11-27-2013,17.43,17.69,17.33,17.40,9777
11-29-2013,17.42,17.49,17.27,17.47,5187
12-02-2013,17.50,17.50,16.70,16.75,46512
12-03-2013,16.57,16.83,16.30,16.36,46383
12-04-2013,16.30,16.30,15.36,15.39,105051
12-05-2013,15.45,15.53,14.21,14.98,89076
12-06-2013,15.00,15.15,14.88,14.97,43671
12-09-2013,14.95,14.97,13.77,14.17,225633
12-10-2013,14.20,14.66,14.00,14.18,146850
12-11-2013,14.11,14.64,14.11,14.31,137258
12-12-2013,14.20,14.70,14.04,14.41,129719
12-13-2013,14.41,14.75,14.19,14.53,70773
12-16-2013,14.64,15.74,14.48,15.53,98325
12-17-2013,15.60,15.91,15.33,15.64,49798
12-18-2013,15.66,16.45,15.47,15.66,46350
12-19-2013,15.74,16.75,15.54,15.73,73543
12-20-2013,15.81,16.99,15.81,16.99,60867
12-23-2013,17.11,17.11,16.16,16.27,27029
12-24-2013,16.17,16.59,15.69,16.13,45056
12-26-2013,16.16,16.79,16.14,16.47,40454
12-27-2013,16.93,17.75,16.52,17.21,70573
12-30-2013,17.40,18.14,17.06,17.70,66946
12-31-2013,18.00,18.45,17.69,17.70,81657
01-02-2014,17.60,18.50,17.00,18.02,50401
01-03-2014,18.16,18.41,17.16,18.35,24781
01-06-2014,18.40,18.80,18.00,18.59,72056
01-07-2014,18.56,18.93,17.45,17.94,44047
