Date,Open,High,Low,Close,Volume
09-23-2014,16.00,16.00,16.00,16.00,0
09-24-2014,25.00,30.19,22.12,29.93,21600572
09-25-2014,33.15,35.88,30.52,31.39,16593381
09-26-2014,31.95,32.74,28.61,29.80,4638887
09-29-2014,28.19,29.44,27.27,27.39,2654821
09-30-2014,27.60,32.11,27.60,32.01,6393659
10-01-2014,31.50,32.19,29.50,29.62,3575201
10-02-2014,30.37,30.75,27.30,28.69,2457302
10-03-2014,30.49,31.48,29.52,30.38,3649493
10-06-2014,31.37,31.80,29.60,29.92,1425690
10-07-2014,30.12,30.48,28.50,29.35,1189449
10-08-2014,29.59,29.90,28.11,29.38,902813
10-09-2014,29.24,29.65,27.85,28.20,945447
10-10-2014,29.58,31.49,28.52,29.84,2734245
10-13-2014,30.58,32.50,30.28,31.25,2658130
10-14-2014,32.81,33.15,29.45,29.60,1905814
10-15-2014,28.76,29.24,26.66,28.76,1854532
10-16-2014,27.60,30.40,27.60,29.45,936178
10-17-2014,30.76,30.95,28.85,30.29,817746
10-20-2014,30.00,30.75,29.40,29.88,866597
10-21-2014,30.40,30.85,29.40,29.48,1140566
10-22-2014,29.55,29.88,28.13,28.60,754702
10-23-2014,28.73,29.50,28.35,29.21,534008
10-24-2014,28.86,31.19,28.67,30.24,1212303
10-27-2014,30.26,35.17,29.40,35.08,3929068
10-28-2014,34.40,36.48,32.01,32.32,3736475
10-29-2014,33.50,34.96,31.50,34.91,2377207
10-30-2014,34.55,37.20,34.05,34.71,2646279
10-31-2014,36.04,36.15,34.70,35.28,953354
11-03-2014,35.54,37.50,35.03,36.58,1406338
11-04-2014,36.80,37.20,35.28,36.53,851744
11-05-2014,36.04,36.38,33.33,33.80,1578789
11-06-2014,34.00,34.32,32.85,33.03,664976
11-07-2014,33.36,33.50,31.69,32.71,739201
11-10-2014,32.80,35.39,32.80,34.88,1199306
11-11-2014,35.05,35.24,33.53,33.89,736325
11-12-2014,33.60,34.68,33.00,33.70,2242132
11-13-2014,38.40,43.30,38.38,42.92,11563282
11-14-2014,42.20,44.89,40.01,44.37,5297972
11-17-2014,43.91,45.68,43.00,43.45,2613909
11-18-2014,43.61,44.46,41.56,42.67,1507605
