Date,Open,High,Low,Close,Volume
06-11-2009,-21.31,-21.31,-21.31,-21.31,0
06-12-2009,-21.30,-21.27,-21.44,-21.43,0
06-15-2009,-21.00,-20.94,-21.01,-20.98,0
06-16-2009,-20.81,-20.75,-20.84,-20.79,0
06-17-2009,-20.90,-20.87,-20.94,-20.88,0
06-18-2009,-21.19,-21.13,-21.21,-21.16,0
06-19-2009,-21.38,-21.34,-21.40,-21.40,0
06-22-2009,-20.82,-20.79,-20.85,-20.81,0
06-23-2009,-20.59,-20.57,-20.61,-20.59,0
06-24-2009,-20.91,-20.90,-20.93,-20.92,0
06-25-2009,-21.58,-21.57,-21.58,-21.58,0
06-26-2009,-22.31,-22.30,-22.33,-22.32,0
06-29-2009,-22.03,-22.02,-22.06,-22.05,0
06-30-2009,-22.05,-22.03,-22.06,-22.03,0
07-01-2009,-22.13,-22.11,-22.15,-22.13,0
07-02-2009,-21.41,-21.40,-21.43,-21.40,0
07-06-2009,-21.25,-21.24,-21.27,-21.25,0
07-07-2009,-20.99,-20.95,-21.01,-20.99,0
07-08-2009,-21.04,-21.03,-21.09,-21.07,0
07-09-2009,-21.27,-21.24,-21.30,-21.29,0
07-10-2009,-21.02,-20.99,-21.02,-21.00,0
07-13-2009,-22.25,-22.23,-22.26,-22.25,0
07-14-2009,-21.95,-21.90,-21.96,-21.91,0
07-15-2009,-22.41,-22.39,-22.45,-22.43,0
07-16-2009,-22.25,-22.18,-22.26,-22.18,0
07-17-2009,-22.81,-22.80,-22.85,-22.81,0
07-20-2009,-23.16,-23.12,-23.18,-23.16,0
07-21-2009,-22.90,-22.89,-22.95,-22.93,0
07-22-2009,-23.16,-23.15,-23.26,-23.19,0
07-23-2009,-24.04,-23.96,-24.04,-23.96,0
07-24-2009,-24.03,-24.03,-24.07,-24.05,0
07-27-2009,-24.62,-24.56,-24.63,-24.56,0
07-28-2009,-24.96,-24.83,-24.96,-24.85,0
07-29-2009,-24.89,-24.88,-24.92,-24.91,0
07-30-2009,-24.99,-24.99,-25.07,-25.06,0
07-31-2009,-24.84,-24.68,-24.84,-24.75,0
08-03-2009,-25.10,-25.06,-25.13,-25.08,0
08-04-2009,-25.76,-25.71,-25.78,-25.72,0
08-05-2009,-25.95,-25.90,-26.03,-26.01,0
08-06-2009,-26.04,-26.03,-26.08,-26.06,0
08-07-2009,-26.98,-26.98,-27.05,-27.04,0
08-10-2009,-27.81,-27.73,-27.81,-27.73,0
08-11-2009,-26.60,-26.56,-26.65,-26.63,0
08-12-2009,-26.88,-26.79,-26.92,-26.79,0
08-13-2009,-27.01,-26.95,-27.02,-26.96,0
08-14-2009,-26.70,-26.69,-26.72,-26.71,0
08-17-2009,-26.06,-26.05,-26.14,-26.07,0
08-18-2009,-26.23,-26.23,-26.24,-26.23,0
08-19-2009,-26.29,-26.24,-26.30,-26.27,0
08-20-2009,-26.59,-26.53,-26.59,-26.53,0
08-21-2009,-26.98,-26.93,-26.98,-26.95,0
08-24-2009,-26.16,-26.11,-26.19,-26.19,0
08-25-2009,-25.86,-25.82,-25.94,-25.93,0
08-26-2009,-26.03,-25.94,-26.03,-25.96,0
08-27-2009,-25.73,-25.67,-25.73,-25.70,0
08-28-2009,-25.54,-25.54,-25.57,-25.57,0
08-31-2009,-25.42,-25.26,-25.42,-25.39,0
09-01-2009,-24.25,-24.23,-24.30,-24.28,0
09-02-2009,-24.14,-24.11,-24.19,-24.19,0
09-03-2009,-25.00,-24.97,-25.00,-24.97,0
09-04-2009,-24.77,-24.77,-24.82,-24.81,0
09-08-2009,-24.84,-24.83,-24.88,-24.88,0
09-09-2009,-25.33,-25.32,-25.37,-25.34,0
09-10-2009,-25.25,-25.21,-25.25,-25.25,0
09-11-2009,-24.69,-24.64,-24.69,-24.64,0
09-14-2009,-24.66,-24.66,-24.69,-24.67,0
09-15-2009,-25.70,-25.58,-25.71,-25.58,0
09-16-2009,-26.39,-26.28,-26.54,-26.46,0
09-17-2009,-25.98,-25.98,-26.12,-26.12,0
09-18-2009,-26.25,-26.14,-26.25,-26.15,0
09-21-2009,-26.25,-26.20,-26.26,-26.24,0
09-22-2009,-26.51,-26.38,-26.52,-26.42,0
09-23-2009,-26.13,-26.10,-26.18,-26.17,0
09-24-2009,-25.88,-25.88,-26.12,-26.00,0
09-25-2009,-25.60,-25.52,-25.60,-25.57,0
09-28-2009,-26.23,-26.12,-26.30,-26.16,0
09-29-2009,-26.04,-25.93,-26.08,-25.96,0
09-30-2009,-25.71,-25.65,-25.82,-25.72,0
10-01-2009,-24.97,-24.97,-25.09,-25.09,0
10-02-2009,-24.88,-24.82,-24.92,-24.84,0
10-05-2009,-25.10,-25.08,-25.15,-25.09,0
10-06-2009,-25.55,-25.51,-25.57,-25.52,0
10-07-2009,-25.54,-25.50,-25.55,-25.54,0
10-08-2009,-25.09,-25.08,-25.12,-25.09,0
10-09-2009,-25.46,-25.45,-25.52,-25.49,0
10-12-2009,-25.52,-25.50,-25.85,-25.62,0
10-13-2009,-25.47,-25.45,-25.54,-25.52,0
10-14-2009,-26.10,-26.02,-26.11,-26.06,0
10-15-2009,-26.11,-26.09,-26.12,-26.10,0
10-16-2009,-26.51,-26.49,-26.55,-26.51,0
10-19-2009,-26.85,-26.71,-26.86,-26.72,0
10-20-2009,-25.94,-25.94,-26.03,-26.03,0
10-21-2009,-25.62,-25.56,-25.66,-25.66,0
10-22-2009,-26.50,-26.39,-26.50,-26.50,0
10-23-2009,-26.44,-26.37,-26.45,-26.41,0
10-26-2009,-26.50,-26.45,-26.55,-26.46,0
10-27-2009,-27.00,-27.00,-27.16,-27.14,0
10-28-2009,-27.22,-27.14,-27.24,-27.24,0
10-29-2009,-27.06,-26.99,-27.08,-27.03,0
10-30-2009,-26.75,-26.71,-26.79,-26.73,0
11-02-2009,-26.66,-26.66,-26.85,-26.74,0
11-03-2009,-27.32,-27.26,-27.34,-27.30,0
11-04-2009,-26.80,-26.77,-26.85,-26.85,0
11-05-2009,-26.92,-26.83,-26.93,-26.84,0
11-06-2009,-26.78,-26.73,-26.79,-26.73,0
11-09-2009,-27.11,-27.07,-27.15,-27.13,0
11-10-2009,-26.74,-26.74,-26.85,-26.77,0
11-11-2009,-26.83,-26.83,-26.88,-26.85,0
11-12-2009,-26.62,-26.61,-26.70,-26.67,0
11-13-2009,-27.26,-27.17,-27.35,-27.26,0
11-16-2009,-27.80,-27.70,-27.81,-27.76,0
11-17-2009,-28.32,-28.26,-28.38,-28.26,0
11-18-2009,-28.39,-28.39,-28.44,-28.42,0
11-19-2009,-28.32,-28.26,-28.34,-28.33,0
11-20-2009,-29.20,-29.19,-29.23,-29.23,0
11-23-2009,-29.21,-29.21,-29.28,-29.28,0
11-24-2009,-29.54,-29.52,-29.62,-29.57,0
11-25-2009,-29.21,-29.21,-29.29,-29.27,0
11-27-2009,-29.54,-29.51,-29.55,-29.52,0
11-30-2009,-30.25,-30.21,-30.32,-30.28,0
12-01-2009,-30.01,-30.01,-30.08,-30.05,0
12-02-2009,-30.17,-30.15,-30.19,-30.15,0
12-03-2009,-29.39,-29.27,-29.39,-29.33,0
12-04-2009,-29.83,-29.82,-29.90,-29.90,0
12-07-2009,-29.41,-29.33,-29.47,-29.45,0
12-08-2009,-29.36,-29.29,-29.37,-29.36,0
12-09-2009,-29.42,-29.37,-29.46,-29.39,0
12-10-2009,-29.43,-29.40,-29.49,-29.48,0
12-11-2009,-29.53,-29.45,-29.53,-29.46,0
12-14-2009,-29.69,-29.67,-29.70,-29.70,0
12-15-2009,-29.49,-29.47,-29.59,-29.59,0
12-16-2009,-29.83,-29.78,-29.83,-29.78,0
12-17-2009,-29.63,-29.57,-29.63,-29.58,0
12-18-2009,-30.10,-30.01,-30.11,-30.02,0
12-21-2009,-30.19,-30.17,-30.28,-30.27,0
12-22-2009,-30.44,-30.41,-30.45,-30.43,0
12-23-2009,-30.77,-30.77,-30.80,-30.79,0
12-24-2009,-31.10,-31.10,-31.13,-31.10,0
12-28-2009,-30.83,-30.83,-30.89,-30.84,0
12-29-2009,-30.84,-30.83,-30.92,-30.91,0
12-30-2009,-30.74,-30.74,-30.80,-30.76,0
12-31-2009,-30.68,-30.66,-30.68,-30.68,0
01-04-2010,-30.26,-30.17,-30.28,-30.26,0
01-05-2010,-29.88,-29.87,-29.97,-29.97,0
01-06-2010,-29.83,-29.78,-29.88,-29.88,0
01-07-2010,-30.72,-30.68,-30.73,-30.72,0
01-08-2010,-30.31,-30.31,-30.36,-30.34,0
01-11-2010,-29.80,-29.78,-29.83,-29.79,0
01-12-2010,-29.90,-29.88,-29.90,-29.88,0
01-13-2010,-30.04,-30.02,-30.06,-30.04,0
01-14-2010,-30.51,-30.49,-30.53,-30.51,0
01-15-2010,-29.90,-29.89,-29.97,-29.90,0
01-19-2010,-29.92,-29.86,-29.94,-29.87,0
01-20-2010,-29.88,-29.85,-29.99,-29.87,0
01-21-2010,-31.39,-31.39,-31.51,-31.49,0
01-22-2010,-31.66,-31.64,-31.69,-31.67,0
01-25-2010,-30.28,-30.22,-30.29,-30.27,0
01-26-2010,-30.47,-30.46,-30.48,-30.47,0
01-27-2010,-31.15,-31.06,-31.15,-31.08,0
01-28-2010,-31.02,-31.02,-31.11,-31.08,0
01-29-2010,-30.58,-30.55,-30.62,-30.56,0
02-01-2010,-30.22,-30.22,-30.28,-30.26,0
02-02-2010,-30.17,-30.15,-30.19,-30.19,0
02-03-2010,-29.56,-29.49,-29.56,-29.50,0
02-04-2010,-28.66,-28.63,-28.73,-28.69,0
02-05-2010,-29.45,-29.37,-29.46,-29.39,0
02-08-2010,-29.79,-29.79,-29.84,-29.83,0
02-09-2010,-29.99,-29.99,-30.04,-30.00,0
02-10-2010,-30.58,-30.55,-30.60,-30.57,0
02-11-2010,-30.28,-30.27,-30.37,-30.36,0
02-12-2010,-30.37,-30.36,-30.42,-30.38,0
02-16-2010,-30.55,-30.54,-30.62,-30.57,0
02-17-2010,-30.27,-30.27,-30.29,-30.27,0
02-18-2010,-30.97,-30.97,-30.98,-30.97,0
02-19-2010,-31.23,-31.23,-31.26,-31.25,0
02-22-2010,-31.31,-31.31,-31.38,-31.37,0
02-23-2010,-31.66,-31.66,-31.72,-31.69,0
02-24-2010,-32.08,-32.03,-32.09,-32.04,0
02-25-2010,-31.97,-31.91,-31.97,-31.93,0
02-26-2010,-32.01,-31.91,-32.01,-31.94,0
03-01-2010,-31.83,-31.82,-31.87,-31.86,0
03-02-2010,-31.94,-31.94,-31.95,-31.94,0
03-03-2010,-31.37,-31.37,-31.42,-31.40,0
03-04-2010,-31.41,-31.40,-31.42,-31.40,0
03-05-2010,-32.34,-32.30,-32.36,-32.35,0
03-08-2010,-31.97,-31.91,-31.98,-31.98,0
03-09-2010,-32.06,-31.98,-32.06,-32.00,0
03-10-2010,-31.98,-31.95,-32.01,-32.00,0
03-11-2010,-32.04,-32.02,-32.04,-32.02,0
03-12-2010,-31.03,-31.03,-31.07,-31.07,0
03-15-2010,-30.80,-30.76,-30.80,-30.77,0
03-16-2010,-30.84,-30.80,-30.85,-30.82,0
03-17-2010,-30.76,-30.74,-30.79,-30.74,0
03-18-2010,-30.66,-30.59,-30.66,-30.64,0
03-19-2010,-30.91,-30.91,-31.01,-30.99,0
03-22-2010,-31.81,-31.80,-31.82,-31.80,0
03-23-2010,-31.80,-31.77,-31.81,-31.77,0
03-24-2010,-31.06,-31.05,-31.07,-31.07,0
03-25-2010,-31.19,-31.18,-31.25,-31.24,0
03-26-2010,-31.05,-31.04,-31.09,-31.06,0
03-29-2010,-31.03,-31.03,-31.10,-31.08,0
03-30-2010,-31.47,-31.46,-31.48,-31.47,0
03-31-2010,-31.39,-31.27,-31.39,-31.30,0
04-01-2010,-31.32,-31.31,-31.36,-31.32,0
04-05-2010,-31.58,-31.58,-31.62,-31.59,0
04-06-2010,-32.17,-32.17,-32.20,-32.18,0
04-07-2010,-31.63,-31.62,-31.64,-31.63,0
04-08-2010,-31.79,-31.79,-31.82,-31.81,0
04-09-2010,-32.32,-32.31,-32.33,-32.33,0
