Date,Open,High,Low,Close,Volume
10-24-2006,17.18,17.36,17.00,17.11,30807914
10-25-2006,17.05,17.29,17.00,17.24,5960006
10-26-2006,17.16,17.36,17.02,17.36,3323633
10-27-2006,17.36,17.36,17.13,17.31,2316820
10-30-2006,17.36,17.50,17.18,17.28,1523335
10-31-2006,17.25,17.36,17.18,17.25,3041029
11-01-2006,17.20,17.30,17.19,17.29,2191693
11-02-2006,17.29,17.32,17.03,17.10,3031910
11-03-2006,17.05,17.07,16.64,16.78,4144634
11-06-2006,16.67,16.82,16.63,16.66,3588821
11-07-2006,16.65,17.00,16.65,16.85,1631041
11-08-2006,16.82,17.03,16.76,16.91,1893325
11-09-2006,16.89,17.13,16.86,17.07,1226489
11-10-2006,17.11,17.47,17.07,17.43,1453794
11-13-2006,17.50,17.79,17.45,17.58,2035321
11-14-2006,17.58,17.84,17.55,17.75,1504257
11-15-2006,17.72,17.83,17.60,17.68,1076057
11-16-2006,17.61,17.72,17.59,17.70,1506332
11-17-2006,17.68,17.72,17.42,17.68,678421
11-20-2006,18.62,18.71,18.10,18.30,3452495
11-21-2006,18.21,18.77,18.15,18.72,1176024
11-22-2006,18.73,19.38,18.72,18.80,794974
11-24-2006,18.80,19.20,18.80,19.07,285343
11-27-2006,19.10,19.24,18.59,18.71,756542
11-28-2006,18.62,18.63,17.99,18.33,1295899
11-29-2006,18.34,18.88,18.34,18.71,571957
11-30-2006,18.62,19.24,18.49,19.02,349500
12-01-2006,19.06,19.18,18.76,18.82,515688
12-04-2006,18.90,19.31,18.83,19.16,971123
12-05-2006,19.09,19.31,19.02,19.24,768570
12-06-2006,19.13,19.16,18.31,18.91,556613
12-07-2006,18.91,18.96,18.78,18.87,330556
12-08-2006,18.88,18.88,18.31,18.50,509190
12-11-2006,18.61,19.09,18.61,18.80,604590
12-12-2006,18.80,19.09,18.71,18.89,710913
12-13-2006,18.73,18.91,18.67,18.86,319494
12-14-2006,18.91,19.30,18.91,18.99,2597768
12-15-2006,19.06,19.58,19.06,19.17,5623475
12-18-2006,19.33,19.35,19.09,19.22,630721
12-19-2006,19.15,19.15,18.80,19.01,1012322
12-20-2006,18.93,19.13,18.80,18.94,366363
12-21-2006,18.84,19.07,18.82,18.97,712573
12-22-2006,18.95,18.98,18.44,18.59,466051
12-26-2006,18.66,18.82,18.52,18.56,230593
12-27-2006,18.53,19.09,18.45,19.02,1089882
12-28-2006,18.99,19.10,18.76,19.08,1295064
12-29-2006,19.10,19.45,18.90,19.32,725066
01-03-2007,19.32,19.60,19.19,19.39,769105
01-04-2007,19.18,19.19,18.74,19.05,1171351
01-05-2007,18.99,19.10,18.63,18.68,606304
01-08-2007,18.82,18.82,18.38,18.50,837360
01-09-2007,18.20,18.53,18.20,18.34,823871
01-10-2007,18.33,18.73,18.30,18.63,394378
01-11-2007,18.71,19.36,18.71,19.13,1066630
01-12-2007,19.11,19.29,18.94,18.97,526624
01-16-2007,19.29,19.39,19.04,19.29,603415
01-17-2007,19.26,19.73,19.24,19.72,710892
01-18-2007,19.77,20.14,19.77,19.95,443779
01-19-2007,19.92,20.25,19.83,20.09,260617
01-22-2007,20.26,20.30,19.52,19.79,1262452
01-23-2007,19.72,19.75,19.37,19.53,834884
01-24-2007,19.60,19.78,19.45,19.58,1152223
01-25-2007,19.63,20.07,19.60,19.90,2073145
01-26-2007,19.82,19.93,19.59,19.73,1106946
01-29-2007,19.80,19.87,19.69,19.84,696583
01-30-2007,19.95,19.98,19.60,19.79,1258325
01-31-2007,19.74,20.03,19.66,19.88,1980936
02-01-2007,19.89,20.15,19.87,20.15,847956
02-02-2007,20.41,21.05,20.37,20.93,1496535
02-05-2007,20.93,20.93,20.67,20.86,735935
02-06-2007,20.80,20.94,20.72,20.92,1366212
02-07-2007,20.83,21.19,20.83,20.90,445575
02-08-2007,20.87,21.09,20.81,21.08,411305
02-09-2007,21.07,21.07,20.47,20.71,401395
02-12-2007,20.68,20.68,19.62,20.24,934487
02-13-2007,20.27,20.45,20.00,20.37,951552
02-14-2007,20.42,20.42,20.10,20.17,511909
02-15-2007,20.21,20.74,20.06,20.53,1457590
02-16-2007,20.49,20.61,20.38,20.57,341394
02-20-2007,20.39,21.22,20.39,21.05,566672
02-21-2007,21.27,21.28,20.83,20.89,1193920
02-22-2007,20.96,20.98,20.56,20.65,311671
02-23-2007,20.66,20.70,20.33,20.47,958875
02-26-2007,20.53,20.56,20.27,20.46,544791
02-27-2007,20.35,20.35,19.66,20.06,1239196
02-28-2007,20.03,20.17,19.84,20.13,797316
03-01-2007,19.88,20.42,19.88,20.14,1395604
03-02-2007,20.22,20.23,19.90,20.00,1223504
03-05-2007,19.91,19.93,19.16,19.26,759881
03-06-2007,19.27,19.74,19.27,19.46,1164333
03-07-2007,19.52,19.55,19.18,19.20,473649
03-08-2007,19.32,19.71,19.32,19.49,1138875
03-09-2007,19.44,19.98,19.44,19.89,1218557
03-12-2007,19.89,19.94,19.80,19.89,269424
03-13-2007,19.79,19.98,19.53,19.62,786579
03-14-2007,19.44,19.69,19.36,19.55,1358780
03-15-2007,19.61,19.62,19.20,19.42,2549152
03-16-2007,19.42,19.49,19.20,19.31,216715
03-19-2007,19.39,19.59,19.15,19.33,452590
03-20-2007,19.25,19.25,18.91,19.01,1511257
03-21-2007,19.05,19.42,18.94,19.21,970842
03-22-2007,19.21,19.48,18.97,18.98,306716
03-23-2007,19.05,19.05,18.78,18.89,1454422
03-26-2007,18.89,19.04,18.73,18.88,1080935
03-27-2007,18.94,18.96,18.45,18.50,435247
03-28-2007,18.56,18.56,17.79,18.28,1046176
03-29-2007,18.28,18.48,18.19,18.37,386066
03-30-2007,18.37,18.68,18.22,18.68,1403155
04-02-2007,18.67,19.07,18.60,19.02,366112
04-03-2007,19.05,19.07,18.60,18.89,986994
04-04-2007,18.99,19.08,18.89,19.04,552254
04-05-2007,18.95,19.31,18.95,19.18,751106
04-09-2007,19.18,19.40,19.15,19.38,748236
04-10-2007,19.43,19.59,19.38,19.57,507425
04-11-2007,18.92,19.69,18.92,19.26,685641
04-12-2007,18.61,19.32,18.61,19.00,812608
04-13-2007,19.05,19.35,19.00,19.27,1001760
04-16-2007,19.24,19.46,19.21,19.31,989048
04-17-2007,19.37,19.68,19.32,19.47,1086217
04-18-2007,19.37,19.54,19.35,19.42,797164
04-19-2007,19.46,19.59,19.33,19.40,476677
04-20-2007,19.40,19.75,19.36,19.55,932329
04-23-2007,19.55,19.91,19.49,19.76,667334
04-24-2007,19.76,19.76,19.44,19.54,719808
04-25-2007,19.62,19.68,19.34,19.50,700535
04-26-2007,19.59,19.77,19.38,19.77,426108
04-27-2007,19.76,19.80,19.43,19.57,1460830
04-30-2007,18.92,19.57,18.92,19.06,412856
05-01-2007,19.03,19.13,18.58,18.79,538997
05-02-2007,18.71,19.09,18.71,18.88,1114233
05-03-2007,18.94,18.94,18.66,18.83,738125
05-04-2007,18.88,18.94,18.73,18.78,584920
05-07-2007,18.69,18.86,18.59,18.73,667465
05-08-2007,18.79,18.79,18.61,18.63,409298
05-09-2007,18.79,19.29,18.62,19.28,1289452
05-10-2007,19.19,19.38,19.08,19.12,583003
05-11-2007,19.24,19.54,18.99,19.22,808507
05-14-2007,19.40,19.51,19.28,19.32,846907
05-15-2007,19.27,19.27,19.06,19.15,1127631
05-16-2007,19.14,19.35,18.72,18.91,997112
05-17-2007,18.66,18.84,18.37,18.53,2289255
05-18-2007,18.53,18.63,18.30,18.63,886713
05-21-2007,18.56,19.02,18.37,18.66,494033
05-22-2007,18.66,18.78,18.38,18.71,741265
05-23-2007,18.71,19.18,18.71,18.96,631631
05-24-2007,18.89,18.89,18.26,18.45,1129819
05-25-2007,18.52,18.83,18.45,18.64,1493903
05-29-2007,18.66,19.05,18.63,18.88,1366390
05-30-2007,18.99,19.68,18.84,19.43,2346579
05-31-2007,19.43,19.57,19.09,19.29,6862256
06-01-2007,19.24,19.39,19.19,19.30,1486798
06-04-2007,19.22,19.32,19.13,19.29,1434592
06-05-2007,19.29,19.30,19.05,19.10,1103850
06-06-2007,19.00,19.16,18.66,19.14,2545712
06-07-2007,19.07,19.13,18.80,19.03,2553084
06-08-2007,19.11,19.98,18.94,19.62,2871250
06-11-2007,19.55,19.65,19.36,19.59,1624693
06-12-2007,19.37,19.61,19.13,19.13,1899124
06-13-2007,18.95,19.42,18.95,19.42,1645740
06-14-2007,19.35,19.45,19.17,19.43,1048086
06-15-2007,19.50,19.85,19.50,19.82,1815620
06-18-2007,19.74,19.84,19.47,19.81,1021846
