Date,Open,High,Low,Close,Volume
09-18-2008,6.40,9.25,6.40,8.00,11602512
09-19-2008,7.63,10.00,7.63,8.35,1527756
09-22-2008,8.44,8.52,7.80,8.44,3424232
09-23-2008,8.26,8.70,8.00,8.31,1825676
09-24-2008,8.11,8.50,7.58,7.93,1491638
09-25-2008,7.91,8.48,7.55,8.03,2777892
09-26-2008,7.75,8.00,7.66,7.75,1331890
09-29-2008,7.51,7.68,6.55,7.31,3593100
09-30-2008,6.85,7.24,6.76,7.08,3073392
10-01-2008,6.58,7.16,6.58,7.16,2559322
10-02-2008,7.07,7.15,6.51,6.70,2455986
10-03-2008,6.66,6.82,6.28,6.49,3083762
10-06-2008,6.18,6.47,5.78,6.23,2274722
10-07-2008,6.38,6.61,5.68,5.90,2858366
10-08-2008,4.39,5.88,4.39,5.61,2802224
10-09-2008,5.74,6.00,5.20,5.44,1761258
10-10-2008,4.51,5.57,4.25,5.22,2022728
10-13-2008,5.03,6.21,5.03,6.12,1230974
10-14-2008,5.17,6.58,5.07,6.55,2461080
10-15-2008,6.74,6.81,5.89,6.14,1320074
10-16-2008,6.25,6.76,5.05,5.95,2502826
10-17-2008,5.88,6.80,5.49,6.20,1275830
10-20-2008,6.18,6.41,6.07,6.37,1134136
10-21-2008,6.17,6.55,6.07,6.28,1563620
10-22-2008,6.03,6.26,5.75,5.90,1925450
10-23-2008,5.96,6.07,5.19,5.69,1867992
10-24-2008,5.01,5.18,4.63,4.89,1790558
10-27-2008,4.88,5.28,4.78,5.00,1893948
10-28-2008,5.19,5.31,4.85,5.28,839054
10-29-2008,5.20,5.99,4.76,5.81,1747078
10-30-2008,5.98,6.30,5.80,6.30,1119558
10-31-2008,6.22,6.78,6.22,6.66,1434032
11-03-2008,6.53,6.66,6.43,6.53,2848016
11-04-2008,6.77,6.94,6.63,6.79,1738474
11-05-2008,6.94,6.94,6.51,6.63,1215764
11-06-2008,6.44,6.85,5.68,5.68,896962
11-07-2008,5.59,6.79,5.59,6.76,3255568
11-10-2008,6.75,7.12,6.64,6.68,666088
11-11-2008,6.54,6.82,6.11,6.57,711232
11-12-2008,6.49,6.53,5.73,5.93,801806
11-13-2008,6.01,6.49,5.71,6.49,1102936
11-14-2008,6.41,6.96,6.25,6.73,690828
11-17-2008,6.70,6.88,6.28,6.29,545948
11-18-2008,6.13,6.41,5.68,5.93,888946
11-19-2008,5.86,6.25,5.78,5.88,1273326
11-20-2008,5.84,6.32,5.72,5.98,2632814
11-21-2008,6.06,6.20,5.43,6.16,1891046
11-24-2008,6.24,6.64,6.24,6.59,873834
11-25-2008,6.72,6.72,6.18,6.36,1585642
11-26-2008,6.22,6.82,6.18,6.67,740404
11-28-2008,6.70,7.63,6.68,7.57,783718
12-01-2008,6.59,7.36,6.57,6.59,1380254
12-02-2008,6.64,6.82,6.49,6.55,1085896
12-03-2008,6.33,6.75,6.33,6.75,879434
12-04-2008,6.57,6.72,6.03,6.20,1499830
12-05-2008,6.27,6.64,5.91,6.64,1367882
12-08-2008,6.76,7.18,6.72,7.11,2113976
12-09-2008,7.23,7.23,6.22,6.56,3537606
12-10-2008,6.56,6.82,6.31,6.47,3992608
12-11-2008,6.34,6.74,5.86,6.01,5460678
12-12-2008,5.89,6.32,5.89,6.26,2126926
12-15-2008,6.24,6.47,6.07,6.09,1023400
12-16-2008,6.09,6.28,5.91,6.22,1723440
12-17-2008,6.07,6.34,5.99,6.26,3902112
12-18-2008,6.64,6.73,6.25,6.69,1359920
12-19-2008,6.66,6.95,6.26,6.92,2043538
12-22-2008,6.99,6.99,6.39,6.61,617800
12-23-2008,6.86,6.86,6.44,6.58,563316
12-24-2008,6.53,6.61,6.52,6.55,138364
12-26-2008,6.52,6.69,6.45,6.57,403508
12-29-2008,6.64,6.67,6.38,6.57,684932
12-30-2008,6.55,6.68,6.28,6.64,553228
12-31-2008,6.70,6.73,6.43,6.70,583048
01-02-2009,6.64,6.89,6.64,6.89,994016
01-05-2009,6.84,7.09,6.84,7.04,598360
01-06-2009,7.18,7.26,6.82,7.22,704974
01-07-2009,7.03,7.07,6.85,6.90,432982
01-08-2009,6.95,7.12,6.71,7.12,1464666
01-09-2009,7.05,7.26,6.90,7.20,969150
01-12-2009,7.22,7.22,7.04,7.19,1245306
01-13-2009,7.36,7.47,7.22,7.39,837782
01-14-2009,7.35,7.40,7.06,7.30,465168
01-15-2009,7.36,7.45,6.91,7.24,687670
01-16-2009,7.45,7.54,7.03,7.26,502752
01-20-2009,7.26,7.26,6.71,6.71,516466
