Date,Open,High,Low,Close,Volume
03-07-1995,1.12,1.17,1.05,1.17,33796740
03-08-1995,1.17,1.17,1.07,1.09,6521510
03-09-1995,1.09,1.12,1.09,1.11,2101950
03-10-1995,1.14,1.19,1.11,1.16,2832464
03-13-1995,1.19,1.19,1.15,1.15,982628
03-14-1995,1.19,1.20,1.15,1.17,1029710
03-15-1995,1.17,1.23,1.14,1.20,4979978
03-16-1995,1.23,1.25,1.17,1.17,900614
03-17-1995,1.17,1.20,1.17,1.17,1731374
03-20-1995,1.17,1.21,1.17,1.17,1728336
03-21-1995,1.19,1.22,1.18,1.18,3614624
03-22-1995,1.19,1.22,1.18,1.19,3474900
03-23-1995,1.20,1.20,1.18,1.19,2789940
03-24-1995,1.22,1.22,1.19,1.19,536114
03-27-1995,1.22,1.28,1.19,1.27,773040
03-28-1995,1.27,1.33,1.23,1.33,1257524
03-29-1995,1.33,1.38,1.23,1.28,1635690
03-30-1995,1.28,1.35,1.25,1.32,1085904
03-31-1995,1.35,1.38,1.30,1.35,552824
04-03-1995,1.38,1.50,1.37,1.45,3178740
04-04-1995,1.45,1.48,1.38,1.38,1746560
04-05-1995,1.38,1.45,1.38,1.44,1278786
04-06-1995,1.44,1.44,1.42,1.42,1328904
04-07-1995,1.44,1.44,1.37,1.42,747224
04-10-1995,1.37,1.42,1.37,1.42,214140
04-11-1995,1.42,1.43,1.38,1.43,83528
04-12-1995,1.40,1.43,1.40,1.40,1742004
04-13-1995,1.40,1.43,1.40,1.43,30374
04-17-1995,1.43,1.44,1.40,1.40,200474
04-18-1995,1.40,1.43,1.38,1.38,991740
04-19-1995,1.43,1.43,1.38,1.43,145800
04-20-1995,1.41,1.42,1.37,1.37,176174
04-21-1995,1.37,1.42,1.37,1.37,252110
04-24-1995,1.37,1.37,1.37,1.37,6074
04-25-1995,1.37,1.39,1.34,1.35,911250
04-26-1995,1.34,1.37,1.33,1.34,352350
04-27-1995,1.34,1.40,1.34,1.40,1198290
04-28-1995,1.38,1.50,1.37,1.48,850500
05-01-1995,1.45,1.55,1.45,1.53,944660
05-02-1995,1.55,1.63,1.53,1.58,1327386
05-03-1995,1.63,1.63,1.58,1.61,280964
05-04-1995,1.58,1.61,1.58,1.61,59228
05-05-1995,1.58,1.61,1.56,1.61,718364
05-08-1995,1.56,1.61,1.56,1.59,133650
05-09-1995,1.61,1.61,1.56,1.59,59228
05-10-1995,1.56,1.61,1.56,1.61,10628
05-11-1995,1.56,1.60,1.56,1.56,21260
05-12-1995,1.56,1.66,1.56,1.66,508778
05-15-1995,1.65,1.71,1.65,1.66,572564
05-16-1995,1.70,1.71,1.66,1.69,1142100
05-17-1995,1.68,1.69,1.68,1.69,739628
05-18-1995,1.66,1.67,1.51,1.55,1240814
05-19-1995,1.58,1.58,1.56,1.58,103274
05-22-1995,1.56,1.58,1.53,1.53,156428
05-23-1995,1.53,1.58,1.53,1.58,205028
05-24-1995,1.58,1.58,1.42,1.45,1000854
05-25-1995,1.50,1.50,1.45,1.45,18224
05-26-1995,1.50,1.50,1.45,1.50,50114
05-30-1995,1.47,1.50,1.45,1.45,82010
