Date,Open,High,Low,Close,Volume
06-26-2014,13.82,13.85,13.81,13.83,1006643
06-27-2014,13.82,13.95,13.82,13.82,175153
06-30-2014,13.88,13.88,13.82,13.84,64639
07-01-2014,13.83,13.84,13.82,13.82,82605
07-02-2014,13.82,13.83,13.71,13.82,109338
07-03-2014,13.83,13.83,13.82,13.83,118208
07-07-2014,13.82,13.84,13.82,13.82,73375
07-08-2014,13.82,13.83,13.82,13.82,103364
07-09-2014,13.82,13.83,13.82,13.83,40319
07-10-2014,13.82,13.83,13.82,13.82,20215
07-11-2014,13.82,13.83,13.82,13.82,41817
07-14-2014,13.79,13.84,13.79,13.84,66911
07-15-2014,13.82,13.84,13.82,13.84,13711
07-16-2014,13.84,13.84,13.82,13.83,21802
07-17-2014,13.82,13.84,13.82,13.82,22677
07-18-2014,13.83,13.84,13.82,13.82,7408
07-21-2014,13.83,13.83,13.82,13.82,44884
07-22-2014,13.83,13.84,13.82,13.83,43227
07-23-2014,13.83,13.83,13.82,13.83,45855
07-24-2014,13.82,13.83,13.82,13.82,38340
07-25-2014,13.82,13.86,13.81,13.83,21110
07-28-2014,13.92,13.92,13.82,13.82,64657
07-29-2014,13.82,13.83,13.82,13.83,61325
07-30-2014,13.83,13.86,13.82,13.84,61049
07-31-2014,13.82,13.84,13.82,13.82,76163
08-01-2014,13.82,13.83,13.82,13.83,72547
08-04-2014,13.82,13.84,13.82,13.82,76864
08-05-2014,13.81,13.81,13.13,13.30,729712
08-06-2014,13.31,13.61,13.30,13.48,282543
08-07-2014,13.51,13.68,13.51,13.65,296467
08-08-2014,13.66,13.82,13.64,13.82,524215
08-11-2014,13.82,13.82,13.51,13.58,150756
08-12-2014,13.59,13.65,13.56,13.63,127333
08-13-2014,13.61,13.65,13.55,13.57,83005
08-14-2014,13.74,13.74,13.53,13.53,86139
08-15-2014,13.56,14.01,13.56,13.94,129302
08-18-2014,13.90,13.93,13.72,13.76,89509
08-19-2014,13.75,13.76,13.53,13.58,93142
08-20-2014,13.66,13.70,13.58,13.65,84374
08-21-2014,13.60,13.60,13.34,13.34,103814
08-22-2014,13.34,13.39,13.27,13.36,118551
08-25-2014,13.34,13.41,13.27,13.37,153358
08-26-2014,13.34,13.37,13.27,13.29,181133
08-27-2014,13.27,13.59,13.27,13.52,97866
08-28-2014,13.47,13.58,13.45,13.56,120518
08-29-2014,13.74,13.98,13.56,13.61,153841
09-02-2014,13.62,13.69,13.59,13.60,90487
09-03-2014,13.54,13.59,13.53,13.57,49262
09-04-2014,13.53,13.55,13.34,13.34,83537
09-05-2014,13.41,13.48,13.34,13.45,58201
09-08-2014,13.42,13.48,13.23,13.28,105408
09-09-2014,13.40,13.40,13.03,13.10,122190
09-10-2014,13.03,13.20,13.03,13.06,143470
09-11-2014,13.06,13.27,13.00,13.14,165205
09-12-2014,13.10,13.12,13.00,13.04,68143
09-15-2014,13.06,13.09,13.01,13.02,104711
09-16-2014,13.02,13.12,12.82,12.87,159305
09-17-2014,12.87,12.95,12.72,12.73,155473
09-18-2014,12.73,12.82,12.51,12.58,149512
09-19-2014,12.52,12.63,12.38,12.45,228561
09-22-2014,12.49,12.55,12.39,12.52,267540
09-23-2014,12.52,12.61,12.30,12.31,274026
09-24-2014,12.42,12.47,12.23,12.27,274965
09-25-2014,12.29,12.34,11.89,11.96,402282
09-26-2014,12.01,12.11,12.01,12.07,189226
09-29-2014,11.97,12.20,11.91,12.06,245440
09-30-2014,12.11,12.60,12.07,12.56,298021
10-01-2014,12.61,12.61,12.45,12.58,123870
10-02-2014,12.54,12.66,12.42,12.66,188744
10-03-2014,12.71,12.78,12.63,12.73,147136
10-06-2014,12.78,12.80,12.58,12.69,172508
10-07-2014,12.63,12.75,12.51,12.54,161942
10-08-2014,12.57,12.68,12.39,12.56,156763
10-09-2014,12.52,12.56,12.36,12.40,124857
10-10-2014,12.33,12.33,11.62,11.64,337828
10-13-2014,11.76,11.79,11.27,11.42,170141
10-14-2014,11.53,11.53,10.96,10.99,256028
10-15-2014,10.76,11.27,10.57,11.24,421427
10-16-2014,11.08,11.62,11.03,11.36,282347
10-17-2014,11.53,11.68,11.42,11.42,176916
10-20-2014,11.48,11.72,11.45,11.59,166626
10-21-2014,11.69,12.12,11.69,11.97,156013
10-22-2014,11.95,12.11,11.86,11.87,165412
10-23-2014,11.95,12.07,11.88,12.02,241674
10-24-2014,12.00,12.00,11.83,11.88,271187
10-27-2014,11.74,11.83,11.65,11.70,272657
10-28-2014,11.73,11.76,11.59,11.64,301075
10-29-2014,11.69,11.75,11.60,11.62,204393
10-30-2014,11.59,11.64,11.45,11.49,235259
10-31-2014,11.57,11.67,11.40,11.66,257608
11-03-2014,11.62,11.80,11.59,11.73,123521
11-04-2014,11.69,11.70,11.49,11.49,228224
11-05-2014,11.50,11.55,11.37,11.47,278259
11-06-2014,11.47,11.48,11.30,11.36,245637
11-07-2014,11.35,11.55,11.35,11.51,300332
