Date,Open,High,Low,Close,Volume
04-25-2013,16.73,16.73,16.73,16.73,0
04-26-2013,16.56,16.73,16.56,16.73,7176199
04-29-2013,16.73,16.85,16.73,16.79,1466152
04-30-2013,16.83,16.85,16.69,16.73,1427332
05-01-2013,16.76,16.79,16.71,16.73,745729
05-02-2013,16.79,16.79,16.73,16.75,509240
05-03-2013,16.78,16.81,16.75,16.78,452620
05-06-2013,16.79,16.83,16.78,16.81,400712
05-07-2013,16.80,16.86,16.80,16.86,464186
05-08-2013,16.85,16.92,16.84,16.88,475962
05-09-2013,16.99,17.02,16.89,17.01,553252
05-10-2013,17.03,17.03,16.93,16.98,367333
05-13-2013,16.98,16.99,16.94,16.95,225177
05-14-2013,16.98,16.98,16.85,16.87,292880
05-15-2013,16.88,16.91,16.86,16.89,266438
05-16-2013,16.90,16.93,16.88,16.93,203109
05-17-2013,16.93,16.93,16.87,16.89,216096
05-20-2013,16.91,16.91,16.86,16.89,229181
05-21-2013,16.89,16.92,16.83,16.92,504588
05-22-2013,16.96,16.96,16.85,16.86,331209
05-23-2013,16.85,16.85,16.73,16.76,493856
05-24-2013,16.73,16.76,16.73,16.76,232951
05-28-2013,16.76,16.76,16.69,16.74,545580
05-29-2013,16.73,16.75,16.66,16.72,974645
05-30-2013,16.71,16.72,16.67,16.71,283890
05-31-2013,16.68,16.73,16.52,16.73,895562
06-03-2013,16.71,16.73,16.65,16.73,576328
06-04-2013,16.69,16.69,16.59,16.66,274155
06-05-2013,16.49,16.57,15.97,16.43,1703813
06-06-2013,16.38,16.39,16.02,16.39,670649
06-07-2013,16.37,16.39,16.19,16.39,583918
06-10-2013,16.32,16.36,15.77,15.82,744422
06-11-2013,15.39,15.66,15.25,15.45,1136782
06-12-2013,15.45,15.77,15.39,15.42,850773
06-13-2013,15.39,15.72,15.39,15.68,519307
06-14-2013,15.72,15.76,15.45,15.68,351184
06-17-2013,15.72,15.92,15.56,15.60,350900
06-18-2013,15.50,15.76,15.49,15.66,511030
06-19-2013,15.56,15.71,15.39,15.42,548839
06-20-2013,15.39,15.42,14.72,14.99,825848
06-21-2013,14.90,15.05,14.72,14.97,789875
06-24-2013,14.82,14.92,14.09,14.74,1138116
06-25-2013,14.75,15.14,14.50,15.03,774541
06-26-2013,14.92,15.33,14.92,15.28,373845
06-27-2013,15.26,15.38,15.03,15.31,497301
06-28-2013,15.27,15.68,15.27,15.53,604400
07-01-2013,15.53,15.65,15.17,15.23,397967
07-02-2013,15.17,15.55,15.17,15.36,396376
07-03-2013,15.31,15.40,15.17,15.17,119349
07-05-2013,15.11,15.15,14.58,14.69,336394
07-08-2013,14.63,14.99,14.63,14.93,381582
07-09-2013,14.98,15.03,14.77,14.91,363587
07-10-2013,14.92,15.05,14.71,14.97,424041
07-11-2013,15.22,15.28,14.92,15.25,412698
07-12-2013,15.19,15.25,15.00,15.11,183929
07-15-2013,15.03,15.14,14.79,14.93,530685
07-16-2013,14.87,15.07,14.87,14.96,339183
07-17-2013,14.98,15.34,14.98,15.26,368052
07-18-2013,15.29,15.37,15.12,15.12,382182
07-19-2013,15.11,15.24,15.02,15.20,233538
07-22-2013,15.25,15.39,15.20,15.21,377329
07-23-2013,15.28,15.32,15.09,15.29,459549
07-24-2013,15.20,15.22,14.82,14.99,556742
07-25-2013,14.93,15.05,14.92,14.93,430850
07-26-2013,14.89,14.98,14.82,14.96,328965
07-29-2013,14.89,14.96,14.76,14.82,339120
07-30-2013,14.88,14.88,14.33,14.42,720403
07-31-2013,14.54,14.75,14.35,14.68,703710
08-01-2013,14.52,14.65,14.35,14.47,811557
08-02-2013,14.42,14.48,14.35,14.38,590134
