Date,Open,High,Low,Close,Volume
02-14-1994,7.20,7.20,6.87,6.98,0
02-15-1994,7.88,8.13,7.75,7.88,742600
02-16-1994,8.13,8.13,7.88,8.00,538600
02-17-1994,8.13,8.13,8.00,8.00,420400
02-18-1994,7.88,8.13,7.88,8.13,393600
02-22-1994,7.88,8.13,7.88,8.00,149200
02-23-1994,8.00,8.13,7.75,7.75,235000
02-24-1994,7.75,8.13,7.75,7.75,274800
02-25-1994,7.75,8.13,7.75,7.75,15000
02-28-1994,7.75,8.13,7.75,7.75,529600
03-01-1994,7.75,8.13,7.75,7.75,696000
03-02-1994,7.63,7.88,7.63,7.63,142000
03-03-1994,7.63,8.00,7.63,7.75,80800
03-04-1994,7.63,8.00,7.63,7.63,31200
03-07-1994,7.63,8.00,7.63,8.00,3800
03-08-1994,8.00,8.00,7.50,7.88,209600
03-09-1994,7.88,8.13,7.63,8.13,135600
03-10-1994,8.13,9.00,8.13,9.00,161600
03-11-1994,9.00,9.13,8.63,9.13,122200
03-14-1994,9.13,9.88,9.00,9.56,230600
03-15-1994,9.88,9.88,9.25,9.25,100200
03-16-1994,9.25,9.50,8.88,9.06,70000
03-17-1994,8.88,9.25,8.88,9.25,3200
03-18-1994,8.88,9.25,8.63,8.63,20800
03-21-1994,8.88,9.13,8.50,9.13,94600
03-22-1994,9.13,9.13,8.88,8.88,47400
03-23-1994,9.13,9.13,8.88,9.00,40200
03-24-1994,9.00,9.13,8.88,8.94,143600
03-25-1994,8.88,9.13,8.88,9.13,17400
03-28-1994,9.13,9.25,8.88,9.25,174600
03-29-1994,9.13,9.13,8.88,8.88,45400
03-30-1994,8.88,9.00,8.63,8.63,103600
03-31-1994,8.63,8.88,7.75,8.13,458600
04-04-1994,7.63,7.75,7.25,7.50,174800
04-05-1994,8.00,8.00,7.75,8.00,25000
04-06-1994,8.13,8.13,7.75,8.13,8600
04-07-1994,8.13,8.13,8.00,8.00,21400
04-08-1994,8.13,8.13,7.75,8.13,36400
04-11-1994,7.75,7.88,7.75,7.75,7000
04-12-1994,8.13,8.13,7.75,7.75,41200
04-13-1994,7.81,7.88,7.50,7.75,42800
04-14-1994,7.75,7.75,7.50,7.63,50800
04-15-1994,7.75,7.75,7.13,7.50,65400
04-18-1994,7.50,7.50,7.25,7.25,46600
04-19-1994,7.44,7.50,6.63,6.75,185600
04-20-1994,6.75,7.00,6.50,6.75,60200
04-21-1994,6.75,6.75,6.25,6.25,46600
04-22-1994,6.31,6.38,6.25,6.38,45800
04-25-1994,6.38,6.38,6.25,6.25,239200
04-26-1994,6.38,6.38,6.25,6.25,119200
04-28-1994,6.38,6.38,6.13,6.31,430800
04-29-1994,6.50,7.00,6.31,7.00,195400
05-02-1994,7.00,7.38,7.00,7.25,49800
05-03-1994,7.75,8.00,7.63,7.94,276400
05-04-1994,8.00,8.00,7.75,7.88,46400
05-05-1994,7.75,8.00,7.75,7.88,21800
05-06-1994,7.75,7.88,7.63,7.63,87400
05-09-1994,7.75,7.88,7.50,7.50,53000
05-10-1994,7.75,7.88,7.50,7.56,44000
05-11-1994,7.88,7.88,7.50,7.88,19000
05-12-1994,7.50,7.50,7.50,7.50,600
05-13-1994,7.75,7.75,7.56,7.56,14600
05-16-1994,7.50,7.63,7.25,7.25,19000
05-17-1994,7.63,7.63,6.38,6.63,86200
05-18-1994,6.88,7.00,6.75,7.00,20000
05-19-1994,7.00,7.00,6.75,6.81,158200
05-20-1994,7.00,7.13,7.00,7.13,22000
05-23-1994,6.75,7.13,6.75,7.13,8400
05-24-1994,7.13,7.13,7.13,7.13,0
05-25-1994,7.13,7.13,7.13,7.13,0
05-26-1994,7.13,7.13,7.00,7.00,8000
05-27-1994,6.75,6.94,6.75,6.94,10400
05-31-1994,7.00,7.00,7.00,7.00,2000
06-01-1994,6.75,6.75,6.75,6.75,3200
06-02-1994,6.75,6.88,6.75,6.88,11400
06-03-1994,6.75,7.00,6.75,6.88,60200
06-06-1994,7.00,7.00,6.75,7.00,8200
06-07-1994,7.00,7.00,7.00,7.00,0
06-08-1994,7.00,8.25,7.00,8.25,102000
06-09-1994,8.00,8.25,7.63,7.63,89600
06-10-1994,7.63,7.75,7.50,7.50,195600
06-13-1994,7.50,7.75,7.50,7.69,6000
06-14-1994,7.50,7.88,7.25,7.31,153800
06-15-1994,7.50,7.63,7.25,7.25,123000
06-16-1994,7.25,7.63,7.25,7.44,25000
06-17-1994,7.44,7.44,7.25,7.25,2400
06-20-1994,7.50,7.50,7.13,7.50,399600
06-21-1994,7.50,7.50,7.00,7.13,1343800
06-22-1994,7.25,7.38,7.13,7.38,14200
06-23-1994,7.25,7.25,7.13,7.13,8000
06-24-1994,7.25,7.25,7.25,7.25,6000
