Date,Open,High,Low,Close,Volume
05-29-2015,22.21,22.21,20.26,20.39,29603
06-01-2015,20.26,20.26,20.23,20.26,41940
06-02-2015,20.26,20.26,20.26,20.26,49340
06-03-2015,20.39,20.42,20.39,20.42,3697
06-04-2015,20.28,20.48,20.28,20.44,6163
06-05-2015,20.42,20.47,20.28,20.43,20968
06-08-2015,20.51,20.71,20.36,20.55,8629
06-09-2015,20.49,20.54,20.29,20.29,34538
06-10-2015,20.39,20.47,20.39,20.47,19736
06-11-2015,20.47,20.59,20.43,20.59,8629
06-12-2015,20.58,20.75,20.58,20.63,32069
06-15-2015,20.99,20.99,20.59,20.87,14800
06-16-2015,20.71,20.71,20.51,20.63,11098
06-17-2015,20.49,20.66,20.35,20.47,12331
06-18-2015,20.48,20.55,20.41,20.43,16031
06-19-2015,20.49,20.49,20.43,20.43,8629
06-22-2015,20.44,20.50,20.39,20.46,7397
06-23-2015,20.43,20.50,20.31,20.41,12331
06-24-2015,20.36,20.47,20.36,20.47,9865
06-25-2015,20.39,20.41,20.35,20.41,3697
06-26-2015,20.47,20.48,20.35,20.36,4930
06-29-2015,20.31,20.52,20.01,20.02,24667
06-30-2015,20.24,20.29,20.20,20.20,13565
07-01-2015,20.37,20.38,20.33,20.38,9865
07-02-2015,20.39,20.39,20.35,20.39,1229
07-06-2015,20.38,20.39,20.38,20.39,0
07-07-2015,20.39,20.58,20.35,20.47,9865
07-08-2015,20.36,20.54,20.36,20.39,3697
07-09-2015,20.40,20.40,20.31,20.38,4930
07-10-2015,20.38,20.39,20.35,20.39,2462
07-13-2015,20.35,20.51,20.35,20.51,2462
07-14-2015,20.59,20.59,20.51,20.51,0
07-15-2015,20.39,20.39,20.39,20.39,1229
07-16-2015,20.59,20.59,20.47,20.47,1229
07-17-2015,20.55,20.55,20.51,20.51,1229
07-20-2015,20.55,20.59,20.52,20.55,2462
07-21-2015,20.69,20.83,20.56,20.83,2462
07-22-2015,20.76,20.76,20.56,20.56,2462
07-23-2015,20.59,20.71,20.59,20.65,7397
07-24-2015,20.70,20.70,20.58,20.64,4930
07-27-2015,20.65,20.65,20.51,20.55,7397
07-28-2015,20.56,20.59,20.56,20.59,6163
07-29-2015,20.85,20.85,20.83,20.83,1207
07-30-2015,20.67,20.67,20.52,20.63,4842
07-31-2015,20.63,20.63,20.59,20.59,2418
08-03-2015,20.53,20.57,20.19,20.19,16957
08-04-2015,20.25,20.57,20.24,20.57,2418
08-05-2015,20.42,20.56,20.42,20.56,1207
08-06-2015,20.61,20.68,20.58,20.68,6054
08-07-2015,20.35,20.51,20.31,20.51,7265
08-10-2015,20.60,20.60,20.06,20.30,24228
08-11-2015,20.02,20.23,19.44,19.44,18170
08-12-2015,19.61,19.77,19.61,19.73,3630
08-13-2015,19.81,19.81,19.81,19.81,0
08-14-2015,19.64,20.20,19.64,19.97,2418
08-17-2015,20.15,20.15,19.75,19.75,2418
08-18-2015,19.82,20.05,19.57,19.59,18170
08-19-2015,19.64,19.67,19.64,19.67,2418
08-20-2015,19.68,19.68,19.02,19.02,19381
