Date,Open,High,Low,Close,Volume
01-16-2013,20.11,20.19,20.08,20.14,2600227
01-17-2013,20.14,20.20,20.13,20.19,1458896
01-18-2013,20.20,20.22,20.15,20.20,910094
01-22-2013,20.20,20.22,20.09,20.15,734663
01-23-2013,20.16,20.16,20.06,20.11,384952
01-24-2013,20.08,20.12,20.00,20.03,547513
01-25-2013,20.05,20.08,19.99,20.04,833000
01-28-2013,20.03,20.07,19.96,20.07,552479
01-29-2013,19.99,20.03,19.96,20.01,419320
01-30-2013,19.96,20.00,19.95,19.99,473407
01-31-2013,19.99,20.07,19.96,19.99,723778
02-01-2013,19.98,20.00,19.89,19.96,518129
02-04-2013,19.95,19.96,19.86,19.91,465814
02-05-2013,19.91,20.03,19.88,20.01,3327358
02-06-2013,20.01,20.08,20.00,20.07,345189
02-07-2013,20.07,20.11,20.01,20.07,248685
02-08-2013,20.08,20.11,20.04,20.11,116544
02-11-2013,20.10,20.10,20.03,20.05,188861
02-12-2013,20.05,20.07,20.03,20.06,157485
02-13-2013,20.04,20.07,20.02,20.04,333974
02-14-2013,20.05,20.05,20.00,20.03,166031
02-15-2013,20.04,20.06,20.00,20.06,248046
02-19-2013,20.07,20.07,20.01,20.07,117061
02-20-2013,20.07,20.07,20.03,20.07,138403
02-21-2013,20.06,20.06,20.04,20.05,95260
02-22-2013,20.05,20.07,20.02,20.04,164272
02-25-2013,20.06,20.08,20.04,20.08,244797
02-26-2013,20.08,20.16,20.04,20.05,218926
02-27-2013,20.05,20.10,20.04,20.10,376229
02-28-2013,20.10,20.14,20.07,20.07,173466
03-01-2013,20.10,20.14,20.05,20.12,151744
03-04-2013,20.14,20.15,20.09,20.12,193893
03-05-2013,20.12,20.13,20.08,20.13,250260
03-06-2013,20.12,20.18,20.10,20.16,392128
03-07-2013,20.16,20.43,20.12,20.15,243986
03-08-2013,20.15,20.16,20.12,20.15,112936
03-11-2013,20.18,20.18,20.12,20.14,142168
03-12-2013,20.12,20.15,20.08,20.13,370631
03-13-2013,20.15,20.19,20.11,20.15,104786
03-14-2013,20.19,20.23,20.13,20.23,108532
03-15-2013,20.29,20.29,20.19,20.25,96939
03-18-2013,20.26,20.27,20.20,20.24,96812
03-19-2013,20.24,20.24,20.15,20.16,229480
03-20-2013,20.19,20.21,20.15,20.21,145090
03-21-2013,20.21,20.23,20.17,20.23,124958
03-22-2013,20.23,20.23,20.17,20.18,153759
03-25-2013,20.21,20.25,20.17,20.24,169230
03-26-2013,20.26,20.30,20.24,20.28,218100
03-27-2013,20.28,20.35,20.24,20.35,173581
03-28-2013,20.34,20.39,20.31,20.34,207766
04-01-2013,20.40,20.46,20.35,20.45,371176
04-02-2013,20.49,20.54,20.45,20.52,145833
04-03-2013,20.58,20.58,20.47,20.48,151944
04-04-2013,20.50,20.71,20.50,20.64,296417
04-05-2013,20.70,20.71,20.59,20.71,176480
04-08-2013,20.73,20.74,20.67,20.73,253769
04-09-2013,20.73,20.77,20.68,20.73,170398
04-10-2013,20.56,20.56,20.40,20.44,133889
04-11-2013,20.45,20.48,20.40,20.46,192438
04-12-2013,20.46,20.47,20.40,20.44,87056
04-15-2013,20.44,20.56,20.41,20.52,277760
04-16-2013,20.56,20.61,20.50,20.59,356480
04-17-2013,20.65,20.65,20.54,20.55,148745
04-18-2013,20.60,20.61,20.52,20.54,222581
04-19-2013,20.54,20.73,20.47,20.71,1651064
04-22-2013,20.60,20.61,20.40,20.40,199327
04-23-2013,20.48,20.48,20.35,20.39,143580
04-24-2013,20.44,20.44,20.33,20.34,157801
04-25-2013,20.38,20.38,20.27,20.35,110396
04-26-2013,20.35,20.43,20.32,20.40,116093
04-29-2013,20.42,20.42,20.34,20.39,71943
04-30-2013,20.39,20.46,20.39,20.44,88527
