Date,Open,High,Low,Close,Volume
06-06-2013,18.50,18.70,18.34,18.50,44962
06-07-2013,18.50,18.56,18.39,18.50,81570
06-10-2013,18.53,18.54,18.18,18.18,162145
06-11-2013,18.18,18.18,17.49,17.61,377775
06-12-2013,17.68,17.79,17.52,17.61,307808
06-13-2013,17.68,17.74,17.34,17.50,97448
06-14-2013,17.61,17.74,17.56,17.69,95283
06-17-2013,17.78,17.82,17.68,17.74,75134
06-18-2013,17.74,17.74,17.53,17.58,94426
06-19-2013,17.57,17.60,17.28,17.45,58506
06-20-2013,17.18,17.21,16.77,17.01,120656
06-21-2013,17.20,17.20,16.25,16.88,143765
06-24-2013,16.59,16.59,15.89,16.49,70771
06-25-2013,16.49,16.61,16.04,16.26,58102
06-26-2013,16.47,16.84,16.43,16.84,365316
06-27-2013,16.87,17.57,16.87,17.57,312008
06-28-2013,17.61,17.61,17.20,17.45,39861
07-01-2013,17.45,17.64,17.45,17.64,22354
07-02-2013,17.67,17.90,17.63,17.74,55349
07-03-2013,17.73,17.85,17.53,17.82,40266
07-05-2013,17.64,17.83,17.15,17.53,31222
07-08-2013,17.45,17.49,17.12,17.41,73981
07-09-2013,17.41,17.60,17.33,17.49,31510
07-10-2013,17.40,17.65,17.38,17.53,79598
07-11-2013,17.70,17.74,17.55,17.61,92365
07-12-2013,17.70,17.81,17.52,17.53,41030
07-15-2013,17.49,17.69,17.43,17.45,39341
07-16-2013,17.63,17.63,17.23,17.41,45332
07-17-2013,17.49,17.58,17.41,17.45,16252
07-18-2013,17.57,17.57,17.33,17.34,20154
07-19-2013,17.42,17.46,17.25,17.25,14275
07-22-2013,17.33,17.49,17.24,17.33,33263
07-23-2013,17.28,17.35,17.23,17.33,34869
07-24-2013,17.29,17.29,17.09,17.25,32456
07-25-2013,17.10,17.21,17.00,17.15,82670
07-26-2013,17.23,17.23,17.08,17.19,9732
07-29-2013,17.02,17.09,16.92,17.05,15811
07-30-2013,16.94,17.00,16.71,17.00,34652
07-31-2013,17.00,17.05,16.55,16.80,46130
08-01-2013,17.28,17.28,16.17,16.39,13802
08-02-2013,16.53,16.53,16.26,16.30,4658
08-05-2013,16.23,16.24,16.09,16.18,8101
08-06-2013,16.18,16.18,16.07,16.17,30137
08-07-2013,16.27,16.27,15.93,15.93,9893
08-08-2013,15.93,16.03,15.38,15.68,75840
08-09-2013,15.51,16.29,15.51,15.99,17423
08-12-2013,16.05,16.12,16.05,16.05,42228
08-13-2013,16.04,16.11,15.57,15.57,19835
08-14-2013,15.84,15.84,15.55,15.56,25864
08-15-2013,15.28,15.66,15.00,15.66,27453
08-16-2013,15.04,15.36,15.04,15.33,12060
08-19-2013,15.27,15.35,15.16,15.34,20969
08-20-2013,15.26,15.31,15.20,15.27,33426
08-21-2013,15.24,15.56,15.24,15.56,44473
08-22-2013,15.66,16.00,15.60,15.66,12431
08-23-2013,15.76,16.00,15.76,15.91,21247
08-26-2013,15.99,16.15,15.99,16.04,35624
08-27-2013,16.04,16.13,15.95,16.13,15841
08-28-2013,16.31,16.40,16.01,16.25,9710
08-29-2013,16.12,16.17,16.03,16.11,5247
08-30-2013,16.40,16.40,16.03,16.17,10576
09-03-2013,16.00,16.32,15.77,15.77,7787
09-04-2013,16.17,16.21,15.72,15.81,9648
09-05-2013,16.17,16.17,15.59,15.92,13430
09-06-2013,15.77,15.78,15.58,15.63,5261
09-09-2013,15.73,15.94,15.46,15.52,54113
09-10-2013,15.38,16.16,15.26,15.56,18014
09-11-2013,15.59,15.59,15.43,15.46,2321
09-12-2013,15.50,15.50,15.26,15.41,29947
09-13-2013,15.27,15.41,15.26,15.32,19735
09-16-2013,15.37,15.55,15.37,15.46,30487
09-17-2013,15.46,15.52,15.28,15.43,15688
09-18-2013,15.27,15.72,15.27,15.72,22336
09-19-2013,15.97,15.97,15.46,15.46,25157
09-20-2013,15.50,15.69,15.31,15.33,17685
09-23-2013,15.32,15.48,15.32,15.46,55250
09-24-2013,15.33,15.67,15.33,15.55,22098
09-25-2013,15.50,15.69,15.42,15.67,30058
09-26-2013,15.70,15.88,15.70,15.88,21443
09-27-2013,15.77,15.91,15.77,15.83,34477
09-30-2013,15.80,15.89,15.53,15.65,24393
10-01-2013,15.66,15.80,15.42,15.57,3935
10-02-2013,15.53,15.72,15.43,15.50,13517
10-03-2013,15.52,15.52,15.42,15.46,5996
10-04-2013,15.55,15.58,15.48,15.55,14545
10-07-2013,15.55,15.66,15.35,15.45,15173
10-08-2013,15.46,15.61,15.26,15.35,27449
10-09-2013,15.41,15.41,15.31,15.40,14247
10-10-2013,15.41,15.60,15.41,15.44,19380
10-11-2013,15.55,15.55,15.49,15.49,4816
10-14-2013,15.50,15.59,15.48,15.51,17461
10-15-2013,15.51,15.60,15.28,15.34,55617
10-16-2013,15.41,15.50,15.40,15.50,9645
10-17-2013,15.59,15.66,15.46,15.59,9791
10-18-2013,15.55,15.65,15.28,15.59,25620
10-21-2013,15.46,15.64,15.42,15.54,32703
10-22-2013,15.66,15.72,15.59,15.72,37044
10-23-2013,15.72,15.85,15.67,15.82,16241
10-24-2013,15.83,15.86,15.64,15.77,13789
10-25-2013,15.84,15.86,15.79,15.86,17077
10-28-2013,15.86,15.86,15.70,15.70,10797
10-29-2013,15.81,15.85,15.74,15.76,19796
10-30-2013,15.86,15.86,15.69,15.77,22268
10-31-2013,15.74,15.86,15.73,15.83,15983
11-01-2013,15.79,15.81,15.79,15.79,1935
11-04-2013,15.85,15.86,15.55,15.65,20536
11-05-2013,15.61,15.66,15.46,15.60,17922
11-06-2013,15.59,15.63,15.53,15.53,8895
11-07-2013,15.59,15.69,15.41,15.63,12315
11-08-2013,15.55,15.63,15.55,15.59,8086
11-11-2013,15.63,15.70,15.50,15.68,13899
11-12-2013,15.63,15.67,15.59,15.63,15734
11-13-2013,15.68,15.68,15.36,15.41,633389
11-14-2013,15.44,15.64,15.44,15.47,5754
11-15-2013,15.54,15.59,15.50,15.59,376000
11-18-2013,15.59,15.59,15.50,15.57,8174
11-19-2013,15.67,15.67,15.50,15.57,18631
11-20-2013,15.60,15.69,15.53,15.63,45482
11-21-2013,15.64,15.70,15.59,15.68,9926
11-22-2013,15.70,15.98,15.69,15.93,29533
11-25-2013,15.94,15.94,15.74,15.90,45382
11-26-2013,15.99,15.99,15.60,15.77,29034
11-27-2013,15.74,15.91,15.45,15.82,29212
11-29-2013,15.75,15.93,15.75,15.93,6727
12-02-2013,15.84,15.95,15.71,15.84,80693
12-03-2013,15.95,15.95,15.69,15.69,9801
12-04-2013,15.68,15.74,15.54,15.57,12109
12-05-2013,15.75,15.77,15.41,15.45,90204
12-06-2013,15.46,15.58,14.92,15.43,483061
12-09-2013,15.46,15.74,15.44,15.52,621630
12-10-2013,15.54,15.57,15.33,15.47,24146
12-11-2013,15.51,15.51,15.29,15.37,108614
12-12-2013,15.34,15.50,15.31,15.50,20749
12-13-2013,15.47,15.62,15.44,15.57,38437
12-16-2013,15.48,15.79,15.37,15.59,89607
12-17-2013,15.60,15.65,15.55,15.55,40504
12-18-2013,15.47,15.92,15.40,15.71,58273
12-19-2013,15.71,15.87,15.67,15.75,47733
12-20-2013,15.67,15.92,15.67,15.87,71439
12-23-2013,15.98,15.98,15.71,15.95,41154
12-24-2013,15.95,15.98,15.95,15.96,18631
12-26-2013,15.98,16.05,15.96,15.96,13087
12-27-2013,15.98,15.98,15.55,15.87,119931
12-30-2013,15.84,15.94,15.46,15.87,46278
12-31-2013,15.83,15.87,15.83,15.83,36281
01-02-2014,15.87,15.97,15.87,15.91,21592
01-03-2014,15.95,16.10,15.93,16.00,75576
01-06-2014,15.99,16.18,15.99,16.18,99360
01-07-2014,16.24,16.28,16.12,16.24,17238
01-08-2014,16.24,16.35,16.18,16.35,3685
01-09-2014,16.31,16.46,16.29,16.38,54983
01-10-2014,16.42,16.42,16.37,16.38,8207
01-13-2014,16.45,16.47,16.27,16.34,24133
01-14-2014,16.32,16.53,16.32,16.40,166300
01-15-2014,16.41,16.55,16.41,16.50,37869
01-16-2014,16.56,16.60,16.53,16.59,17343
01-17-2014,16.61,16.66,16.61,16.65,27248
01-21-2014,16.66,16.66,16.56,16.57,20793
01-22-2014,16.63,16.70,16.56,16.56,29452
01-23-2014,16.58,16.65,16.49,16.51,13104
01-24-2014,16.55,16.55,16.32,16.48,51438
01-27-2014,16.61,16.61,16.29,16.51,8284
01-28-2014,16.53,16.58,16.51,16.58,15673
01-29-2014,16.56,16.57,16.41,16.49,21110
01-30-2014,16.45,16.53,16.44,16.51,61926
01-31-2014,16.61,16.61,16.47,16.49,6953
02-03-2014,16.45,16.51,16.39,16.48,8314
02-04-2014,16.58,16.58,16.48,16.53,10902
02-05-2014,16.59,16.59,16.44,16.51,2735
02-06-2014,16.52,16.56,16.45,16.55,69659
02-07-2014,16.53,16.55,16.49,16.53,14995
02-10-2014,16.49,16.54,16.49,16.52,4859
02-11-2014,16.55,16.65,16.53,16.62,47182
02-12-2014,16.62,16.67,16.62,16.65,4740
02-13-2014,16.64,16.73,16.62,16.73,9200
02-14-2014,16.73,16.84,16.73,16.82,5952
02-18-2014,16.82,16.99,16.82,16.95,32416
02-19-2014,16.95,17.19,16.94,17.06,47899
02-20-2014,17.01,17.06,16.96,17.06,15346
02-21-2014,17.04,17.10,16.96,17.08,15966
02-24-2014,17.00,17.13,17.00,17.05,14295
02-25-2014,17.07,17.07,16.95,17.01,18858
02-26-2014,17.10,17.10,16.79,16.80,21453
02-27-2014,16.77,16.92,16.77,16.87,6622
02-28-2014,16.90,16.96,16.80,16.86,19389
03-03-2014,16.80,16.88,16.76,16.86,10074
