Date,Open,High,Low,Close,Volume
01-02-1990,2.42,2.42,2.37,2.42,0
01-03-1990,2.42,2.44,2.42,2.43,0
01-04-1990,2.44,2.44,2.39,2.42,0
01-05-1990,2.39,2.39,2.39,2.39,0
01-08-1990,2.40,2.41,2.39,2.41,0
01-09-1990,2.41,2.41,2.39,2.39,0
01-10-1990,2.41,2.41,2.37,2.39,0
01-11-1990,2.39,2.41,2.39,2.40,0
01-12-1990,2.39,2.39,2.34,2.34,0
01-15-1990,2.29,2.29,2.25,2.25,0
01-16-1990,2.26,2.27,2.26,2.27,0
01-17-1990,2.29,2.32,2.27,2.30,0
01-18-1990,2.33,2.34,2.32,2.33,0
01-19-1990,2.34,2.37,2.34,2.34,0
01-22-1990,2.35,2.36,2.27,2.29,0
01-23-1990,2.28,2.29,2.27,2.28,0
01-24-1990,2.26,2.26,2.22,2.22,0
01-25-1990,2.21,2.22,2.18,2.21,0
01-26-1990,2.22,2.22,2.12,2.15,0
01-29-1990,2.14,2.20,2.14,2.16,0
01-30-1990,2.17,2.17,2.11,2.16,0
01-31-1990,2.17,2.20,2.10,2.13,0
02-01-1990,2.15,2.17,2.15,2.17,0
02-02-1990,2.17,2.19,2.15,2.17,0
02-05-1990,2.18,2.21,2.17,2.21,0
02-06-1990,2.22,2.23,2.21,2.21,0
02-07-1990,2.22,2.26,2.22,2.25,0
02-08-1990,2.28,2.32,2.28,2.32,0
02-09-1990,2.32,2.33,2.29,2.33,0
02-12-1990,2.32,2.32,2.27,2.27,0
02-13-1990,2.27,2.27,2.24,2.24,0
02-14-1990,2.24,2.24,2.21,2.21,0
02-15-1990,2.18,2.21,2.16,2.21,0
02-16-1990,2.22,2.24,2.22,2.24,0
02-20-1990,2.26,2.27,2.22,2.27,0
02-21-1990,2.24,2.27,2.24,2.27,0
02-22-1990,2.26,2.26,2.25,2.25,0
02-23-1990,2.25,2.29,2.25,2.28,0
02-26-1990,2.26,2.27,2.24,2.24,0
02-27-1990,2.25,2.29,2.25,2.28,0
02-28-1990,2.27,2.27,2.22,2.24,0
03-01-1990,2.22,2.24,2.22,2.24,0
03-02-1990,2.22,2.23,2.21,2.22,0
03-05-1990,2.19,2.25,2.19,2.25,0
03-06-1990,2.25,2.27,2.22,2.22,0
03-07-1990,2.23,2.28,2.22,2.28,0
03-08-1990,2.29,2.30,2.29,2.30,0
03-09-1990,2.32,2.32,2.31,2.32,0
03-12-1990,2.33,2.33,2.32,2.32,0
03-13-1990,2.29,2.29,2.27,2.29,0
03-14-1990,2.28,2.32,2.28,2.32,0
03-15-1990,2.29,2.30,2.26,2.30,0
03-16-1990,2.30,2.30,2.27,2.27,0
03-19-1990,2.29,2.29,2.22,2.23,0
03-20-1990,2.24,2.24,2.23,2.23,0
03-21-1990,2.26,2.32,2.25,2.32,0
03-22-1990,2.29,2.29,2.22,2.27,0
03-23-1990,2.25,2.27,2.22,2.22,0
03-26-1990,2.25,2.25,2.22,2.22,0
