Date,Open,High,Low,Close,Volume
01-02-1990,2.03,2.04,1.98,2.01,0
01-03-1990,2.06,2.09,2.03,2.03,0
01-04-1990,2.01,2.04,1.99,2.04,0
01-05-1990,2.03,2.08,2.03,2.03,0
01-08-1990,2.02,2.02,1.97,1.99,0
01-09-1990,1.99,2.05,1.99,2.04,0
01-10-1990,2.03,2.09,2.03,2.09,0
01-11-1990,2.13,2.20,2.11,2.19,0
01-12-1990,2.19,2.19,2.09,2.14,0
01-15-1990,2.12,2.12,2.08,2.08,0
01-16-1990,2.07,2.07,1.99,2.06,0
01-17-1990,2.06,2.11,2.03,2.09,0
01-18-1990,2.09,2.09,2.03,2.03,0
01-19-1990,2.05,2.07,2.02,2.04,0
01-22-1990,2.04,2.04,1.96,1.96,0
01-23-1990,1.98,1.98,1.93,1.93,0
01-24-1990,1.93,1.93,1.85,1.89,0
01-25-1990,1.88,1.88,1.85,1.85,0
01-26-1990,1.87,1.88,1.84,1.87,0
01-29-1990,1.89,1.89,1.84,1.84,0
01-30-1990,1.83,1.86,1.77,1.78,0
01-31-1990,1.79,1.82,1.74,1.82,0
02-01-1990,1.85,1.88,1.85,1.87,0
02-02-1990,1.88,1.93,1.87,1.90,0
02-05-1990,1.93,1.95,1.89,1.89,0
02-06-1990,1.90,1.90,1.84,1.89,0
02-07-1990,1.89,1.96,1.89,1.96,0
02-08-1990,1.98,2.08,1.98,2.03,0
02-09-1990,2.03,2.03,1.99,2.01,0
02-12-1990,2.03,2.03,1.99,2.01,0
02-13-1990,2.01,2.01,1.98,2.01,0
02-14-1990,1.99,1.99,1.97,1.99,0
02-15-1990,2.02,2.04,2.00,2.02,0
02-16-1990,2.00,2.03,2.00,2.03,0
02-20-1990,2.05,2.06,2.01,2.05,0
02-21-1990,2.03,2.09,2.03,2.08,0
02-22-1990,2.08,2.13,2.08,2.08,0
02-23-1990,2.07,2.11,2.07,2.11,0
02-26-1990,2.10,2.11,2.02,2.07,0
02-27-1990,2.07,2.07,2.05,2.07,0
02-28-1990,2.06,2.06,2.01,2.05,0
03-01-1990,2.00,2.03,2.00,2.00,0
03-02-1990,1.99,2.03,1.99,2.00,0
03-05-1990,2.00,2.05,1.99,2.02,0
03-06-1990,2.01,2.05,2.01,2.03,0
03-07-1990,2.03,2.03,2.00,2.00,0
03-08-1990,2.00,2.06,2.00,2.03,0
03-09-1990,2.03,2.07,2.03,2.07,0
03-12-1990,2.06,2.09,2.06,2.08,0
03-13-1990,2.08,2.08,2.05,2.07,0
03-14-1990,2.08,2.11,2.08,2.09,0
03-15-1990,2.08,2.13,2.08,2.13,0
03-16-1990,2.16,2.20,2.13,2.18,0
03-19-1990,2.16,2.20,2.16,2.19,0
03-20-1990,2.18,2.19,2.13,2.16,0
03-21-1990,2.18,2.18,2.16,2.16,0
03-22-1990,2.18,2.18,2.09,2.09,0
03-23-1990,2.11,2.11,2.08,2.11,0
03-26-1990,2.12,2.15,2.12,2.13,0
03-27-1990,2.13,2.16,2.13,2.13,0
03-28-1990,2.16,2.16,2.13,2.14,0
03-29-1990,2.13,2.14,2.11,2.14,0
03-30-1990,2.16,2.18,2.13,2.16,0
04-02-1990,2.15,2.18,2.15,2.18,0
04-03-1990,2.16,2.20,2.16,2.18,0
04-04-1990,2.16,2.19,2.16,2.19,0
04-05-1990,2.19,2.24,2.17,2.19,0
04-06-1990,2.23,2.23,2.18,2.21,0
04-09-1990,2.20,2.20,2.14,2.14,0
04-10-1990,2.14,2.17,2.13,2.14,0
04-11-1990,2.18,2.21,2.18,2.21,0
04-12-1990,2.24,2.32,2.24,2.32,0
04-16-1990,2.36,2.37,2.29,2.34,0
04-17-1990,2.35,2.43,2.33,2.41,0
04-18-1990,2.39,2.45,2.37,2.43,0
