Date,Open,High,Low,Close,Volume
12-14-1993,14.64,15.49,14.59,15.40,1582713
12-15-1993,15.40,15.40,15.40,15.40,0
12-16-1993,15.10,15.10,14.98,15.06,839071
12-17-1993,15.06,15.06,14.72,14.72,1546859
12-20-1993,14.72,15.19,14.72,15.19,1887405
12-21-1993,15.15,15.57,15.15,15.40,1296831
12-22-1993,15.44,15.44,15.27,15.40,294625
12-23-1993,15.44,15.74,15.44,15.70,287581
12-27-1993,15.78,16.17,15.78,16.08,100425
12-28-1993,16.04,16.04,15.91,16.00,401871
12-29-1993,16.08,16.21,16.08,16.21,388361
12-30-1993,16.21,16.38,16.21,16.29,229404
12-31-1993,16.21,16.25,16.08,16.17,195326
01-03-1994,16.21,16.21,15.74,15.95,687163
01-04-1994,15.95,15.95,15.19,15.36,3305640
01-05-1994,14.98,15.10,14.81,15.10,4309303
01-06-1994,14.98,15.10,14.64,14.81,4044587
01-07-1994,14.76,14.76,14.12,14.21,5036499
01-10-1994,14.25,14.64,14.21,14.59,2072798
01-11-1994,14.64,14.64,14.42,14.55,1741380
01-12-1994,14.51,14.51,14.21,14.29,3245405
01-13-1994,14.25,14.29,14.17,14.21,1518076
01-14-1994,14.25,14.34,14.17,14.25,2006686
01-17-1994,14.21,14.29,14.12,14.25,1700238
01-18-1994,14.25,14.25,14.12,14.17,1642950
01-19-1994,14.12,14.47,14.12,14.38,1950569
01-20-1994,14.38,14.42,14.17,14.29,1647346
01-21-1994,14.34,14.34,14.21,14.29,2145959
01-24-1994,14.29,14.29,14.12,14.17,3087040
01-25-1994,14.12,14.25,14.04,14.17,2160055
01-26-1994,14.12,14.21,14.12,14.17,1062961
01-27-1994,14.17,14.25,14.17,14.17,2366018
01-28-1994,14.25,14.68,14.21,14.64,1887986
01-31-1994,14.64,15.10,14.64,14.89,1933234
02-01-1994,14.38,14.47,14.29,14.38,4467968
02-02-1994,14.34,14.34,14.17,14.29,4924263
02-03-1994,14.34,14.59,14.29,14.55,3137276
02-04-1994,14.51,14.72,14.47,14.51,1845971
02-07-1994,14.51,14.85,14.51,14.81,1174310
02-08-1994,14.64,14.72,14.55,14.59,1346486
02-09-1994,14.51,14.68,14.51,14.68,1130825
02-10-1994,14.64,14.76,14.55,14.55,1436098
02-11-1994,14.55,14.59,14.47,14.55,1014766
02-14-1994,14.59,14.68,14.55,14.64,906058
02-15-1994,14.59,14.81,14.59,14.68,1030046
02-16-1994,14.68,14.85,14.64,14.76,982441
02-17-1994,14.85,14.98,14.76,14.76,1461669
02-18-1994,14.76,14.81,14.64,14.68,637515
02-22-1994,14.47,14.59,14.34,14.47,1692007
02-23-1994,14.47,14.59,14.47,14.59,1492509
02-24-1994,14.55,14.55,14.38,14.42,789996
02-25-1994,14.34,14.38,14.29,14.29,956595
02-28-1994,14.34,14.34,14.17,14.21,764438
03-01-1994,14.17,14.21,14.12,14.21,1104384
03-02-1994,14.12,14.17,14.00,14.00,1593581
03-03-1994,14.00,14.00,13.78,13.78,1074704
03-04-1994,13.78,13.83,13.61,13.70,1481347
03-07-1994,13.70,13.70,13.66,13.66,881381
03-08-1994,13.66,13.70,13.61,13.66,1591822
03-09-1994,13.49,13.66,13.49,13.66,394238
03-10-1994,13.61,13.70,13.49,13.53,1576542
03-11-1994,13.53,13.87,13.53,13.83,436832
03-14-1994,13.91,13.91,13.78,13.87,504418
03-15-1994,13.87,14.00,13.83,13.95,926336
03-16-1994,13.95,14.00,13.74,13.78,696278
03-17-1994,13.74,13.95,13.74,13.87,988035
03-18-1994,13.87,13.87,13.61,13.66,1456379
03-21-1994,13.66,13.74,13.61,13.66,619887
03-22-1994,13.66,13.70,13.53,13.70,808222
03-23-1994,13.74,13.91,13.70,13.91,752101
03-24-1994,13.83,14.04,13.83,13.95,616358
03-25-1994,14.04,14.04,13.95,13.95,340166
03-28-1994,14.00,14.08,13.83,14.08,711843
03-29-1994,14.04,14.17,14.04,14.08,460048
03-30-1994,14.00,14.08,13.83,13.87,874023
03-31-1994,13.83,13.87,13.66,13.70,990383
04-04-1994,13.49,13.61,13.44,13.53,1387033
04-05-1994,13.61,13.78,13.61,13.74,1513079
04-06-1994,14.12,14.29,14.04,14.21,1225139
04-07-1994,14.21,14.25,14.08,14.25,1991117
04-08-1994,14.21,14.68,14.21,14.59,1318281
04-11-1994,14.55,14.59,14.38,14.51,689219
04-12-1994,14.55,14.55,14.17,14.17,642792
04-13-1994,14.29,14.51,14.25,14.51,1632067
04-14-1994,14.42,14.47,14.38,14.42,1032680
04-15-1994,14.55,14.72,14.47,14.51,867562
04-18-1994,14.51,14.59,14.38,14.42,733294
04-19-1994,14.51,14.51,14.29,14.42,923095
04-20-1994,14.42,14.47,13.95,14.04,1109086
04-21-1994,14.08,14.47,14.04,14.29,986267
04-22-1994,14.34,14.42,14.29,14.34,411571
04-25-1994,14.42,14.68,14.38,14.68,1266564
04-26-1994,15.32,15.40,15.19,15.23,2476492
04-28-1994,15.23,15.23,14.89,15.10,1608272
04-29-1994,15.06,15.23,15.02,15.15,1431101
05-02-1994,15.15,15.32,15.06,15.27,726547
05-03-1994,15.32,15.36,15.15,15.32,1047381
05-04-1994,15.27,15.40,15.27,15.36,870504
05-05-1994,15.40,15.40,15.27,15.27,504124
05-06-1994,15.23,15.27,14.98,15.02,540557
05-09-1994,15.02,15.02,14.93,14.98,355152
05-10-1994,15.02,15.57,15.02,15.32,1200169
05-11-1994,15.57,15.66,15.36,15.36,1216616
05-12-1994,15.40,15.49,15.36,15.36,526454
05-13-1994,15.53,15.70,15.53,15.61,1308879
05-16-1994,15.53,15.66,15.49,15.66,889010
05-17-1994,15.57,15.74,15.53,15.66,559947
05-18-1994,15.61,15.61,15.53,15.57,504709
05-19-1994,15.53,15.74,15.53,15.66,1365879
05-20-1994,15.61,15.61,15.32,15.32,584331
05-23-1994,15.49,15.66,15.49,15.49,737410
05-24-1994,15.83,16.08,15.78,15.91,1365583
05-25-1994,15.83,16.25,15.83,16.21,992431
05-26-1994,16.25,16.46,16.25,16.42,1932932
05-27-1994,16.34,16.63,16.34,16.59,931917
05-31-1994,16.51,16.63,16.38,16.38,787353
06-01-1994,16.34,16.42,16.04,16.12,513809
06-02-1994,16.04,16.29,15.95,16.25,796755
06-03-1994,16.21,16.34,16.21,16.25,745927
06-06-1994,16.29,16.38,16.25,16.38,440364
06-07-1994,16.34,16.34,16.12,16.17,789120
06-08-1994,16.17,16.21,15.91,16.04,364849
06-09-1994,15.95,16.00,15.87,15.95,398054
06-10-1994,16.04,16.04,15.91,15.91,209119
06-13-1994,15.91,16.21,15.83,16.12,1032977
06-14-1994,16.12,16.17,15.95,15.95,742696
06-15-1994,16.00,16.04,15.91,15.91,695394
06-16-1994,15.91,16.17,15.91,16.04,803817
06-17-1994,16.04,16.08,15.91,15.91,1822167
06-20-1994,15.83,15.87,15.66,15.70,591085
06-21-1994,15.74,15.78,15.49,15.61,492660
06-22-1994,15.70,16.08,15.70,15.91,1384969
06-23-1994,15.95,16.25,15.91,16.12,494426
06-24-1994,16.21,16.21,15.95,15.95,681294
06-27-1994,15.95,16.08,15.91,16.00,294039
06-28-1994,16.00,16.04,15.91,15.95,221771
06-29-1994,15.91,16.25,15.91,16.21,300806
06-30-1994,16.21,16.29,16.04,16.25,354571
07-01-1994,16.12,16.21,15.83,16.00,739764
07-05-1994,16.08,16.17,16.00,16.00,490611
07-06-1994,16.04,16.12,16.04,16.08,822908
07-07-1994,16.12,16.34,16.08,16.25,500596
07-08-1994,16.29,16.29,16.17,16.29,733591
07-11-1994,16.34,16.34,16.17,16.17,368373
07-12-1994,16.08,16.08,15.78,15.87,1192813
07-13-1994,15.91,16.12,15.87,16.08,341930
07-14-1994,16.12,16.46,16.12,16.42,1161093
07-15-1994,16.42,16.80,16.42,16.76,1701999
07-18-1994,16.34,16.89,16.34,16.89,1237192
07-19-1994,16.93,17.49,16.93,17.40,3290950
07-20-1994,17.40,17.53,17.36,17.40,1773988
07-21-1994,17.40,17.49,17.36,17.40,759444
07-22-1994,17.44,17.49,17.40,17.40,597845
07-25-1994,17.40,17.49,17.32,17.49,1197231
07-26-1994,17.53,17.66,17.36,17.57,940722
07-27-1994,17.49,17.53,17.19,17.44,898719
07-28-1994,17.40,17.70,17.36,17.66,580808
07-29-1994,17.61,17.70,17.49,17.57,490317
08-01-1994,17.53,17.61,17.49,17.53,905177
08-02-1994,17.66,17.70,17.53,17.53,861986
08-03-1994,17.44,17.66,17.44,17.57,865808
08-04-1994,17.61,17.83,17.57,17.78,688640
08-05-1994,17.70,17.87,17.66,17.78,686582
08-08-1994,17.74,18.12,17.74,17.74,844946
08-09-1994,17.53,17.87,17.53,17.87,883138
08-10-1994,17.95,18.21,17.95,18.04,1059135
08-11-1994,17.95,18.12,17.78,17.83,567581
08-12-1994,17.74,17.78,17.66,17.70,591380
08-15-1994,17.61,17.87,17.61,17.74,646031
08-16-1994,17.78,17.78,17.70,17.78,1002433
08-17-1994,17.74,17.74,17.66,17.70,802053
08-18-1994,17.66,17.70,17.15,17.15,918105
08-19-1994,17.15,17.19,16.93,17.06,1185179
08-22-1994,17.06,17.10,16.97,17.02,638395
08-23-1994,17.10,17.53,17.10,17.36,958069
08-24-1994,17.49,17.70,17.40,17.70,909294
08-25-1994,17.78,17.83,17.66,17.74,1272146
08-26-1994,17.74,17.83,17.70,17.78,1370578
08-29-1994,17.78,17.95,17.61,17.95,899886
08-30-1994,17.87,17.95,17.74,17.95,514996
08-31-1994,17.91,18.00,17.87,17.95,741812
09-01-1994,17.95,18.00,17.83,17.91,504709
09-02-1994,17.91,17.95,17.78,17.83,294039
09-06-1994,17.83,17.95,17.74,17.91,623411
09-07-1994,17.91,18.00,17.87,18.00,661608
09-08-1994,17.95,18.34,17.95,18.29,865220
09-09-1994,18.08,18.08,17.91,18.04,642510
09-12-1994,17.61,17.78,17.57,17.66,504124
09-13-1994,17.66,17.95,17.66,17.91,541725
09-14-1994,17.91,18.12,17.91,18.08,343113
09-15-1994,18.00,18.46,17.91,18.38,334295
09-16-1994,18.29,18.42,18.25,18.38,893720
09-19-1994,18.34,18.51,18.29,18.34,746519
09-20-1994,18.21,18.25,17.95,18.00,520866
09-21-1994,18.00,18.00,17.53,17.78,422737
09-22-1994,17.87,17.95,17.83,17.87,517637
09-23-1994,17.91,18.12,17.87,18.04,478562
09-26-1994,18.08,18.25,18.04,18.21,688931
09-27-1994,18.17,18.63,18.12,18.59,484728
09-28-1994,18.89,19.06,18.80,19.06,1001250
09-29-1994,18.97,19.02,18.63,18.80,520569
09-30-1994,18.89,18.93,18.51,18.51,603431
10-03-1994,18.59,18.59,18.23,18.25,594032
10-04-1994,18.17,18.21,17.61,17.70,1816881
10-05-1994,17.66,17.70,17.10,17.10,842885
10-06-1994,17.23,17.40,17.23,17.27,987736
10-07-1994,17.27,17.66,17.19,17.57,719188
10-10-1994,17.70,17.78,17.53,17.61,251147
10-11-1994,17.61,17.87,17.53,17.87,826734
10-12-1994,17.78,17.78,17.57,17.66,506767
10-13-1994,17.87,18.12,17.87,18.08,434789
10-14-1994,18.08,18.08,17.91,18.04,403927
10-17-1994,18.04,18.51,18.00,18.38,670409
10-18-1994,18.38,18.46,18.34,18.46,953952
10-19-1994,18.46,18.46,18.29,18.34,947778
10-20-1994,18.29,18.34,18.12,18.25,385714
10-21-1994,18.21,18.25,18.12,18.25,318718
10-24-1994,18.21,18.46,18.17,18.42,585502
10-25-1994,18.29,18.29,17.87,17.87,1496331
10-26-1994,17.87,18.51,17.83,18.38,1317391
10-27-1994,18.63,18.63,17.91,18.04,700972
10-28-1994,18.04,18.29,17.91,18.29,794410
10-31-1994,18.25,18.55,18.21,18.38,442125
11-01-1994,18.34,18.46,18.04,18.04,925164
11-02-1994,18.00,18.00,17.74,17.74,965405
11-03-1994,17.74,17.78,16.93,17.15,2022850
11-04-1994,17.19,17.44,17.06,17.06,1231015
11-07-1994,17.06,17.15,16.93,16.97,375721
11-08-1994,17.02,17.10,16.97,17.02,915747
11-09-1994,17.06,17.44,17.06,17.36,811450
